发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
Iriscdent;28;1385;1413;4856;0.2909802306425041
Chleh;257;1869;2126;4856;0.43780889621087316
陈二哈是个技术宅;74;945;1019;4856;0.20984349258649093
bill154;45;602;647;4856;0.13323723228995057
捣鼓音符的小胖;155;1708;1863;4856;0.3836490939044481
超良周易;34;375;409;4856;0.08422570016474465
PM广;2;4;6;4856;0.0012355848434925864
唱鸭App;7;29;36;4856;0.007413509060955519
乱码奔腾-;9;176;185;4856;0.03809719934102142
Mister_Lee;46;392;438;4856;0.09019769357495881
白菜饺子皮;15;170;185;4856;0.03809719934102142
音乐轨柴;26;361;387;4856;0.07969522240527183
库乐队插件;7;98;105;4856;0.021622734761120265
Mazzzystar;15;281;296;4856;0.060955518945634266
湘竣little_prince;29;94;123;4856;0.025329489291598024
夏天的冰冰冰;19;241;260;4856;0.05354200988467875
蓝鲸泽维尔;2;23;25;4856;0.00514827018121911
景略集智;215;2111;2326;4856;0.47899505766062606
Chleh;7;94;101;4856;0.020799011532125204
哔哔虾_;52;66;118;4856;0.024299835255354202
aiideas;6;149;155;4856;0.03191927512355849
TuneFlow;385;4116;4501;4856;0.9268945634266886
aiideas;4;125;129;4856;0.02656507413509061
胧雨夜;9;347;356;4856;0.07331136738056013
音乐研究所;8;21;29;4856;0.005971993410214168
门罗币公主;2;3;5;4856;0.001029654036243822
联合投稿;30;595;625;4856;0.12870675453047775
网架好网架好;3;22;25;4856;0.00514827018121911
阿嚏火星;20;127;147;4856;0.03027182866556837
寒淩Kanpa;17;236;253;4856;0.052100494233937394
Chleh;38;125;163;4856;0.0335667215815486
大谷的游戏创作小屋;78;2022;2100;4856;0.43245469522240526
联合投稿;14;261;275;4856;0.05663097199341022
联合投稿;38;262;300;4856;0.06177924217462932
联合投稿;1;1;2;4856;0.00041186161449752884
联合投稿;45;192;237;4856;0.048805601317957165
marcolwo;9;88;97;4856;0.019975288303130147
光月Minnie;3;18;21;4856;0.0043245469522240525
黎昃生;4;30;34;4856;0.00700164744645799
fataugust;4;386;390;4856;0.08031301482701812
超宙体的接入点;5;67;72;4856;0.014827018121911038
捣鼓音符的小胖;34;231;265;4856;0.05457166392092257
爱睡大觉的李达普;3;5;8;4856;0.0016474464579901153
RiKi的异次元空间;3;25;28;4856;0.005766062602965404
浪子之心科技;18;149;167;4856;0.03439044481054366
特别厉害的祁奕翔;63;2121;2184;4856;0.4497528830313015
联合投稿;17;204;221;4856;0.045510708401976935
联合投稿;1;0;1;4856;0.00020593080724876442
联合投稿;2;4;6;4856;0.0012355848434925864
联合投稿;5;46;51;4856;0.010502471169686986
联合投稿;8;26;34;4856;0.00700164744645799
联合投稿;16;117;133;4856;0.027388797364085667
联合投稿;58;909;967;4856;0.1991350906095552
联合投稿;1;3;4;4856;0.0008237232289950577
联合投稿;2;23;25;4856;0.00514827018121911
联合投稿;4;37;41;4856;0.00844316309719934
联合投稿;2;28;30;4856;0.006177924217462933
联合投稿;57;904;961;4856;0.1978995057660626
联合投稿;28;185;213;4856;0.04386326194398682
联合投稿;10;184;194;4856;0.039950576606260293
联合投稿;9;38;47;4856;0.009678747940691927
联合投稿;1;9;10;4856;0.002059308072487644
联合投稿;4;93;97;4856;0.019975288303130147
联合投稿;72;236;308;4856;0.06342668863261944
联合投稿;5;25;30;4856;0.006177924217462933
联合投稿;7;74;81;4856;0.016680395387149917
联合投稿;26;599;625;4856;0.12870675453047775
联合投稿;2;47;49;4856;0.010090609555189456
联合投稿;33;2049;2082;4856;0.4287479406919275
联合投稿;3;43;46;4856;0.009472817133443162
联合投稿;1;4;5;4856;0.001029654036243822
联合投稿;3;13;16;4856;0.0032948929159802307
联合投稿;9;270;279;4856;0.057454695222405275
联合投稿;2;7;9;4856;0.0018533772652388797
联合投稿;9;18;27;4856;0.0055601317957166396
联合投稿;2;9;11;4856;0.0022652388797364084
联合投稿;2;10;12;4856;0.002471169686985173
联合投稿;14;67;81;4856;0.016680395387149917
联合投稿;3;12;15;4856;0.0030889621087314663
联合投稿;11;75;86;4856;0.01771004942339374
联合投稿;2;33;35;4856;0.0072075782537067545
联合投稿;2;12;14;4856;0.002883031301482702
联合投稿;68;1853;1921;4856;0.3955930807248764
联合投稿;2;2;4;4856;0.0008237232289950577
联合投稿;1;14;15;4856;0.0030889621087314663
联合投稿;1;8;9;4856;0.0018533772652388797
联合投稿;13;55;68;4856;0.01400329489291598
联合投稿;5;20;25;4856;0.00514827018121911
联合投稿;3;4;7;4856;0.001441515650741351
联合投稿;7;55;62;4856;0.012767710049423394
联合投稿;6;44;50;4856;0.01029654036243822
联合投稿;6;64;70;4856;0.014415156507413509
联合投稿;1;12;13;4856;0.0026771004942339376
联合投稿;7;21;28;4856;0.005766062602965404
联合投稿;1;17;18;4856;0.0037067545304777594
联合投稿;4;59;63;4856;0.012973640856672158
联合投稿;2;6;8;4856;0.0016474464579901153
联合投稿;183;273;456;4856;0.09390444810543658
联合投稿;3;26;29;4856;0.005971993410214168
联合投稿;5;145;150;4856;0.03088962108731466
奂己;8;192;200;4856;0.04118616144975288
光的波粒二象性丶;1;7;8;4856;0.0016474464579901153
ACHU-official;3;3;6;4856;0.0012355848434925864
百度;82;149;231;4856;0.04757001647446458
蓝鲸泽维尔;2;20;22;4856;0.004530477759472817
花角;2;16;18;4856;0.0037067545304777594
茯熵;3;7;10;4856;0.002059308072487644
明夜Seele;29;153;182;4856;0.03747940691927512
Mazzzystar;4;31;35;4856;0.0072075782537067545
夏天的冰冰冰;9;40;49;4856;0.010090609555189456
奔跑吧多多;5;7;12;4856;0.002471169686985173
直播中;32;4824;4856;4856;1.0
墨昀晞;3;25;28;4856;0.005766062602965404
核蛋饼;3;28;31;4856;0.006383855024711697
周雨思-音乐审美养成;21;216;237;4856;0.048805601317957165
为全人类服务;1;1;2;4856;0.00041186161449752884
爵士郑;64;350;414;4856;0.08525535420098847
心泛函;4;11;15;4856;0.0030889621087314663
zhengzhihow;7;8;15;4856;0.0030889621087314663
MONE_one;59;240;299;4856;0.06157331136738056
蓝仔的十八班武艺;2;152;154;4856;0.03171334431630972
