一级评论;实际爬取到的二级评论内容;单条评论情绪值;信任度指数1;正向情绪最大绝对值;负向情绪最大绝对值;情绪极性差值;信任度指数2;一级账号粉丝数;信任度指数3;一级评论总点赞数;信任度指数4;信任度值;归一化信任度值
解放生产力消灭消费需求;笑哭有道理啊笑哭;0.8532333366877105
-----;------;------;0.0;0.8532333366877105;;0;1.0;114;4.682644067295346e-05;126;0.16535433070866143;0.3830755487857995;0.16535433070866143
AIVA之前很火，网易云投了，现在网易云也有专门收录她的作品，真的惊啊哥。就是AI配乐，没人类演奏的情感，如果我是音乐人，我会专门开个频道专门演奏AI作曲的音乐doge未来已来;网易云投了能过;0.3309931897881151
AIVA之前很火，网易云投了，现在网易云也有专门收录她的作品，真的惊啊哥。就是AI配乐，没人类演奏的情感，如果我是音乐人，我会专门开个频道专门演奏AI作曲的音乐doge未来已来;回复bili42602215262是说网易投资了aiva来着，网易云里的自动作曲一开始也是用的aiva;0.13011116264437184
-----;------;------;0.10044101357187163;0.3309931897881151;;0;1.0;4;1.6430330060685424e-06;96;0.12598425196850394;0.41035136944715644;0.12598425196850394
chatgtp的和声进行老垃了，通常就I，IV，V，vi还有就是总是会出现Em7升9;不过现在的gpt还只是个孩子，不知道以后会成长到什么样;0.9445067814760033
chatgtp的和声进行老垃了，通常就I，IV，V，vi还有就是总是会出现Em7升9;Em7重降13是吧;-0.7760491410889814
chatgtp的和声进行老垃了，通常就I，IV，V，vi还有就是总是会出现Em7升9;回复鸦珉？;-0.710443875536535
-----;------;------;0.796065213038332;0.9445067814760033;-0.7760491410889814;1.7205559225649847;0.13972203871750766;7;2.8753077606199494e-06;18;0.023622047244094488;0.33225023509413887;0.023622047244094488
我已经试看chatGPT写歌词，无论如何歌词没有押韵笑哭笑哭笑哭;样本不够;-0.14285714285714324
我已经试看chatGPT写歌词，无论如何歌词没有押韵笑哭笑哭笑哭;回复卧野望平川感谢直接给它押韵字要求它每一个句子使用纵圣晟讧龙同程懂鸿工承恐篷冗澄崆惩泷陇燈夢梦动这次好多了，有些句子有押韵字;0.9667179826066394
-----;------;------;0.5547875627318913;0.9667179826066394;-0.14285714285714324;1.1095751254637827;0.44521243726810866;0;0.0;15;0.01968503937007874;0.3539370078740157;0.01968503937007874
都介绍这四个了，加个谷歌的MusicLM吧;请问musicLM从哪里上？;-0.8384988987401554
都介绍这四个了，加个谷歌的MusicLM吧;传抖音上了，忘了传B站了哈哈哈。不过谷歌的MusicLM还只是一些功能上的演示，处于开发阶段，不过根据一幅画来生成音乐的功能是真的太帅了;0.991489957568007
都介绍这四个了，加个谷歌的MusicLM吧;回复KATA咔嗒httpsgoogleresearchgithubioseanetmusiclmexamples;-0.7586840795969212
-----;------;------;0.8444813516744468;0.991489957568007;-0.8384988987401554;1.8299888563081623;0.08500557184591884;3;1.2322747545514067e-06;2;0.0026246719160104987;0.3258454808428055;0.0026246719160104987
大哥口水音，强迫症犯了，想去除你的口水音笑哭;下回我注意，试着把视频转成音频扔到DAW软件里混下音，去去口水和齿音哈哈哈哈;-0.8899410321482795
大哥口水音，强迫症犯了，想去除你的口水音笑哭;回复Iriscdent哈哈哈哈哈，开玩笑啦，还是很感谢啦打call呲牙;0.05327912366945364
-----;------;------;0.47161007790886655;0.05327912366945364;-0.8899410321482795;0.9432201558177331;0.5283899220911334;26;1.0679714539445525e-05;2;0.0026246719160104987;0.35052600235465603;0.0026246719160104987
感谢up分享之前一直很纠结找不到合适的水视频的配乐这个真是太棒了;不如用卤蛋做bgm吧，doge;0.06937160141149379
-----;------;------;0.0;0.06937160141149379;;0;1.0;166;6.81858697518445e-05;3;0.003937007874015748;0.35079422016177836;0.003937007874015748
有沒有一種可能，音樂的商業價值會進一步削弱，而藝術價值會回歸。;跟我一个想法，AI会筛选流行艺术从业者，但目前AI无法制作真正的艺术，除非AI发展出主观思维;0.9998053687384887
-----;------;------;0.0;0.9998053687384887;;0;1.0;0;0.0;2;0.0026246719160104987;0.3505249343832021;0.0026246719160104987
老哥，这些下载后给的是工程文件还是mp3;大部分是MP3或者其他格式的音频文件。;0.34328342895076847
-----;------;------;0.0;0.34328342895076847;;0;1.0;79;3.2449901869853714e-05;1;0.0013123359580052493;0.35026571218178804;0.0013123359580052493
up，aiva有个客户端有试用过吗;简单用了一下，只有客户端版本才有daw模式，就是可以在卷帘窗里编辑修改音符，网站版本不能修改的。;-0.9877796133531618
up，aiva有个客户端有试用过吗;回复Iriscdent网站能流畅登上但客户端很慢，up你客户端转的快吗;-0.978918085273385
-----;------;------;0.004430764039888402;;-0.9877796133531618;0;1.0;16;6.57213202427417e-06;1;0.0013123359580052493;0.3518138918187644;0.0013123359580052493
Up笑哭我第一个就不行他说给我发电子邮箱验证半天没有东西发过来;chat用外国邮箱试试，我拿hotmail注册的。;0.8556564027588704
Up笑哭我第一个就不行他说给我发电子邮箱验证半天没有东西发过来;回复太平大贤良师星星眼行谢谢UP;-0.7881253674500093
-----;------;------;0.8218908851044399;0.8556564027588704;-0.7881253674500093;1.6437817702088797;0.17810911489556014;11;4.5183407666884915e-06;1;0.0013123359580052493;0.3502629190256777;0.0013123359580052493
求视频的BGM吃瓜;记得给我一份，多谢呲牙;0.8296698603769508
求视频的BGM吃瓜;RubyLeaves这张专辑里的一首歌叫AtMidnight;0.1657469945472978
求视频的BGM吃瓜;回复KX的世界httpswwwbilibilicomvideoBV1hd4y1U7Hgspmidfrom333337searchcardallclickampvdsource24e3ba3562d8c9d1df5fe261093b392f可以直接在B站听;0.28762123080908153
求视频的BGM吃瓜;回复Iriscdent十分感谢呲牙;-0.5301073871330892
求视频的BGM吃瓜;回复Iriscdent3Q;-0.710443875536535
-----;------;------;0.5628380640975049;0.8296698603769508;-0.710443875536535;1.5401137359134858;0.22994313204325711;26;1.0679714539445525e-05;0;0.0;0.2774744866207206;0.0
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;山茶花草;0.9156654019981538
