label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;解放生产力消灭消费需求;1;126;127;786;0.16157760814249364
2;AIVA之前很火，网易云投了，现在网易云也有专门收录她的作品，真的惊啊哥。就是AI配乐，没人类演奏的情感，如果我是音乐人，我会专门开个频道专门演奏AI作曲的音乐doge未来已来;2;96;98;786;0.12468193384223919
5;chatgtp的和声进行老垃了，通常就I，IV，V，vi还有就是总是会出现Em7升9;3;18;21;786;0.026717557251908396
10;我已经试看chatGPT写歌词，无论如何歌词没有押韵笑哭笑哭笑哭;2;15;17;786;0.021628498727735368
16;都介绍这四个了，加个谷歌的MusicLM吧;3;2;5;786;0.006361323155216285
20;大哥口水音，强迫症犯了，想去除你的口水音笑哭;2;2;4;786;0.005089058524173028
24;感谢up分享之前一直很纠结找不到合适的水视频的配乐这个真是太棒了;1;3;4;786;0.005089058524173028
28;有沒有一種可能，音樂的商業價值會進一步削弱，而藝術價值會回歸。;1;2;3;786;0.003816793893129771
31;老哥，这些下载后给的是工程文件还是mp3;1;1;2;786;0.002544529262086514
33;up，aiva有个客户端有试用过吗;2;1;3;786;0.003816793893129771
40;Up笑哭我第一个就不行他说给我发电子邮箱验证半天没有东西发过来;2;1;3;786;0.003816793893129771
47;求视频的BGM吃瓜;5;0;5;786;0.006361323155216285
53;AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;24;633;657;786;0.8358778625954199
78;似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;26;448;474;786;0.6030534351145038
105;评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;53;595;648;786;0.8244274809160306
159;这曲子听着好有灵什么？是ai做的？听着好生硬啊，还不如隔壁花114514秒作曲的有灵魂doge;10;346;356;786;0.4529262086513995
170;可以把ai作曲加到游戏里，不间断的创造不同的bgm;22;323;345;786;0.4389312977099237
193;感觉全程在大海啊大海最后是我生长的地方;8;273;281;786;0.3575063613231552
202;甲亢AI，日常嘲讽人类中的弱者微笑震惊B站人类音乐区标题党UP集体花了9876543210秒、呕心沥血呕了整个游泳池的血竟还是无法与标题党的AI抗衡AI打消：辣鸡的人类加入光荣的进化、机械飞升，让我们成为一体吧，否则无法击败我们难道除了机械飞升这条路没有别的出路可以抗衡AI了吗（请说出用了多少梗上一个AI作曲视频BV1v5411L7KW这个视频依旧只是在警醒某些半桶水的充大神，大家而言听着笑好了;3;138;141;786;0.17938931297709923
206;当ai作曲真正从各种风格上都超越人类后，人类就不需要作曲人了，ai作品生成速度更快，质量更高，更能按个人口味私人定制音乐，而且只要一个ai作曲家被发明出来，那全世界每个人都能复制一份，成本极低，还能自己升级迭代，而且ai作曲不需要任何报酬，相比之下人类作曲低效，质量更低，不稳定，还要花钱购买作品。绘画，作诗，电影，游戏等领域同理。;125;137;262;786;0.3333333333333333
332;ai只能作曲，但是完整的音乐需要作曲编曲音色设计作词演奏录音歌手后期混音母带。只要ai不能把上述流程完全承包，那就还是需要作曲人的。因为作曲人可以不仅仅会作曲。而ai仅仅只能做到作曲。最为重要的一点是ai无法创新。所以其实有生之年完全不必担心ai会排挤掉真正能称得上创作者的人。这些人反而可以利用ai为自己的作品锦上添花。;27;38;65;786;0.08269720101781171
362;这个东西，用来面向服务端做定制bgm有低成本优势啊思考;9;70;79;786;0.1005089058524173
372;和谐，但是听起来感觉太单调了;5;54;59;786;0.07506361323155217
379;我懂了，以后成为原创歌手再也需要自己写曲子了，直接让AI替我整完得了;4;21;25;786;0.031806615776081425
384;听歌是需要意境的，但这首歌的意境有点难找，说它是圣歌，又太欢快了，说它是乡村风格，但为什么会有和声，总而言之挺奇怪的;6;36;42;786;0.05343511450381679
399;不能说非常好听，只能说毫无灵魂doge;1;25;26;786;0.03307888040712468
402;狗子麻了，想要一个风平浪静的b站;2;3;5;786;0.006361323155216285
405;虽然这首挺烂的，但是支持AI大力发展，然后我们一起螺丝流水线见;1;3;4;786;0.005089058524173028
407;要失业了大哭;2;3;5;786;0.006361323155216285
410;唯物主义者才不管灵不灵魂的，好汀就完事了，反正我也不懂乐理吃瓜;1;9;10;786;0.01272264631043257
413;当艺术脱胎于灵魂;1;5;6;786;0.007633587786259542
415;ai能在人类已知领域作曲是一件好事，但是ai不具备生物数亿年进化出的完整的减熵系统，它是否能够开拓新的艺术领域呢？亦或是仅仅只能成为新人类的工具呢？;11;4;15;786;0.019083969465648856
431;全程大海啊大海;1;2;3;786;0.003816793893129771
433;评论区有两种，一种普遍吹AI的，有一种普遍不看好的，如果有一天AI真的写出了能引发人类情感共鸣的曲子，不是更可怕吗？我记得我最近考试第一篇就是关于AI的走向，如果AI任由这么发展下去，或许未来人类真的会走向灭亡，不是AI操控大规模杀伤武器，而是人类会依附在AI身上，这是最可怕的，并且现在AI也没见的那么成熟，最起码我们现在在日常谈话或者一些平时的作者文字中能体会别人的感情，多层面的那种，这种你随便叫一个成年人他都说得出来，而AI即使算的快他也没办法看破里面的内涵，但AI编曲能刷掉一些低技术力音乐人确实挺好，但要把门槛提的更高我觉得不一定。;3;5;8;786;0.010178117048346057
439;音乐区up来了（这是我小号），我想说一下，关于AI编曲这件事情，确实，ai编曲肯定没人工好，一些音符，就比如说FLstudio，为什么会有none选项，调整音符，让它没那么生硬，一些音色，可能只有音乐制作人外录，有一款插件叫做康泰克大家知道吧，很多音色库很大，甚至一个吉他30G，为什么这么大？对，录了很多，但是音色还是跟现实有出入，所以我们不能保证AI技术发达到不会错一个音符，音乐制作人是要学乐理的，只有经过人耳的歌估计才是很好的，如果是AI，6415的和弦给你铺一段am的bass，然后就是不和谐的melody，那样的歌不听也罢，仅代表个人观点，不以面概全;5;5;10;786;0.01272264631043257
447;至少比b站业余作曲家要好;1;4;5;786;0.006361323155216285
464;嘿嘿嘿嘿，不能只有我们画画的，写小说的，下棋的没饭碗，你们搞音乐的也要一起死，哈哈哈哈哈哈哈（阴暗的爬行）（阴暗的蠕动）（疯狂的发癫）哈哈哈哈哈哈哈;1;2;3;786;0.003816793893129771
466;在瀚如烟海的古典爵士曲中，ai的曲子还远着呢。;1;2;3;786;0.003816793893129771
469;ai代表着大众，所有当下流行的东西聚成的东西。没灵魂;2;3;5;786;0.006361323155216285
480;ai的可怕之处就是能无限制的学习，人类却不能，所以ai比人类要聪明;1;1;2;786;0.002544529262086514
486;草好活;1;1;2;786;0.002544529262086514
513;不知道能不能整出有起伏的曲子，这个有点平，重复也有点多，作为商业场所的背景音乐还成;1;1;2;786;0.002544529262086514
518;不知道有没有类似爵士，无调性那种的ai音乐呢;3;1;4;786;0.005089058524173028
522;好棒无敌的电影配乐比我至前听的那个ai缝合怪作品厉害了好多;1;1;2;786;0.002544529262086514
524;听到ai作曲我开始害怕了，我自己也想学作曲编曲，但是怕学了很久结果连ai都比不上委屈;1;1;2;786;0.002544529262086514
529;说单调的，是因为这个AI学习的音乐还比较少吧？等着学了巴赫等作曲狂魔之后估计就突飞猛进了。;1;1;2;786;0.002544529262086514
537;这曲子元素应该有圣诞节，炉火，雪花，温馨，团聚，美梦。;1;2;3;786;0.003816793893129771
544;AI写歌是快，但如果认真听，AI的歌并不比人类写的，人类写的歌带有人们自己的喜怒哀乐，有自己的感情夹杂在里面，而AI的歌只不过是按照人给的模子刻出来而已。挺久了就会觉得很死板，没有人写的歌的那种灵魂在里面;1;1;2;786;0.002544529262086514
547;建议追一下CaroleTuesday;1;1;2;786;0.002544529262086514
549;虽然一般般，但也很单调;1;1;2;786;0.002544529262086514
562;如果可以模仿马勒的风格了，马勒十首交响曲不够听啊;1;0;1;786;0.001272264631043257
594;可能ai暂时还是写不出太“深”的东西吧，估计贝5柴6肖7之类的曲子相当长的时间里都不会被ai超越;1;0;1;786;0.001272264631043257
604;配上ai观众刷数据才能形成创作闭环吃瓜;4;153;157;786;0.19974554707379136
609;ai企划、ai作曲、ai作词、ai编曲、ai后期、aimv、ai发行，然后用rpa机器人把这些流程串起来，音乐流水线就弄好了dogedogedoge;11;95;106;786;0.13486005089058525
621;下一步就是用AI拍MV了doge;15;87;102;786;0.1297709923664122
637;感觉听起来不像口水歌，像广告歌;3;47;50;786;0.06361323155216285
641;口水歌本来就是这种流水作业呲牙;1;22;23;786;0.029262086513994912
643;刚好刷到个ai作词doge;1;52;53;786;0.06743002544529263
645;下一步就是，导入某些风格固定的歌手的曲子让AI去学习，再用chatGPT写个歌词吃瓜;3;16;19;786;0.024173027989821884
649;狠狠的挤占乐色制作人的生存空间，但也有可能让音乐审美彻底烂掉;1;24;25;786;0.031806615776081425
651;我竟然觉得不错。。;2;13;15;786;0.019083969465648856
654;那我就给个虚拟点赞吧doge;1;7;8;786;0.010178117048346057
