label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;发视频改半天，评论发网盘也是吞的飞快，难顶。需要图包可以评论区留言或者关注私信有自动回复网盘哦。;5;1;6;18388;0.0003262997607135088
18;缅北电诈人员直呼素材库doge;2;164;166;18388;0.009027626713073745
21;现在ai已经到这个地步了吗，之前看还只是二次元人物;10;53;63;18388;0.0034261474874918425
32;应该用的是台湾人脸模型;3;52;55;18388;0.002991081139873831
36;我觉得以后真的能出一个虚拟女友应用了。ai绘画建模捏脸，chatgpt或者newbing技术做内核，真正的女友养成游戏。有没有搞头。对了加上vr;5;18;23;18388;0.0012508157494017839
42;一位靓仔点赞路过;5;15;20;18388;0.0010876658690450293
48;这样漂亮的妹我们学校很多的;4;11;15;18388;0.000815749401783772
53;照这样发展哪天ai会做视频了也不奇怪了;1;10;11;18388;0.0005982162279747662
55;没灵魂;4;8;12;18388;0.0006525995214270176
64;这是什么软件啊;4;1;5;18388;0.00027191646726125733
70;镜头放下一点doge;1;0;1;18388;5.438329345225147e-05
74;upuplora的比重是多少呀;1;0;1;18388;5.438329345225147e-05
76;要是这素质的游戏，用8090能顶吗滑稽;1;0;1;18388;5.438329345225147e-05
78;如果换成其他人的脸也这么细节么;1;0;1;18388;5.438329345225147e-05
82;什么时候弄真人视频doge;1;0;1;18388;5.438329345225147e-05
85;阿里雲網盤不能用;6;0;6;18388;0.0003262997607135088
93;大佬出个教程哇;1;0;1;18388;5.438329345225147e-05
98;up有没有学习交流群呀;1;0;1;18388;5.438329345225147e-05
108;三连，求图包;1;1;2;18388;0.00010876658690450294
110;三，求，谢;1;1;2;18388;0.00010876658690450294
113;已投币，求图包;1;1;2;18388;0.00010876658690450294
115;求图doge;1;1;2;18388;0.00010876658690450294
118;三连了，求包;1;0;1;18388;5.438329345225147e-05
120;求求打call;1;0;1;18388;5.438329345225147e-05
123;已三连;1;0;1;18388;5.438329345225147e-05
125;求图包;1;0;1;18388;5.438329345225147e-05
127;三关求;1;0;1;18388;5.438329345225147e-05
129;三连求图;1;0;1;18388;5.438329345225147e-05
131;三连了doge;1;0;1;18388;5.438329345225147e-05
133;求图包;1;0;1;18388;5.438329345225147e-05
135;三连，你懂的。;1;0;1;18388;5.438329345225147e-05
137;已投币，求图;1;0;1;18388;5.438329345225147e-05
139;求图;1;0;1;18388;5.438329345225147e-05
141;自己玩的话能让她穿更少吗这个软件有没有限制;1;0;1;18388;5.438329345225147e-05
143;已三连求图包;1;0;1;18388;5.438329345225147e-05
145;三连求图doge。;1;0;1;18388;5.438329345225147e-05
147;已三连你懂的dogedoge;1;0;1;18388;5.438329345225147e-05
149;求图doge;2;0;2;18388;0.00010876658690450294
152;求图包doge;1;0;1;18388;5.438329345225147e-05
154;3连收图包;1;0;1;18388;5.438329345225147e-05
156;求图;1;0;1;18388;5.438329345225147e-05
158;求图包;1;0;1;18388;5.438329345225147e-05
160;脸都不变了，都是这个;1;0;1;18388;5.438329345225147e-05
162;求图包星星眼;1;0;1;18388;5.438329345225147e-05
164;图包doge;1;0;1;18388;5.438329345225147e-05
166;有图必连滑稽;1;0;1;18388;5.438329345225147e-05
168;好棒吃瓜看到这个妹子就想到你哈哈doge;6;0;6;18388;0.0003262997607135088
175;求图;2;0;2;18388;0.00010876658690450294
178;老规矩，求图包;1;0;1;18388;5.438329345225147e-05
180;求图;4;0;4;18388;0.00021753317380900588
185;求图doge;1;0;1;18388;5.438329345225147e-05
187;脱单doge;1;0;1;18388;5.438329345225147e-05
189;三连等图包;1;0;1;18388;5.438329345225147e-05
191;不错，三连了;1;0;1;18388;5.438329345225147e-05
193;恭喜你离百大又近了一步;2;0;2;18388;0.00010876658690450294
196;热词系列打卡热词系列这次一定;1;0;1;18388;5.438329345225147e-05
199;三连了求图包doge;1;0;1;18388;5.438329345225147e-05
201;致我们热爱向往的;11;45;56;18388;0.0030454644333260824
213;还有脸喂迟迟的图，作者明确不同意;1;10;11;18388;0.0005982162279747662
215;三连了三连了大佬;1;21;22;18388;0.0011964324559495323
217;已三连，求私发;1;21;22;18388;0.0011964324559495323
219;已一键三连;1;23;24;18388;0.0013051990428540352
221;已三连，求私信;1;22;23;18388;0.0012508157494017839
223;已三连，求;1;19;20;18388;0.0010876658690450293
225;三连UP求素材;1;21;22;18388;0.0011964324559495323
227;已三连，蹲蹲;1;13;14;18388;0.0007613661083315206
229;一键三连了，求素材;1;13;14;18388;0.0007613661083315206
231;人类只会崇尚高端的画师，而不会膜拜高级的机器;12;42;54;18388;0.0029366978464215794
244;求素材（已三连;1;11;12;18388;0.0006525995214270176
246;已三连，求素材;1;6;7;18388;0.0003806830541657603
248;已三连可以蹲个素材嘛;1;6;7;18388;0.0003806830541657603
251;已三连，求素材打call;1;2;3;18388;0.0001631498803567544
254;实话是已经有公司大量裁员画师了;1;2;3;18388;0.0001631498803567544
256;终究会被取代，在国内毫无版权可言，有没有版权是资本家说的算;1;2;3;18388;0.0001631498803567544
263;这行本来就没什么前途，该回家种地进厂拧螺丝去吧;1;0;1;18388;5.438329345225147e-05
267;AI怡宝更美了;16;1856;1872;18388;0.10180552534261475
284;属于是我喜欢的女主播被全世界公认了，就这么自豪傲娇;7;1138;1145;18388;0.06226887100282793
292;因为AI画的图不会讲话doge;8;1098;1106;18388;0.060147922558190126
301;脱单doge;2;339;341;18388;0.01854470306721775
304;410;3;872;875;18388;0.04758538177072003
308;确实强doge;13;404;417;18388;0.02267783336958886
322;套图已经有21p142pdoge;61;561;622;18388;0.033826408527300414
384;AI这东西迟早要受控的，就一个换脸软件都闹出多大风波了。;65;276;341;18388;0.01854470306721775
450;0219这笑哭;8;68;76;18388;0.004133130302371111
460;周姐这脸ai换脸的时候也是换谁身上都合适，可能ai觉得这张脸真的很完美吧，而且这ai怎么这么喜欢给周姐配个大扔子;1;33;34;18388;0.00184903197737655
462;一想到好多人用怡宝的lora炼色色的图拿去做奇怪的事，我心里就好难受;8;202;210;18388;0.011420491624972808
472;这张;1;70;71;18388;0.003861213835109854
475;看过全图还是挺顶的;1;6;7;18388;0.0003806830541657603
477;k宝，想想你这视频为什么会被卖片的盯上doge;1;72;73;18388;0.003969980422014357
479;我的壁纸喜欢喜欢喜欢喜欢;4;28;32;18388;0.001740265390472047
485;周姐以后不管流出什么照片视频都不会塌房了doge;9;1486;1495;18388;0.08130302371111595
495;推动力周姐露猫咪委员会;2;50;52;18388;0.0028279312595170763
498;推动力什么委员会。。。可怕;1;78;79;18388;0.004296280182727866
500;这玩意没办法，一个普通人只要有你几十张照片就能整个模型，学习成本太低，出来的效果又真假难辨，如果有足够多角度的高清照片，可以实现所有角度所有姿势的周姐;1;22;23;18388;0.0012508157494017839
502;为什么有衣服，我刚下的好像不一样初音未来问号;8;44;52;18388;0.0028279312595170763
511;周姐的脸最失败的点就是长在了周姐身上大哭;2;211;213;18388;0.011583641505329563
514;不正经的对周姐没用，有声的如果是周姐的声音，你也没感觉了，如果不是周姐的声音，你也没感觉了;2;49;51;18388;0.002773547966064825
520;主要是周姐这张脸或者类似的脸在随机的画图里经常出现喜极而泣，应该是因为训练库里的含量比较高吃瓜，真正明星的脸反而少，估计是担心法律问题。;3;15;18;18388;0.0009788992821405265
524;树奈奈的身材周淑怡的脸完美;1;7;8;18388;0.00043506634761801175
532;光用脸，是真的能打，至于原版嘛，会张嘴。还是算了吧doge;2;283;285;18388;0.015499238633891669
536;社会我周姐;1;32;33;18388;0.0017946486839242985
538;在哪里可以看这些图啊星星眼;12;8;20;18388;0.0010876658690450293
556;周淑怡其实挺好看的;3;8;11;18388;0.0005982162279747662
561;好家伙连李沁、宋轶还有万茜诸葛大力的都有了;1;0;1;18388;5.438329345225147e-05
597;已经有图了兄弟们;4;0;4;18388;0.00021753317380900588
635;快把封面给换了老子要举办了生气;1;1;2;18388;0.00010876658690450294
674;我翻墙出去看了ai周姐。真的顶笑哭;2;0;2;18388;0.00010876658690450294
682;哦AI绘画，我看成AI换脸了，还以为后台没关妙啊;2;0;2;18388;0.00010876658690450294
699;以后都不能相信新闻图片了，再过不久连视频都有可能轻易造假;1;0;1;18388;5.438329345225147e-05
735;以后普通人真不能随便往社交平台上发照片了，哪个不怀好意的拿你照片喂给AI，整一堆以假乱真的图造谣，真受不了吧;1;0;1;18388;5.438329345225147e-05
739;外网关键字搜就行;2;1;3;18388;0.0001631498803567544
742;你摸摸自己的良心问问，像不像滑稽;1;1;2;18388;0.00010876658690450294
754;周姐怎么不出一些写真集;1;0;1;18388;5.438329345225147e-05
760;庆幸这个技术没在果贷电诈盛行的时候成熟。doge;3;21;24;18388;0.0013051990428540352
764;我有黄图套，看着看着就笑出来了tvdoge;6;15;21;18388;0.0011420491624972808
772;完整大牛杯;1;3;4;18388;0.00021753317380900588
777;后续，知乎这个人是编的;10;74;84;18388;0.004568196649989123
788;问题是无数ai迷和吃瓜人，觉得只有画师会失业，这中间就不曾有人知道一个问题，如果画师失业，其他行业也会失业，ai不可能未来10年还只会画画;42;144;186;18388;0.010115292582118773
831;现在很多初级画师以及被淘汰的混子画师，似乎已经把“ai替代画师”当成了自己不努力，不进取的一个退路了。但凡找不到工作，或者自己的原因被裁。就说“因为ai这个画师已经不行了”。但实际的情况呢？我去问了身边非常多研发以及外包的朋友。并没有发生此类事情。不过对于工作流程部分，特别是外包的朋友是希望通过ai来缩短流程的（比如ai细化后再修图）。未来会怎么样不知道。只知道，如果热爱画画，就好好去画。如果只是想用画画来赚钱，早点打消这个念头。早几年前这个行业就已经饱和了。;8;35;43;18388;0.002338481618446813
840;最近在北京找工作，面试过一个小公司，欧美卡通项目的，公司用AI去细化，草稿自己设计。原画最后裁的就剩三个人了，公司最后想在找一个人，可以把控整个项目风格的。我最后测试过了面试没过，因为经验不够。感觉以后能在这行工作的都是领域精英了。;6;57;63;18388;0.0034261474874918425
850;我蛮奇怪的，我专门问过在职的朋友，基本都在大厂，他们说虽然公司要求用ai，但没到全部裁掉的水平，偶尔会裁几个，是末位淘汰那种，不确定是不是和项目组有关，也可能是我认识的这几个都是国内赚钱手游项目。而且我外包也没太受影响，反而是那些没找到公司的或者家里蹲的特别焦虑思考;2;41;43;18388;0.002338481618446813
853;这有什么意义？我每个月累死累累活就那么点工资，不可能购买你这零成本的电子世界电子烂白菜，你觉得好看，我觉得还有更好看的可以随便出图，ai生成一个作品几秒，学习合成作品没有成本，我手里的币是有限，增加需要极大的成本，你ai一天就可以生成几千套游戏皮肤，每个皮肤188但是成本为0我看都不看一眼全是海量合成的味道更不会购买没有价值的意义没有意义doge;32;37;69;18388;0.003752447248205351
886;把画画当兴趣，可以。把画画当工作，造孽。;8;29;37;18388;0.002012181857733304
895;很多人说散播焦虑？哈哈我就说一个游戏研发公司的从上月开始我们公司就不发原画插画宣传画立绘图标外包了你们猜因为啥doge;11;61;72;18388;0.003915597128562106
909;啥时候能进军会计行业，不想替人坐牢;1;13;14;18388;0.0007613661083315206
911;物述有栖看戏嗯，船到桥头自然直，等我失业了再去考虑，ai画得都好看，但光好看还不够，我想要的是能打动我的画，可能很多人在资本和泛娱乐的冲击下一心只剩赚钱和瑟瑟了，都快忘了绘画本身是件艺术了，是条追寻美学、造就疯子的的路;2;10;12;18388;0.0006525995214270176
914;ai拼图并不是画微笑话说AI作图的原理不就是东拼西凑各种图吗，行业招聘已经出现AI画师了，这让辛辛苦苦自己搞创作的画师以后怎么搞;14;32;46;18388;0.0025016314988035677
929;冷知识，ai绘画是不受版权保护的，另外，大厂裁员不是因为ai，而是其他不可说的原因;5;13;18;18388;0.0009788992821405265
935;今天画师群有人吵了不少时间，大大小小公司全都在用AI，场景和图标已经大量被AI覆盖，有几个小公司的，他们老板要求直接用AI的立绘批量出图，最小幅度改图节省人力资源，所有商业上的甲方都已经默认用AI了。可以说一大部分画师已经被AI替代了。;1;4;5;18388;0.00027191646726125733
937;我俩个朋友都是入行画师，表示不慌，可以适当的用AI辅助或者参考。不会真的以为那种图能修修就用吧？不会真以为你没有板绘和专业审美，老板会招你吧？;6;13;19;18388;0.0010332825755927778
