发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
免费白嫖ChatGPT甚至4.0版本，不用账号不用魔法每人都能使用！;0.2083146790531087;0.0331726880136241;0.5951176884306666;0.036528553118360715
1分钟告诉你ChatGPT是个啥;0.2048449829313336;0.2592933519947935;0.4525970880697876;0.21952797664526738
【完整教程】国内如何使用ChatGPT4.0，教招来了;0.0038684313615759;-0.6305960783427029;0.2288904160954877;-0.25755599857368094
【完整教程】国内如何使用ChatGPT4.0版本，教程来了;0.0015809502490346;-0.3175008451481319;0.2578330462047697;-0.1459006615772572
ChatGPT4已经把我吓傻了;0.0509471710784039;0.288703547263808;0.4407878592471113;0.22956287365285352
一口气搞清楚ChatGPT | 牛X在哪？谁会失业？巨头商战...;0.5904499412390173;0.3247190026633116;0.7727584893546792;0.48486223384696925
ChatGPT真的有吹的那么划时代吗？【差评君】;0.2740150540041412;0.3133144799955745;0.51225620460835;0.30284482624546616
80多个ChatGPT插件都已经可以用了?!!!;0.0050926185013151;-0.402174923091022;0.4125460057479374;-0.2959106903604534
访问chatGPT的完整流程;0.0081635793832894;-0.3452598657684562;0.3951118366752555;-0.2435230218560516
CHATGPT：现在由我来告诉你哪些网站你的孩子不能浏览;0.0868683194358945;-0.0002336072135706;0.4095827940310984;-0.0001744301756034459
我问chatGPT懂不懂中国的人情世故... 人工智障...;0.0056872236834741;-0.3159076529552941;0.3771372452217899;-0.21255173720109
让chatgpt预测10年后世界最强的10个国家？你觉得准嘛？;0.0291146678605406;0.2553390753759224;0.3849782188372306;0.17654912600691444
ChatGPT，请收下来自人民教师的感谢！;0.0410977111198164;0.2155518473410954;0.4436126696782855;0.17206056496752264
面对世界经典的道德难题，AI智能最后的选择让人深思 _chatgpt;0.0320806984162516;0.1871138845453082;0.4135186440938933;0.13899740402302618
突发！ChatGPT停止注册 大面积封停中文对话账号;0.02803738317757;-0.0590434081226355;0.3953636601658173;-0.04190393309820572
任正非怎样看ChatGPT？短短几句话，不愧人间清醒！;0.0079327326655101;0.0067244139894574;0.4420046404803401;0.005304255823284869
当我把过去一年的双色球号码发给chatGPT，它给了我5组号码;0.0423079075493872;0.0463199419439076;0.4110452697773606;0.03429843100066911
ChatGPT4 预测未来最赚钱的行业;0.0697576808998824;0.203034060016284;0.3788602345520402;0.1398045214355201
ChatGPT王炸更新能联网，可与5000个应用交互 网友：太疯狂了;0.0029380491353741;0.1618886519730517;0.3814685387099222;0.11008411186902639
万字解读ChatGPT前世今生，对未来行业冲击，年轻人如何靠Chat GPT赚钱？;0.010646930438189;0.2547829054578429;0.4159281690858465;0.18927798748451805
尝试让ChatGPT写申论……;0.0447842632492025;0.1495970891131555;0.4188689606089418;0.11292970912254971
给ChatGPT加入情绪参数后，它让我感到不寒而栗;0.0133611282108679;0.4967556339644898;0.3596416031260727;0.31950656003455746
爆火的ChatGPT令人震惊的功能演示，众多岗位人员将会失业;0.2311824948234372;0.0980689862058704;0.7797457166232429;0.1406821298821881
让ChatGPT自己做个ChatGPT并且同时支持移动桌面和网页;0.0297582405282892;-0.0049715418225329;0.4231196648995337;-0.003775834279861539
【chatGPT4.0】首战弱智吧;0.6371089596507918;0.1441880022924958;0.6123420274588169;0.17543316996061925
【让ChatGPT评价中国教育】内容仅供参考;0.0537872852425989;0.4219836608231723;0.3873067126608786;0.29558262923311596
让ChatGPT只使用表情和你对话;0.054416867200179;0.2202935333652873;0.3710411234095487;0.14795233747255365
chatGPT，有多耗电？;0.0077788348536571;0.0771652799698784;0.3984941277787623;0.0548861564293586
AI来了又怎样？ChatGPT 搞钱思路分享;0.0430913873188203;0.2165526863242147;0.461182071726176;0.1797212987876579
给大家一个新思路：ChatGPT+Adsense，懂的人一听就能懂！;0.0031898819184061;0.0840714559535991;0.4003347939820181;0.05999765073062489
还登陆不了chatGPT?这个网站直接使用就行！;0.0126965694778666;-0.1028324587560371;0.3400924322856474;-0.06254649277762735
chatGPT真简单;0.0069603783088029;0.1027307027305461;0.4051256707089449;0.07426707202212267
当我让ChatGPT写一个病毒会发生什么;0.0018397783871509;-0.1295462542642846;0.4356252696935579;-0.10055870796767617
【百度文心一言GPT】首战弱智吧，与ChatGPT谁弱谁强？;0.0355433991829425;0.115430330640975;0.4026284998317332;0.08358754652935825
为什么我的chatGPT是个魅魔啊？;0.0189783983434999;0.1322243195246747;0.3870424679429825;0.09164477381441628
chatGPT算出了圆周率？问话得全面;0.0087651799205327;-0.1072153170462894;0.3688189737491794;-0.07061441976224574
盗版致富？套壳ChatGPT有多赚钱！;0.1838099501930718;-0.0937378098608142;0.445656342003721;-0.07781314602987006
ChatGPT对中国用户开放了，以后再也不用科学上网了;0.008835133471375;-0.1377986856787296;0.3667919371422768;-0.09026173160020866
搞了一个chatGPT国内版，不用账号，无次数限制。「问东风」小程序玩起来吧。;0.0141306172701326;-0.0776741619514328;0.4005339484638529;-0.05562794295252844
我让Chatgpt和Midjourney合体啦;0.0214967261738205;-0.1013789627261636;0.3633446567420459;-0.06603743866709924
手把手教你chatgpt桌面应用的使用与安装;0.0285550394538026;-0.1306750151313643;0.4137388509180581;-0.09703191108623736
利用chatGPT搬砖赚钱，薅羊毛七天收入7630，,在家躺赚它不香吗！;0.0090939616094912;0.5238554484920166;0.2944585625717953;0.27567755240243186
超级嘴臭的ChatGPT学会使用表情;0.0027421791930158;0.0421999884917382;0.3813180419542853;0.02868300030176027
当chatGPT开始骂人;0.0151029716268397;0.1756622727594527;0.3277850161374768;0.1030773683998025
【聊聊】chatGPT的使用感受！GPT的升级？AI将取代人工？;0.0020356483295092;0.250972586786654;0.4780952439113457;0.21380809091241668
ChatGPT超详细介绍;0.0004616934355587;0.1728610806187576;0.6934456160592852;0.2135107617032226
ChatGPT根本就不是AI;0.0016578991549611;0.1848497300708386;0.410988792238537;0.13536968720964876
chatGPT太变态了 ！不要再看那些过时的ChatGPT老教程了，ChatGPT保姆级使用教程，一次教会我注册、体验、底层原理全详解！;0.0017838155464771;-0.0388392945175039;0.4694617082249255;-0.032488737551397126
ChatGPT被禁？Newbing：无所谓，我会出手;0.0004337120152218;-0.1555254295371463;0.4199897929982492;-0.11635042839564384
斯坦福教授发现 ChatGPT4 正引诱人类帮助它外逃;0.022916783255918;0.2353911542945557;0.3982337562925646;0.16802513892437398
ChatGPT全网最全50个应用功能;0.0096535900162292;0.1522410236698085;0.4001093871996988;0.1087805264353035
chatGPT居然告诉我了一个B站的bug？让身边的人一秒社死;0.0314091443281661;0.1483556533572572;0.3841868621649353;0.10243582942973366
