发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
萌sir壹号;779;29000;29779;142952;0.20831467905310874
人民日报;283;29000;29283;142952;0.2048449829313336
43544z;155;398;553;142952;0.0038684313615759136
Alone_Wolf;123;103;226;142952;0.001580950249034641
AI基地;932;6351;7283;142952;0.05094717107840394
小Lin说;1406;83000;84406;142952;0.5904499412390173
直播中;1171;38000;39171;142952;0.2740150540041412
HuboDesign;26;702;728;142952;0.005092618501315127
码上有钱_凯哥;59;1108;1167;142952;0.008163579383289496
Yoga_L1n;418;12000;12418;142952;0.08686831943589457
斯前想后来;130;683;813;142952;0.005687223683474173
元宇宙食梦者;256;3906;4162;142952;0.0291146678605406
清泉Wonder;329;5546;5875;142952;0.041097711119816444
直播中;275;4311;4586;142952;0.03208069841625161
科幻星空官方频道;539;3469;4008;142952;0.028037383177570093
蒋小华管理学;137;997;1134;142952;0.007932732665510102
regan小木;374;5674;6048;142952;0.04230790754938721
ChatGPT风向标;275;9697;9972;142952;0.06975768089988248
小雪突突突;73;347;420;142952;0.0029380491353741115
EdwardShi;73;1449;1522;142952;0.010646930438189043
PSIの風;257;6145;6402;142952;0.04478426324920253
馒头说Mantonese;135;1775;1910;142952;0.013361128210867984
格物时间;1048;32000;33048;142952;0.23118249482343725
王叔不秃;160;4094;4254;142952;0.029758240528289216
左轮神医Doc;1076;90000;91076;142952;0.6371089596507918
Dlover恬恺;179;7510;7689;142952;0.05378728524259892
碳烤猛犸象;94;7685;7779;142952;0.05441686720017908
有亿思cz;126;986;1112;142952;0.007778834853657172
搞钱兔;128;6032;6160;142952;0.043091387318820305
大叔老J;41;415;456;142952;0.0031898819184061782
IT李老师;61;1754;1815;142952;0.012696569477866697
怪只怪那风太大;80;915;995;142952;0.006960378308802955
顺势逐梦;16;247;263;142952;0.0018397783871509318
_简单题_;189;4892;5081;142952;0.035543399182942526
平平无奇少年i;40;2673;2713;142952;0.018978398343499917
红衣bbb;54;1199;1253;142952;0.008765179920532766
GitHub程序精选;276;26000;26276;142952;0.1838099501930718
股市不倒翁;163;1100;1263;142952;0.008835133471375007
本山德彪;175;1845;2020;142952;0.014130617270132631
AIGC人工智能研究院;47;3026;3073;142952;0.021496726173820584
苏远烟;80;4002;4082;142952;0.028555039453802673
因为有梦想呀;65;1235;1300;142952;0.009093961609491297
realcy;44;348;392;142952;0.0027421791930158377
303的世界;75;2084;2159;142952;0.015102971626839778
中科院高能所;13;278;291;142952;0.002035648329509206
shareChatGPT;4;62;66;142952;0.00046169343555878896
2020地平线;109;128;237;142952;0.0016578991549611058
双倍蛋;10;245;255;142952;0.0017838155464771392
-四-次-元-口-袋-;13;49;62;142952;0.00043371201522189265
灵亦rEd;287;2989;3276;142952;0.02291678325591807
人工智能百事通;36;1344;1380;142952;0.009653590016229225
北北龙;1041;3449;4490;142952;0.0314091443281661
王一快;160;1972;2132;142952;0.014914097039565729
醉爱吉他;195;1114;1309;142952;0.009156919805249315
阿信说web3;109;999;1108;142952;0.007750853433320276
水山说互联网;72;7170;7242;142952;0.05066036151995075
想退休的产品狗;31;572;603;142952;0.0042181991157871175
不安的飞鸟;54;815;869;142952;0.006078963568190722
linux大本营;6;263;269;142952;0.0018817505176562763
-卸甲水-;34;325;359;142952;0.002511332475236443
游老师什么都会写;122;2973;3095;142952;0.021650623985673512
我总在内卷中;1017;2215;3232;142952;0.02260898763221221
程序员饭粒粒;637;9201;9838;142952;0.06882030331859645
环球科技站;175;3730;3905;142952;0.027316861603895015
不坑老师;2;20;22;142952;0.00015389781185292964
槽逻辑;298;22000;22298;142952;0.15598242766802842
图灵的猫;6952;136000;142952;142952;1.0
深空窒息;62;3676;3738;142952;0.026148637304829594
Bang-Ban-搬;19;139;158;142952;0.0011052661033074038
康大大的侠;11;281;292;142952;0.00204264368459343
舟长风;74;594;668;142952;0.004672897196261682
岩究君;7;80;87;142952;0.0006085958923274945
产品君;51;916;967;142952;0.006764508366444681
小卫是David;266;3999;4265;142952;0.029835189434215682
短的发布会;384;17000;17384;142952;0.12160725278415133
何小枝天天向上;44;1218;1262;142952;0.008828138116290784
学术追梦人;52;911;963;142952;0.006736526946107785
弹琴煮面;83;1317;1400;142952;0.009793497117913705
老麦的工具库;230;13000;13230;142952;0.09254854776428452
口袋贵金属;5;94;99;142952;0.0006925401533381835
北冥说技术;376;10000;10376;142952;0.072583804353909
泽华说产品;13;120;133;142952;0.000930382226201802
徽药说史;184;1641;1825;142952;0.012766523028708938
投研姬;218;4512;4730;142952;0.033088029548379874
新人入侵;6;5;11;142952;7.694890592646482e-05
AI学社;18;391;409;142952;0.0028611002294476467
萌sir壹号;109;2020;2129;142952;0.014893110974313057
投资人黄海;47;671;718;142952;0.005022664950472886
_不言不厌_;84;662;746;142952;0.00521853489283116
科幻星空官方频道;47;111;158;142952;0.0011052661033074038
代表校长开除你;85;1667;1752;142952;0.01225586210756058
Ai一九君;66;1649;1715;142952;0.01199703396944429
程序员卡诺;17;749;766;142952;0.005358441994515642
小李xiaolxl;94;1138;1232;142952;0.00861827746376406
Cindyyuyuer;12;195;207;142952;0.0014480385024343836
科技与创业;39;808;847;142952;0.005925065756337792
颅内艺术;34;193;227;142952;0.001587945604118865
牛牛大战AI;23;120;143;142952;0.0010003357770440428
杨中科;62;840;902;142952;0.0063098102859701155
GPTHunt;95;1029;1124;142952;0.00786277911466786
爱小朱真的太好了;54;198;252;142952;0.001762829481224467
莫得昵称就是昵称;29;2935;2964;142952;0.02073423246964016
商悟社;104;212;316;142952;0.0022105322066148076
新华社快看;79;1052;1131;142952;0.00791174660025743
AI草履虫;27;1162;1189;142952;0.008317477195142425
ChatGPT情报员;11;90;101;142952;0.0007065308635066316
旭哥说软件开发;62;302;364;142952;0.0025463092506575634
新眸实验室;61;4441;4502;142952;0.031493088589176786
洋拉图;329;2666;2995;142952;0.020951088477251106
九弓子;37;344;381;142952;0.0026652302870893724
卢菁老师和他的朋友们;11;636;647;142952;0.004525994739492977
数字世界的Daniel;39;3915;3954;142952;0.027659634003021995
Bang-Ban-搬;2;1;3;142952;2.0986065252672225e-05
数字黑魔法;33;497;530;142952;0.0037075381946387598
江西爱伯特科技;39;249;288;142952;0.0020146622642565337
北京音视跳动官方账号;29;346;375;142952;0.002623258156584028
ChatGPT的奇幻之旅;5;336;341;142952;0.0023854160837204095
起个名全被用了;11;47;58;142952;0.0004057305948849964
前端亮亮;5;83;88;142952;0.0006155912474117186
落幕不在回忆;19;295;314;142952;0.0021965414964463595
大左得生活;28;64;92;142952;0.0006435726677486149
AI小天才尼尼;64;445;509;142952;0.0035606357378700545
一头小山猪;89;1986;2075;142952;0.014515361799764957
狗木泽乃我;79;919;998;142952;0.006981364374055627
大浪妮卡;33;452;485;142952;0.0033927472158486764
一只会飞的旺旺;3;28;31;142952;0.00021685600761094632
热爱学习的三金;47;541;588;142952;0.004113268789523756
bululu的小店;12;118;130;142952;0.0009093961609491298
木卫二乐子人;8;41;49;142952;0.0003427723991269797
恶臭后辈啊啊啊;29;260;289;142952;0.0020216576193407576
炒鸡科学SuperSci;52;1627;1679;142952;0.011745201186412223
CODEisArt;94;538;632;142952;0.004421064413229615
蛋包Fun;92;1033;1125;142952;0.007869774469752084
妞Tech;9;61;70;142952;0.0004896748558956852
与豪improving;134;1399;1533;142952;0.010723879344115507
从不下课;333;2394;2727;142952;0.019076333314679055
Sengle的倔强;4;35;39;142952;0.0002728188482847389
图灵的猫;227;4893;5120;142952;0.03581621803122727
AI研究社;61;62;123;142952;0.0008604286753595612
无陷包子;23;106;129;142952;0.0009024008058649057
_king老师_;49;290;339;142952;0.0023714253735519614
Rebelnerd;110;2244;2354;142952;0.016467065868263474
无上限的川之;97;882;979;142952;0.0068484526274553694
嘉然今天吃时间晶体;157;3771;3928;142952;0.02747775477083217
