发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
"流老师与可乐
发消息";42;434;476;188132;0.002530138413454383
"编程界面
发消息";156;1763;1919;188132;0.010200284906342356
"墨忆_江南
发消息";42;272;314;188132;0.0016690408861862948
"聚梦小课堂
发消息";89;2345;2434;188132;0.012937724576361278
"半兵卫onThetrack
发消息";41;199;240;188132;0.0012757000403971679
"傻大个科技
发消息";8;127;135;188132;0.000717581272723407
"AI赋能营销_懒Z
发消息";6;8;14;188132;7.44158356898348e-05
"微软科技
发消息";32;346;378;188132;0.0020092275636255396
"许骏马
发消息";197;2829;3026;188132;0.01608445134267429
"鹅厂程序员
发消息";189;2146;2335;188132;0.012411498309697446
"清夏夏1
发消息";12;27;39;188132;0.00020730125656453978
"Windows之家
发消息";21;77;98;188132;0.0005209108498288436
"Gastdon
发消息";12;102;114;188132;0.0006059575191886548
"程序员鱼皮
发消息";356;6515;6871;188132;0.03652222907320392
"少言
发消息";3;16;19;188132;0.00010099291986477579
"半兵卫onThetrack
发消息";34;351;385;188132;0.002046435481470457
"applegal
发消息";3;47;50;188132;0.00026577084174941
"生产力工坊
发消息";2;9;11;188132;5.84695851848702e-05
"赵为民
发消息";227;1448;1675;188132;0.008903323198605234
"元宇宙小百科O2VR
发消息";2;6;8;188132;4.25233346799056e-05
"Sophia职场进阶
发消息";6;25;31;188132;0.00016477792188463418
"环球新知
发消息";417;7395;7812;188132;0.04152403631492781
"聚梦小课堂
发消息";9;159;168;188132;0.0008929900282780176
"扶松子弟
发消息";53;720;773;188132;0.004108817213445878
"三维互联网
发消息";55;521;576;188132;0.003061680096953203
"微软科技
发消息";64;1475;1539;188132;0.008180426509046839
"北京老托
发消息";4;52;56;188132;0.0002976633427593392
"啄木鸟少儿编程老师
发消息";1;7;8;188132;4.25233346799056e-05
"聚梦小课堂
发消息";10;74;84;188132;0.0004464950141390088
"一只会飞的旺旺
发消息";30;172;202;188132;0.0010737142006676163
"生产力工坊
发消息";3;6;9;188132;4.78387515148938e-05
"studyman999
发消息";3;1;4;188132;2.12616673399528e-05
"云八云
发消息";43;892;935;188132;0.0049699147407139665
"胡侃侃评测
发消息";1;6;7;188132;3.72079178449174e-05
"麦克斯威儿
发消息";7;142;149;188132;0.0007919971084132417
"DeepGear
发消息";2;7;9;188132;4.78387515148938e-05
"MASTERYUAN-
发消息";1;2;3;188132;1.59462505049646e-05
"三维互联网
发消息";1;5;6;188132;3.18925010099292e-05
"止吾说
发消息";21;357;378;188132;0.0020092275636255396
"1727keke
发消息";2;3;5;188132;2.6577084174940997e-05
"流老师与可乐
发消息";15;129;144;188132;0.0007654200242383008
"微软科技
发消息";317;5080;5397;188132;0.028687304658431313
"GeorgeLocke
发消息";10;43;53;188132;0.00028171709225437456
"AI大时代
发消息";4;11;15;188132;7.973125252482299e-05
"直播中
AI基地
发消息";20;462;482;188132;0.0025620309144643123
"诸葛肥肥
发消息";1;4;5;188132;2.6577084174940997e-05
"拾柒山音
发消息";1;2;3;188132;1.59462505049646e-05
"夸宝想要躺平
发消息";4;7;11;188132;5.84695851848702e-05
"生产力工坊
发消息";1;5;6;188132;3.18925010099292e-05
"猎芯网
发消息";2;1;3;188132;1.59462505049646e-05
"勇敢的小泥巴
发消息";4;19;23;188132;0.0001222545872047286
"-EmBerL-
发消息";2;4;6;188132;3.18925010099292e-05
"-EmBerL-
发消息";2;3;5;188132;2.6577084174940997e-05
"三维互联网
发消息";1;10;11;188132;5.84695851848702e-05
"愚人兰
发消息";2;6;8;188132;4.25233346799056e-05
"复旦赵斌
发消息";63;1353;1416;188132;0.007526630238343291
"实用小技
发消息";31;429;460;188132;0.002445091744094572
"直播中
卢菁老师_北大AI博士后
发消息";3;13;16;188132;8.50466693598112e-05
"从林到屹
发消息";2;7;9;188132;4.78387515148938e-05
"格瑞亚的空气
发消息";4;22;26;188132;0.0001382008377096932
"表姐凌祯
发消息";3;9;12;188132;6.37850020198584e-05
"科技捕手
发消息";43;1330;1373;188132;0.007298067314438798
"-EmBerL-
发消息";1;2;3;188132;1.59462505049646e-05
"知识财富学院
发消息";21;408;429;188132;0.0022803138222099377
"Eric227
发消息";8;42;50;188132;0.00026577084174941
"生产力工坊
发消息";1;3;4;188132;2.12616673399528e-05
"ZhiZhouWanWu23
发消息";3;13;16;188132;8.50466693598112e-05
"扶松子弟
发消息";1;8;9;188132;4.78387515148938e-05
"RPA之家
发消息";40;9;49;188132;0.0002604554249144218
"YJango
发消息";5132;183000;188132;188132;1.0
"kugunn
发消息";6;16;22;188132;0.0001169391703697404
"三维互联网
发消息";1;9;10;188132;5.3154168349881995e-05
"IGN中国
发消息";90;992;1082;188132;0.005751281015457232
"编程界面
发消息";46;203;249;188132;0.0013235387919120617
"生产力工坊
发消息";3;12;15;188132;7.973125252482299e-05
"秋天0261
发消息";1;1;2;188132;1.06308336699764e-05
"玉龙同学在炼丹
发消息";49;666;715;188132;0.0038005230370165627
"Bang-Ban-搬
发消息";1;9;10;188132;5.3154168349881995e-05
"Windows之家
发消息";24;300;324;188132;0.0017221950545361767
"Froxas
发消息";1;3;4;188132;2.12616673399528e-05
"小包子Hedge
发消息";1;7;8;188132;4.25233346799056e-05
"猫多少
发消息";1;22;23;188132;0.0001222545872047286
