发布者;群体情绪;时间
教你开启Office CoPilot 抢先体验ChatGPT;-0.045691568720512415;1680871216
免费升级到microsoft 365 copilot 教程，还不来学~;-0.1082816488184851;1680407023
超前使用Office 365 Copilot!;-0.10451983502292193;1680669059
微软Copilot抢先用！适合中国宝宝的全中文网页版Copilot&NewBing阉割版;-0.034254744330898645;1680639354
E5开发者账号续订教程——2023年赶快使用 Microsoft365 办公免费白嫖5TB网盘copilot都来了chat GTP和office打造最强办公软件;-0.07501768991639411;1683467780
Microsoft 365 Copilot 内测版激活（人工智能加持，效率翻倍）;-0.12248966818193253;1683190219
【AI超级应用】Microsoft 365 Copilot  | 全自动化office办公软件;-0.18329492198942254;1683019493
Microsoft 365 Copilot in Word 加速工作效率 实现自动办公;-0.0014445641979748702;1682990296
PPT不存在了！全新微软Office Copilot 发布会快速解读;0.11396429465765187;1681565450
【曝光】Office Copilot的惊人功能，它将如何改变你的工作方式？;0.06387177789780997;1681565058
【双语】微软Office+GPT_ 微软365 Copilot发布会;0.25938615943919163;1681518340
对标微软365 Copilot？金山发布WPS AI，支持Windows11/10版WPS Office;-0.005058915152482016;1681291576
【4K60FPS】Microsoft 365 Copilot 宣传片中文版，将AI整合进Office！;-0.035652176117673455;1681176527
自动写代码插件火了，封神还是鸡肋？！Copilot 插件体验;0.006059964179252762;1681100615
Office 365 Copilot发布！一起来看看效果怎么样;-0.5354058129241601;1680921765
2023年赶快使用 Microsoft365 办公免费白嫖5TB网盘copilot都来了chat GTP和office打造最强办公软件;0.02703454060104232;1680847917
AI重新定义Office！微软Copilot超级革命 ChatGPT＋Microsoft 365 未来十年必备的AI神助手;0.151883850469112;1680787721
Microsoft 365 Copilot in Excel;-0.25011704805816337;1680753206
微软Office Copilot发布，AI又一次震惊了我们，今夜无眠;0.08813600549492367;1680749968
微软 365 Copilot震撼来袭！Office全家桶+GPT-4;0.243507866903844;1680671181
ChatGPT+Office=Microsoft 365 copilot，AI办公软件全家桶，会给普通人带来哪些改变？;0.05919990368589173;1680663721
【双语】微软Office+GPT? 八分钟看完微软365 Copilot发布会，AI进入工作环境;0.11813660435584417;1680622002
【未来打工人必备】6分钟实操精通微软最新版office 365全家桶！重新定义未来职场打工人！Copilot发布会案例教程;0.0050767470756251576;1680570463
【官方大合集】Microsoft 365 Copilot+ChatGPT4;0.014836921368865188;1680567592
微软365 Copilot发布会 GPT-4 Office 中文字幕;0.17395838465709376;1680406971
微软2023 Microsoft 365 Copilot发布会全程回顾 中文字幕版;0.049274278837039186;1680399585
微软深夜重磅发布，Microsoft Office 365 Copilot全面接入GPT-4，势必颠覆人类办公！;0.055409957085019265;1680356080
怎么用？AI在日常生活中的真实体验！微软正式推出Microsoft365Copilot：AI全面植入Office全家桶;-0.16151669937273558;1680323291
【未来打工人必备】工作全靠聊天！office365杀疯了！微信钉钉慌了！微软Copilot发布会案例教程;0.017009578949687507;1680476849
Microsoft365 Copilot你用上了么？;0.017513868301808098;1680577033
Microsoft 365 Copilot in PowerPoint;0.15546864161951632;1681371983
GPT4 融合Office Microsoft 365 Copilot 发布会（中文字幕）;0.02750991631753236;1681655467
Office炸裂升级！ChatGPT/GPT4登陆微软Microsoft365（60秒看懂Copilot）;0.10324225366317005;1681051543
一分钟看完， 微软把AI神器GPT-4全面接入Office，Microsoft 365 Copilot 将如何颠覆， 我们未来的工作方式？;-0.03274967255359867;1683652494
GPT+Office=Copilot？跟我瞧瞧吧！微软发布文章详细解读;0.1825918774598321;1681356025
国内首个类微软Office Copilot应用，AI可以制作英语听力啦，全自动哦，ChatGPT都不曾拥有的技能;0.5511584967845917;1680457359
今日凌晨，Microsoft 365 Copilot重磅发布！微软将GPT-4全面接入Office办公软件全家桶;-0.14795194894551333;1680401551
微软365 Copilot Word 官方介绍 中文字幕;-0.00806020994242216;1680284972
Microsoft 365 抢先体验Copilot，进去之后，一言难尽。;-0.12977246503532083;1680326413
1、Microsoft 365 Copilot;-0.45568904900077006;1681554996
Office降级 Word Copilot复活？;-0.21147442216931253;1680834321
一种很新的东西！微软全新Microsoft 365 Copilot 让你的工作事半功倍。;0.031042380125988825;1680420192
Microsoft 365 Copilot 宣传视频已经出来了。通过 Copilot AI，可以进行对话式的 Office 文档生成，支持 Word、PPT、E;0.14879569540447962;1681045494
微软彻底逆袭？全线产品引入ChatGPT4.0 Office史上最大升级！微软Microsoft365 Copilot整合GPT4;0.3997613119548067;1680425203
微软Copilot Microsoft365正式发布，用GPT4做PPT一分钟搞定;0.0483748774547319;------
微软Office365 Copilot发布会 GPT-4 精剪版;0.0;1680322100
【第2集】一键生成PPT给老板汇报，摸鱼给老板画饼利器，微软copilot植入office，办公工具的变革来了;0.5434405515698062;1680229042
这个在beta阶段的Microsoft365 Word Copilot实在是太逊了啊;-0.2108230879759811;1680306980
Microsoft 365 Copilot in Outlook;-0.12651453887000574;1680260247
微软整合GPT-4到Office中，发布全新Microsoft 365 Copilot;0.6052823766933908;1680226935
1分钟教你copilot注册;-0.18660865180784775;1680263200
微软发布：Microsoft 365 Copilot in Word;0.18046783123432594;1680846811
微软发布：Microsoft 365 Copilot in Excel;0.09918742892640671;1680449116
微软365 Copilot PPT 官方介绍 中文字幕;0.03275291276584822;1680218960
【微软365 Copilot重磅来袭】word、excel、ppt一键搞定。彻底颠覆你的办公方式！;-0.40270245091512197;1680218837
反正，我也测试了一把微软office王炸;0.049190471895495476;1680584167
翘首以待?集chatgpt4的copilot还没上线！这款真正免费开源无广告的office软件onlyoffice，快捷接入chatgpt，真正无广告功能强大;-0.023177578122567093;1680320916
一分钟看完，微软把AI神器GPT-4全面接入Office，Microsoft 365 Copilot 将如何颠覆， 我们未来的工作方式？;0.5828391838951367;1680277002
干掉你工作的不是AI，而是会用AI的人来看看最新微软Office365融入ChatGPT4的Copilot的颠覆性功能;0.22742702607282864;1680241015
【中文】微软Office和ChatGPT结合发布会完整版！办公和AI的未来！;0.10975359704427196;1680238055
免费拥有#Microsoft 365，使用#Copilot，自动写文章，#工作方式彻底改变！;-0.10710378542946383;1680254249
打工人必看，做PPT只要一分钟就能非常炫酷，微软Copilot Microsoft365正式发布，集成了GPT4的超级AIGC办公工具来了！赶紧用起来！;0.08185631426220596;1680412327
微软发布：Microsoft 365 Copilot in PowerPoint;-0.00805978039939949;1680402870
Newest | 微软2023发布会（中字精翻） - AI时代来临 Microsoft 365 Copilot;0.11019992499270996;1680399318
GPT-4杀疯了..Word,PPT,Excel等office软件一网打尽！微软 365 Copilot 说要把你的文字变成地球上最强大的生产力工具;0.012838304185714803;1680317867
Microsoft 365 Copilot in Teams;0.22005498908713614;1680267407
粉丝说想看一下微软的新版OFFICE Copilot功能，它来了。;0.12841018039080526;1680266430
【官方演示】Microsoft 365 Copilot;0.6031891090282964;1680247211
抢先体验Microsoft 365的Copilot，一键配置，超级简便 - 抖音;0.038529859036280485;1680236144
【渐构】万字科普GPT4为何会颠覆现有工作流；为何你要关注微软Copilot、文心一言等大模型;1.0;1680230553
自制Chatgpt excel ppt word插件, 低配copilot;-0.09703017868940181;1680229640
微软365 Copilot 官方介绍 中文字幕;0.27069753158477233;1680232810
【IGN】Microsoft 365 Copilot宣传视频;-0.004278538667909273;1680239760
Microsoft 365 Copilot + GPT4 还让国内玩家怎么玩？都失业吗？;0.12336577749177806;1680245194
Microsoft 365 Copilot in Word;0.24281126753499246;1681714705
微软推出 Microsoft 365 Copilot：通过文字聊天就能自动生成 Excel 报表！;0.5617867194836877;1681357654
最新！快速白嫖Copilot学生包（给你的炼丹工具整点活儿）;-0.005625189825556089;1680707260
简介 Microsoft 365 Copilot 集成 Outlook, PowerPoint, Excel, and OneNote;-0.5665051052167193;1680696668
微软Windows11版全新Excel震撼登场（Microsoft 365 Copilot）;-0.05366674009450878;1680288952
Office copilot办公新领域;0.5985178737687684;1680288791
Microsoft 365 Copilot in 全家桶，微软这波势不可挡~;0.0;1680287331
Microsoft 365 Copilot来啦，以后PPT，excel可以一键生成了。是打工人的福音还是打工人的噩耗？;0.4003646277793503;1680280069
