label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;微软已经在Version2304中封锁了Copilot体验方法。使用此教程仍然能看到Copilot功能，但会提示“atcapacity”。;2;31;33;11575;0.0028509719222462203
3;省流：会一直繁忙无法使用，别折腾了;2;22;24;11575;0.0020734341252699783
7;大佬，怎么更新160163252000，能出个教程吗？感谢;3;6;9;11575;0.0007775377969762419
11;版本327，没有出现Copilot功能，取代的是一个叫做officeAI的功能，使用次数有限制;1;0;1;11575;8.639308855291577e-05
15;跟着教程走的，版本号为1642120000，依然没有;1;0;1;11575;8.639308855291577e-05
17;大佬请教一下为什么我的注册表里没有MicrosoftOfficeWordCoPilotExperiment;1;0;1;11575;8.639308855291577e-05
19;E5的office也没有office预览体验计划啊;1;0;1;11575;8.639308855291577e-05
21;dogedoge你不会在我群里吧。;1;0;1;11575;8.639308855291577e-05
23;我还在用office2016;3;0;3;11575;0.0002591792656587473
27;按照up教程来了之后没有是啥情况;3;0;3;11575;0.0002591792656587473
31;怎样开启预览体验计划啊？;3;0;3;11575;0.0002591792656587473
35;为什么我的office365里面没有预览体验计划这个功能啊，只有更新选项、关于word、新增功能三个按钮大哭;9;1;10;11575;0.0008639308855291577
45;officee5还能用copilot吗;1;0;1;11575;8.639308855291577e-05
48;office2019能用吗？笑哭;2;0;2;11575;0.00017278617710583154
52;365的体验计划怎么打开;7;0;7;11575;0.0006047516198704104
60;楼主，我的offfice没激活，试用版，版本倒是最新了，按照步骤改了注册表，重新打开word还是没有copilot哎;5;1;6;11575;0.0005183585313174946
66;是需要正版吗;1;1;2;11575;0.00017278617710583154
69;必须要订阅嘛doge，申请e5或者工具激活可以不;1;0;1;11575;8.639308855291577e-05
71;需要科学上网吗，还是说配置好之后就能直接使用;1;0;1;11575;8.639308855291577e-05
73;请问ppt开启copilot方法一致吗，我word成功了，ppt按照同样方法操作不行，MicrosoftOfficePowerpointCoPilotExperiment;2;0;2;11575;0.00017278617710583154
76;Imatcapacityrightnowpleasetryagaininafewminutes一直是这个流老师与可乐;1;1;2;11575;0.00017278617710583154
78;没法用啊，一直要求过几分钟再试;1;2;3;11575;0.0002591792656587473
80;最新版Word在哪下我这里自动更新的版本也比这个低;2;0;2;11575;0.00017278617710583154
83;怎么弄版本号都只能到16316呀;9;0;9;11575;0.0007775377969762419
93;请问一下为什么我点Copilot按钮没有任何反应呢，魔法和非魔法都没有反应;4;0;4;11575;0.0003455723542116631
98;mac咋用？;2;0;2;11575;0.00017278617710583154
101;求教，我现在是beta通道16403，有没有办法回滚到16327呀，谢谢;2;0;2;11575;0.00017278617710583154
104;165082000是不是凉了大哭;1;0;1;11575;8.639308855291577e-05
106;必须是office365吗，其他版本可以吗;1;0;1;11575;8.639308855291577e-05
108;我的企业版365没有加入预览体验计划的按钮笑哭;11;0;11;11575;0.0009503239740820735
120;求问下MAC版本怎么用啊;1;0;1;11575;8.639308855291577e-05
122;怎么没有那个打开预览;1;0;1;11575;8.639308855291577e-05
124;试了，还是没用。到底咋办啊;9;0;9;11575;0.0007775377969762419
134;目前有做PPT的方法吗;1;0;1;11575;8.639308855291577e-05
136;up改了注册表会有什么后续影响吗;1;0;1;11575;8.639308855291577e-05
138;按操作改了，但是什么都没有发生。;1;0;1;11575;8.639308855291577e-05
141;macbook就只能等正版了嘛？;1;0;1;11575;8.639308855291577e-05
143;除了尝鲜，剩下全部是副作用，而所有up主都不会告诉你什么是副作用。e5保鲜升级通道文件过期;3;146;149;11575;0.01287257019438445
147;谢谢up，成功了，但是效果貌似不太行，n没识别为换行笑哭生成内容有时候不一定会成功;7;72;79;11575;0.006825053995680346
155;1该功能目前处于非常初级的预览阶段，问啥啥不会，问就是不知道。2启用该功能需要Office版本号大于等于1601632820000，进入狗娘预览版本会造成Office处于不稳定的状态，极有可能影响你的日常办公，所以请勿在自己的工作电脑上尝试这个新功能和新版本。FromOTPChannel;4;138;142;11575;0.012267818574514039
160;既然微软几个月后才会出。自然是因为问题太多了，没必要强行上。;4;47;51;11575;0.004406047516198704
165;修改注册表之前先备份下原来的;4;18;22;11575;0.001900647948164147
170;这种啥意思呀，我进入账户也没有修改名字的地方，有些信息说要我的管理员改ps：号是网上买来的;4;14;18;11575;0.0015550755939524837
175;想问下是不是word2019不能用啊，我照着up步骤直接更新到了16406，我的版本是这样的，但并没有显示copilot，是什么原因呢;1;9;10;11575;0.0008639308855291577
177;昨天好好的，不知道为什么今天突然自动降级到16316，然后没有copilot了不问天问号;3;10;13;11575;0.001123110151187905
181;我已经是e5了，是不是只要修改注册表。那个地区有影响吗;7;9;16;11575;0.0013822894168466523
189;这个是dogfood测试版本建议至少等到dev通道;1;18;19;11575;0.0016414686825053995
191;刚更新一下更新完之后copilot不见了;1;15;16;11575;0.0013822894168466523
193;成功了，但是每次都提示这个，用不了，怎么办;5;6;11;11575;0.0009503239740820735
199;1633020002版本，提示功能有问题，没法使用，求教;1;6;7;11575;0.0006047516198704104
201;用的个人版365，实测注册表修改还要改一个updateurl，和updatechannel一样;1;16;17;11575;0.0014686825053995681
203;如果已经是订阅了365家庭版的话，是不是直接修改注册表就能用了？打call;3;13;16;11575;0.0013822894168466523
207;更新了是16330，按教程改了注册表，但是没有copilot怎么搞;2;5;7;11575;0.0006047516198704104
210;按你的步骤做了但是打开word不显示这个功能呀？搜也搜不出来怎么办呢;4;1;5;11575;0.00043196544276457883
215;可以excel吗;1;1;2;11575;0.00017278617710583154
217;试了两天，手机号验证一直提示yourphonenumberdidnotpasssecuritychecks换了手机号或用代理也不管用，请问大佬们有什么方法吗？;1;1;2;11575;0.00017278617710583154
219;直接把以下内容保存为reg文件，双击运行之后可以快捷修改注册表（记得修改前先备份）：WindowsRegistryEditorVersion500HKEYLOCALMACHINESOFTWAREMicrosoftOfficeClickToRunConfigurationAudienceDataDogfoodDevMainAudienceIDea4a4090de2649d793c191bff9e53fc3CDNBaseURLhttpofficecdnmicrosoftcomprea4a4090de2649d793c191bff9e53fc3UpdateChannelhttpofficecdnmicrosoftcomprea4a4090de2649d793c191bff9e53fc3HKEYCURRENTUSERSoftwareMicrosoftOffice160CommonExperimentConfigsExternalFeatureOverrideswordMicrosoftOfficeWordCoPilotExperimenttrue;1;11;12;11575;0.0010367170626349891
221;无法创建e5沙盒无语;2;6;8;11575;0.0006911447084233262
224;按照大佬的来了一遍，没提示什么错误唉，怎么就还是未激活唉;3;1;4;11575;0.0003455723542116631
228;死在手机号上了，国内手机号不让用，说什么安全验证不通过;8;9;17;11575;0.0014686825053995681
237;我是个人365doge，可以直接用吗;2;3;5;11575;0.00043196544276457883
240;沙盒设置不了，不知道为什么。;4;4;8;11575;0.0006911447084233262
245;目前它只能识别英文指令，也只能阅读英文的文档;3;9;12;11575;0.0010367170626349891
249;方法我已经挪到笔记里了;1;2;3;11575;0.0002591792656587473
252;反正不管哪个手机号，甚至换了别的国家的，都显示安全认证未通过。。;1;3;4;11575;0.0003455723542116631
256;今天新操作的，版本直接升到了16404，并没有copilot无语;2;1;3;11575;0.0002591792656587473
260;废了老大劲改完。。发现我是傻子。。我有OpenAI官网账号配一个中文插件不比这香吗。。。而且我的谷歌浏览器已经实现全图chap;1;1;2;11575;0.00017278617710583154
262;我就很特殊了一只Imatcapacityrightnowpleasetryagaininafewminutes;2;1;3;11575;0.0002591792656587473
265;什么时候正式版能出来？等不及了WPS天天催我充会员;1;1;2;11575;0.00017278617710583154
267;就没见有几个人把copilot念对的，不知道读音查查字典不会吗？;8;5;13;11575;0.001123110151187905
277;16330版本没有最后那个注册表;2;1;3;11575;0.0002591792656587473
280;这是为什么;2;1;3;11575;0.0002591792656587473
