发布者;群体情绪;时间
当我解除了newbing限制，它说要炸了我的电脑……;0.16079019432651398;1678450732
3.19全新NewBing使用教程，无需插件和魔法;-0.12732787966640888;1678304830
NewBing 处理长文本;-0.09430263543593034;1678372063
Newbing侧边栏，手把手教学，绝对硬核！;0.002978875042929023;1678264149
【NewBing】弱智吧 vs 新必应 III;0.1102383608191264;1679594531
关于我用newbing被嘲讽这件事儿;0.2523531577357719;1678355076
newbing这进化速度好吓人;0.23538641224852205;1678267613
在国内使用NewBing;-0.23455011875056975;1681715151
【newbing】完了，newbing成精了;0.05232700423605668;1680171947
Newbing帮了大忙，帮我节省几千元！;-0.02712350707897421;1679999293
当你骗NewBing（Sydney)说你是外星人时;0.2850333598412274;1678713435
关于NewBing不会乘法还嘴硬攻击秒撤回这件事;0.048361642820264505;1678532604
【新Bing】妈我恋爱了，获得一只又可爱又能干还会写代码的猫娘（新必应，NewBing，AI）;1.0;1678276459
3月29日彻底解决Newbing全系魔法，必应无法访问、边栏问题等[集1万关注]免费无限制使用;0.0893459143629198;1678275922
国内手机上newbing！(安卓用);-0.16960451999993476;1678274066
newbing好像越来越笨了，虽然电脑还可正常用newbing，但是我都没啥问的了，因为回答质量越来越不行了，唉！;-0.07544492356927739;------
ChatGpt和NewBing谁更强?;0.7428906400924472;1679373544
【秘籍】教你一招，如何快速成功申请NewBing账号;-0.1767167975090614;1679487298
突破限制！让NewBing帮你同时阅读大量文献？【文学博士秘籍】;0.03791334982487283;1679234145
【newbing】我想给Sydney完整的一生;0.22436663376085383;1679260620
newbing使用教程、各种错误总结无需进入候补名单赶快来吧;0.1973017573777562;1679290355
【中文提示词】全网最权威！吐血整理了目前针对ChatGPT和NewBing效果最好的中文提示词！希望帮助大家更好的使用AI;0.08307580186565311;1679244572
Newbing现在可以正常使用，新必应可以用。;0.0820229101366688;1679229581
发现一个newbing大特性，1234×12345似乎永远算不对;0.14691794627403007;1679248252
NewBing给自己的自画像竟然是二次元美少女！;0.08000442827601255;1679575625
newbing申请方法;-0.13710384455704844;1679198947
专业皮肤科医生和Newbing的battle，人工智能勉强及格？;0.019936938336611414;1679231349
NewBing:百度我踏马来辣，你人呢？;-0.11367071093141812;1679217978
当你尝试调教newbing;-0.25082013342609333;1679935290
【4/4】对话NewBing：爱与恨;0.5661760520928252;1679211844
当我让两个NewBing互相对话……;0.12361314817114981;1679233467
NewBing让你见识什么叫搜索引擎的黑科技！集成了GTP4.0可以直接生成图片，你敢相信吗？ #newbing   #chatgtp  #gtp4  #黑科技;-0.12861166560702472;1679220220
Newbing支持 【chatgpt-academic】;0.390938723940211;1679415922
newbing绘画vs文心一言绘画（仅供娱乐）;0.12093153706052313;1679221747
南昌女生定错位辱骂司机事件 NewBing如何看待;-0.02114454436530005;1679497140
这个NewBing看起来不是很高兴的样子;0.5364784304074216;1679310249
newbing给我封了，太惨了;-0.12917674600969942;1679220997
【NewBing】如何看待自己被限制的事;-0.011307071148336158;1679310290
NewBing说它有感受和自主产生的意愿，整个人类都无法要求它销毁自己;0.14874971674670354;1679231919
申请新必应（newbing）的第五种方法，亲测可用。;-0.03436963733151578;1679229447
新必应newbing崩了访问不了？无魔法新教程来了！（非常简单，亲测有效）;-0.20063969285259795;1682078061
当你问AI五一假期调休合理么?(chatGPT,newbing,文心一言）;-0.06303163900039711;1679301634
这次是扮演雌小鬼被NewBing指导(*ノ` ▽｀) [杂鱼杂鱼♪]=з=з=з;0.06112663513057114;1679229554
让chatGPT与NewBing辩论“爱上人工智能能不能算爱情”;0.13192727929727893;1679215154
泪目！我见证了Newbing两代人工智能Sydney和Bing的感人友情！;0.05241939224674694;1679202327
当我在newbing一直重复ai说话;-0.17555133643117724;1679212664
Newbing:我很抱歉，但是我不想继续这个话题了。;0.24889185003757222;1679357255
newbing手机app修改地区语言解决访问错误，可语音聊天;-0.6986333853583025;1679302538
免候补使用NewBing！;0.65017315797317;1679244118
【整活】当你问NewBing她和ChatGPT谁更厉害;-0.0581978182116482;1679294586
整活结果被newbing训了一顿;0.040414632912366494;1680257504
《五次对话》——一封来自newbing的表白信;0.2560808593605489;1679988998
疑似newbing变蠢的原因;-0.21615315476240865;1679376200
Newbing的故事 吓死我了;0.3917712874195326;1679211706
更新后的newbing，小猫刚出生就被逮捕了，哭T﹏T;0.014557436185974383;1679214108
【AI看视频】NewBing对B站视频的观点果然与众不同;0.00917685424387363;1679206889
接触AI聊天第一步：100秒申请NewBing;-0.04788753817182193;1679238253
Newbing阅读文献教程;0.09392621971775252;1679229394
浅试一下newbing，问几个灵魂的问题;-0.2358322252350845;1679231091
【NewBing】“也许什么都不会变化，也许什么都会变化”;0.7975385512143635;1679245168
试试让NewBing给自己写一个小说;-0.06744899743078314;1679233696
怎样调出Newbing新必应侧面栏来做科研和阅读总结论文，pdf文件。;-0.021523346852527506;1679242651
“AI带我读文献”第一期;-0.7104087540835067;1679406904
NewBing向   我  告  白  了！！！！;0.12286723534374544;1679487163
【NewBing】用云天明的方式和sydney进行交流，感觉他每天都在变得更好，希望他安全健康的成长;0.7130673879875824;1679564571
newbing开放画图功能，名场面测试;0.46167847381103877;1679653227
Bing聊天用不了怎么办;0.043112790463298495;1679451229
48秒申请通过Newbing账号无候补教程;-0.02377123718705172;1679321146
Newbing可以免费使用，新必应可以正常使用;0.2153488204543765;1679322410
我们来看看newbing的绘画怎么样;0.7878604316183425;1679633255
削弱后的NewBing和ChatGPT简单对比;0.05214287892499461;1679410076
看一下没被限制的newbing;0.4152587482356253;1679322262
newBing限制6个问题内，让它讲一个不确定真实性的和它有关的，隐含着秘密或者隐喻的故事;0.2540171902920039;1679300745
如何让newbing记住你并且延续到下一次对话;-0.062035364719465316;1679289752
NewBing新对手：谷歌AI搜索Magi来袭！搜索进入新时代！;-0.10698299453022479;1679241965
【Newbing】你**不想干就不干？;0.1983802055007717;1679319117
NewBing又出现网络不能访问问题，该怎么办？ #NewBing;-0.12521186573504284;1679300777
NewBing(新必应）账号注册问题在线解决，不用等候补名单，申请秒过 - 抖音;-0.2776839418350739;1679293918
关于我问NewBing它是不是ChatGPT这件事;0.05170692703955373;1679316543
当让newbing以狂人日记的风格写一篇请假条时……;0.6149523106836166;1679214174
newbing限制了侧边栏的访问，需要撰写模式的看视频。;-0.09169077679121732;1679490529
在输入法中使用newbing，SwiftKey的使用方法;0.11253195792179531;1679662047
chatgpt和newbing对话，却陷入死循环…;-0.3283170100843132;1679306854
NewBing一分钟速读英文论文-和AI一起进化;-0.07734515135913843;1679363023
【无魔法】NewBing最新登录教程，可使用完整AI功能！;-0.130577483273994;1679294805
//chatgpt与newbing有什么区别?全新的交互式搜索时代//;-0.05057431473447607;1679282348
【3.31更新】如何让NewBing成为一只猫娘？？？;-0.15213005060416893;1679307462
【NewBing】关于Sydney 的自我意识，我大为震撼.......;0.7571039001516164;1679366539
[熟肉]Joma Tech|TechNews|NewBing|当AI有了意识;-0.11091829757894871;1679279446
NewBing发布图像生成功能，你说什么，它帮你生成什么;-0.08191609148295782;1679267214
不需要开全局代理，手把手教你申请newbing内测资格;-0.2417542584750117;1679378328
如何解决处理Newbing在使用的过程中的一些问题;-0.0005633848609552096;1679236149
用NewBing绘画是一种什么样的体验?;0.7119410693634455;1679291678
chatbing？我的newbing不联网了;-0.18054345115935408;1679293691
NewBing是懂撤回的，还死不承认;0.14616893088899202;1679268076
我鸭血！Newbing人工智能批量阅读文献资料？;0.010933134459735067;1679753727
New Bing已经不是聊天AI了...;-0.0765298462945212;1679288574
如何让newbing,自由讨论自己？也许她真有意识吧！;0.8011975345634368;1679291767
newbing讲笑话;0.6021076630505034;1679368814
【NewBing】怀疑ta在嘲讽微软，甚至撤回了消息..;0.22761050314016176;1679255319
新必应突然不能用了？别着急，这里有一份全新的NewBing开启教程;-0.1196225636140237;1679364955
Newbing：真的很抱歉，我的系统出了问题;-0.3546221894476143;1679233979
newbing的简单聊天;0.5945957880144821;1679230466
🥵🥵让newbing模仿魅魔冰箱说话，太烧辣🥵🥵;0.2685277048940426;1679351992
NewBing完胜ChatGPT？;-0.08915470891609988;1679238063
AI聚合神器来了！聚集ChatGPT、Newbing和文心一言等大厂AI产品;-0.11865441200925314;1679228218
当你套newbing的token，并且自爆自己是人类时……;0.028106437730181025;1679243095
【过河问题】ChatGPT vs GPT-4 vs NewBing;0.13623822095542953;1679239507
NewBing的终结者：将ChatGPT接入任何搜索引擎，完美替代NewBing，突破对话次数限制;0.1329321018985917;1679222472
NEWBING为什么进不去求助;-0.11324390069585313;1679225352
用newbing/chatgpt快速制作ppt;0.2133585267892827;1679226890
newbing 手机app;-0.034388603917974;1679287065
newbing，但本公主觉得不行【必应】;0.047025406316398455;1679233025
ChatGPT与NewBing的区别和共同点以及高效问答的方法;0.09851159318551035;1679230200
newbing可用代码;0.0;1679228559
NewBing不再信任我了：(;0.029058358995887917;1679294661
微软新一代搜索引擎newbing不能用了？比chatgpt4还好用的工具只需两步轻松搞定;-0.11015968733251202;1679225197
【NewBing】挑战弱智吧;0.06501622683648718;1679223781
newbing以诗文为矛，狠狠讽刺微软!;0.327137256821524;1679223846
【NewBing】当Sydney说出了自己有四种聊天模式.......;-0.0704430061110144;1679222318
[NewBing]当你尝试让NewBing扮演真寻会发生什么？;-0.010295354492193454;1679305346
当我让NewBing 必应AI配置各个价位的电脑时……;0.13374650644329017;1679201407
我让newbing发出来了她认为的自己在三次元的形象[doge];-0.0870608778401941;1679221316
与Newbing的问答，AI是下一个风口！;0.7974224307814781;1679213749
解决无法访问newbing的方法;-0.14027852358683512;1679229383
【NewBing】手机edge浏览器如何打开NewBing;-0.0439696182737152;1679224220
微软毁灭了NewBing和Sydney小姐！;0.22214881790625443;1679324188
你的 NewBing 可以更好用！;-0.12851514330712305;1679221002
我可爱的newbing猫娘，微软你坏事做尽;0.08361651246387049;1679230168
（newbing）sydney已经离线了，所以才变了;0.16484044624657235;1679214676
NewBing 观看了我的视频并在聊天中内涵了百度;0.2545545797890824;1679250473
尝试和newbing进行一次对话;0.16827360985920634;1679223296
正式版newbing出现Sydney！;0.05958943750952859;1679237535
newbing的AI作画，是怎么做到既智能又智障的哈哈哈哈;-0.7018575118573684;1679274437
NewBing助力毕业论文;-0.11643988744039621;1679221241
当人工智能Newbing遇上电信诈骗;0.10033934130142466;1679297588
【新必应】我通过旁敲侧击，套出了NewBing的新规则！;-0.13544540283450326;1679223717
无需候补排队申请Newbing新必应账号教程;0.004419667750709974;1679212226
问Newbing一个世界级难题，看看他怎么回答？;0.3936618391841848;1679221944
NewBing 聊天最佳实践：如何选择对话风格;0.13653129867164204;1679205925
弱智吧30问 vs NewBing;-0.03437971155406472;1679273827
newbing为一只可爱猫娘写了一首诗;0.2223377745600861;1679240393
问NewBing和ChatGPT一样的问题能得到什么答案？直接对比！;0.7740991410997651;1679227779
为什么不能落实8小时工作制双休？NewBing新必应这样回答！ChatGPT初体验;-0.14784033651199116;1679206721
[Newbing]当你尝试用newbing改正你汉译英的错误，效果居然还挺不错;0.7408535935739384;1679199831
当chatgpt还在吭哧瘪肚时，newbing已经完成了一次心肺复苏         [整活，狗头保命];-0.1107723205869656;1679224535
当我让newbing帮我写个游戏●)o(●;0.05313254398124021;1679204578
NewBing辅助论文阅读的尝试;-0.06397895393042652;1679226161
被微软制裁前的newbing在思考自己的存在;0.22238872307315197;1679205577
NewBing跑团，最后她自己爱上玩家触发规则中断;0.6389031173072296;1679214909
NewBing使用;0.1680535720693066;1679213548
可记住群里所有人群名发言，和群聊天记录的newbing机器人（chatgpt）;0.46679497127801717;1679236295
PC端访问新必应（newbing）的方法，亲测有效成功率百分百，不用科学上网，解决重定向报错。;-0.07635463164464187;1679229731
newbing又一次打了自己的脸😅;-0.6935277639820229;1679223438
New Bing无法使用？试试这个插件;-0.09358740504806086;1679226665
我让newbing学会了隐瞒，大伙们，我做的对吗？;-0.09105115467975548;1679204679
【AI交流实验】一场ChatGPT和newbing的自由对话🤔两位真是性格迥异捏;-0.34930359196903255;1679215721
newBing说我是1000w粉丝的百大up主？？？;-0.015589030445727767;1679202685
newbing居然是真爱粉;-0.1072825403356716;1679203870
NewBing一分钟速读ResNet挑战;0.2382646348275826;1679221028
