发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
AI人工智能居然帮我编了一首曲子？？而且还挺好听的？？#人工智能#伴奏#音乐制作 #编曲;0.012211547536115;0.1633116711527209;0.4602707030789343;0.10674062701514678
用AI作曲，会发生什么？这对双胞胎音乐人突发奇想，想看看AI制作的歌曲会有什么不同，苦等了3小时后，AI交出了一份令他俩惊讶的答卷—— #音乐 #AI #编曲;0.0648251242021034;0.1804693578457319;0.5856680188204317;0.15149013635534547
AI编曲能代替人类吗？前几天用ChatGPT挑战写中文歌词翻车，今天再来试试人工智能作曲#人工智能 #编曲;0.00078937276233;0.0578936004651089;0.5134654134881286;0.042095604247089316
5秒出音乐，Ai作曲网站Aiva，生成钢琴曲，EDM, Lo-Fi, Hiphop, Techno, Jazz，还可以改编，免费下载3首曲子 #ai作曲 #人工智能 #ai音乐 #ai作曲 #人工智能ai艺术 #人工智能歌手天花板;0.0002678521259876;-0.0093182851179043;0.490136920378664;-0.006466966288066182
第19集 | 用ChatGPT创作音乐｜动动嘴皮子AI帮你编曲 WavTool 是用 GPT-4 驱动的AI作曲工具，TXT To Music只要告诉 AI 你想要的曲风，或者要加入的乐器，其他操作 AI 帮你完成人均作曲家时代来了！AI Drop The Beat！;0.0005460692018606;-0.0369411155624248;0.435784675116312;-0.02279624088601048
第36集 | 只要会打字，你就能做出音乐的日子不远了。 #人工智能 #ai作曲 #写歌 #学音乐#musiclm;0.0012143357076342;0.124299834835467;0.5217450704758618;0.09184637438909338
两款ai作曲神器，哪怕你是音乐小白，也能几分钟就创作出一首好听的BGM#作曲 #app推荐#AI #音乐;0.0011521460083214;0.0537498205600953;0.4874852616880697;0.037108496327582945
#openai #软件分享 #AI作曲 #原创音乐编曲制作 创作出属于自己的作品！;0.0001172875908092;0.1071525626901524;0.576305474197268;0.08743512644817986
如何使用GPT+AI创作歌曲 #AI作曲 #GPT;4.74605600018766e-05;-0.0661913411660373;0.6000564339837271;-0.05623645149686883
AI作曲超越人类？那不得嗨起来！#AI #AI作曲 #作曲;0.0004069606639241;0.2054120083721504;0.538287926503381;0.15656611064598494
AI给我前女友写了首歌，她哭着 唱《后来》AI写歌已经成为现实了？#AI人工智能 #AI作曲 #干货都在这 #一分钟干货教学;2.5639612874577016e-05;0.032290361249754;0.6639347178090447;0.03035435164440074
想在你身边 不管有没有明天#AI作曲#唱鸭#唱鸭ai歌姬#作曲编曲#原创音乐#音乐制作;0.0005417050124352;-0.14806128812267;0.4782165592222797;-0.1002632103916022
麻麻，太久没上网世界已经这么厉害了吗#AI包办作词作曲演唱一条龙#AI写的歌词也太戳了吧#AI也太懂了;0.0007855540965827;0.14750082387732;0.4441984309732698;0.09278496545698732
终于有一款为我们弹唱爱好者研发的软件了，不但可以AI写歌也可以AI编曲，最主要还是免费的！@海绵乐队 #海绵乐队;0.0010877742142958;0.0606254374374051;0.5354163817934012;0.04596903432843683
第55集 | 普通人靠这个AI工具人也能成为作词家，只需要十秒钟。快来看看#人工智能 #干货分享#ai #知识分享 #干货 #ai聊天程序chatgpt爆红 #一键开启ai世界;3.218589701276689e-05;-0.5047410703822467;0.6378275480910955;-0.4558218788581897
第54集 | Ai自动创作音乐，一键帮你创作音乐！ #不坑老师 #ai人工智能 #伴奏 #背景音乐 #教师 #音乐制作;0.0008046474253191;-0.2412221514512834;0.4424369971599864;-0.15113922415238565
国产音乐GPT领先全球？音乐人在线PK！人机大战，你来当裁判！ #GPT4 #音乐GPT#炙热计划;0.0464502501498826;0.2367532139312226;0.4694132138019343;0.15908197061927462
如何用#chatgpt 仿造一首#李荣浩 的新单曲#AI #编曲 #抖音青年艺术家计划;0.0001020129278201;0.2886173817239145;0.3975489199951688;0.16245992843646062
第3集 | #AI #编曲 #作曲 #音乐制作;2.7276183909124484e-06;0.1962224166137129;0.7366975334352963;0.2046721865818269
第1集 | AI #人工智能 真的会让 #音乐人 没饭吃吗 #华智冰 #作曲 #学音乐 #音乐梦想 #虚拟偶像;0.0017784071908749;0.2552419581340324;0.4551339747612025;0.1645510472499064
第29集 | AI词曲编要来了，等我内测完以后告诉大家如何#ai技术 #人工智能 #词曲 #编曲;0.0029403726254036;0.2126576053080962;0.4460370468465744;0.13439733473190454
#AI作曲 #音乐制作 #AI智能作曲 #自动作曲 #自动编曲;7.855540965827851e-05;0.8357487922705313;0.7371671556157781;0.8723036540752198
第14集 | AI创作的中国风音乐，一定要听到40秒以后！#AI作曲 #作曲编曲 #中国风 #人工智能;3.600456276004432e-05;0.2383829462108173;0.452831020316992;0.15283963935198933
ai会不会取代音乐人呢？反正这条的背景音乐是我用ai做的。#AI音乐 #chatgpt;0.0001380174905801;0.385705149456591;0.5041787779599464;0.27534298899800114
用ai打造属于自己的专属bgm#人工智能;0.0002143908055257;-0.6724097553284324;0.6197515245297469;-0.5900504102630372
体验Ai创作音乐#人工智能;1.745675770183967e-05;0.3237756264085981;0.894087972398375;0.4098700284328815
#人工智能 #深度学习 #Ai作曲来品一品Ai做的曲子，这旋律瞬间秒杀一切！ @DOU+小助手;0.0002329386105839;0.3225583714591926;0.4953276859512368;0.22622699571041352
第3集 | 如何用AI创作一首绝美的情歌#ai #chatgpt #drake #马斯克;0.0007566413416391;0.0757835265567649;0.4514849150383435;0.04845289524759405
AI写歌会取代音乐人吗？#林隆璇 #ChatGPT #AI写歌 #AIGC #音乐人 #周杰伦 #林俊杰 #音乐创作;0.0001303801590856;0.2588363645163419;0.5484790122382072;0.20100996620096973
第33集 | 免费AI作曲软件AIVA的高阶用法#AI作曲 #作曲编曲 #人工智能;0.0002323930869057;-0.0821199828612188;0.5177150434779526;-0.06019800653485847
AI写歌是什么体验？它能成为下一支热门单曲吗？它能加速现代音乐创作的速度吗？你有什么体会？快在评论区告诉我们吧！#AI会彻底改变音乐行业吗 #chatgpt4 #作曲家 #AI #莱维特;2.3457518161847057e-05;-0.0149293872142103;0.680445014709501;-0.014383265498784808
#炙热计划 #作曲编曲 #戴上耳机 #demo #周杰伦 用ai 写歌会是怎样？;2.12754234491171e-05;0.0684713069678289;0.4074838816182082;0.03950411951331417
【音频人聊谷歌最新作曲AI】MusicLM效果演示 #AI #AI作曲 #音乐AI #音频 #音乐 #作曲 #编曲 #录音 #混音 #chatgpt#musiclm;1.800228138002216e-05;-0.1426687185429788;0.7393694369966045;-0.14935241329531357
第36集 | AI音乐真的来了！自动伴奏一键生成，你们觉得如何？欢迎体验后我们评论区见#人工智能 #AI音乐 #伴奏 #编曲;0.0052184795054936;0.0316388543744441;0.4574281561633676;0.020517035793339723
我与ChatGPT共创写了一首歌！生日首发单曲《音乐人》献给每一位热爱音乐的少年 #作曲编曲#音乐制作 #chatgpt #音乐人 #炙热计划;0.0066619351579645;0.123520002732173;0.5304885073666827;0.09290512152980943
第31集 | AI音乐制作词曲编唱统统搞定，未来上线了你们会用吗？#AI音乐 #作词作曲 #编曲;0.0008024653306064;0.082461096666402;0.4388042566983336;0.05124234433102302
AI作曲 #人工智能 #作曲;0.0012503402703942;0.1178889765985791;0.4739806384143357;0.07913742041214619
第14集 | 用AI给自己做个独一无二的bgm，免费#ai #人工智能 #科技 #chatgpt4;6.382627034735128e-05;-0.6296075509980361;0.7370710603359234;-0.6570588680522543
