发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
阿拓Takuau;1385;21000;22385;1833101;0.01221154753611503
YouTube精选;3831;115000;118831;1833101;0.06482512420210343
乐感音乐吴老师;72;1375;1447;1833101;0.0007893727623300626
常常99;16;475;491;1833101;0.0002678521259876024
产品君;21;980;1001;1833101;0.0005460692018606722
李泳彬音乐商学;57;2169;2226;1833101;0.001214335707634222
对啊网熊知识;18;2094;2112;1833101;0.0011521460083214182
海外华人;9;206;215;1833101;0.00011728759080923528
啊大|科技国度.;5;82;87;1833101;4.74605600018766e-05
作曲老胡;126;620;746;1833101;0.0004069606639241373
妙笔AI;4;43;47;1833101;2.5639612874577016e-05
唱鸭App;16;977;993;1833101;0.0005417050124352122
芒果剧集社;62;1378;1440;1833101;0.0007855540965827851
张不大弹唱;58;1936;1994;1833101;0.0010877742142958843
抖多宝自媒体;4;55;59;1833101;3.218589701276689e-05
不坑老师;39;1436;1475;1833101;0.0008046474253191723
阿健在写歌吗;5148;80000;85148;1833101;0.04645025014988263
雷氏还搞音乐吗;37;150;187;1833101;0.00010201292782012556
李法拉;1;4;5;1833101;2.7276183909124484e-06
李泳彬音乐商学;232;3028;3260;1833101;0.0017784071908749164
夏膺Siayon;578;4812;5390;1833101;0.002940372625403619
hao简单音乐教程网;1;143;144;1833101;7.855540965827851e-05
PM广;27;39;66;1833101;3.600456276004432e-05
陆地钢琴师MT1990;38;215;253;1833101;0.00013801749058016987
Ai大侠;6;387;393;1833101;0.00021439080552571843
CMax光影;2;30;32;1833101;1.745675770183967e-05
迪哥Ai大讲堂;16;411;427;1833101;0.0002329386105839231
放学嗨;69;1318;1387;1833101;0.0007566413416391132
林隆璇Kevin Lin;23;216;239;1833101;0.00013038015908561502
PM广;12;414;426;1833101;0.0002323930869057406
莱维特LEWITT;3;40;43;1833101;2.3457518161847057e-05
林子吃饭了吗;14;25;39;1833101;2.12754234491171e-05
捣鼓音符的小胖;2;31;33;1833101;1.800228138002216e-05
夏膺Siayon;194;9372;9566;1833101;0.005218479505493696
音乐人王搏;212;12000;12212;1833101;0.006661935157964564
夏膺Siayon;118;1353;1471;1833101;0.0008024653306064423
蓝仔的十八般武艺;57;2235;2292;1833101;0.0012503402703942664
京探;1;116;117;1833101;6.382627034735128e-05
常常99;5;150;155;1833101;8.45561701182859e-05
zhong beatz;20;2595;2615;1833101;0.0014265444184472106
山止川行音乐;369;8846;9215;1833101;0.005027000694451642
舒嬷嬷MOMO;331;16000;16331;1833101;0.008908947188398238
段丽阳;130;3568;3698;1833101;0.0020173465619188467
作词人乐天;13;53;66;1833101;3.600456276004432e-05
新闻快车;102;15000;15102;1833101;0.008238498587911959
山止川行音乐;133;3332;3465;1833101;0.0018902395449023268
奇笑AI有啥用;104;2425;2529;1833101;0.0013796293821235165
西安X-Music;5;115;120;1833101;6.546284138189875e-05
李法拉;6;22;28;1833101;1.527466298910971e-05
格子里有鱼;43;1344;1387;1833101;0.0007566413416391132
字节君;80;11000;11080;1833101;0.006044402354261985
科技咖啡馆;1;19;20;1833101;1.0910473563649794e-05
蜜蜂玩音乐;40;475;515;1833101;0.00028094469426398217
巨星火火;105;19000;19105;1833101;0.010422229871676465
J Brian（熙染）;39;411;450;1833101;0.00024548565518212035
侃哥;35;1011;1046;1833101;0.0005706177673788842
PM广;6;202;208;1833101;0.00011346892506195785
陈善福儿;288;21000;21288;1833101;0.01161310806114884
青秋丶;477;4815;5292;1833101;0.0028869113049417353
破壁人;43;291;334;1833101;0.00018220490851295155
AI科技评论;66;1760;1826;1833101;0.0009961262363612261
大腕娱乐;251;12000;12251;1833101;0.006683210581413681
Whatevs英语说唱;3804;54000;57804;1833101;0.03153345069366063
BBYT霸霸耶图;4;13;17;1833101;9.273902529102324e-06
奇石宝贝;340;3901;4241;1833101;0.0023135659191719387
火木;6;16;22;1833101;1.2001520920014773e-05
乐神lockson;1;45;46;1833101;2.5094089196394524e-05
姜华;13;178;191;1833101;0.00010419502253285553
灵犀赏乐;16;226;242;1833101;0.0001320167301201625
尔等为牛马;23;70;93;1833101;5.073370207097154e-05
这个有趣的世界;8;77;85;1833101;4.636951264551162e-05
大楠;44;1044;1088;1833101;0.0005935297618625487
相忘江湖的小鱼;3;42;45;1833101;2.4548565518212035e-05
牛客（春招求职）;3;68;71;1833101;3.8732181150956765e-05
AI哟厉害了;125;12000;12125;1833101;0.006614474597962688
央视一套;1;26;27;1833101;1.472913931092722e-05
夏膺Siayon;35;197;232;1833101;0.0001265614933383376
六宇在混音（学习混音私信）;385;4873;5258;1833101;0.0028683634998835305
Whatevs英语说唱;41435;713000;754435;1833101;0.4115621561496066
抖创意;10;172;182;1833101;9.928530942921312e-05
koolherco;11;218;229;1833101;0.00012492492230379014
刘柏辛Lexie;3637;68000;71637;1833101;0.03907967973395901
瑞奇瑞奇;109;1115;1224;1833101;0.0006677209820953674
靖观天下;2;3;5;1833101;2.7276183909124484e-06
Liudicrous;68;333;401;1833101;0.00021875499495117837
肯德龟;11;61;72;1833101;3.927770482913926e-05
百度AI;5;3834;3839;1833101;0.002094265400542578
鲸算科技;2;69;71;1833101;3.8732181150956765e-05
苏小咖（音乐版权）;19;68;87;1833101;4.74605600018766e-05
程烽音乐工作室;6;72;78;1833101;4.25508468982342e-05
书蚁百科;30;142;172;1833101;9.383007264738823e-05
AI内幕人;1;2;3;1833101;1.636571034547469e-06
夏膺Siayon;49;379;428;1833101;0.00023348413426210559
AI音乐;91;2254;2345;1833101;0.0012792530253379383
小波的AI乱炖;33;411;444;1833101;0.0002422125131130254
十方音乐制作;4;62;66;1833101;3.600456276004432e-05
歌词创作AI小芝人工智能写歌词;17;52;69;1833101;3.764113379459179e-05
夏膺Siayon;100;1773;1873;1833101;0.0010217658492358032
捣鼓音符的小胖;2;7;9;1833101;4.909713103642407e-06
荨麻疹在看海;198;2754;2952;1833101;0.0016103858979947096
Kin-Lee;26;101;127;1833101;6.92815071291762e-05
AI焦点;3;13;16;1833101;8.728378850919835e-06
丁太昇;365;3133;3498;1833101;0.001908241826282349
捣鼓音符的小胖;1;8;9;1833101;4.909713103642407e-06
有趣的80后程序员;11;179;190;1833101;0.00010364949885467303
阿拓Takuau;49101;1784000;1833101;1833101;1.0
虚拟人GVA;3;28;31;1833101;1.691123402365718e-05
Ed Yschool;1;40;41;1833101;2.2366470805482076e-05
百度;68;3301;3369;1833101;0.0018378692717968077
湖南娱乐;4;542;546;1833101;0.0002978559282876394
芒果大明星;8;2299;2307;1833101;0.0012585231255670037
