发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
王壮（先进版;125;11000;11125;160852;0.06916295725262975
小波吃不饱;118;15000;15118;160852;0.09398701912316912
钱唯Viki;30;2019;2049;160852;0.012738417924551762
用工具的人;99;6459;6558;160852;0.04077039763260637
自媒体创业;53;2116;2169;160852;0.013484445328625071
张哈哈的笔记;7;3710;3717;160852;0.023108198841170765
Miss靠谱;43;2002;2045;160852;0.012713550344415984
敢敢-红书运营陪跑;22;2788;2810;160852;0.017469475045383334
AI工具库;7;733;740;160852;0.004600502325118743
爱数码的老李;72;5647;5719;160852;0.03555442269912715
阿牛爱分享;40;4052;4092;160852;0.025439534478899857
阿东有点料ｏ;64;7234;7298;160852;0.045370899957725114
古聪文化;77;2124;2201;160852;0.013683385969711288
细腻的小宇哥;928;11000;11928;160852;0.07415512396488698
张盟的跨境笔记;186;8669;8855;160852;0.05505060552557631
振弟嘿科技;18;591;609;160852;0.003786089075672046
菜娃电商;71;663;734;160852;0.0045632009549150775
玄离199;141;33000;33141;160852;0.20603411831994628
陈海心;267;13000;13267;160852;0.08247954641533832
程序员老张（22点～24点直播）;44;1390;1434;160852;0.00891502747867605
菜娃电商;6;243;249;160852;0.0015480068634521175
创作者Rachel;5;55;60;160852;0.00037301370203665483
鹿大米;12;373;385;160852;0.002393504588068535
阿磊自媒体;2;30;32;160852;0.0001989406410862159
编辑老张说网文;310;1444;1754;160852;0.010904433889538209
网创智慧库;11;31;42;160852;0.0002611095914256584
老麦的工具库;106;4747;4853;160852;0.03017059159973143
祁较瘦;24;624;648;160852;0.004028547981995872
遥子同学;164;141;305;160852;0.0018961529853529953
山河笔记;29;540;569;160852;0.0035374132743142767
小波吃不饱;30;535;565;160852;0.0035125456941784996
蓝天讲论文;858;24000;24858;160852;0.1545395767537861
苏星河牛通;815;32000;32815;160852;0.20400741053888047
乡镇写材料鸭先知;12;552;564;160852;0.003506328799144555
一博博士（科研分享）;548;27000;27548;160852;0.1712630243950961
森伯伯;32;1337;1369;160852;0.008510929301469674
格物时间;17;557;574;160852;0.0035684977494839978
洛利轻创业;272;1546;1818;160852;0.01130231517171064
科技先锋Zx（AI教练）;271;3874;4145;160852;0.025769029915698904
科技前哨站;1;41;42;160852;0.0002611095914256584
小千Boa;10;73;83;160852;0.0005160022878173725
清华女博士（辅导论文）;10;416;426;160852;0.002648397284460249
魏坤琳;31;652;683;160852;0.0042461393081839206
草原蔡徐坤;261;36000;36261;160852;0.22543083082585233
王壮（先进版;38;2806;2844;160852;0.017680849476537436
人工智能哪家强;17;1028;1045;160852;0.006496655310471738
二花网络科技;20;264;284;160852;0.0017655981896401662
