label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;为什么没有Get智能写作;6;83;89;20497;0.004342098843733229
7;请问都是免费的吗？;7;55;62;20497;0.0030248329023759572
15;还是gtp好一些;7;2;9;20497;0.0004390886471190906
23;还是会计吃香，毕竟ai只会做真的;7;22;29;20497;0.0014148411962726253
31;试用了一下，不就是openai的价格翻了10倍，功能阉割了不少。但是总体上来说付费来提高工作效率确实不错，总体性价比挺高;2;15;17;20497;0.0008293896667805044
35;再也不用操心我儿子的小学征文了;2;6;8;20497;0.00039030101966141384
38;海马轻帆没找到呀;3;2;5;20497;0.00024393813728838367
43;以后博士毕业论文也可以让AI来写吗？;1;5;6;20497;0.0002927257647460604
46;都有openai的技术对吧;1;4;5;20497;0.00024393813728838367
48;海马轻帆现在不能用了吧;2;1;3;20497;0.0001463628823730302
60;为什么没有黑豆智能工具箱;1;0;1;20497;4.878762745767673e-05
62;要钱么这个;1;0;1;20497;4.878762745767673e-05
68;和变相的浏览器有什么区别;1;0;1;20497;4.878762745767673e-05
72;论文呢;1;0;1;20497;4.878762745767673e-05
76;不如写作猫，写作猫是目前最好用的;5;4;9;20497;0.0004390886471190906
89;火龙果写作真的是最难用的;1;0;1;20497;4.878762745767673e-05
91;多谢介绍;1;0;1;20497;4.878762745767673e-05
94;Hi，你好;1;0;1;20497;4.878762745767673e-05
97;你这谁写的;1;0;1;20497;4.878762745767673e-05
100;非常好;1;1;2;20497;9.757525491535346e-05
106;Suzzkk;1;0;1;20497;4.878762745767673e-05
109;彧謩;1;0;1;20497;4.878762745767673e-05
112;明明明明爱吃醋;1;0;1;20497;4.878762745767673e-05
128;一盏明灯儿;1;0;1;20497;4.878762745767673e-05
131;FridayAI场景。火龙果写作，改写润色校对翻译续写。海马轻帆适合小说新手创作者;2;9;11;20497;0.000536663902034444
134;本人特意试了第一个，千万别上当;2;2;4;20497;0.00019515050983070692
137;这些都是垃圾，没有chatgpt好;1;4;5;20497;0.00024393813728838367
144;我主页的AI都绘画本，写故事了，还使用了蒙太奇手法;1;1;2;20497;9.757525491535346e-05
158;能写小说吗，想唐三少那样子年入百万;1;0;1;20497;4.878762745767673e-05
184;写作猫试了假大空比较合适;7;72;79;20497;0.003854222569156462
192;我完全没有看到科技所谓的进步，只是因为放大了人类的懒惰;42;101;143;20497;0.006976630726447773
235;gpt无敌;5;11;16;20497;0.0007806020393228277
241;写作猫体验太差，和国外的GPT相比较，不能相提并论;12;19;31;20497;0.0015124164511879786
254;免费还是收费？;8;17;25;20497;0.0012196906864419183
263;试试鬼手剪辑;1;10;11;20497;0.000536663902034444
265;第一个应该不是AI写作，感觉好像是在网上找了个跟你标题一样的文章复制过来;3;10;13;20497;0.0006342391569497975
269;收费吗？;3;5;8;20497;0.00039030101966141384
273;花钱吗;3;3;6;20497;0.0002927257647460604
277;这到底算谁的;1;9;10;20497;0.00048787627457676734
279;这就是Giiso刚刚注册试了下。就帮我写了这么个玩意。;1;3;4;20497;0.00019515050983070692
281;收费不;1;3;4;20497;0.00019515050983070692
285;有没有做设计的啊，麻烦推荐一下呗;1;0;1;20497;4.878762745767673e-05
291;羊羊羊的小尾巴看这个;1;0;1;20497;4.878762745767673e-05
299;鄧这里这里;1;1;2;20497;9.757525491535346e-05
302;要钱吗;1;0;1;20497;4.878762745767673e-05
328;0;1;0;1;20497;4.878762745767673e-05
348;0;1;2;3;20497;0.0001463628823730302
350;我用了查重爆炸最后还是找的代写一稿就帮我过了专业的事情交给专业的人这句话还是有道理的;3;6;9;20497;0.0004390886471190906
354;chatGPT通通解决。;1;4;5;20497;0.00024393813728838367
357;别听他瞎说，别上当，全是垃圾东西，骗你会员;1;1;2;20497;9.757525491535346e-05
359;只有chatgpt;2;0;2;20497;9.757525491535346e-05
374;当你看到这条评论的时候你已经晚了两个月了;1;0;1;20497;4.878762745767673e-05
387;买个chatgpt也可以用;1;0;1;20497;4.878762745767673e-05
403;现在写文案和论文，全都AI搞定了;6;5;11;20497;0.000536663902034444
410;前两个网站，第三个软件;6;6;12;20497;0.0005854515294921208
417;全是收费的;1;1;2;20497;9.757525491535346e-05
420;不会啊太难用了;1;0;1;20497;4.878762745767673e-05
422;每个点赞的人都收藏了，;1;0;1;20497;4.878762745767673e-05
443;大家知不知道又一个狗屁不通文章生成器的网站。;1;1;2;20497;9.757525491535346e-05
447;他们不会真喝过吧;2;25;27;20497;0.0013172659413572718
450;我已经用上了很强大;2;0;2;20497;9.757525491535346e-05
453;不用科学上网能用吗？;9;9;18;20497;0.0008781772942381812
463;怎么下载;7;0;7;20497;0.00034151339220373715
471;3个结合起来，就不需要基层搬砖的啦;2;8;10;20497;0.00048787627457676734
474;这些去哪里下载搜索基本搜索不到。;6;0;6;20497;0.0002927257647460604
481;简直太好用啦，;3;0;3;20497;0.0001463628823730302
485;之前的写营销文案的呢;2;1;3;20497;0.0001463628823730302
488;懒得鼓捣不如花几块钱买一个;1;3;4;20497;0.00019515050983070692
490;公文可以吗;2;0;2;20497;9.757525491535346e-05
493;用哪个软件？;2;0;2;20497;9.757525491535346e-05
498;为啥我用查特写作投稿十几篇都被退稿了;1;0;1;20497;4.878762745767673e-05
500;没有一个不收费;2;0;2;20497;9.757525491535346e-05
512;用户917334534597报告文案有着落了;1;1;2;20497;9.757525491535346e-05
515;开题报告过过过等我试试广告;1;0;1;20497;4.878762745767673e-05
519;HL灰色的秋刀鱼啦啦啦啦耶耶耶耶KK一口大蒜一口面;1;2;3;20497;0.0001463628823730302
522;如果只做考勤表函数也可以吗？;1;0;1;20497;4.878762745767673e-05
527;为啥我每次提问都会跳转到应用程序错误，发生了客户端异常;1;0;1;20497;4.878762745767673e-05
532;小雷不犯困;1;0;1;20497;4.878762745767673e-05
549;这家伙很懒;1;0;1;20497;4.878762745767673e-05
553;西瓜很甜一个小王子;2;0;2;20497;9.757525491535346e-05
564;楷瑟琳Katherine;1;0;1;20497;4.878762745767673e-05
569;能写擦边小说吗？;7;4;11;20497;0.000536663902034444
577;怎么用chatgpt;6;1;7;20497;0.00034151339220373715
586;手机怎么下;1;0;1;20497;4.878762745767673e-05
588;在哪儿获取chatGPT这个网址？;1;0;1;20497;4.878762745767673e-05
590;前提是不塞车plus排到了，就是卡买不到;1;0;1;20497;4.878762745767673e-05
610;最后一个是什么？;2;4;6;20497;0.0002927257647460604
643;昧良心推荐，不怕遭报应吗;1;35;36;20497;0.0017563545884763624
645;第3款在哪里下呀？;2;3;5;20497;0.00024393813728838367
648;我一堆免费;4;0;4;20497;0.00019515050983070692
669;锅内的基本收费;1;12;13;20497;0.0006342391569497975
672;免费吗？;2;1;3;20497;0.0001463628823730302
679;视频最后不是给了网址吗，是网址网址不是小程序，不是App。免费的不收费。;1;11;12;20497;0.0005854515294921208
682;问题在于你是想要一份自己的周报，还是想要一份自己都不理解的周报？;2;1;3;20497;0.0001463628823730302
685;付费吗？;1;0;1;20497;4.878762745767673e-05
687;不知道你们信不信，我职场中第一次升职就是因为和领导硬钢不写周报。;1;1;2;20497;9.757525491535346e-05
690;这个没有找到;1;0;1;20497;4.878762745767673e-05
692;华为手机没找到呢;1;0;1;20497;4.878762745767673e-05
708;欧豆豆差不多小姐你胖你先吃;1;0;1;20497;4.878762745767673e-05
715;奶糖;1;0;1;20497;4.878762745767673e-05
720;哪下载，咋使用;1;3;4;20497;0.00019515050983070692
724;如果周报有用，编造的周报有什么意义？如果周报无用，编造的周报又有什么意义？;1;0;1;20497;4.878762745767673e-05
731;你后面的钟表变形了;2;6;8;20497;0.00039030101966141384
735;敢敢老师站在好漂亮;1;0;1;20497;4.878762745767673e-05
745;吴忧无虑;1;2;3;20497;0.0001463628823730302
755;AI文案写作神器，我只认可97文案;2;2;4;20497;0.00019515050983070692
765;明明要钱;5;3;8;20497;0.00039030101966141384
771;秘塔已经开始收费了;24;90;114;20497;0.005561789530175148
796;极致写作社;3;12;15;20497;0.000731814411865151
808;小蜗这个;2;1;3;20497;0.0001463628823730302
822;0;2;1;3;20497;0.0001463628823730302
825;天蛋Lnhb;2;0;2;20497;9.757525491535346e-05
831;rrrrrrlighting是AU鸭月月baby啊嗝嗝嗝嗝啊Mandarin211ppppppp;1;2;3;20497;0.0001463628823730302
834;芸;1;0;1;20497;4.878762745767673e-05
836;cc，;1;0;1;20497;4.878762745767673e-05
844;照一世在等星星吗;1;2;3;20497;0.0001463628823730302
848;椿，偷一抹月光纯属虚构;1;2;3;20497;0.0001463628823730302
852;陈十余是小澄同学阿小千你好敷衍Dnfdlkand1河夕;1;0;1;20497;4.878762745767673e-05
854;全假的;6;2;8;20497;0.00039030101966141384
861;听说最近抖音更新了，发不了动图了;2;1;3;20497;0.0001463628823730302
864;都是收费的，还白P呢;1;1;2;20497;9.757525491535346e-05
869;那如果碰上写h的咋办？;1;0;1;20497;4.878762745767673e-05
881;就问要不要钱吧;1;18;19;20497;0.0009269649216958579
885;教坏小孩子;2;0;2;20497;9.757525491535346e-05
890;能不能写论文;1;0;1;20497;4.878762745767673e-05
910;围棋5段试试去;3;0;3;20497;0.0001463628823730302
916;为什么第一个没有网网址呢;1;0;1;20497;4.878762745767673e-05
928;貌似收费有点夸张哦;2;20;22;20497;0.001073327804068888
931;这不是可以大肆拍造谣视频了;1;11;12;20497;0.0005854515294921208
935;能去马赛克吗;1;1;2;20497;9.757525491535346e-05
939;免费不？;2;0;2;20497;9.757525491535346e-05
942;收费吗;2;0;2;20497;9.757525491535346e-05
947;在哪用;1;0;1;20497;4.878762745767673e-05
955;z大奔这个吗;1;0;1;20497;4.878762745767673e-05
963;tbtfrfr润色论文应该也可以吧;1;0;1;20497;4.878762745767673e-05
987;0;1;0;1;20497;4.878762745767673e-05
1003;这不是giiso写作机器人吗？;6;17;23;20497;0.0011221154315265648
1010;这个一个月得多少钱啊;3;3;6;20497;0.0002927257647460604
1069;在哪里下载？我是免费的吗;1;0;1;20497;4.878762745767673e-05
1071;不是软件厉害，是包月太贵;1;0;1;20497;4.878762745767673e-05
1090;喜欢的可以试试，每天都有免费使用时长;28;60;88;20497;0.004293311216275552
1119;电影解说怎么做的。你给大家说说。详细教程;12;43;55;20497;0.0026833195101722204
1132;要交费的，vip，下载了又删了;7;22;29;20497;0.0014148411962726253
1140;懂的很容易是真的;1;0;1;20497;4.878762745767673e-05
1142;需要二次改文案的时候，如果文字不够需要用钱买对吧？;6;16;22;20497;0.001073327804068888
1149;好用，我的抖音因为有你变得格外精彩;1;25;26;20497;0.001268478313899595
1152;老师好请问说得相机是要下载的吗？;6;9;15;20497;0.000731814411865151
1159;影视在哪剪辑;2;12;14;20497;0.0006830267844074743
1162;老师太棒了全是能赚大米的老师太优秀;2;10;12;20497;0.0005854515294921208
1165;教的都是干货在这里学到了好多;2;6;8;20497;0.00039030101966141384
1168;别信，现在什么都是要下载后收费的。;3;3;6;20497;0.0002927257647460604
1175;主播讲的很详细，就是学不会;1;4;5;20497;0.00024393813728838367
1178;A丨软件要买多少钱的呀;1;0;1;20497;4.878762745767673e-05
1206;还没见涨过粉;3;0;3;20497;0.0001463628823730302
1219;这个软件能过原创吗？;1;0;1;20497;4.878762745767673e-05
1221;最讨厌这种洗稿的了;2;0;2;20497;9.757525491535346e-05
1230;涨了1400多;1;1;2;20497;9.757525491535346e-05
1237;文案提取要是会员寸可以进，又要交钱啊;1;2;3;20497;0.0001463628823730302
1302;挺好的呀;1;0;1;20497;4.878762745767673e-05
1304;认真学习;1;0;1;20497;4.878762745767673e-05
1306;太棒了;1;0;1;20497;4.878762745767673e-05
1308;感谢老师先关注收藏慢慢学习;1;0;1;20497;4.878762745767673e-05
1310;好好学习;1;0;1;20497;4.878762745767673e-05
1312;说的很对;1;0;1;20497;4.878762745767673e-05
1315;你真棒;1;0;1;20497;4.878762745767673e-05
1319;讲的真详细，谢谢分享，为你点赞;2;0;2;20497;9.757525491535346e-05
1323;0;1;0;1;20497;4.878762745767673e-05
1326;主播好棒，满满的干货，感谢分享;1;0;1;20497;4.878762745767673e-05
1329;谢谢很好，我会试一下能不能做;1;0;1;20497;4.878762745767673e-05
1331;学习了，谢谢;1;0;1;20497;4.878762745767673e-05
1334;太复杂了，学不会，谢谢分享;1;0;1;20497;4.878762745767673e-05
1336;好用，我的抖音因为有你变得格外精彩;1;0;1;20497;4.878762745767673e-05
1338;可以试一下;1;0;1;20497;4.878762745767673e-05
1340;先学习，试试看吧，收藏了;1;0;1;20497;4.878762745767673e-05
1342;没学会;1;1;2;20497;9.757525491535346e-05
1344;喜欢听你讲课，虽然不会，还是认真在学;1;0;1;20497;4.878762745767673e-05
1346;我也来慢慢学习天天向一下看看;1;0;1;20497;4.878762745767673e-05
1348;谢谢你的分享;1;0;1;20497;4.878762745767673e-05
1350;学习到了谢谢老师分享抖音知识;1;0;1;20497;4.878762745767673e-05
1352;听得不错;1;0;1;20497;4.878762745767673e-05
1354;0;1;0;1;20497;4.878762745767673e-05
1356;喜欢你的视频，感觉都是干货;1;0;1;20497;4.878762745767673e-05
1358;这个好可以学学，每天能出一个热门也好啊。;1;1;2;20497;9.757525491535346e-05
1360;讲的非常详细;1;0;1;20497;4.878762745767673e-05
1362;帅哥讲的不错;1;0;1;20497;4.878762745767673e-05
1364;这个方法不错，还能活跃账号;1;1;2;20497;9.757525491535346e-05
1366;抖音逆天功能多;1;1;2;20497;9.757525491535346e-05
1368;谢谢老师分享;1;0;1;20497;4.878762745767673e-05
1371;老师的这一招特别实用;1;0;1;20497;4.878762745767673e-05
1393;很好，非常好用，谢谢分享。;1;1;2;20497;9.757525491535346e-05
1398;一学就会，一操作就废。有没有一样的？;1;1;2;20497;9.757525491535346e-05
1408;0;1;1;2;20497;9.757525491535346e-05
1427;0;1;0;1;20497;4.878762745767673e-05
1430;挺好的;1;1;2;20497;9.757525491535346e-05
1470;0;1;0;1;20497;4.878762745767673e-05
1472;越来越方便;1;0;1;20497;4.878762745767673e-05
1478;我支持謝謝你說的太好看了你的士品听了你的讲的太好了;1;0;1;20497;4.878762745767673e-05
1480;非常棒，说得很好;1;1;2;20497;9.757525491535346e-05
1483;我支持謝謝你說的太好看了你的士品听了你的讲的太好了;1;1;2;20497;9.757525491535346e-05
1485;老师讲的详细，简单，我们自己去做就不会了;1;1;2;20497;9.757525491535346e-05
1510;好用，我的抖音因为有你变得格外精彩;1;2;3;20497;0.0001463628823730302
1527;点赞;1;0;1;20497;4.878762745767673e-05
1546;谢谢主播讲的详细讲解，值得一试;1;3;4;20497;0.00019515050983070692
1582;学会了，感谢主播;1;2;3;20497;0.0001463628823730302
1608;最后说得相机的那里的提词器怎么跟你的口播同步的可以讲解一下吗;1;0;1;20497;4.878762745767673e-05
1636;0;1;0;1;20497;4.878762745767673e-05
1638;0;1;0;1;20497;4.878762745767673e-05
1641;0;1;0;1;20497;4.878762745767673e-05
1643;0;1;0;1;20497;4.878762745767673e-05
1646;0;1;0;1;20497;4.878762745767673e-05
1648;0;1;0;1;20497;4.878762745767673e-05
1654;0;1;0;1;20497;4.878762745767673e-05
1656;0;1;1;2;20497;9.757525491535346e-05
1658;0;1;1;2;20497;9.757525491535346e-05
1664;0;1;1;2;20497;9.757525491535346e-05
1876;0;1;0;1;20497;4.878762745767673e-05
1884;0;1;0;1;20497;4.878762745767673e-05
1886;点赞;1;0;1;20497;4.878762745767673e-05
1888;0;1;0;1;20497;4.878762745767673e-05
1890;0;1;0;1;20497;4.878762745767673e-05
1893;0;1;0;1;20497;4.878762745767673e-05
1895;主播讲的非常的好，谢谢你的讲解和分享;1;0;1;20497;4.878762745767673e-05
1897;谢谢老师的分享;1;0;1;20497;4.878762745767673e-05
1901;在哪里下载你说的软件;3;0;3;20497;0.0001463628823730302
1905;想请老师教我一个做视频的方法不知道可不可以;1;0;1;20497;4.878762745767673e-05
1907;视频是要自己新拍摄一个吗？;1;0;1;20497;4.878762745767673e-05
1909;下载不了;1;0;1;20497;4.878762745767673e-05
1911;抖音很多技巧;1;0;1;20497;4.878762745767673e-05
1913;这个肯定是个技术活啊;1;0;1;20497;4.878762745767673e-05
1915;这个工具很好噢;1;0;1;20497;4.878762745767673e-05
1917;得慢慢学呀;1;0;1;20497;4.878762745767673e-05
1919;好用，我的抖音因为有你变得格外精彩;1;0;1;20497;4.878762745767673e-05
1924;这个工具很棒啊;1;0;1;20497;4.878762745767673e-05
1927;主播中午好讲的太好了;1;0;1;20497;4.878762745767673e-05
