发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
第1集 | AI绘画实验#midjourney #AI绘画 #ai绘画生成 好好玩呀好方便呀@抖音小助手;0.1244433250105859;0.0044511409630667;0.5300771871544385;0.0031659595473153184
第4集 | 新AI绘图神器发布！！比ChatGPT和Midjourney更方便使用 #AI绘画 #ClipDrop;0.0319513192284667;-0.0316166809788867;0.4743077688087024;-0.01975725674564041
从零开始的最完整演示 包含每一个步骤 #midjourney #midjourney教程;0.5173208054083257;-0.0516414435877726;0.7660139624965879;-0.055612244433355454
微软BING刚上线AI绘画功能，效果堪比Midjourney#人工智能 #微软 #AI绘画 #midjourney;0.0373355527326353;-0.0622372386569702;0.4791762955076791;-0.03933696769891471
你也可以！详细教程，现如今Ai绘画是如何完成的？#电脑知识 #ai绘画;0.0194671981543942;0.0117203703854843;0.5115904924246126;0.007874223262535522
用AI来做LOGO和包装特别好玩#midjourney #ai绘画 #插画 #包装设计 #设计师 @抖音小助手;0.0842824185611867;-0.03646759195399;0.5298445847323329;-0.025714379043809604
第18集 | 实测推荐，5款好用到爆的AI绘图工具，国内就能用，赶快收藏！#ai绘画 #aigc #ai工具 #文心一格 #设计分享;0.0029677165009417;0.0079227877085078;0.4880255573602593;0.005059708651620868
你必须学会的AI作图工具，碾压真人拍摄和手绘画师，电商行业都开始用AI作图卖货#ai绘画 #人工智能 #ai #跨境电商 #chatgpt应用领域;1.0;0.0800587982746912;1.0;0.11632636025603214
1分钟画出170多幅画！AI绘出全景西湖 这样的画风你喜欢吗@抖音小助手 #西湖美景 #AI绘画;0.0002956765517543;-0.0429664029360981;0.8748320687840823;-0.049156571272256436
家人们，一键生成Ai绘画特效来了，大家快来试试吧#ai绘画 #二次元 #一键生成你的漫画头像 #漫画脸;0.0128783564764115;-0.0846979931907366;0.4948809800625464;-0.05497172920800523
不要再纠结设计师和插画师会不会被AI代替了，大家一定要主动去接触AI，不要排斥！#midjourney #ai绘画 #ai绘画生成软件 #设计师 #插画师;0.0138894972768554;0.0532596898964497;0.3173974604908966;0.022213664610324795
Adobe ai工具也来啦～ #ai绘画 #人工智能 #adobefirefly #设计;0.0047344751558689;-0.0744113550715166;0.5237940119559156;-0.0510208010874664
第15集 | Midjourney-V5模式更新体验midjourney的V5来啦，虽然是测试版本，但是也非常惊艳，特别在以下几个使用场景#midjourney #ai绘画 #ai #aigc #艺术 #ai#ai插画 #AI #ai画图 #ai教程;0.0020259319286871;-0.3302806530013654;0.5361153054828226;-0.23165156346243965
第12集 | 峡谷英雄遇到ai，铠爹亮了#ai绘画;0.1413735453443719;0.1156169016371363;0.505318832199966;0.07877585791366808
