label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;你是丝毫没意识到自己快失业了;130;2846;2976;8447;0.35231443115899136
131;甲方“这么简单。。。要减钱”;26;1817;1843;8447;0.21818397064046408
158;要玩midjourney的进主页粉丝群“midjourney”粉丝群，里面管理员教你们，也可以代冲;1;1;2;8447;0.00023677045104770924
160;感觉你快失业了;83;98;181;8447;0.021427725819817688
244;如果你不画画了，靠配音可能挣得更多，你声音自带喜感。;55;724;779;8447;0.09222209068308275
300;画这个必须要discord？;2;0;2;8447;0.00023677045104770924
303;你电脑怎么进的discord啊，我一直卡在转圈圈那;11;5;16;8447;0.001894163608381674
315;糟糕大批失业者在路上;20;233;253;8447;0.02995146205753522
336;失不了业，放心吧以前是给这个人配个电脑以后是给这个电脑配个人;8;38;46;8447;0.005445720374097312
345;半瓶水晃荡的画手在那边抵制AI，喊着要失业了。而厉害的画手会用AI当工具，提升自己;7;149;156;8447;0.018468095181721322
353;用这个需要梯子嘛？;25;114;139;8447;0.01645554634781579
379;其实搞这么久，你自己都画出来了;12;71;83;8447;0.009825973718479934
392;哈哈模仿一下;7;39;46;8447;0.005445720374097312
400;好了安妮也要失业了以后可以专心搞直播了;1;95;96;8447;0.011364981650290044
402;第一次画;5;33;38;8447;0.004498638569906475
408;正在使用不过制作的图和自己想的差距太大了;9;6;15;8447;0.0017757783828578194
418;真的好好玩yea感觉以后工作会更轻松啦棒棒哒我已经get到我的风格的ai调教了;9;49;58;8447;0.006866343080383568
428;所以重要的是脑洞和审美，Ai只是简化过程。;1;3;4;8447;0.0004735409020954185
442;宫村666;1;0;1;8447;0.00011838522552385462
471;喜马拉雅山还没毕业就失业了;2;0;2;8447;0.00023677045104770924
480;我本来也想出一期，想说明ai根本无法到达画师的要求，或者说还有一点距离;3;0;3;8447;0.00035515567657156387
501;失不失业的问题是会用AI并能够掌握一手信息的人淘汰掉不会用AI并且信息闭塞的人，所以大佬依旧是大佬，菜鸡更菜了;1;2;3;8447;0.00035515567657156387
510;ai拼完人类画手的图，人类再拼ai的图;2;14;16;8447;0.001894163608381674
517;爱吃糖炒栗子等我培训完我们一起学下新软件;1;0;1;8447;0.00011838522552385462
521;midjoureny画的这是怎么弄出图层的;1;1;2;8447;0.00023677045104770924
523;请教下midjourney生成的图可以有图层吗？我看你后面可以单独拖动猫咪的某一部分。;1;0;1;8447;0.00011838522552385462
530;出教程妮妮;1;0;1;8447;0.00011838522552385462
534;大家都在说她，只有我一个人感觉到她在不断学习进步，而你们;2;9;11;8447;0.001302237480762401
569;0;1;1;2;8447;0.00023677045104770924
573;这个是不是要搭梯子才能用？;2;1;3;8447;0.00035515567657156387
584;然后甲方提了多几个角度选选吧又回到手绘的工作里了;2;0;2;8447;0.00023677045104770924
594;我说一下，不会有人事业;1;1;2;8447;0.00023677045104770924
614;所以AI是让画师失业，还是让画师能更高效工作？;3;2;5;8447;0.0005919261276192731
655;catmplon谐音怪怪的;2;0;2;8447;0.00023677045104770924
664;辣酱学费了吗？;1;0;1;8447;0.00011838522552385462
668;怎么还进discord了;3;0;3;8447;0.00035515567657156387
675;其实百度也不赖;2;1;3;8447;0.00035515567657156387
707;整的包装设计;1;2;3;8447;0.00035515567657156387
720;这样也能赚到钱啊，这不是一样的吗？;2;3;5;8447;0.0005919261276192731
732;菜菜的小日子现在ai很火;1;0;1;8447;0.00011838522552385462
738;以后就跟MJ说，给我画个“谢安妮风”的狗子。。。AI就自动生成了。。。。谢安妮就失业了。。。。;1;6;7;8447;0.0008286965786669824
740;劝你出一期使用ai绘画的教程;1;0;1;8447;0.00011838522552385462
752;评论区置顶是我的所有技能的课程之后项目中、课程中也可以引进AI绘画啦真棒;15;105;120;8447;0.014206227062862556
768;有偷懒工具喽，要藏起来用噢;2;20;22;8447;0.002604474961524802
780;呆忒忒;1;0;1;8447;0.00011838522552385462
787;一粒儿;1;0;1;8447;0.00011838522552385462
791;桥豆;1;0;1;8447;0.00011838522552385462
801;Joyouth;1;0;1;8447;0.00011838522552385462
804;A七妹吖;1;0;1;8447;0.00011838522552385462
815;塞满Sama;1;0;1;8447;0.00011838522552385462
828;林儿响叮当欢迎光林西瓜砸了也不给你吃;1;0;1;8447;0.00011838522552385462
835;回忆青葱;1;0;1;8447;0.00011838522552385462
846;布丁秃头姬;3;0;3;8447;0.00035515567657156387
853;JacksonHu;1;0;1;8447;0.00011838522552385462
856;KingYo;1;0;1;8447;0.00011838522552385462
858;叫嚣的小蜜蜂LFZ;1;0;1;8447;0.00011838522552385462
860;Rain;1;0;1;8447;0.00011838522552385462
876;在等月亮叭;1;0;1;8447;0.00011838522552385462
879;你的小喇叭;1;0;1;8447;0.00011838522552385462
881;奶味豬豬;1;1;2;8447;0.00023677045104770924
892;小小小小小小慧;1;0;1;8447;0.00011838522552385462
900;图如何，不需要梯子midjourney接口;5;2;7;8447;0.0008286965786669824
906;pppppp桜紫金八刀汤花花是我爹;1;1;2;8447;0.00023677045104770924
908;免费25张刚刚知道如何白嫖如何无限输出;1;0;1;8447;0.00011838522552385462
910;拉个群大家谈过一下;1;0;1;8447;0.00011838522552385462
913;吃遍所有西瓜;1;0;1;8447;0.00011838522552385462
916;崔然竣牛，这个软件，牛;1;0;1;8447;0.00011838522552385462
923;用AI代替设计师，我好像看到了财路;1;0;1;8447;0.00011838522552385462
