发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
AR翻译眼镜，自动帮老师加字幕。可视化双语幕布！#留学生 #同声传译 #翻译 #希望这条视频能帮助到你;0.0072408284616811;0.2258089400684106;0.364635840330983;0.12945749423367012
第4集 | 专为中国翻译人打造的AI工具，比谷歌翻译和DeepL还好用#软件 #APP #神器 #黑科技#AI #AI工具 #翻译 #languageX #谷歌翻译 #DeepL;0.0365752480970164;0.0554388399418946;0.3874820801480133;0.03405386862604506
第6集 | 翻译AI神器,集中了ChatGPT+15种翻译工具，一站式解决翻译 #翻译软件 #AI工具;0.0002708645698478;-0.4683695189442313;0.8851682718442052;-0.6504273020070278
AI能不能代替人类翻译？#AI #人工智能 #英语 #翻译 #chatgpt;0.0027598327038042;0.1663638052850176;0.4448347774272191;0.11617866777976445
第71集 | AI太可怕了，不但让众多百万粉丝级博主集体断更，现在连翻译的饭碗也要抢了…给你演示下！#人工智能 #ai @AI百晓生 @AI百晓生 官方账号;0.0002474038590736;-0.0044029557729019;0.4740219775048036;-0.003274443640909545
第4集 | 海外搬运必备工具，ai生肉翻译工具 #视频素材 #剪辑工具  #海外搬运;0.0004414879209331;-0.0512981124912113;0.4014782327106856;-0.03231364758718723
#达摩院 #ai ：懂100多钟语言，翻译时间比人类还快！#黑科技;0.053831667267403;0.2048682062844603;0.4059539935650788;0.13239546165367935
推荐一个超级好的AI翻译网站，准确率非常高#英语 #人工智能 #翻译 #翻译官 #英语翻译 @DOU+小助手;0.0017531549324011;-0.0025004106913537;0.4963639070280001;-0.0019478319207335468
"""AI翻译危机""事件后，时空壶成为AI翻译界的“耀眼明星” #时空壶 #W3翻译耳机 #人工智能";0.0040651013396065;-0.1080012038315377;0.4780181143291095;-0.08106859660069925
超实用【AI神器】手机实时字幕翻译，任何海外剧（日+韩+英+中） #手机技巧 #小米手机;0.0033079602191656;-0.2953463876257304;0.3787291779488962;-0.17565124605543642
AI写作神器，文字工作者的宝藏神器，还能实时同步翻译;0.0012988702601366;-0.1718511603015821;0.3767248015984819;-0.10160440975107937
效率神器｜外企邮件族必备！！｜最强翻译·插件DeepL #英语 #效率工具 #外贸 #海外生活 #跨境派 #好物推荐官;0.0002772629455135;-0.0157318922710025;0.6126871742618306;-0.015122065810211149
悬浮球翻译，哪里不会拖动到哪里翻译#翻译翻译翻译 #软件分享 #屏幕;0.0003071220319534;-0.0815915710239025;0.4835809974359823;-0.061903428377417406
第45集 | 最强油管AI工具，智能双语字幕+背单词，看视频学外语两不误#油管 #AI #AI工具 #双语字幕 #学英语 #relingo #背单词;0.0019877620401434;-0.4089650378681318;0.5834893160236944;-0.3745010009565777
第55集 | 1个极致的AI翻译+词典#AI #学习 #英语 #工具 #刷视频学英语;0.0006526343179011;0.0121531750818296;0.473467928029388;0.009028515851970132
解决无文字语言翻译难题！#Meta已开发闽南语AI翻译 实现闽南语和英语之间的实时翻译;0.0223964476218304;0.0809387243697673;0.4429004167324885;0.056554255524146176
AI翻译笔能给孩子学英语带来哪些帮助？#科大讯飞AI翻译笔 #词典笔 #测评;0.0259134214460755;0.3827961938769585;0.4025784741339953;0.24349090508954072
连央视都赞不绝口的AI翻译到底是什么？#阿里巴巴国际站 #跨境电商 #外贸;6.3983756656976686e-06;-0.2370370370370367;0.6666365484737536;-0.2478993154830857
钉钉ai翻译怎么设置？进入群设置点选“AI实时翻译设置”操作。 #钉钉ai翻译;0.0001428970565339;-0.0517678950210161;0.4064423697638153;-0.033010034669461966
