发布者;群体情绪;时间
AR翻译眼镜，自动帮老师加字幕。可视化双语幕布！#留学生 #同声传译 #翻译 #希望这条视频能帮助到你;0.14924914097176192;1月前·广东
第4集 | 专为中国翻译人打造的AI工具，比谷歌翻译和DeepL还好用#软件 #APP #神器 #黑科技#AI #AI工具 #翻译 #languageX #谷歌翻译 #DeepL;0.02833976986953663;1月前·北京
第6集 | 翻译AI神器,集中了ChatGPT+15种翻译工具，一站式解决翻译 #翻译软件 #AI工具;-0.6619024570445234;1月前·山东
AI能不能代替人类翻译？#AI #人工智能 #英语 #翻译 #chatgpt;0.20623558891626007;1月前·江西
第71集 | AI太可怕了，不但让众多百万粉丝级博主集体断更，现在连翻译的饭碗也要抢了…给你演示下！#人工智能 #ai @AI百晓生 @AI百晓生 官方账号;-0.012967870806908243;1月前·上海
第4集 | 海外搬运必备工具，ai生肉翻译工具 #视频素材 #剪辑工具  #海外搬运;-0.03156177672786075;1月前·贵州
#达摩院 #ai ：懂100多钟语言，翻译时间比人类还快！#黑科技;0.3057031195300945;1月前·吉林
推荐一个超级好的AI翻译网站，准确率非常高#英语 #人工智能 #翻译 #翻译官 #英语翻译 @DOU+小助手;-0.010279606479311844;1月前·福建
"""AI翻译危机""事件后，时空壶成为AI翻译界的“耀眼明星” #时空壶 #W3翻译耳机 #人工智能";-0.09446211182901036;1月前·日本
超实用【AI神器】手机实时字幕翻译，任何海外剧（日+韩+英+中） #手机技巧 #小米手机;-0.20637184823180516;1月前·安徽
AI写作神器，文字工作者的宝藏神器，还能实时同步翻译;-0.09560914055964485;1月前·安徽
效率神器｜外企邮件族必备！！｜最强翻译·插件DeepL #英语 #效率工具 #外贸 #海外生活 #跨境派 #好物推荐官;-0.01512206581021115;1月前·法国
悬浮球翻译，哪里不会拖动到哪里翻译#翻译翻译翻译 #软件分享 #屏幕;-0.06451706064039606;1月前·甘肃
第45集 | 最强油管AI工具，智能双语字幕+背单词，看视频学外语两不误#油管 #AI #AI工具 #双语字幕 #学英语 #relingo #背单词;-0.36971168348523326;1月前·湖南
