label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;4月会上线透明镜片，支持无线的哦，可配度数;77;261;338;159059;0.0021249976423842725
78;这不是nreal的眼镜么怎么还变成亲爱的翻译官了;5;72;77;159059;0.00048409709604612126
84;考试带犯法吗;35;577;612;159059;0.003847628867275665
120;有没有透明版;57;7;64;159059;0.00040236641749288
178;上课带墨镜真的很不礼貌;30;42;72;159059;0.00045266221967949
209;没有网也可以吗如果是看纸质的呢;23;15;38;159059;0.0002389050603863975
233;专升本和考研四六级能带进去吗;9;85;94;159059;0.0005909756756926675
243;眼睛黑色的太明显了;13;8;21;159059;0.00013202648073985126
257;看了下价格我不配;10;38;48;159059;0.00030177481311966
268;可能出个日常眼镜款;7;8;15;159059;9.430462909989374e-05
276;高考能不能戴;5;25;30;159059;0.0001886092581997875
282;这个是可以无限用吗，还是和app一样要买点数;1;15;16;159059;0.00010059160437322
284;考试能戴嘛我认真的;1;13;14;159059;8.80176538265675e-05
286;有不是墨镜的吗;3;5;8;159059;5.029580218661e-05
290;是不是买完眼镜，翻译官app还得常年办会员才行;2;8;10;159059;6.28697527332625e-05
294;兔子中的老大跳跳虎Tailwhip小季同学tt翰6;2;0;2;159059;1.25739505466525e-05
300;这个多少钱呀让我死了这条心;1;0;1;159059;6.28697527332625e-06
302;莱斯特小姐六级;1;0;1;159059;6.28697527332625e-06
310;少吃蛋糕蕉白橘青居然有斯语;1;1;2;159059;1.25739505466525e-05
312;浮士德呀呀呀呀村长PatrickStar安久心动了;2;0;2;159059;1.25739505466525e-05
315;霹雳蛋我考试需要;1;0;1;159059;6.28697527332625e-06
317;余瘾沃日，有这考四六级不得嘎嘎乱杀;1;1;2;159059;1.25739505466525e-05
344;Rosy;1;0;1;159059;6.28697527332625e-06
347;买了眼镜以后还需要再额外购买翻译时长吗;1;0;1;159059;6.28697527332625e-06
349;日常暴躁的沫儿想要吗哈哈哈;1;0;1;159059;6.28697527332625e-06
352;帅的过七天RUA爪巴cremebru1ee可以，谁给我买;2;0;2;159059;1.25739505466525e-05
366;亲爱的翻译官感觉应该考虑植入chatgpt更好的辅助留学生;1;1;2;159059;1.25739505466525e-05
372;珍惜现在风的温柔卿栖恋宫园我次;2;2;4;159059;2.5147901093305e-05
376;Chacon我觉得你会需要;1;0;1;159059;6.28697527332625e-06
383;1什么仪高考能不能戴;1;0;1;159059;6.28697527332625e-06
385;mo想要一个了;8;0;8;159059;5.029580218661e-05
395;潇洒saltfish谢谢我需要;1;0;1;159059;6.28697527332625e-06
398;鹿谷小和买个这不用愁了;2;0;2;159059;1.25739505466525e-05
403;噗噗这个对你有没有帮助;1;0;1;159059;6.28697527332625e-06
407;A0真的很需要;1;0;1;159059;6.28697527332625e-06
416;布小伊快v我一个考试;1;0;1;159059;6.28697527332625e-06
418;hinna啊啊啊啊啊;1;0;1;159059;6.28697527332625e-06
423;我上学没学会英语就是等他的出现还有耳机同传，我知道科技的进步会让我在语言方面无障碍，我还希望的有中国的富强使的全世界都在学习中文;1;4;5;159059;3.143487636663125e-05
425;葑茚丶誋憶这个真有用;1;0;1;159059;6.28697527332625e-06
427;callllll买一个过专四;1;0;1;159059;6.28697527332625e-06
432;桃喰柚柚02出国有救了;1;0;1;159059;6.28697527332625e-06
441;皮鸽鹅我努努力看看能不能买得起送给你;1;0;1;159059;6.28697527332625e-06
447;春田来一个刘总;1;0;1;159059;6.28697527332625e-06
452;沈娇娇我觉得我很需要;1;1;2;159059;1.25739505466525e-05
455;无所谓，将近5000的价格让我死心了;1;0;1;159059;6.28697527332625e-06
460;Leela梨辣啊？这简直开挂啊;1;0;1;159059;6.28697527332625e-06
464;Anonymous炸鸡太牛了;1;0;1;159059;6.28697527332625e-06
466;我近视怎么办;2;2;4;159059;2.5147901093305e-05
469;yuannnnnn待在家买一个考英语;1;0;1;159059;6.28697527332625e-06
472;薄情我心动;1;0;1;159059;6.28697527332625e-06
478;濑户内海卧槽还有日语的;1;0;1;159059;6.28697527332625e-06
480;Shaka我靠;1;0;1;159059;6.28697527332625e-06
482;Winniethepoo（想看演唱会版超级水杯凤不是啊我真的想要啊我靠;1;0;1;159059;6.28697527332625e-06
484;看纸质的能不能识别啊;1;0;1;159059;6.28697527332625e-06
490;呆妞如果他能把我想说的说给人家就好了;1;0;1;159059;6.28697527332625e-06
492;鱼丸;2;0;2;159059;1.25739505466525e-05
495;小五MMMMys知礼;1;1;2;159059;1.25739505466525e-05
497;huAng天泽Xddd下个月出透明版我买一个;2;1;3;159059;1.886092581997875e-05
500;他是说话写字都能翻译吗;1;2;3;159059;1.886092581997875e-05
504;百变小蕉我靠;1;0;1;159059;6.28697527332625e-06
506;这墨镜能不能弄透明的眼镜;1;0;1;159059;6.28697527332625e-06
508;一出国前买一个;2;0;2;159059;1.25739505466525e-05
511;偶然5圆儿可以买;1;0;1;159059;6.28697527332625e-06
514;35岁离婚带俩娃袜操;1;0;1;159059;6.28697527332625e-06
517;18岁被迫成年release带去考英语;1;0;1;159059;6.28697527332625e-06
520;xxx嘿Maggieeee66哒带着它去考托福;2;2;4;159059;2.5147901093305e-05
525;日语版有吗？;1;0;1;159059;6.28697527332625e-06
539;生亦如歌;1;0;1;159059;6.28697527332625e-06
541;yoyo;1;0;1;159059;6.28697527332625e-06
552;PHilautia;1;0;1;159059;6.28697527332625e-06
554;XJ;1;0;1;159059;6.28697527332625e-06
556;蜡笔小欣;1;0;1;159059;6.28697527332625e-06
559;张小熊抓鸭子;1;0;1;159059;6.28697527332625e-06
561;爱乐为丝;1;0;1;159059;6.28697527332625e-06
563;J1ntianMmi;1;0;1;159059;6.28697527332625e-06
565;嗯哦;1;0;1;159059;6.28697527332625e-06
572;0;2;1;3;159059;1.886092581997875e-05
577;池中鱼;1;0;1;159059;6.28697527332625e-06
587;小猫不講礼昂fairy;1;0;1;159059;6.28697527332625e-06
592;Rucocoiny柒;1;0;1;159059;6.28697527332625e-06
594;09小困包離離Jayjay;1;2;3;159059;1.886092581997875e-05
596;米粒呔君;1;0;1;159059;6.28697527332625e-06
600;鲤鱼煎包;2;0;2;159059;1.25739505466525e-05
612;芽芽;1;0;1;159059;6.28697527332625e-06
621;我会给你两锤;1;0;1;159059;6.28697527332625e-06
636;ST不懂事长iwanthavethese;1;0;1;159059;6.28697527332625e-06
645;尹;1;0;1;159059;6.28697527332625e-06
