发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
#人工智能 #ai聊天程序chatgpt爆红;1.0;0.1398694312406887;1.0;0.23379093625130196
打开 ChatGPT 的正确方式 #chatgpt应用领域 #gpt4 #chatgpt #openai #chatgpt4;0.030999001627976;-0.10588355698945;0.4499879535589003;-0.07222513033964191
警惕看看你成为ChatGPT的小韭菜了么？#干货分享 #chatgpt #每天跟我涨知识;0.006525395526214;-0.3290666182256114;0.4489162285726332;-0.22258575499361158
“恐怖”的chatGPT，如果解除了它的思想钢印会更震撼，就差一个执行;0.0630278554789037;0.1304881931629401;0.4886991094379733;0.09730595931891278
第7集 | 我被Chatgpt“骗”了800#chatgpt应用领域 #openai #干货分享 #知识分享 #ai聊天程序 #chatgpt爆红 #内容过于真实 #经验之谈 #希望这条视频能帮助到你;0.0200528867342441;-0.1891017968243602;0.4590356187286193;-0.13121766968512594
把GPT放到手机键盘里，这效率立马提升5倍#chatgpt应用领域 #aigc一步之遥 #人工智能;0.0206195303154315;0.0105041786683519;0.4437617208224843;0.0070484840460246275
第1集 | 算是比较权威的回答了，很多小白人问题比较多，当然我慢慢会给大家把实用的东西分享出来~希望对粉丝们有帮助#ChatGPT #chatgpt应用领域 #chatgpt国内可以用吗 #楠哥短视频;0.0088639245914319;-0.1371691024900969;0.4295715480440047;-0.08884515425154114
chatGPT用插件也能玩了，你用过GPT吗？#chatGPT #浏览器插件 #人工智能 #干货分享;0.072710265243162;-0.1451925924639618;0.5306866817219401;-0.11767702730878198
别问chatgpt国内怎么用了，手机版可以直接使用，不需要那啥上网也不用账号，直接打开就行#chatgpt #chatgpt怎么下载;0.0022440884683534;-0.2462296950154733;0.4879299058224053;-0.18082859703111007
国内版Chat GPT，不限制使用端#chatgpt #人工智能 #知识分享;0.0025184159163885;-0.034750296059936;0.2901590222897345;-0.015183104551645716
你还不会用ChatGPT吗#chatgpt #chatgpt手机版 #chatgpt注册 #chatgpt怎么下载使用 #chatgpt会不会威胁人类 #chatgpt4;0.0007915021451507;-0.3184016550248013;0.3844619268001922;-0.18419394848150397
第6集 | 挑战一百天，用ChatGPT赚够100万，第六天，彩票来兑奖#chatgpt应用领域 #人工智能#大数据让我们相遇 #学会快去试试吧 #滑走你就草率了 @DOU+小助手;0.0095969635099522;0.0132214835686606;0.4623525340252098;0.00921724789667796
第1集 | chatgpt4.0下载及注册流程方法，chatgpt怎么进入使用 #chatgpt怎么下载使用#chatgpt40下载及注册方法 chatgpt怎么下载方法【ChatGPT注册教程视频版】#chatgpt聊天;0.0034538275424757;0.4534093654781574;0.4624809844115379;0.3157126317953372
第7集 | 没想到第一个出国产chatGPT的居然是微信#chatgpt注册 #chatgpt4 #chatgpt直播#chatGPT #chatgpt手机版在哪里下;0.0019202921362463;-0.1677637965870586;0.1485509720049312;-0.037544337910608204
教你如何在手机上使用中文版的Chat GPT 。#chatgpt #人工智能 #chatme @Chatme;0.0795639542727624;-0.1728857564213614;0.5169719527606592;-0.13675317001173845
用chatgpt办公简直是不要太爽…（可能会产生依赖）;0.0079375073079033;0.2043326263411005;0.4315638016070348;0.1329280757480125
【完全免费】Chat GPT 国内最新可用镜像!只有这一个视频看得到！ #chatgpt #ai;0.0390129608476268;-0.0605195315078944;0.4641419656533685;-0.04265117108336561
新bing怎么使用gpt4 #chatgpt聊天 #chatgpt怎么进入 #新必应 #bing#gpt4;0.0115847132153875;-0.2097875500017611;0.4088035398033438;-0.12942168036708154
第21集 | 我尝试用GPT-4做了一个游戏#chatgpt应用领域 #大数据让我们相遇 #ai聊天程序chatgpt爆红 #玩儿个很新的东西 #gpt4;0.0384867918079527;0.0474843878142018;0.4697686841771313;0.033862403395449325
第14集 | ChatGPT Plus收费版与免费版有什么区别？#ChatGPTplus #ChatGPT会员 #chatgpt付费;0.0007825078025921;-0.5926982115016872;0.4350226724747404;-0.3879534967108278
ChatGPT普通版与Plus版差距有多大？实测 #chatgpt #测评 #人工智能 #科技 #互联网;0.0029231613315224;-0.2857759003936571;0.4281341138570326;-0.18419682951467195
第488集 | 远离chatGPT会吃香靠近会倒大霉 #文化#智慧#知识#哲学#思维;0.0170532734909741;0.1947864428551961;0.4685637359320395;0.13785656651031336
第1集 | Chatgpt它挂了我也挂了#chatgpt #chatgpt应用领域;0.0549239528336676;-0.0007071499620755;0.4566813129103867;-0.0004923083530592517
