label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;计算机二级证书岂不是废纸一张;11;46;57;23972;0.0023777740697480394
12;这不得把wps爆死啊;20;41;61;23972;0.002544635407975972
34;在哪儿看，我用的365;6;0;6;23972;0.0002502920073418989
41;不知道gpt有没有背锅能力，事情搞砸了，领导怪罪能不能让gpt背锅;1;0;1;23972;4.171533455698315e-05
43;国内怎么用？;3;1;4;23972;0.0001668613382279326
47;想用的前提估计是要用付费版office365，498一年，AI是否单独收费，未知;3;1;4;23972;0.0001668613382279326
51;有必要重新思考那句老话“人是万物之灵”灵的是什么呢？现在看肯定不是逻辑，推理的思维了;1;3;4;23972;0.0001668613382279326
53;我们什么时候能用上;2;2;4;23972;0.0001668613382279326
56;国内可以马上用吗;3;0;3;23972;0.00012514600367094945
61;现在好像国内没办法用啊？;1;0;1;23972;4.171533455698315e-05
65;国内用不了吧？;2;0;2;23972;8.34306691139663e-05
86;这种真的好吗？众所周知GPT绝无可能在自己电脑上运行而国内又没有他们的服务器，意思以后要用就得把你的所有资料双手奉上放心把主权国家绝对不允许这样的事情发生;16;4;20;23972;0.0008343066911396629
103;怎么下载，国内怎么用;5;2;7;23972;0.00029200734189888203
109;六六六啊啊啊啊啊啊啊，我想要这个东西，系主任让我做的ppt就可以直接生成了。;1;0;1;23972;4.171533455698315e-05
111;看来以后只能用WPS了不能轻易相信人工智能，否则，企业一点机密都没有了，特别是那些上市公司;1;0;1;23972;4.171533455698315e-05
123;0;1;0;1;23972;4.171533455698315e-05
126;我按照步骤弄完了，却没见到copilot;3;3;6;23972;0.0002502920073418989
130;没见到注册表修改教程;1;2;3;23972;0.00012514600367094945
132;用这么麻烦吗直接弹出来不过只能用10次;1;0;1;23972;4.171533455698315e-05
141;买微软的电脑，你就会拥有365的正版周一就回公司试试我的365;38;128;166;23972;0.006924745536459202
180;文职类工作直接裁员90，特别是微型企业，;9;175;184;23972;0.0076756215584848995
190;我为什么帮老板的女儿策划毕业party;1;0;1;23972;4.171533455698315e-05
192;是copilot和outlook，不是copiloter和outerlooker，口音还是最好注意下，不然所有清辅音结尾的单词你全会自动加上er;29;36;65;23972;0.0027114967462039045
222;不是还没release吗;4;50;54;23972;0.00225262806607709
227;国内又用不了，还是先用着wps吧;4;0;4;23972;0.0001668613382279326
232;英文水平直接影响和未来的交流;4;12;16;23972;0.0006674453529117303
237;压力来到了WPS这边，金山说：得加钱要不wps的aiCopilot就是一个弱智的siri；当你充了钱发现它还只是一个小爱同学；要升级会员等级，按场景分类最终等级有100多级，当你花了相当于一个正版office365的套餐后，才发现，它只是一个通过接口调用文心一言的马甲你才是它的copilot呢;2;30;32;23972;0.0013348907058234607
240;0;5;5;10;23972;0.00041715334556983145
246;wps怎么办呢;22;0;22;23972;0.0009177373602536292
269;10刀一个月;4;4;8;23972;0.0003337226764558652
274;现在是企业公测吧我的家庭版也没有呀;2;10;12;23972;0.0005005840146837978
277;那么问题来了，KMS能搞定它么？;4;3;7;23972;0.00029200734189888203
282;会不会用的，从哪搞？;10;0;10;23972;0.00041715334556983145
293;太麻烦，人工智能最终形态不是这样的;5;4;9;23972;0.0003754380110128483
