发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
张琦教你新商业-管理咨询;196;4685;4881;169048;0.02887345605981733
这里是东昊;3744;3997;7741;169048;0.04579172779328948
AI创造社;319;1086;1405;169048;0.008311248876058872
Ai驯化师;852;2619;3471;169048;0.020532629785623018
侃哥侃英语;21048;148000;169048;169048;1.0
不睡觉懒吗;24;306;330;169048;0.0019521082769390942
群星创事;281;1855;2136;169048;0.01263546448346032
啊咕呱;261;7818;8079;169048;0.04779115990724528
橘子娱乐;69;6176;6245;169048;0.036942170271165586
黑客情报站;75;2907;2982;169048;0.017639960247976906
旺牛王永辉;31;182;213;169048;0.001259997160569779
木子淳;1543;6590;8133;169048;0.04811059580710804
财经网精选;924;1127;2051;169048;0.012132648715157825
哇喔;1447;9220;10667;169048;0.06310042118214945
量子位;373;1843;2216;169048;0.013108702853627372
淘沙博士;630;3799;4429;169048;0.02619965926837348
凤凰WEEKLY;972;3822;4794;169048;0.02835880933226066
财经小马达;43;7668;7711;169048;0.045614263404476836
肖晓智;5;50;55;169048;0.00032535137948984903
小怡师妹;2195;26000;28195;169048;0.16678694808575079
AI懒人学院;16;46;62;169048;0.00036675973687946617
周家栋;142;147;289;169048;0.0017095736122284795
赛文乔伊;95;733;828;169048;0.004898017131229
宣德内参;756;3195;3951;169048;0.023372060006625336
拾柒山音;96;1982;2078;169048;0.012292366665089205
弘凌的小酒馆;566;4483;5049;169048;0.029867256637168143
搜 狐 智 库;234;1135;1369;169048;0.008098291609483697
可清可清董可清;3508;12000;15508;169048;0.09173725805688325
Yoyo悠妮;103;26000;26103;169048;0.15441176470588236
走神的阿圆;14;112;126;169048;0.0007453504330131088
老吴看世界;63;478;541;169048;0.003200274478254697
涛观点;99;355;454;169048;0.0026856277506980266
第一财经;8756;39000;47756;169048;0.2824996450712224
AM585东南广播;743;6562;7305;169048;0.04321257867587904
弘凌的小酒馆;822;4990;5812;169048;0.03438076759263641
可清可清董可清;1194;2837;4031;169048;0.02384529837679239
金哥不才;731;1427;2158;169048;0.012765605035256259
