发布者;群体情绪;时间
第122集 | 百度的文心一言,值得所有国人点赞 #文心一言 #中国 #百度;0.061705735628117535;1月前·广东
#什么事你可以坚持10年 #文心一言 #chatgpt 有人说文心一言和Chat Gpt相比真丢人，但我觉得说这话的人也不咋的，因为出发点就是错的;0.003678905296307336;1月前·辽宁
文心一言，AI绘画体验，割裂感很严重，理解能力只能打1分！！！#AI #人工智能 #文心一言;0.06922084820558735;1月前·阿联酋
第3集 | 文心一言内测，绘画功能欣赏。#ai绘画 #openai #chatgpt #文心一言;-0.044038397685618486;1月前·山东
让百度 AI 画“起重机”，为啥它画出个“鹤”？好诡异...#文心一言;0.2613335651628769;1月前·江苏
文心一言碾压GPT4.0的七大瞬间 #gpt4 #chatgpt #文新一言 #AI;-0.04036107288180157;1月前·贵州
如何看待百度的文心一言和chatGPT #科技 #chatgpt #人工智能;0.007539873840831301;1月前·山东
第2集 | GPT-4:全世界都在讨论的焦点，文心一言正面迎战chatGPT #openai #chatgpt4 #gpt4 #aigc一步之遥;-0.0035854157558650387;1月前·云南
#文心一言作画脑洞有多大 没有一个是不好笑的，我说别太离谱啊喂;0.06183728217737589;1月前·浙江
AI跟AI是不一样的#gpt4 #newbing #文心一言;-0.10953201989095036;1月前·江苏
文心一言初体验，居然有错别字？ #文心一言 #百度文心一言 #人工智能 #AI聊天;-0.06633111379757492;1月前·河南
收到了邀请码，实测体验百度文心一言，从程序、图像、文案、歌词、问答五个角度，感受到了人工智能助力创意的新高度！未来已来，我们并不落后，要相信国产一定会更好！ #木子淳;-0.022906875342223645;1月前·黑龙江
#李彦宏 ：#文心一言 有些地方做的比 #ChatGPT好#百度 #科技 #人工智能;-0.022408222517416636;1月前·四川
中国AI，要和全球巨头掰手腕！#文心一言 #chatgpt #openai;0.022063284333649576;1月前·四川
第90集 | 文心一言与GPT-4对比实测，抢先了解！ #文心一言 #ChatGPT #GPT4 #人工智能 #百度;0.05821322124771261;1月前·广东
文心一言出道被锤！无力吐槽，差距究竟有多大？#财经 #经济 #金融 #我要上热门;0.06284157900225733;1月前·广东
#OpenAI推出GPT4，文心一言能否杀出重围#ChatGPT#百度#文心一言#热点知多少;0.012336227945368679;1月前·山西
网传文心一言是套壳AI，百度：再给文心一言一点时间吧 #文心一言;0.07931534486494872;1月前·广东
第7集 | 亲测一下文心一言的图片功能#文心一言 #人工智能 #chatgpt聊天;-1.0;2天前·广东
文心一言，让百度先跌后涨#财经 #科技 #人工智能 #aigc;-0.09057138509248183;1月前·江苏
文心一言1月前表现vs现在表现，下个月能否追上GPT4，拭目以待！#谁在神话ChatGPT #文心一言 #AI;0.015008429415049181;3周前·浙江
百度文心一言 完胜 ChatGPT 的 一个细节，你知道吗？#ChatGPT #文心一言;-0.5085511325239193;2周前·河南
第19集 | 国产Ai到底能用吗？今天有了答案#人工智能 #大数据让我们相遇 #有ai就有无限可能 #颠覆你的认知 #文心一言;-0.15209925421571543;1月前·湖南
正视差距、多些耐心，孩子还是自己的好 #ai #百度 #文心一言语 #chatgpt;0.17287283178880491;1周前·河北
第10集 | 如何使用百度文心一言？国产chatgpt注册 免费内测申请体验#openai #chatgpt应用领域 #文心一言 #openai #百度;-0.19866274874688175;3周前·宁夏
GPT-4遇上文心一言，真的要一言难尽啊？#gpt4 #chatgpt #chatgpt应用领域 #openai #文心一言;0.07430171451470298;1月前·四川
不就是一个聊天机器人吗？百度CEO李彦宏谈文心一言为什么值得关注#百度CEO谈文心一言为什么值得关注;-0.024235301816728547;1月前·宁夏
听说#百度 正在测试#ai聊天机器人 #文心一言 ，跟#ChatGPT 比，会有什么惊喜？;-0.04036247880653086;4周前·新疆
文心一言AI画图是中翻英再画的吗？#文心一言;0.19882444571792154;2周前·山东
文心一言发布会是录播？不会是假的吧？发布会总结来了#文心一言 #chatgpt #人工智能 #百度;-0.17902198761918173;1月前·北京
