发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
阿童教电脑;29;332;361;17451;0.020686493610681336
雪碧.;131;5295;5426;17451;0.3109277405306286
马掌柜的笔记pro;26;431;457;17451;0.02618761102515615
alpha;1;4;5;17451;0.0002865165320038966
猫小潮探索AI新玩法;216;6297;6513;17451;0.37321643458827575
LucyBot;1;21;22;17451;0.001260672740817145
资源核;3;5;8;17451;0.0004584264512062346
IT豪哥-电脑软件教程;36;604;640;17451;0.03667411609649877
AI魔法;14;188;202;17451;0.011575267892957423
猫腻妖妖;77;648;725;17451;0.04154489714056501
AI掌门;34;215;249;17451;0.014268523293794052
IT豪哥-电脑软件教程;40;557;597;17451;0.03421007392126526
科技猎奇;20;480;500;17451;0.028651653200389662
ChatAI;5;71;76;17451;0.004355051286459228
缠中解禅;1;11;12;17451;0.0006876396768093519
娇姐IT说;2;36;38;17451;0.002177525643229614
猫腻妖妖;147;401;548;17451;0.03140221190762707
元创视界;7;17;24;17451;0.0013752793536187038
太古李;13;218;231;17451;0.013237063778580024
chatgpt&数字人;9;178;187;17451;0.010715718296945734
曹湘;31;759;790;17451;0.045269612056615664
kcodez 编程与源码;7;220;227;17451;0.013007850552976907
Procode2001;6;62;68;17451;0.003896624835252994
Procode2001;19;401;420;17451;0.024067388688327317
科技品鉴官;12;147;159;17451;0.009111225717723912
新世界的船;3;28;31;17451;0.001776402498424159
曼求索;17;116;133;17451;0.00762133975130365
数字世界的Daniel;73;1470;1543;17451;0.0884190017764025
星火会员;2;51;53;17451;0.003037075239241304
娇姐IT说;21;228;249;17451;0.014268523293794052
荡漾小漾;3;5;8;17451;0.0004584264512062346
小吕说智能;8;64;72;17451;0.0041258380608561115
王逸仙;15;146;161;17451;0.009225832330525471
AIGC研习社;57;1370;1427;17451;0.0817718182339121
娇姐IT说;29;356;385;17451;0.02206177296430004
chatgpt&数字人;8;57;65;17451;0.003724714916050656
DayDayUp每天向上;1;8;9;17451;0.0005157297576070139
量子位;60;1633;1693;17451;0.09701449773651939
IT豪哥-电脑软件教程;64;661;725;17451;0.04154489714056501
程序员情迁;5;10;15;17451;0.0008595495960116899
知道E点;2;8;10;17451;0.0005730330640077932
壹零社爱科学;14;435;449;17451;0.025729184573949918
神君入戏，鬼帅登台;4;33;37;17451;0.002120222336828835
疯言封语的羊;22;253;275;17451;0.015758409260214313
古一方道;24;160;184;17451;0.010543808377743396
孤独AI探索营;18;148;166;17451;0.009512348862529368
大可不必呀;8;206;214;17451;0.012262907569766775
ChatGPT探索;8;42;50;17451;0.002865165320038966
