发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
_雯雯_酱;0.0011645962732919;0.6560290718773215;0.8734273460899609;0.00180138929056377
影视侃侃圈;0.0007763975155279;0.7037037037037035;0.682990909250147;0.0010073286978553309
水螅_蹲等玛丽重制;0.0186335403726708;0.4274291566028433;0.6560738070907262;0.014105696384656287
麦芽脆心R;0.0015527950310559;-0.0524655636156183;0.6829330081231607;-0.00015019272228416274
我就是喜欢看小说;0.0341614906832298;0.4329647936312538;0.5957409724523676;0.023786425125207213
平衣笠守;0.0019409937888198;0.858553695089411;0.6833366533201545;0.0030740337655940516
时月文化;0.0116459627329192;0.2607917240958327;0.5384528819381664;0.004414679878731466
蜀黍冲浪指南;0.4243012422360248;0.6331776344376805;0.5610558209073779;0.4069005262986426
前线娱乐;0.3357919254658385;0.4842839280314569;0.613101197735146;0.26914404765968797
娱蜀黍;0.4134316770186335;0.4694295088523941;0.6062924750647749;0.3176425130650766
欧气小买手;0.0031055900621118;0.24863477323952;0.6470477693437061;0.0013487288581979697
网易严选;0.0038819875776397;0.7350269249583994;0.6841998618198207;0.005270146420796781
星综科技;0.0089285714285714;0.3601109883642273;0.6879489154510859;0.005971134462299272
影综科技;0.0093167701863354;0.9062419573011544;0.6883533160670897;0.015689289152796073
历史故事;0.0089285714285714;-0.2429807084391587;0.825344154610487;-0.004833605041755585
数码看剧;0.0108695652173913;0.1311895065158877;0.5472855700433047;0.0021067236876163077
旧楚传播;0.0081521739130434;0.2516575949845806;0.5488498180165969;0.0030396201321458254
数码装备处;0.0073757763975155;0.2558055532952869;0.6100113550356869;0.003106976294532412
数码电竞;0.0089285714285714;0.5108733839472769;0.6021875840907069;0.00741496936460853
科技数码粉;0.0081521739130434;0.6567508462053663;0.907315767920898;0.013113386006109085
我的眼里夹心最好;0.0015527950310559;0.0524655636156166;0.6832283851448689;0.00015025768250494508
锦鲤菩萨;0.0100931677018633;0.3975462182442018;0.4634905250932676;0.005020399597659738
好运许愿;0.0104813664596273;0.5452108044708802;0.9316286763624094;0.014371679284970346
数码卡卡君;0.0093167701863354;-0.1855980245302431;0.7740216883221428;-0.0036130516675371618
扬帆起航前行;0.0034937888198757;0.3965228619926367;0.5926225905548984;0.0022162839191350986
是烫手山芋吖;0.0062111801242236;0.9996120794194092;0.689846193832137;0.011562192662183564
科技好梦;0.0108695652173913;0.6022908132121725;0.6873542795444665;0.01214734489318103
科技好运;0.0081521739130434;0.7604860715347401;0.8105194049783225;0.013564707303305903
历史电影;0.0104813664596273;0.8971337842717502;0.6891148766949909;0.017492386013094635
数码视镜;0.0108695652173913;0.5767220903725694;0.8808213384698285;0.014905580566395205
科技沫小北;0.0019409937888198;0.1106914178581155;0.6831649217592105;0.00039622873193918465
财神地盘;0.0104813664596273;0.3307813782785492;0.5734362034548197;0.005366935501613859
数码小机友;0.0100931677018633;0.4725016020673803;0.9717510459808418;0.012510310858505715
一阵蒙圈;0.0077639751552795;0.2983713356203085;0.5649551680477306;0.003532950324007593
科技小天;0.0034937888198757;0.884148913718978;0.6833675951521198;0.005698476468911109
娱乐News;0.3493788819875776;0.5176420962971869;0.5748525587940096;0.2806499807226569
木头鱼;0.7434006211180124;0.602077950413728;0.8276410976088051;1.0
科技社长;0.0112577639751552;0.0938865993464902;0.503858635939319;0.0014376288002004144
李小祥龙;0.0062111801242236;0.027996439165457;0.6618881800772074;0.00031070186263064365
小蓓说数码;0.0007763975155279;-0.4423215021264262;0.6836562511965663;-0.0006337854837235809
大猪蹄子奇迹;0.0015527950310559;-0.2807017543859653;0.6842633252054792;-0.000805127819402069
科技班主;0.1168478260869565;0.5184283549586908;0.4819815302479269;0.07881739734358954
貌美如花似邹霞;0.0124223602484472;0.1668652957647195;0.503436204315816;0.0028170651850764556
佟忆;0.0197981366459627;0.4006016185565429;0.5781859832470493;0.012379037709594871
浪子言科技;0.0124223602484472;0.4190289918822884;0.49361258680772;0.006936122056991939
正向娱乐;1.0;0.4851703256713778;0.7205084986451301;0.9436602206457176
桃娱乐;0.4704968944099379;0.5753055143277671;0.5983711854969602;0.4372283155144572
娱大蜀黍;0.8175465838509317;0.400195826968574;0.5779570988347201;0.510461480935821
齐齐哈哈市萍萍;0.3684006211180124;0.2778102608302712;0.8230313271580026;0.22738787962820017
IT互联网那点事;0.1510093167701863;0.2017996758185232;0.4733129957636784;0.03893632387669638
西部决策;0.1187888198757764;0.4331820330041236;0.4131174616116925;0.05738545968526699
网易严选;0.0892857142857142;0.7634263510519281;0.34463482292826;0.06341479476346921
ahhhhfs;0.0011645962732919;0.5436820186886033;0.6841454668353981;0.0011693677957521516
QQ音乐官方歌单;0.0597826086956521;0.5120200523916615;0.4282299261267693;0.035385159345416924
huanghw66;0.0007763975155279;0.0714285714285709;0.6829332681183213;0.00010223902057483153
陌川_MC;0.1048136645962733;0.5583598438665942;0.5114101817176581;0.08079486555968528
第五人格隔空喊话之曲工而枕之版;0.0031055900621118;0.1585875967330246;0.7830772272342847;0.0010411187076447375
死花绽放;0.0015527950310559;-0.9287841376987878;0.6829315627957325;-0.0026588168165546083
打别人;0.0089285714285714;-0.0771389962258017;0.682937397332801;-0.0012697527602331057
又快被封了;0.0326086956521739;0.2417818383074309;0.5797382993387377;0.012338756811281253
壹壹4wo;0.0023291925465838;0.5000379925628664;0.591441032875242;0.0018595255765009987
凌宙但是赛博蛋工;0.0046583850931677;0.9705974395473148;0.7025649953487803;0.008575181997505647
雪疾Fragaria;0.0023291925465838;0.9236885643359704;0.6829335465383358;0.0039663562106370155
Lumi刘敏;0.0947204968944099;0.7434200254866794;0.386807997090777;0.07352854588040088
O6l8;0.0019409937888198;0.3838105766677296;0.777128890174391;0.00156284694550025
二逼瓦西里;0.0473602484472049;0.1765313353691211;0.5130131902615047;0.011578348564729068
Art0X聚镁艺术;0.0042701863354037;0.6669152696128884;0.5957088773488026;0.004579666673510281
财经老陈论市;0.0011645962732919;0.9998990768253186;0.6830625614597615;0.0021472091820555757
佟睿睿;0.0318322981366459;0.1990746516556323;0.3547352036962241;0.006068349110920809
杭州图书馆;0.0034937888198757;0.8758388086282619;0.7182989612146552;0.0059334649864783
有趣de歪果仁;0.0042701863354037;0.4192325637310345;0.5640921294625293;0.002726052311682249
壹有伍-毛线甜心激吹;0.0042701863354037;0.2096528361762248;0.6829317265722116;0.001650468223101658
电商之家;0.0240683229813664;0.8350217872675891;0.8071973325545786;0.04379309768406486
熠熠生琰;0.0065993788819875;0.809445293780203;0.6829318923958967;0.009848050553089783
麻督并非衡量现实;0.0054347826086956;-0.0747239009729336;0.6781874750645784;-0.0007434876996616512
浕羽;0.0007763975155279;0.1121650126104751;0.6829317347610355;0.00016054661398040622
因幡白兔200501;0.0011645962732919;0.9740494892469588;0.6829316180702942;0.0020912981283753122
姬永锋;0.0058229813664596;0.5233340695477483;0.8565254706243597;0.007046070772296732
猫仙姑姑;0.015139751552795;0.3298843037113376;0.4734508850240698;0.006383188103706136
加拿大大使馆官方微博;0.0073757763975155;0.5490896975462269;0.688330022469412;0.007525408153751473
夕檽;0.0093167701863354;0.2138160308262548;0.5809989868993689;0.003124376274228977
Moki·;0.0038819875776397;0.170596003717944;0.6829724843962462;0.0012209798920488713
郝智伟;0.0279503105590062;0.5954764448724332;0.4803376343538614;0.021581426588826676
樊百乐;0.0690993788819875;0.5970207917168588;0.4907079628854991;0.054647338462440555
中国传媒大学;0.0131987577639751;0.5816422580355839;0.5672821252433202;0.011756293486685544
哎呀我果;0.0873447204968944;0.2544307254064648;0.4947291323446828;0.029679461038098497
亡鸟-;0.0054347826086956;0.998075526098268;0.6837415514072138;0.010011977529386878
鍋盖頭司令;0.3815993788819876;0.3971449593791146;0.497258627140083;0.2034329750571472
