发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
_雯雯_酱;2;1;3;2576;0.0011645962732919255
影视侃侃圈;1;1;2;2576;0.0007763975155279503
水螅_蹲等玛丽重制;4;44;48;2576;0.018633540372670808
麦芽脆心R;2;2;4;2576;0.0015527950310559005
我就是喜欢看小说;7;81;88;2576;0.034161490683229816
平衣笠守;3;2;5;2576;0.0019409937888198758
时月文化;8;22;30;2576;0.011645962732919254
蜀黍冲浪指南;488;605;1093;2576;0.42430124223602483
前线娱乐;347;518;865;2576;0.3357919254658385
娱蜀黍;470;595;1065;2576;0.41343167701863354
欧气小买手;3;5;8;2576;0.003105590062111801
网易严选;1;9;10;2576;0.0038819875776397515
星综科技;10;13;23;2576;0.008928571428571428
影综科技;10;14;24;2576;0.009316770186335404
历史故事;10;13;23;2576;0.008928571428571428
数码看剧;11;17;28;2576;0.010869565217391304
旧楚传播;10;11;21;2576;0.008152173913043478
数码装备处;10;9;19;2576;0.007375776397515528
数码电竞;10;13;23;2576;0.008928571428571428
科技数码粉;10;11;21;2576;0.008152173913043478
我的眼里夹心最好;1;3;4;2576;0.0015527950310559005
锦鲤菩萨;11;15;26;2576;0.010093167701863354
好运许愿;10;17;27;2576;0.01048136645962733
数码卡卡君;10;14;24;2576;0.009316770186335404
扬帆起航前行;7;2;9;2576;0.0034937888198757765
是烫手山芋吖;1;15;16;2576;0.006211180124223602
科技好梦;10;18;28;2576;0.010869565217391304
科技好运;10;11;21;2576;0.008152173913043478
历史电影;10;17;27;2576;0.01048136645962733
数码视镜;10;18;28;2576;0.010869565217391304
科技沫小北;2;3;5;2576;0.0019409937888198758
财神地盘;10;17;27;2576;0.01048136645962733
数码小机友;10;16;26;2576;0.010093167701863354
一阵蒙圈;8;12;20;2576;0.007763975155279503
科技小天;2;7;9;2576;0.0034937888198757765
娱乐News;371;529;900;2576;0.34937888198757766
木头鱼;984;931;1915;2576;0.7434006211180124
科技社长;15;14;29;2576;0.01125776397515528
李小祥龙;3;13;16;2576;0.006211180124223602
小蓓说数码;1;1;2;2576;0.0007763975155279503
大猪蹄子奇迹;1;3;4;2576;0.0015527950310559005
科技班主;23;278;301;2576;0.11684782608695653
貌美如花似邹霞;11;21;32;2576;0.012422360248447204
佟忆;15;36;51;2576;0.019798136645962732
浪子言科技;15;17;32;2576;0.012422360248447204
正向娱乐;383;2193;2576;2576;1.0
桃娱乐;543;669;1212;2576;0.4704968944099379
娱大蜀黍;449;1657;2106;2576;0.8175465838509317
齐齐哈哈市萍萍;185;764;949;2576;0.3684006211180124
IT互联网那点事;45;344;389;2576;0.15100931677018634
西部决策;94;212;306;2576;0.1187888198757764
网易严选;95;135;230;2576;0.08928571428571429
ahhhhfs;1;2;3;2576;0.0011645962732919255
QQ音乐官方歌单;26;128;154;2576;0.059782608695652176
huanghw66;1;1;2;2576;0.0007763975155279503
陌川_MC;12;258;270;2576;0.1048136645962733
第五人格隔空喊话之曲工而枕之版;3;5;8;2576;0.003105590062111801
死花绽放;1;3;4;2576;0.0015527950310559005
打别人;1;22;23;2576;0.008928571428571428
又快被封了;5;79;84;2576;0.03260869565217391
壹壹4wo;4;2;6;2576;0.002329192546583851
凌宙但是赛博蛋工;2;10;12;2576;0.004658385093167702
雪疾Fragaria;1;5;6;2576;0.002329192546583851
Lumi刘敏;30;214;244;2576;0.09472049689440994
O6l8;2;3;5;2576;0.0019409937888198758
二逼瓦西里;25;97;122;2576;0.04736024844720497
Art0X聚镁艺术;5;6;11;2576;0.004270186335403727
财经老陈论市;1;2;3;2576;0.0011645962732919255
佟睿睿;14;68;82;2576;0.03183229813664596
杭州图书馆;2;7;9;2576;0.0034937888198757765
有趣de歪果仁;5;6;11;2576;0.004270186335403727
壹有伍-毛线甜心激吹;1;10;11;2576;0.004270186335403727
电商之家;14;48;62;2576;0.02406832298136646
熠熠生琰;1;16;17;2576;0.006599378881987578
麻督并非衡量现实;3;11;14;2576;0.005434782608695652
浕羽;1;1;2;2576;0.0007763975155279503
因幡白兔200501;1;2;3;2576;0.0011645962732919255
姬永锋;2;13;15;2576;0.005822981366459627
猫仙姑姑;12;27;39;2576;0.015139751552795032
加拿大大使馆官方微博;4;15;19;2576;0.007375776397515528
夕檽;3;21;24;2576;0.009316770186335404
Moki·;2;8;10;2576;0.0038819875776397515
