发布者;群体情绪;时间
_雯雯_酱;0.0014437511601511955;2023-04-15 19:50:53
影视侃侃圈;0.000807339082007684;2023-04-15 19:32:07
水螅_蹲等玛丽重制;0.022475720901426386;------
麦芽脆心R;-0.005020965676726449;2023-04-12 16:33:42
我就是喜欢看小说;0.05164378450563117;------
平衣笠守;0.0024637316534902804;2023-04-12 00:36:19
时月文化;0.0035382131058522923;2023-04-12 00:35:24
蜀黍冲浪指南;0.6537228020300219;2023-04-12 14:58:07
前线娱乐;0.4187310129275225;2023-04-12 12:48:09
娱蜀黍;0.38081802952991184;------
欧气小买手;0.0010809594927386871;2023-04-10 23:45:30
网易严选;0.0042238399267993595;------
星综科技;0.004785657576916841;2023-04-10 21:58:50
影综科技;0.012574422161246343;2023-04-10 07:50:34
历史故事;-0.003873967122655241;2023-04-11 11:01:31
数码看剧;0.0016884661100445104;2023-04-13 17:50:44
旧楚传播;0.00243615031753133;2023-04-12 23:02:14
数码装备处;0.0024901339501077913;------
数码电竞;0.005942841271854539;2023-04-09 14:04:18
科技数码粉;0.010509924955701976;------
我的眼里夹心最好;0.00012042633126249559;2023-04-12 17:17:49
锦鲤菩萨;0.004023676493200098;2023-04-08 14:18:46
好运许愿;0.011518403462087372;2023-04-08 12:59:31
数码卡卡君;-0.002895735843450285;2023-04-08 13:54:47
扬帆起航前行;0.001776274843109746;2023-04-08 18:48:27
是烫手山芋吖;0.009266697186089563;2023-04-14 12:13:29
科技好梦;0.0097356764438175;2023-04-09 14:15:43
科技好运;0.010871643352631561;------
历史电影;0.014019541879431363;2023-04-07 20:15:20
数码视镜;0.01194630685781707;2023-04-07 20:15:18
科技沫小北;0.00031756361293976723;2023-04-07 20:15:25
财神地盘;0.004301413024658673;2023-04-07 20:17:51
数码小机友;0.010026581100727561;2023-04-07 20:15:52
一阵蒙圈;0.002831537389370273;2023-04-07 20:18:52
科技小天;0.004567131633446033;2023-04-07 20:25:52
娱乐News;0.460779071779214;2023-04-07 20:24:24
木头鱼;1.0;2023-04-07 20:23:43
科技社长;0.001152209718925629;2023-04-07 20:16:17
李小祥龙;0.0002490167877559331;2023-04-07 20:35:12
小蓓说数码;-0.0005079571263169527;2023-04-07 20:29:46
大猪蹄子奇迹;-0.0006452820772393672;2023-04-07 21:11:08
科技班主;0.06316941565656368;2023-04-07 21:10:55
貌美如花似邹霞;0.0022577802313362297;2023-04-07 21:10:31
佟忆;0.009921370215979037;2023-04-07 20:24:56
浪子言科技;0.005559061730403859;2023-04-07 20:22:13
正向娱乐;0.8784058843312784;2023-04-07 20:21:37
桃娱乐;0.5646343754007623;2023-04-07 20:19:19
娱大蜀黍;0.4091172070213324;2023-04-07 20:18:59
齐齐哈哈市萍萍;0.2823501157963872;2023-04-07 20:17:00
IT互联网那点事;0.014066947867204145;2023-04-07 20:27:45
西部决策;0.04599245950356722;2023-04-07 20:27:32
网易严选;0.050824762859478956;2023-04-07 20:25:20
ahhhhfs;0.0009372078098855831;2023-04-07 20:23:23
QQ音乐官方歌单;0.02835998033556206;2023-04-07 20:23:16
huanghw66;8.194103592202388e-05;2023-04-07 20:23:06
陌川_MC;0.10409088088657109;2023-04-07 20:22:04
第五人格隔空喊话之曲工而枕之版;0.0008344206051912198;2023-04-07 20:21:49
死花绽放;-0.0021309496418338643;2023-04-07 20:20:44
打别人;-0.0010176628840276947;2023-04-07 20:20:18
又快被封了;0.00617958999625807;2023-04-07 20:20:06
壹壹4wo;0.001490345380905382;2023-04-07 20:19:29
凌宙但是赛博蛋工;0.006872711535623595;2023-04-07 20:17:33
雪疾Fragaria;0.002897156195489626;2023-04-07 20:16:58
Lumi刘敏;0.1715381661699092;2023-04-07 20:16:10
O6l8;-0.002071277335465632;2023-04-07 20:29:31
二逼瓦西里;0.014515982965031772;2023-04-07 20:27:44
Art0X聚镁艺术;0.003670444310744708;2023-04-07 20:26:03
财经老陈论市;0.0017209138324064518;2023-04-07 20:24:59
佟睿睿;0.00486357175264013;2023-04-07 20:15:53
杭州图书馆;0.004755466795999189;2023-04-07 20:50:12
有趣de歪果仁;0.0021848365637792545;2023-04-07 20:47:40
壹有伍-毛线甜心激吹;0.0013227931488090227;2023-04-07 20:46:04
电商之家;0.052804916213522256;2023-04-07 20:37:06
熠熠生琰;0.007892871621769902;2023-04-07 20:36:47
麻督并非衡量现实;-0.0056897119443377305;2023-04-07 20:36:26
浕羽;0.00012867255368217268;2023-04-07 20:35:40
因幡白兔200501;0.007046129645737362;2023-04-07 20:34:46
姬永锋;0.005647181819775961;2023-04-07 20:33:35
猫仙姑姑;0.01044957039414266;2023-04-07 20:28:56
加拿大大使馆官方微博;0.006031354138443701;2023-04-07 20:28:40
夕檽;-0.03482652499626189;2023-04-07 20:28:09
Moki·;0.0026515714028520557;2023-04-07 20:28:08
郝智伟;0.11686784785827031;2023-04-07 20:27:57
樊百乐;0.13267855915035598;2023-04-07 20:27:56
中国传媒大学;0.009422262278004445;2023-04-07 20:27:37
哎呀我果;0.10179428670322598;2023-04-07 20:27:26
亡鸟-;0.021181678532490613;2023-04-07 20:26:49
鍋盖頭司令;0.2550542987402058;2023-04-07 20:26:31
GabR_夕雨;0.001420919569006826;2023-04-07 20:26:20
麦子智能生活;0.10415923167570701;2023-04-07 20:26:09
铁血科学家;0.03242243132193708;2023-04-07 20:26:08
星空今天还继续写文吗;0.21019457938085404;2023-04-07 20:25:59
打雷打人;0.01983029594308852;2023-04-07 20:25:48
星lxt;0.001476129811943239;2023-04-07 20:25:48
少数派sspai;0.0034518895726094886;2023-04-07 20:25:47
AI观查橘;0.03425807731372437;2023-04-07 20:25:45
汐海flowerless;0.1154877252891206;2023-04-07 20:25:33
只发老婆疯;0.015079646182473757;2023-04-07 20:25:26
我和科技那些事;0.050775161845547076;2023-04-07 20:25:12
夯她D1矿工专属酷拉皮卡;0.017579799207953422;2023-04-07 20:25:11
Nefelibata_2022;1.8571353155467254e-05;2023-04-07 20:25:10
LING叔;0.010001285456590165;2023-04-07 20:25:02
神奇小机零;0.055148769039082036;2023-04-07 20:24:44
作者欣玥;0.15079008862527127;2023-04-07 20:24:37
专业证券分析;0.0020380481829987266;2023-04-07 20:24:03
这里是日本;0.002103382650263855;2023-04-07 20:23:55
视角_日本;0.9468417482420746;2023-04-07 20:23:46
电商报;0.0186100367909814;2023-04-07 20:23:31
