发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
明天也一起加油吧;46;1005;1051;40435;0.02599233337455175
刘温暖ing;-27;1;-26;40435;-0.0006430072956597007
玖玖说股事;-13;128;115;40435;0.0028440707308025224
凯恩斯;2;18;20;40435;0.0004946209966613083
赵老哥游资备用号;-4;18;14;40435;0.0003462346976629158
写手吐槽bot_;0;81;81;40435;0.0020032150364782987
汉语言文学中文系;-8;16;8;40435;0.0001978483986645233
写手吐槽bot_;5;99;104;40435;0.002572029182638803
心理作者-广思;1;1;2;40435;4.9462099666130826e-05
南方周末;7;619;626;40435;0.015481637195498948
欧洲文艺评论;16;541;557;40435;0.013775194757017436
小牛汪汪;10;24;34;40435;0.000840855694324224
王一快;5;71;76;40435;0.0018795597873129714
达尼林斯;4;16;20;40435;0.0004946209966613083
汪有;14;444;458;40435;0.01132682082354396
山风律师;1;7;8;40435;0.0001978483986645233
瞳_口嗨落学家;2;2;4;40435;9.892419933226165e-05
笋皇老祖;1;32;33;40435;0.0008161246444911587
沈叁茶;6;29;35;40435;0.0008655867441572895
卡卡荷光;1;15;16;40435;0.0003956967973290466
听唔明咩_;3;5;8;40435;0.0001978483986645233
二逼瓦西里;24;191;215;40435;0.005317175714109064
狐狐狐狐狐妖;5;17;22;40435;0.0005440830963274391
eDiary-电子日记本;44;37;81;40435;0.0020032150364782987
成都商报;1;8;9;40435;0.00022257944849758872
Isabelle_furler;1;1;2;40435;4.9462099666130826e-05
蘑菇今天失眠了吗;1;3;4;40435;9.892419933226165e-05
新浪科技;6;22;28;40435;0.0006924693953258316
会当投水三千里;1;4;5;40435;0.00012365524916532706
Shuisez;1;5;6;40435;0.00014838629899839248
36氪;7;31;38;40435;0.0009397798936564857
晨飒-飞扬;7;16;23;40435;0.0005688141461605045
無言之生;1;1;2;40435;4.9462099666130826e-05
十宗罪蜘蛛;111;1810;1921;40435;0.04750834672931866
Yulutannnnn;1;2;3;40435;7.419314949919624e-05
不是朋克;1;1;2;40435;4.9462099666130826e-05
六边形战士之全面不及格;1;1;2;40435;4.9462099666130826e-05
彭朗比你死亡多一次;1;2;3;40435;7.419314949919624e-05
还是要加油A;1;1;2;40435;4.9462099666130826e-05
Drakeet;6;26;32;40435;0.0007913935946580932
李子的围脖;11;71;82;40435;0.002027946086311364
Mikaelss-;3;2;5;40435;0.00012365524916532706
理论法郭晓飞;3;35;38;40435;0.0009397798936564857
咖bu啡;1;2;3;40435;7.419314949919624e-05
围姬岛的NINARTEMIS;2;4;6;40435;0.00014838629899839248
霜雪人间;1;87;88;40435;0.0021763323853097563
乘桴于海-;1;3;4;40435;9.892419933226165e-05
Meta_wu;4;8;12;40435;0.00029677259799678495
叫我阿应就好啦;7;1;8;40435;0.0001978483986645233
烟城FogLand;1;2;3;40435;7.419314949919624e-05
Jacgaaaaa;3;2;5;40435;0.00012365524916532706
劈叉踢;1;9;10;40435;0.00024731049833065413
猫猫张圆圆;4;120;124;40435;0.0030666501793001114
欧阳晓丹OD;3;3;6;40435;0.00014838629899839248
杂事儿闲谈君;1;3;4;40435;9.892419933226165e-05
临水沉沙;2;3;5;40435;0.00012365524916532706
凌宙但是赛博蛋工;2;10;12;40435;0.00029677259799678495
Les_collines_dAnacapri;1;3;4;40435;9.892419933226165e-05
理啧盐;3;10;13;40435;0.00032150364782985037
萩原朔太郎;1;10;11;40435;0.00027204154816371954
乐希-流麻翻车版;2;8;10;40435;0.00024731049833065413
Chimitan酱;1;2;3;40435;7.419314949919624e-05
猫猫又子;-4;3;-1;40435;-2.4731049833065413e-05
煎饼英语课;3;17;20;40435;0.0004946209966613083
芙蓉城里尽余晖;1;6;7;40435;0.0001731173488314579
哨子_whistle;1;69;70;40435;0.001731173488314579
牛奶面包爱睡大觉;2;3;5;40435;0.00012365524916532706
芋圆瘦肉丸;1;4;5;40435;0.00012365524916532706
有效改善腋毛分叉;17;596;613;40435;0.015160133547669099
憂情劍心;2;6;8;40435;0.0001978483986645233
陈思进;3;2;5;40435;0.00012365524916532706
叶三;10;153;163;40435;0.004031161122789662
私募排排网;4;19;23;40435;0.0005688141461605045
皮诺屑兔;1;3;4;40435;9.892419933226165e-05
明镜止水x;1;2;3;40435;7.419314949919624e-05
沼跃古鱼鱼鱼;1;1;2;40435;4.9462099666130826e-05
苦过乐过;1;1;2;40435;4.9462099666130826e-05
抱is啊;1;4;5;40435;0.00012365524916532706
再开朗的人上班都垮起个批脸;4;10;14;40435;0.0003462346976629158
Simon的白日梦;12;125;137;40435;0.003388153827129962
GitHubDaily;17;596;613;40435;0.015160133547669099
西城大妈;22;435;457;40435;0.011302089773710894
