发布者;群体情绪;时间
明天也一起加油吧;0.01947576474895793;2023-04-14 13:34:50
刘温暖ing;-0.0005841420604176432;2023-04-16 09:10:52
玖玖说股事;0.002020463857910075;2023-04-13 22:25:11
凯恩斯;0.0001257662692469249;2023-04-13 22:03:05
赵老哥游资备用号;0.0004030720329239024;2023-04-14 07:37:18
写手吐槽bot_;0.0010679964823509874;2023-04-16 17:14:45
汉语言文学中文系;0.0008195745913666833;2023-04-16 08:09:36
写手吐槽bot_;0.0004732277809264281;2023-04-15 18:23:55
心理作者-广思;-5.513523792104464e-05;2023-04-14 21:26:26
南方周末;-0.0019851617255455195;2023-04-14 21:24:13
欧洲文艺评论;0.00957165640702666;2023-04-14 18:56:30
小牛汪汪;0.001919442801437531;2023-04-14 17:16:46
王一快;-0.00040820448199313714;2023-04-14 14:04:39
达尼林斯;-0.0003297044768388527;2023-04-14 12:07:22
汪有;0.00516363540758311;2023-04-14 08:06:46
山风律师;0.0003739858936926861;2023-04-13 22:50:30
瞳_口嗨落学家;-6.956847726881172e-05;2023-04-16 21:18:20
笋皇老祖;-0.0007248016757414696;2023-04-16 09:16:55
沈叁茶;0.0016027364038576073;2023-04-15 08:36:58
卡卡荷光;0.00034209659266199393;2023-04-14 12:41:13
听唔明咩_;0.00010722787958896091;2023-04-14 10:36:31
二逼瓦西里;0.002878451583497604;2023-04-17 08:35:24
狐狐狐狐狐妖;0.0007406121087289746;2023-04-17 02:11:57
eDiary-电子日记本;-0.0003766945185463575;2023-04-16 06:29:56
成都商报;0.0;2023-04-15 11:56:26
Isabelle_furler;9.963947350875708e-05;2023-04-15 07:51:40
蘑菇今天失眠了吗;9.940981360205577e-05;2023-04-15 01:24:02
新浪科技;0.00027053793426816804;2023-04-14 23:13:49
会当投水三千里;0.0003232339322993049;2023-04-14 23:01:45
Shuisez;-0.00010220020859197937;2023-04-14 22:17:14
36氪;0.00013622042265310733;2023-04-14 18:53:25
晨飒-飞扬;0.0012852382905905516;2023-04-14 17:27:44
無言之生;8.893741929496144e-05;2023-04-14 17:00:14
十宗罪蜘蛛;0.07828033162524757;2023-04-14 16:36:59
Yulutannnnn;-0.00018298658785300016;2023-04-14 15:52:44
不是朋克;6.413685820850036e-05;2023-04-14 15:43:05
六边形战士之全面不及格;2.6937839339668792e-05;2023-04-14 15:40:37
彭朗比你死亡多一次;0.00021925797307934845;2023-04-14 14:10:00
还是要加油A;8.721903441006127e-05;2023-04-14 13:41:29
Drakeet;-0.000747203388798021;2023-04-14 13:29:56
李子的围脖;0.0037642859388407612;2023-04-14 08:23:33
Mikaelss-;9.880466080935293e-05;2023-04-14 07:01:40
理论法郭晓飞;0.0015912573182771132;2023-04-13 23:31:01
咖bu啡;7.219621493894186e-05;2023-04-16 18:55:40
围姬岛的NINARTEMIS;0.00023756118483242588;2023-04-14 15:38:43
霜雪人间;0.0039803895552912695;2023-04-13 23:07:26
乘桴于海-;0.00018604105648066784;------
Meta_wu;0.0005538535615516799;2023-04-12 08:49:25
叫我阿应就好啦;0.00042980077050456806;2023-04-12 06:54:02
烟城FogLand;1.9754165624041135e-05;2023-04-12 07:24:48
Jacgaaaaa;0.0003587065283301231;2023-04-12 08:41:19
劈叉踢;-0.00028377721103366594;2023-04-13 06:48:34
猫猫张圆圆;0.004796401851887392;2023-04-12 22:02:49
欧阳晓丹OD;0.00014720217715010332;2023-04-13 14:24:58
杂事儿闲谈君;0.00018662762492212552;2023-04-15 23:25:44
临水沉沙;-0.000136145632564582;2023-04-12 10:49:00
凌宙但是赛博蛋工;0.0005607104803042449;2023-04-12 09:12:43
Les_collines_dAnacapri;-0.0001613005803407218;2023-04-11 10:02:14
理啧盐;5.478450174702006e-05;2023-04-11 16:58:18
萩原朔太郎;0.0005147542342271675;2023-04-11 09:21:44
乐希-流麻翻车版;-0.00030654544463218033;2023-04-12 00:10:44
Chimitan酱;0.00013780546072511153;2023-04-11 22:32:33
猫猫又子;0.000489745429249692;2023-04-11 15:55:34
煎饼英语课;0.0007546860795423096;2023-04-12 23:58:58
芙蓉城里尽余晖;-0.00048560144188093484;2023-04-12 00:16:44
哨子_whistle;0.0013276794762612128;2023-04-12 00:08:13
牛奶面包爱睡大觉;0.00035539329599274715;2023-04-11 15:57:05
芋圆瘦肉丸;0.000171523578572977;2023-03-22 11:19:05
有效改善腋毛分叉;0.018407910577293535;2023-03-22 11:29:01
憂情劍心;0.0006170418915214048;2023-03-22 11:20:15
陈思进;-2.513396995336759e-05;2023-03-22 11:38:35
叶三;0.009106157988239905;2023-03-22 12:48:03
私募排排网;0.0009913097086172687;2023-03-22 11:22:42
皮诺屑兔;-4.078006647093653e-06;2023-03-22 11:28:02
明镜止水x;-1.7078749407828132e-06;2023-03-22 14:40:26
沼跃古鱼鱼鱼;8.333923509212454e-05;2023-03-22 16:04:39
苦过乐过;-6.91016967299502e-05;2023-03-22 11:41:32
抱is啊;0.0002010699939912792;2023-03-22 12:16:04
再开朗的人上班都垮起个批脸;4.9253126175169275e-05;2023-03-22 11:25:40
Simon的白日梦;0.001792442013198344;2023-03-22 14:43:45
GitHubDaily;-0.0038578172608366447;2023-03-22 11:31:01
西城大妈;0.007468464273831543;2023-03-23 18:25:26
霜落在揪羊毛ing;0.001161085726254331;2023-03-22 13:47:27
量子位;-0.0006523888289163702;2023-03-22 11:27:00
NanNan敲鹿哩;-0.0002240745535409577;2023-03-23 00:32:15
古长伸人死了bot;0.00048229170497855034;2023-03-22 23:27:32
小仲景的投资日记;0.0005027369980721074;2023-03-22 14:39:38
eDiary-电子日记本;0.0007728940771679017;2023-03-22 14:38:55
提子姗姗要努力;0.0007634422184971253;2023-03-22 12:56:21
-昨日的紫晶与此刻的微风-;-0.00027103024711457654;2023-03-22 12:03:12
强者老板思维;5.387567916441655e-05;2023-03-22 11:51:28
变身成为胖蒜吧;0.00018251601825270796;2023-03-22 11:42:24
冷月之冰884;0.0007607466626045546;2023-03-22 11:36:04
Flamebringer;8.269463578083513e-05;2023-03-22 11:22:01
合肥斌叔;0.008393893937117078;2023-03-22 11:20:55
傅砺;-0.0002585291250866148;2023-03-22 11:19:55
触乐网;0.00046780272822726296;2023-03-22 11:17:43
荐见;0.010328776196175582;2023-03-22 11:17:03
神奇小机零;0.004600625592111513;2023-04-14 12:40:53
红豆馅儿青团;0.00022522314891136927;2023-04-14 01:55:49
Dec_36;0.0;2023-04-14 15:42:45
柯酒栲;1.0797830583048176e-05;2023-04-14 00:54:40
姬永锋;0.002605707264022802;2023-04-15 11:44:01
若言言和但丁学长谈恋爱;0.0016383893214863869;2023-04-13 23:46:46
刘耘博士;0.003449371939786214;2023-04-14 08:33:14
Agent阿神;0.0024161023150888155;2023-04-14 09:57:27
小流士;0.002153524887064411;2023-04-16 19:17:40
西风又落;0.0002848754903450964;2023-04-14 09:26:51
优游的鱼;0.0001846333148355007;2023-04-13 11:39:25
Houson猴姆;0.014504341437250016;2023-04-14 00:09:36
少数派sspai;-0.0006218930161409708;2023-04-13 11:47:52
homosapiens2000;-4.768177781340137e-05;2023-04-13 14:08:39
汪靓芬;0.004513252170603228;2023-04-14 01:04:16
抱上海绵宝宝去漂流DAYTOY;9.356997489356578e-05;2023-04-14 21:38:03
众合法考教育;0.008169741475343923;2023-04-13 19:22:14
读者吐槽bot_;0.0012931086571101797;2023-04-13 19:19:59
HR帝李晶;9.124261698388833e-05;2023-04-12 17:38:31
犹太人陆燕青;-9.276957779086923e-05;2023-04-12 16:51:02
每日荐游君;0.0024591027456028307;2023-04-12 17:05:48
竹马APP;0.027192394836161815;2023-04-13 00:29:29
法国文学bot;0.018209686763074596;2023-04-12 13:13:57
大公文匯網;0.0002238599200112865;2023-04-12 12:49:25
UCG稀饭;0.00022612635834458705;2023-04-12 10:40:17
电竞召唤师;-0.0008389016825651299;2023-04-11 23:00:18
中国战略支援;0.0019923471192005277;2023-04-11 21:00:41
女侠有了娃;-0.0007388576345973085;2023-04-11 20:52:54
哗哗huahua哗哗;-5.4228002688003056e-05;2023-04-11 23:01:01
张辛欣;0.0011437754655901197;2023-04-11 21:26:44
差评君;0.0037742635821212756;2023-04-11 21:40:15
龍冬;0.0009053581369219618;2023-04-11 21:39:48
立志做一只佛系小暖鸭;0.000273936989463175;2023-04-12 22:41:31
写手吐槽bot_;-0.01008347554475717;------
我和科技那些事;0.0058172638229085855;2023-04-12 15:54:33
同人女bot;0.005186923390660681;2023-04-11 18:07:40
懿领土_1113;0.0005939552847151592;2023-04-10 13:25:58
heyaniaaaay_18;1.625304357706265e-05;2023-04-12 11:36:03
做gfw不如出家;0.0013592295503984963;2023-04-10 02:38:36
minger8888;0.0001868969172973968;2023-04-15 04:27:48
深海姐姐Selina;0.00014722198501606427;2023-04-14 09:45:01
固体废物_;0.0002968761571890167;2023-04-13 22:10:47
远帆pro;0.00019756536361236398;2023-04-12 12:01:24
南方周末;0.00028124369118785394;2023-04-10 19:27:59
马达的加斯加;0.0014986979498896149;2023-04-10 17:00:16
袭击兀;-0.0013297635865418258;2023-04-10 13:55:58
YYYYY0024;0.00013608294921618465;2023-04-10 11:45:43
三天两觉是也;0.05822059785002576;2023-04-10 10:42:28
里八神;0.0013091150367819926;2023-04-09 22:31:15
价值投资日志;-0.00015686006215425596;2023-04-09 22:02:54
Miss汉谟拉比;0.004850620988050734;2023-04-09 21:21:26
译林出版社;0.0010435354695417264;2023-04-09 20:40:16
写手吐槽bot_;-0.00228837132255194;2023-04-10 00:31:47
同人女bot;0.006002176351467984;2023-04-10 00:09:58
只搞真实;3.0052152063650462e-05;2023-04-09 22:45:18
颜科技;0.0006769440385974819;2023-04-14 10:38:57
Drakeet;0.0002646261272128829;2023-04-12 17:57:52
微博音乐;8.776387499660919e-05;2023-04-10 22:09:26
写手吐槽bot_;0.02699511331287876;2023-04-10 15:10:15
陆上无井_;0.0;2023-04-10 13:52:21
吴小轶老师;0.0011175959882422347;2023-04-10 10:47:09
何时郴_;0.00036166331949037927;2023-04-10 08:20:02
骑桶人;0.004228605525188945;2023-04-10 01:19:47
莲子白衣;0.007741653181987057;2023-04-10 00:51:43
白娟_Jolie;0.00042347946586379333;2023-04-09 23:43:29
宝玉xp;0.0037134048838004833;2023-04-09 23:36:01
狗哥机器人4丶0版;0.00019876177107738355;2023-04-09 23:35:56
7526389043_752;-0.002283760563499343;2023-04-09 22:53:09
-不明blind-;0.0009252874934981808;2023-04-09 22:39:21
墅姐聊跨境;0.0016723779093783002;2023-04-09 22:38:05
骑桶人;0.0008538967858875128;2023-04-09 22:23:31
左耳朵耗子;0.011060614708062595;2023-04-09 22:22:04
祝佳音;0.0030075486827790374;2023-04-09 22:20:41
桂圭看来看去;-0.00010678185492286829;2023-04-09 22:06:05
Quincy_Liu;-0.00015844962447137558;2023-04-09 21:59:33
佛心蛊虫2;0.005619135382547646;2023-04-09 21:52:40
飞鸟DA;0.00014036370187535505;2023-04-09 21:04:53
饼月干;0.004908156414867671;2023-04-09 22:01:56
香煎珐琅彩;0.00011496052226921564;2023-04-12 12:56:49
电动爹EVDaddy;-0.0004232328572389947;2023-04-11 19:23:43
知产误我;8.55115230136853e-05;2023-04-10 16:50:05
游戏圈资讯君;0.00019055216417758077;2023-04-10 14:43:29
新媒沈阳;0.0009419478774922847;2023-04-10 13:05:47
岳东晓博士;0.002323979555519042;2023-04-10 12:07:50
墅姐聊跨境;0.004617258018567009;2023-04-10 11:34:04
仿生白银提督会梦见电子小画家吗;0.00028221407676483963;2023-04-10 10:03:01
7526389043_752;-0.0001721894147090988;2023-04-10 09:59:48
五花王II;0.007085881171097377;2023-04-10 09:16:11
E伯爵;0.0013191026950117224;2023-04-10 09:16:05
写手吐槽bot_;0.023314417290057288;2023-04-10 08:06:39
一只猿的朝圣;0.0002611311992641171;2023-04-10 01:35:19
摸鱼的掌柜;0.0010336085997101417;2023-04-10 00:26:10
兽数码;-0.0001644027597855917;2023-04-09 23:40:41
UNCLE疯叔;0.0004139989533480341;2023-04-09 23:23:52
投资伯乐;-0.001129535075473581;2023-04-09 22:42:42
悦夏竹影;0.0003716621813520431;2023-04-09 22:21:44
天玑-无极领域;0.0013301508421104612;2023-04-09 22:01:45
于欣烈;0.002000397892513943;2023-04-09 21:39:03
骑桶人;0.013425061694434175;2023-04-09 21:15:43
两色风景嘎;0.006941455513753128;2023-04-09 20:52:15
姬永锋;0.00020309481412922762;2023-04-11 10:43:15
苦丁山;0.0006153369514351609;2023-04-12 15:06:34
迷途小两色;-0.00026777449335422534;2023-04-11 00:29:51
唐极鲸;0.010825443798358685;2023-04-11 01:34:33
麦田烂布;3.509689053851369e-05;2023-04-11 01:44:28
邪吻受难者交流中心;0.0071737872055469935;2023-04-10 23:55:29
飞哥说留学;0.0005122504190594856;2023-04-11 07:35:42
eudht_;4.0841283297991685e-05;2023-04-11 17:51:44
赵昱鲲;0.004413643639812713;2023-04-10 14:51:55
证券市场红周刊;0.0004540543027394339;2023-04-10 21:22:20
Puredee_梭哈逻辑;0.001066281963782581;2023-04-11 00:02:29
写手吐槽bot_;0.0030799437768138788;2023-04-11 05:44:42
yang股说;0.0005178839365577902;2023-04-10 20:29:12
写手吐槽bot_;0.03146630912326925;2023-04-10 15:48:23
JwhSir-;0.00016576025188946665;2023-04-10 14:50:07
治愈系心理学;0.006390587229382808;2023-04-10 14:42:39
班叔;0.002403770282508945;2023-04-10 14:34:09
互联网纵横;0.00031607789691841655;2023-04-10 23:22:34
价值投资日志;0.0011150111180518519;2023-04-10 18:46:06
IT观察猿;0.007772582807465763;2023-04-10 16:58:49
沐风侃大山;0.0009618425929591482;2023-04-10 15:44:18
仰问千年事;0.0005975918194110004;2023-04-10 14:29:28
西南医科大学青年全媒体中心;0.004104772254340757;2023-04-10 21:16:08
价值投资日志;0.0006728035662727903;2023-04-10 17:57:27
互联网的那点事;0.000912674208771145;2023-04-10 17:21:17
跨境背包客;0.0012906731119356179;2023-04-10 15:32:08
北京大房子;0.0002714272964281222;2023-04-10 15:30:34
我不是盆栽啊;0.0012052172345170752;2023-04-10 15:28:30
每日经济新闻;0.00019138316156574957;2023-04-10 15:27:34
岳东晓博士;0.031133558000259094;2023-04-10 15:17:55
休城社会闲散人士;0.0020314424955632272;2023-04-10 15:16:44
宝玉xp;0.0009829158739394347;2023-04-10 15:10:56
三个设计师;0.002630414068611296;2023-04-10 15:00:54
班叔;0.013349913666774276;2023-04-10 14:47:26
字语智能-小宇;0.0;2023-04-10 14:25:47
煮导论文秀才;4.9614156364205e-05;2023-04-10 14:23:38
识物客;0.02487813838908772;2023-04-11 08:47:46
山木山木山;0.00027264430654458133;2023-04-11 05:14:54
左宁刑诉;0.016453305996768423;2023-04-11 00:49:18
Noey懦已;0.00023332955220601364;2023-04-10 23:04:55
金融八卦女;0.00036769289426652;2023-04-10 21:29:02
蟹苗小夏;0.00014872329731473093;2023-04-10 17:19:53
栗子荔枝励志_;9.062762579321855e-05;2023-04-10 16:28:25
互联网三爷;0.001379389452207714;2023-04-10 16:03:14
我也想要ssr鸭;0.0020974079247477045;2023-04-10 15:57:53
福生小子;-8.169335376435342e-05;2023-04-10 15:47:22
原鹿--;0.00044415845525179454;2023-04-10 15:25:23
宝玉xp;0.007151392536687435;2023-04-10 14:48:38
休宝可爱捏;0.0006486866065459947;2023-04-10 14:48:14
_World_exe;0.00023397788250273087;2023-04-10 14:37:05
呱唧不会挂机;0.00020252197713430657;2023-04-10 14:36:28
盈步婀娜Grace;0.00030351691966072386;2023-04-10 14:36:16
双鸭山共青团;0.00017513287924638405;2023-04-10 14:28:30
满月陨石的背面;0.00012387835150991325;2023-04-10 23:56:04
独立站Megan;-0.0005558823250192564;2023-04-10 15:45:57
Michelle最爱保罗;-6.093125907067819e-05;2023-04-10 22:58:08
舒国华的微博;0.0002786551751145749;2023-04-11 08:03:55
科学有故事汪诘;-0.00015530613894205095;2023-04-11 01:59:55
电子便利贴;0.01640121713459379;2023-04-11 00:47:34
鍋盖頭司令;0.01481462000864563;2023-04-10 23:49:12
优设AIGC;-0.0006015707593753812;2023-04-10 23:48:47
电商品牌报;-0.0004240723193794436;2023-04-10 23:44:43
日暮渐远Now;8.855139423986631e-05;2023-04-10 23:32:18
写手吐槽bot_;0.0018180348114934576;2023-04-10 23:07:22
痕迹检验师九滴水;0.003917803741136669;2023-04-10 22:49:03
菜爷CY;0.05892492939059399;2023-04-10 18:20:33
小猪快跑lululu;-1.1855531428745825e-05;2023-04-10 18:17:31
