label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;从没指望在网上遇到好的资料，但这个出乎意料，非常高质全面精简[泪]超级超级感谢啦，刷到是我的荣幸;1;7;8;2758;0.0029006526468455403
2;请问只准备一个正反方的模板够吗？[跪了];4;0;4;2758;0.0014503263234227702
7;你说的那位朋友是不是我[害羞];2;0;2;2758;0.0007251631617113851
10;感谢！;1;0;1;2758;0.00036258158085569254
54;点了sign up，弹出的对话框显示“continue with google”，点击没响应，找不到注册的入口，求助[作揖];2;0;2;2758;0.0007251631617113851
66;chat  GPT是啥？;1;0;1;2758;0.00036258158085569254
73;@别弄丢快乐;1;1;2;2758;0.0007251631617113851
77;@Residein_;1;0;1;2758;0.00036258158085569254
116;各种造谣;3;1;4;2758;0.0014503263234227702
120;oppo辟谣了吗;2;0;2;2758;0.0007251631617113851
129;怎么检测到啊[单身狗][单身狗]我还准备用他降一降;8;0;8;2758;0.0029006526468455403
139;chatgpt怎么样[doge][doge];1;1;2;2758;0.0007251631617113851
142;毫不担心，AI没我会舔，业主的情绪价值也很重要;1;11;12;2758;0.00435097897026831
144;ai跟外包有啥关系;1;0;1;2758;0.00036258158085569254
147;同意+1 这发言好他妈正确;1;1;2;2758;0.0007251631617113851
149;想起了《我，机器人》[泪];1;2;3;2758;0.0010877447425670776
151;再研究这些东西就等着ai统治世界吧 人变ai奴;1;2;3;2758;0.0010877447425670776
153;我陆老师黑眼圈有点重;1;0;1;2758;0.00036258158085569254
156;这次因为克味写的还可以所以我接受了下次就不一定了（[开学季][开学季][开学季]）;2;1;3;2758;0.0010877447425670776
159;我发现我居然被pua到只要比鲲好就可以了🚬;1;1;2;2758;0.0007251631617113851
166;下次吐槽舍友来找师姐取经[哈哈][哈哈];1;0;1;2758;0.00036258158085569254
168;不要教它这个[嘻嘻];1;0;1;2758;0.00036258158085569254
182;@小歪就这样;1;0;1;2758;0.00036258158085569254
204;@梅气罐兰漂亮;1;0;1;2758;0.00036258158085569254
214;@瑶遥芜期-;1;0;1;2758;0.00036258158085569254
222;@半夜汽笛Palpitate;1;0;1;2758;0.00036258158085569254
226;@0C圈 🐎;1;0;1;2758;0.00036258158085569254
239;应该先考虑全ai写作的网文时代还有人看吗，想看直接生产一个就好了;1;1;2;2758;0.0007251631617113851
242;看成了公牛插座也有AI写作功能了？看了三遍。;1;0;1;2758;0.00036258158085569254
244;另一个课的助教之前试图用这个问法来检验是否有plagiarism 十分不靠谱[doge];1;2;3;2758;0.0010877447425670776
246;是的，而且如果你说它错了，它马上道歉改口说不是AI写的;2;3;5;2758;0.0018129079042784628
249;好用么？还没用上，羡慕啊;1;0;1;2758;0.00036258158085569254
336;这一战是AI输了;2;0;2;2758;0.0007251631617113851
341;人工智能确实可以节省很多的成品了，也可以反复的利用。;1;2;3;2758;0.0010877447425670776
343;以后很多东西很多工作岗位都会被人工智能代替吧[笑cry];1;0;1;2758;0.00036258158085569254
345;可能在不久的将来，走进电影院的人们会看到更多由人工智能技术生成的内容;1;1;2;2758;0.0007251631617113851
354;都已经开始进军好莱坞了呀，一定会越来越棒。;2;2;4;2758;0.0014503263234227702
357;你的图真好看;2;0;2;2758;0.0007251631617113851
360;说到我的心理头了;1;0;1;2758;0.00036258158085569254
362;技术指导，引领财富之路，指点未来。轻松涨涨涨，还是得看#嘉兴投资之道#;1;0;1;2758;0.00036258158085569254
397;“值得一读”的标签就很莫名;1;0;1;2758;0.00036258158085569254
399;会不会是翻译水平不行;1;0;1;2758;0.00036258158085569254
401;这是用的哪个app看的[哇];1;0;1;2758;0.00036258158085569254
