发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
LuvstarvedShameless;6.968616834087686e-06;0.5789388368427676;0.9054138197899514;3.795347808563122e-06
赛博十块鉴定处;0.1425326044160124;-0.0065697587920932;0.5109912929827527;-0.0004971670499328687
赛博十块鉴定处;0.1732328458785857;0.3229024641937062;0.4514065635916668;0.026235821113094793
林枭2023;0.0109964773641903;0.5159726790474319;0.4116323370262089;0.002426693727786538
赛博十块鉴定处;0.0082961383409813;0.0905053940759774;0.374194518418422;0.0002919261921994816
赛博十块鉴定处;0.0080696582938735;0.1232040463043097;0.3985344329909177;0.00041169079668755033
赛博十块鉴定处;0.1594105943881728;0.079625699499253;0.4580402159449078;0.006040866589025655
我是无能狂怒队长;5.574893467270149e-05;-0.0099466606753961;0.6158552164123093;-3.548278433875462e-07
东南亚选秀博士;0.0010627140671983;0.286328287244954;0.3170486471511908;0.00010023785886467921
不够吃我再点;1.3937233668175372e-05;0.0282792239713893;0.6363635535351746;2.6060008879293406e-07
月神幻兔;0.0004320542437134;0.2863152076869333;0.4473116569004825;5.749341419341972e-05
苏老邪_HenrySo;3.135877575339459e-05;0.8357487922705313;0.6363907130221239;1.7329414215559452e-05
闲鱼带亨蛋小丁;1.045292525113153e-05;0.6397241863909029;0.6363634514602653;4.421412514817795e-06
凯蒂小姐的蔷薇花园;1.7421542085219216e-05;0.7110057319600409;0.8199751925670282;1.0553234824362236e-05
技术不足超能力补;1.045292525113153e-05;0.2917942958343202;0.6363844839683003;2.016784138284027e-06
929星球-深深小白粥;2.43901589193069e-05;-0.3415588177141136;0.6891602162278994;-5.9652070487995595e-06
mrboomer;6.968616834087686e-06;0.9850152880553432;0.6363876596321419;4.538752471762445e-06
东馆日常;0.000480834561552;0.5182347276988397;0.5049136875658388;0.00013072676825280193
sunix;2.43901589193069e-05;0.3965908955054051;0.6937888293551756;6.9728426524697235e-06
何尔萌很萌;2.090585050226306e-05;0.9189993076793352;0.6865499848969154;1.3705042248974462e-05
看展sohu;1.7421542085219216e-05;0.6631795452252024;0.8726914016767133;1.0476195784004632e-05
Tea-krisy;0.0019477284051275;0.3692631623210715;0.3077228923818145;0.00022995845414377805
小特研究所;0.0014564409183243;0.3628350129479644;0.3943810226178154;0.00021654255751643096
征哥哥哥哥哥哥;1.045292525113153e-05;0.4070124917234572;0.5745964852722865;2.5400001396647587e-06
什么时候才能早睡早起鸭;3.484308417043843e-05;-0.2731803542491151;0.6363675457982896;-6.293601909438545e-06
萝依妮雅;2.090585050226306e-05;-0.1046430829802664;0.6363637463433364;-1.446468527894938e-06
安澜堂懒猫;5.574893467270149e-05;0.9611806022241116;0.6582263451954756;3.664730335881366e-05
自种天然;0.1219612475217856;0.822657429179674;0.8181924522368599;0.08529460121659464
Sweet猫饼;0.0014041762920686;0.3346680639365573;0.3353082379256999;0.00016372135224735813
古拉古拉古拉皮卡;0.0137943770230765;0.5994747711908894;0.6481036603302004;0.005568556990852843
阿里云大咖说;3.832739258748227e-05;0.2586320549313587;0.466706567849658;4.806851775983128e-06
简忠威水彩艺术;0.0017177640496026;0.7771546421841147;0.3723227572759601;0.0005164350730100679
稿定设计;6.968616834087686e-06;-0.5719608805569292;0.637557992536464;-2.6403274961234e-06
小仲景的投资日记;4.181170100452612e-05;0.8943974504373191;0.6364776790084873;2.4730719890903507e-05
于文平Turman;3.484308417043843e-05;0.8776063552465656;0.6922171985486165;2.1992972293809642e-05
手可摘星星412;1.3937233668175372e-05;-0.1152376778487438;0.5881362264306895;-9.814636115439477e-07
洛之秋;0.0346409942822498;0.6342839648172112;0.4008890504864462;0.00915215712888609
虚鲸般的幻想;1.045292525113153e-05;0.3512383451427737;0.4502592449870973;1.7176220153571747e-06
FH_moya;0.0001533095703499;0.4204244126250812;0.5480601652868523;3.6703765548521694e-05
搞笑奇葩精选;6.968616834087686e-06;0.859270450524644;0.6878396008212465;4.279458613132449e-06
-你吱;0.0054355211305883;0.9999991043869714;0.6381307127087055;0.0036039241242660867
凯蒂小姐的蔷薇花园;2.7874467336350744e-05;-0.0708964617027931;0.6363966655555586;-1.3067250769721954e-06
童叟无欺鬼鬼山;2.090585050226306e-05;0.8979317108995282;0.6363793531108807;1.2412304537662324e-05
极地羽翼;1.3937233668175372e-05;0.2409838797575065;0.6363819988493207;2.220790811920309e-06
盐水饼干;6.271755150678917e-05;0.1498622143257327;0.7318178672137094;7.146764000292943e-06
爱吃蛋糕的Felicia;0.0137943770230765;0.999999341160218;0.6481041820464029;0.009289061145353801
盔性恋;2.7874467336350744e-05;-0.5770701815407022;0.6363647330674586;-1.0635710474008808e-05
万年王十二;6.968616834087686e-06;0.167705696741496;0.6363739733851111;7.727375248991611e-07
狂妄画集;2.7874467336350744e-05;0.9790919097011972;0.6363753797505267;1.8045486722770053e-05
白白白花衬衫;2.43901589193069e-05;0.2820044344553424;0.7665163322015038;5.47793875694097e-06
斜谷云深;1.7421542085219216e-05;0.999721744011185;0.6363635308518614;1.1515855519698958e-05
AI-Doll;3.135877575339459e-05;-0.1252336448598137;0.6364247437166908;-2.5968829119145538e-06
MANTIS红;2.7874467336350744e-05;0.997050064481434;0.6363789555048059;1.837657386363164e-05
Shoppu-;1.3937233668175372e-05;-0.99757750405841;0.6363633531659084;-9.19292214465048e-06
ionaraq_;0.0002090585050226;0.1095785206017773;0.6364200463265839;1.5148244848148145e-05
TK·唐;1.7421542085219216e-05;0.0668754301855895;0.6363641243985556;7.703428626607522e-07
我特爱吃汉堡;1.7421542085219216e-05;0.9999922696213404;0.6364417775886799;1.1520388083938457e-05
蓝莓酱全肯定bot;1.3937233668175372e-05;0.6092810739283299;0.6363640903735858;5.614681508674292e-06
突然兴奋的患者;0.0024076571161772;0.1297216639753602;0.6381100166698156;0.0002070751107767245
你大延哥;6.968616834087686e-06;0.4445708575139353;0.6363669295682823;2.048426429498503e-06
小葱跑快快;0.0007560949264985;0.2956833341870777;0.6010103587175744;0.00013960800469916014
俞晓晓晓;1.3937233668175372e-05;-0.1206666451974718;0.6363637350016798;-1.1119734916255419e-06
俞晓晓晓;6.968616834087686e-06;0.9684678403618848;0.6363637350016798;4.46233739328661e-06
Utah相反方向;6.968616834087686e-06;0.6711996551015337;0.7763692359304651;3.773043570374333e-06
月神幻兔;0.0004390228605475;0.6177777777777778;0.6372638403002119;0.0001795824473436607
也亿盐;0.000480834561552;0.4494323471135531;0.2959220003720813;6.644502198019248e-05
呜哦喔_;1.045292525113153e-05;0.6371485006848998;0.8658983557696952;5.991983617975881e-06
搞某人;0.006041790795154;0.3952158635749079;0.3991916367950693;0.0009903909833295047
高通;5.9233243089745335e-05;-0.7557290645113477;0.6393027035471873;-2.9734686884055538e-05
绝对伏特加;1.7421542085219216e-05;0.1939203151830816;0.4838264003312224;1.6983400731617578e-06
Satan的女儿;6.968616834087686e-06;-0.1999999999999997;0.6363657613776549;-9.215280914357882e-07
大江户战士OedoSoldier;0.0001045292525113;0.479066415641863;0.5472514493997603;2.8473816612340503e-05
老蜂蜜Gi;0.0004216013184623;0.1570738879308615;0.5427588767600514;3.734548304016501e-05
浩瀚海洋中的浅水之鱼;2.43901589193069e-05;0.5287944627974819;0.8308466325771479;1.1133906888419404e-05
华北油田公司;1.7421542085219216e-05;0.7691800658812445;0.7819054425334883;1.0886644542650836e-05
海盐抹茶山;4.181170100452612e-05;-0.0781273054985279;0.5009627338428285;-1.7003224729460956e-06
崩壞小爪;5.574893467270149e-05;0.7860138270743446;0.6536402391397972;2.9759849526956693e-05
半颗荔枝i;0.0002160271218567;0.3985592231847554;0.4660007091492726;4.168817785304628e-05
md2_;0.0199581186128271;0.2685659275274976;0.3899724159768837;0.0021718488348715682
浪与途鲸;6.968616834087686e-06;-0.2200529173658385;0.6363635951212486;-1.0139212732680139e-06
小葱跑快快;0.0001776997292692;0.0;0.6367545560655046;0.0
Ai绘_Sicx本;2.43901589193069e-05;0.979473184534766;0.6364124852221994;1.5796870718768265e-05
腐潶;0.0008188124780053;0.6558377387984452;0.4375566167633432;0.0002441407664807049
机器之心Pro;3.484308417043843e-05;0.9032151656373808;0.6366817458707543;2.081878603565593e-05
凯蒂小姐的蔷薇花园;6.968616834087686e-06;0.6152844880577815;0.6363758863445204;2.835054806580762e-06
Starrrrrrry星;2.090585050226306e-05;0.9598125830401776;0.636376520829194;1.3267638187607268e-05
归羌;1.3937233668175372e-05;-0.2186211651185979;0.6363651602698562;-2.0146535473590087e-06
Grandia元;0.0010104494409427;0.8014429656147214;0.7846645406868422;0.000660231785265772
月神幻兔;0.0012926784227232;0.1548771666234842;0.5332774107145508;0.00011093185474716892
涂鸦王国菌;6.968616834087687e-05;-0.9328683037933994;0.6366430989059292;-4.300195009407412e-05
鹤戾申;3.484308417043843e-05;0.1837291296977462;0.5016857136439723;3.3369640962818377e-06
Cutky;5.574893467270149e-05;-0.4823220665457521;0.6364465494016569;-1.7781190412088896e-05
阿尔萨鱼;4.529600942156996e-05;-0.0001903988795607;0.6054610019868283;-5.4254491587721485e-09
虚拟多巴胺;-6.968616834087686e-06;0.45457667098307;0.5229068714760192;-1.7210887687693323e-06
皮卡智能AI视觉平台;1.045292525113153e-05;0.0314936849477808;0.5533502595043218;1.89272114279779e-07
