发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
LuvstarvedShameless;1;1;2;287001;6.968616834087686e-06
赛博十块鉴定处;907;40000;40907;287001;0.14253260441601248
赛博十块鉴定处;718;49000;49718;287001;0.17323284587858578
林枭2023;88;3068;3156;287001;0.010996477364190368
赛博十块鉴定处;96;2285;2381;287001;0.00829613834098139
赛博十块鉴定处;55;2261;2316;287001;0.00806965829387354
赛博十块鉴定处;751;45000;45751;287001;0.15941059438817287
我是无能狂怒队长;4;12;16;287001;5.574893467270149e-05
东南亚选秀博士;65;240;305;287001;0.001062714067198372
不够吃我再点;1;3;4;287001;1.3937233668175372e-05
月神幻兔;2;122;124;287001;0.00043205424371343655
苏老邪_HenrySo;1;8;9;287001;3.135877575339459e-05
闲鱼带亨蛋小丁;1;2;3;287001;1.045292525113153e-05
凯蒂小姐的蔷薇花园;2;3;5;287001;1.7421542085219216e-05
技术不足超能力补;2;1;3;287001;1.045292525113153e-05
929星球-深深小白粥;1;6;7;287001;2.43901589193069e-05
mrboomer;1;1;2;287001;6.968616834087686e-06
东馆日常;5;133;138;287001;0.00048083456155205033
sunix;2;5;7;287001;2.43901589193069e-05
何尔萌很萌;5;1;6;287001;2.090585050226306e-05
看展sohu;3;2;5;287001;1.7421542085219216e-05
Tea-krisy;178;381;559;287001;0.0019477284051275083
小特研究所;37;381;418;287001;0.0014564409183243263
征哥哥哥哥哥哥;2;1;3;287001;1.045292525113153e-05
什么时候才能早睡早起鸭;3;7;10;287001;3.484308417043843e-05
萝依妮雅;1;5;6;287001;2.090585050226306e-05
安澜堂懒猫;3;13;16;287001;5.574893467270149e-05
自种天然;3;35000;35003;287001;0.12196124752178564
Sweet猫饼;85;318;403;287001;0.0014041762920686688
古拉古拉古拉皮卡;1;3958;3959;287001;0.013794377023076575
阿里云大咖说;9;2;11;287001;3.832739258748227e-05
简忠威水彩艺术;29;464;493;287001;0.0017177640496026146
稿定设计;1;1;2;287001;6.968616834087686e-06
小仲景的投资日记;2;10;12;287001;4.181170100452612e-05
于文平Turman;3;7;10;287001;3.484308417043843e-05
手可摘星星412;1;3;4;287001;1.3937233668175372e-05
洛之秋;146;9796;9942;287001;0.034640994282249885
虚鲸般的幻想;1;2;3;287001;1.045292525113153e-05
FH_moya;3;41;44;287001;0.0001533095703499291
搞笑奇葩精选;1;1;2;287001;6.968616834087686e-06
-你吱;1;1559;1560;287001;0.005435521130588396
凯蒂小姐的蔷薇花园;1;7;8;287001;2.7874467336350744e-05
童叟无欺鬼鬼山;2;4;6;287001;2.090585050226306e-05
极地羽翼;1;3;4;287001;1.3937233668175372e-05
盐水饼干;2;16;18;287001;6.271755150678917e-05
爱吃蛋糕的Felicia;1;3958;3959;287001;0.013794377023076575
盔性恋;1;7;8;287001;2.7874467336350744e-05
万年王十二;1;1;2;287001;6.968616834087686e-06
狂妄画集;1;7;8;287001;2.7874467336350744e-05
白白白花衬衫;2;5;7;287001;2.43901589193069e-05
斜谷云深;1;4;5;287001;1.7421542085219216e-05
AI-Doll;1;8;9;287001;3.135877575339459e-05
MANTIS红;1;7;8;287001;2.7874467336350744e-05
Shoppu-;1;3;4;287001;1.3937233668175372e-05
ionaraq_;2;58;60;287001;0.00020905850502263057
TK·唐;2;3;5;287001;1.7421542085219216e-05
我特爱吃汉堡;1;4;5;287001;1.7421542085219216e-05
蓝莓酱全肯定bot;2;2;4;287001;1.3937233668175372e-05
突然兴奋的患者;1;690;691;287001;0.0024076571161772958
你大延哥;1;1;2;287001;6.968616834087686e-06
小葱跑快快;3;214;217;287001;0.000756094926498514
俞晓晓晓;1;3;4;287001;1.3937233668175372e-05
俞晓晓晓;1;1;2;287001;6.968616834087686e-06
Utah相反方向;1;1;2;287001;6.968616834087686e-06
月神幻兔;2;124;126;287001;0.0004390228605475242
也亿盐;83;55;138;287001;0.00048083456155205033
呜哦喔_;2;1;3;287001;1.045292525113153e-05
搞某人;141;1593;1734;287001;0.006041790795154024
高通;2;15;17;287001;5.9233243089745335e-05
绝对伏特加;0;5;5;287001;1.7421542085219216e-05
Satan的女儿;1;1;2;287001;6.968616834087686e-06
大江户战士OedoSoldier;6;24;30;287001;0.00010452925251131529
老蜂蜜Gi;7;114;121;287001;0.000421601318462305
浩瀚海洋中的浅水之鱼;4;3;7;287001;2.43901589193069e-05
华北油田公司;1;4;5;287001;1.7421542085219216e-05
海盐抹茶山;6;6;12;287001;4.181170100452612e-05
崩壞小爪;3;13;16;287001;5.574893467270149e-05
半颗荔枝i;14;48;62;287001;0.00021602712185671828
md2_;171;5557;5728;287001;0.019958118612827133
浪与途鲸;1;1;2;287001;6.968616834087686e-06
小葱跑快快;1;50;51;287001;0.000177699729269236
Ai绘_Sicx本;2;5;7;287001;2.43901589193069e-05
腐潶;18;217;235;287001;0.0008188124780053031
机器之心Pro;1;9;10;287001;3.484308417043843e-05
凯蒂小姐的蔷薇花园;1;1;2;287001;6.968616834087686e-06
Starrrrrrry星;1;5;6;287001;2.090585050226306e-05
归羌;2;2;4;287001;1.3937233668175372e-05
Grandia元;14;276;290;287001;0.0010104494409427145
月神幻兔;-1;372;371;287001;0.0012926784227232657
涂鸦王国菌;1;19;20;287001;6.968616834087687e-05
鹤戾申;1;9;10;287001;3.484308417043843e-05
Cutky;1;15;16;287001;5.574893467270149e-05
阿尔萨鱼;3;10;13;287001;4.529600942156996e-05
虚拟多巴胺;-3;1;-2;287001;-6.968616834087686e-06
皮卡智能AI视觉平台;2;1;3;287001;1.045292525113153e-05
稿定设计;5;10;15;287001;5.226462625565764e-05
伍少霆;1;4;5;287001;1.7421542085219216e-05
清源妙道Jolin;3;9;12;287001;4.181170100452612e-05
AI-Doll;1;7;8;287001;2.7874467336350744e-05
刷电影的本老师;2;19;21;287001;7.31704767579207e-05
静静的猫超;1;3;4;287001;1.3937233668175372e-05
Melody欧美音乐台;9;72;81;287001;0.00028222898178055126
美是参差多态;1;162;163;287001;0.0005679422719781464
于文平Turman;1;10;11;287001;3.832739258748227e-05
阿呆谈币;2;7;9;287001;3.135877575339459e-05
高歌行说;1;1;2;287001;6.968616834087686e-06
愚者先生的甜冰茶的老婆;1;6;7;287001;2.43901589193069e-05
画画的SJMAN;68;679;747;287001;0.0026027783875317506
篮球实战指南;10;48;58;287001;0.0002020898881885429
数画-AI绘画App;1;1;2;287001;6.968616834087686e-06
绘画笔记;9;130;139;287001;0.0004843188699690942
风铃叮咚舞;35;442;477;287001;0.0016620151149299132
低可视度理工狼;18;349;367;287001;0.0012787411890550905
嗖嗖飞的蓝鱼;1;16;17;287001;5.9233243089745335e-05
北京大峰峰;1;5;6;287001;2.090585050226306e-05
小兔警探;4;5;9;287001;3.135877575339459e-05
泡-芙丶;3;48;51;287001;0.000177699729269236
张辛欣;7;19;26;287001;9.059201884313991e-05
横行的蟹形人类;1;5;6;287001;2.090585050226306e-05
因为我其实是一个赛博幽灵;2;1;3;287001;1.045292525113153e-05
狂妄画集;2;6;8;287001;2.7874467336350744e-05
gy·ObSEsSioN;2;24;26;287001;9.059201884313991e-05
露月之城;1;16;17;287001;5.9233243089745335e-05
UCG一刀;12;114;126;287001;0.0004390228605475242
纪屿十二;28;71;99;287001;0.00034494653328734045
闖紅燈的蝸犇;2;1;3;287001;1.045292525113153e-05
Art_艺术映画;9;223;232;287001;0.0008083595527541716
知心琥珀;2;7;9;287001;3.135877575339459e-05
嘲哳el;1;5;6;287001;2.090585050226306e-05
vase-八色;1;3;4;287001;1.3937233668175372e-05
CheungYiu-;1;1;2;287001;6.968616834087686e-06
水晶公主201305;1;3;4;287001;1.3937233668175372e-05
水晶公主201305;2;5;7;287001;2.43901589193069e-05
阿尔萨鱼;44;59;103;287001;0.00035888376695551586
北漠小豹子;2;2;4;287001;1.3937233668175372e-05
小马宋同学;3;13;16;287001;5.574893467270149e-05
设计目录;49;513;562;287001;0.0019581813303786396
乱步非鱼;4;16;20;287001;6.968616834087687e-05
栀温清;1;2;3;287001;1.045292525113153e-05
spark不夜城;200;376;576;287001;0.0020069616482172536
柳煦久;40;289;329;287001;0.0011463374692074243
AI-Doll;1;8;9;287001;3.135877575339459e-05
口袋巧克力;42;1954;1996;287001;0.006954679600419511
布偶米米糊;1;8;9;287001;3.135877575339459e-05
天上謡_;1;2;3;287001;1.045292525113153e-05
矜曦儿;19;53;72;287001;0.0002508702060271567
MFX·Airimania;3;55;58;287001;0.0002020898881885429
Melody欧美音乐台;2;33;35;287001;0.00012195079459653451
可奈何希;2;1;3;287001;1.045292525113153e-05
无界AI;1;2;3;287001;1.045292525113153e-05
阿尔萨鱼;55;66;121;287001;0.000421601318462305
美鸥阅读;5;13;18;287001;6.271755150678917e-05
散了玫瑰园;1;1;2;287001;6.968616834087686e-06
