label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
3;吊哩吊哩是这样子的;19;9078;9097;9097;1.0
23;已经被封了，b站动手很快，稿件都被清空了 http://t.cn/A6NrnF5v;28;2282;2310;9097;0.2539298669891173
52;我就知道会演变成这样。恋童癖，变态们，以后就可以找人买幼女被xx的ai动画了。;15;2793;2808;9097;0.3086731889633945
69;能不能送他们上热搜[可爱]我想他们死，不是开玩笑;13;1185;1198;9097;0.131691766516434
83;想不通了平时一刀切这个切那个的，动画片切了游戏切了小说切了什么都切了，到ai侵权生成图文，发展到换脸，再到ai生成儿童软色情，这时候怎么不把ai一刀切了;8;843;851;9097;0.09354732329339342
92;全部阉了[作揖]急急急急急急;1;707;708;9097;0.07782785533692427
95;男人还有底线吗;19;429;448;9097;0.04924700450698032
115;可是也是你发的文案里说b站把ta的稿件退回过，也被删过，说明还是做过措施的[思考];10;22;32;9097;0.003517643179070023
126;联络网警，举报涉黄和人像侵权，群众也能集体维权;1;238;239;9097;0.026272397493679236
128;都13了;4;165;169;9097;0.01857755303946356
133;我去联系b站客服了，同时也向网警举报了，b站客服一开始一直让我自己点举报，直到看到我说联系了网警并会在后续直接联系警察时才说让专人联系我;7;185;192;9097;0.021105859074420138
143;所以b站一天天到底在审什么[吐];5;116;121;9097;0.013301088270858524
154;脱口秀那个抓那么快恋童的能不能也快点抓 脱口秀那个只敢口嗨恋童的可是真敢动手啊;1;39;40;9097;0.004397053973837529
159;评论里那个“崇尚纯真美”的说法把ltp搞得那么清新脱俗，ltp永远不会被洗白[拜拜][拜拜][吐][吐][吐][吐];1;25;26;9097;0.0028580850829943937
163;好消息，明天唐嫣告b站要开庭了;1;38;39;9097;0.00428712762449159
182;@Mera的幻视 这种的怎么就没有“绝不容忍”没有“抓了”[怒];1;4;5;9097;0.0005496317467296911
190;怎么举报b站啊[泪]刚刚把视频举报了但感觉用处不大，还不如直接举报app;1;4;5;9097;0.0005496317467296911
260;[吐][吐][吐]@梦倥;1;0;1;9097;0.00010992634934593822
294;@Re_miao;1;0;1;9097;0.00010992634934593822
425;她发了解释，只是想要研究ai，完善自己想要和自己做到的未来版，并不是靠ai吃饭，也不是训练ai让自己靠他吃饭，怎么能被曲解成这样，这样不懂前因后果的喷别人你们都很开心？这样的微博只能让别人被网爆;20;684;704;9097;0.0773881499395405
447;她十几年前火的一塌糊涂…;31;3336;3367;9097;0.37012201824777397
479;他怎么魔怔成这样了……;1;3686;3687;9097;0.4052984500384742
482;审美断崖式下跌。没救;1;2364;2365;9097;0.2599758162031439
484;求求了，别啥都搞明白就发这种微博，别ai应激了 http://t.cn/A6NuH0Qc;38;265;303;9097;0.03330768385181928
524;这画风到现在也很能打啊，永远不理解心甘情愿吃答辩的人。;8;1181;1189;9097;0.13070242937232054
533;在这里审判一通不如直接给作者打钱说自己喜欢她以前的画风;21;111;132;9097;0.014510278113663845
555;古早画风放现在其实好难吃饭，能感受到她的焦虑，哎，，，炼ai很难评，希望她之后能走上更好的未来吧;31;544;575;9097;0.06320765087391447
587;这位真的，不能理解到底是着了什么魔;9;919;928;9097;0.10201165219303067
597;评论区别太好笑了，觉得这位是因为古早画风赚不到钱，所以炼AI画风。你都用AI了，还想从我这里赚到钱就更搞笑，想要AI图的人还愿意还花钱啊？？？;8;743;751;9097;0.0825546883587996
606;以前真的很喜欢kagalin老师[泪]看着她因为徐三石的骚操作退坑盗笔后画魔戒也很有风格，没想到在看见就是这种事了…究竟为什么会画风焦虑到觉得自己不如十块啊为什么会这样啊好崩溃;11;516;527;9097;0.057931186105309444
618;仿佛看到张檬整容;3;593;596;9097;0.06551610421017919
625;先不论是不是打算用ai画稿，这个高强度ai刷屏已经很烦人了，粉丝怎么忍住的不取关;5;344;349;9097;0.03836429592173244
632;那么多人能被自己建一个图库这种说法骗。做不到的啊数量不够的。别说一个人了，一个上市公司说只用自家游戏的图搞了个图库都假的很。数量就是不够的。比如之前mhy说所谓的自家ai，衣褶融出河cy的效果把我看乐了[哆啦A梦害怕];2;286;288;9097;0.031658788611630205
638;p6十年前似乎见过[苦澀];1;172;173;9097;0.019017258436847314
641;画师拿自己的图去喂ai就能合理化ai吗？用了ai本来就已经是错误了，没想到这位太太已经魔怔了;2;53;55;9097;0.006045949214026602
644;这是哪位画师啊，这张图见过;2;72;74;9097;0.008134549851599428
648;怎么说，现在她之前的那个风格不可能没饭吃，有一定知名度加上出圈作品，我之前看过专门研究古早风的作者也是有很多市场需求的，只能说还是想赚大钱吧。（AI现在100%侵权吧，想不到什么人能攒原创图数量到能做底库的）;2;87;89;9097;0.009783445091788502
651;但我觉得可能是 独特画风接商稿较难 所以画手在寻找当下流行画风和自己旧图的融合碰撞吧【我不会画画我胡乱分析的 如有不对我提前先道歉🙊🙊🙊;4;18;22;9097;0.0024183796856106408
658;高中时期蛮喜欢的画师还买过小薄本（真心不便宜）画风很有辨识度的，心态跟不上了吧，像是妈妈觉得自己儿子网瘾了送去给杨永信的程度，真无法理解了;1;64;65;9097;0.0071452127074859845
661;不就是画师画风过时了，所以用ai炼一下看看能怎么把自己独特画风融进现在流行的画风里面，看看以后能走的方向是什么，你们说她以前画风好，但她靠这个画风吃不了饭了呀……;5;17;22;9097;0.0024183796856106408
669;十几年前因为魔戒系列喜欢她很久的老粉了，但是说句实在的，她在画完那些图之后就再也没什么产出了，在微博也不发画了。基本上都是自己喜欢的模型花花草草什么的。然后等她开始密集发AI之后就取关了。太魔怔了;1;25;26;9097;0.0028580850829943937
674;啊啊啊啊啊啊p1我前好几年一直挂在空间[泪]怎么变成这样了[泪];3;25;28;9097;0.00307793778168627
679;想纠正一下，青莲这个人物的原设不是这个人，她应该不算是亲妈。 青莲的前身是梦间集的青莲剑，梦间集还有天鹅座的1测2测的青莲都是原画师负责的。 但是因为原画师的画风难以复制不方便出乙游卡面，所以天鹅座的最终测试和正式版都换了形象也换成了这个人负责。从天鹅座官博的头像变化是能看出来的 http://t.cn/A6NuFSGQ;1;31;32;9097;0.003517643179070023
681;“前几张小花很没辨识度”要不要看看自己在说什么？以前这组图火成什么样不知道吗？;3;21;24;9097;0.0026382323843025172
692;画手正是因为自己的不完美之处充分展现了不一样而具有了辨识度、有了个人特色。或许AI可以帮助你更大限度地去完成一张画，去提高画的完整度，但所缺失的带有“个人印记”的部分是目前的AI无法提取特征再融入到并体现在你的AI成品画中的。;1;19;20;9097;0.0021985269869187643
