发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
ACen_悠;-242;4;-238;35003;-0.006799417192812044
环球市场播报;-166;1;-165;35003;-0.004713881667285661
福布斯中文网;3;18;21;35003;0.0005999485758363569
TheMedivh;-90;2;-88;35003;-0.0025140702225523526
于白榆;-19;93;74;35003;0.0021141045053281148
廷祐JungWoo_Jungvely;-15;150;135;35003;0.003856812273233723
伦敦的猪在香港;-126;29;-97;35003;-0.0027711910407679343
安民Anmin0001;14;140;154;35003;0.004399622889466617
本恰恰-;6;24;30;35003;0.0008570693940519384
懿领土_1113;-35;1;-34;35003;-0.0009713453132588635
快兰斯24小时财经直播;-231;4;-227;35003;-0.0064851584149930004
宥元Annyeongz_Destiny;66;150;216;35003;0.0061708996371739565
齐鲁晚报;-104;9;-95;35003;-0.0027140530811644715
同声翻译樱桃羊;-14;428;414;35003;0.01182755763791675
财新网;1;32;33;35003;0.0009427763334571322
硬核黑科技;-120;167;47;35003;0.0013427420506813702
Easy;-70;99;29;35003;0.0008285004142502071
今天发游戏版号了吗;6;42;48;35003;0.0013713110304831013
狼帅小助理;1;6;7;35003;0.00019998285861211896
Kourinn_;2;9;11;35003;0.0003142587778190441
硬核黑科技;17;105;122;35003;0.003485415535811216
莫d感情_;1;1;2;35003;5.713795960346256e-05
张辛欣;7;19;26;35003;0.0007427934748450133
露月之城;1;44;45;35003;0.0012856040910779077
露月之城;2;16;18;35003;0.000514241636431163
铉辰成长记录薄_橙子皱皱;58;798;856;35003;0.024455046710281977
乡下在住居民;1;3;4;35003;0.00011427591920692512
Monkey考研英语;13;91;104;35003;0.002971173899380053
卑鄙的哈特诺人;5;57;62;35003;0.0017712767477073394
软绵绵队长;2;4;6;35003;0.00017141387881038767
内幕live_9zov;1;4;5;35003;0.0001428448990086564
一条佳佳鱼;1;2;3;35003;8.570693940519383e-05
少狗椿__;7;94;101;35003;0.0028854669599748593
许幼鸢-退休;1;5;6;35003;0.00017141387881038767
艾同学阿;92;344;436;35003;0.012456075193554838
Navis-慢点评测;5;50;55;35003;0.0015712938890952205
仰问千年事;5;11;16;35003;0.0004571036768277005
法國女足資訊FootFemininFRA;1;5;6;35003;0.00017141387881038767
宝玉xp;4;72;76;35003;0.0021712424649315775
你也会有烦恼吧;12;12;24;35003;0.0006856555152415507
TAYNEW_CNFC;20;66;86;35003;0.0024569322629488903
好读-;1;2;3;35003;8.570693940519383e-05
vivi的移动城堡;2;6;8;35003;0.00022855183841385024
VisionWanda字幕组-幻红Daily;135;3293;3428;35003;0.09793446276033482
联想未来中心;828;1537;2365;35003;0.06756563723109447
人间奇趣大赏;1649;26000;27649;35003;0.7899037225380682
柒柒Chica;2570;30000;32570;35003;0.9304916721423878
贝勒王·;36;23;59;35003;0.0016855698083021455
ApoNattawin森林投建中心;157;1256;1413;35003;0.0403679684598463
情报_吃虎子;2;66;68;35003;0.001942690626517727
情报_吃虎子;4;46;50;35003;0.001428448990086564
每日哀嚎bot;1;5;6;35003;0.00017141387881038767
新涼昼夢;2;8;10;35003;0.0002856897980173128
SpringRNion;1;13;14;35003;0.0003999657172242379
我要你永远润着歌喉;3;30;33;35003;0.0009427763334571322
刘群MT-to-Death;5;57;62;35003;0.0017712767477073394
Alain王勤伯;16;121;137;35003;0.0039139502328371855
量子位;7;130;137;35003;0.0039139502328371855
京城小丫头;1;1;2;35003;5.713795960346256e-05
蚁工厂;8;74;82;35003;0.002342656343741965
ixhwifud老铁双击八个六;2;2;4;35003;0.00011427591920692512
长夜有风与你;5;5;10;35003;0.0002856897980173128
躺平等粮;2;1;3;35003;8.570693940519383e-05
Robelisk二号机;5;5;10;35003;0.0002856897980173128
二零_令玖_年就开始追路辰了;1;2;3;35003;8.570693940519383e-05
全球纪录片联盟;1;2;3;35003;8.570693940519383e-05
注视一只黑鸟的十三种方式;1;3;4;35003;0.00011427591920692512
注视一只黑鸟的十三种方式;1;6;7;35003;0.00019998285861211896
大杯失眠茶;1;3;4;35003;0.00011427591920692512
noubot;1;1;2;35003;5.713795960346256e-05
住海邊的帳篷君;5;49;54;35003;0.0015427249092934891
黑芝麻的糊;2;8;10;35003;0.0002856897980173128
