发布者;群体情绪;时间
ACen_悠;-0.6326897236876831;2023-02-01 21:06:05
环球市场播报;0.09207275166338166;2023-02-02 08:58:51
福布斯中文网;1.0793757447902802e-05;2023-02-01 22:33:44
TheMedivh;0.005970203266491843;2023-02-03 13:25:32
于白榆;0.032638220102505604;2023-02-02 11:05:45
廷祐JungWoo_Jungvely;0.003778008863620526;2023-02-02 05:53:22
伦敦的猪在香港;0.008225083063936831;2023-02-01 19:48:41
安民Anmin0001;0.0012875081042116416;2023-02-01 20:02:05
本恰恰-;0.0005459267683920348;2023-03-03 11:53:18
懿领土_1113;0.007008575129299291;2023-02-18 14:45:11
快兰斯24小时财经直播;0.22881294917614767;2023-02-04 12:47:14
宥元Annyeongz_Destiny;0.0007576080831969687;2023-02-03 14:47:12
齐鲁晚报;0.0011720752832525742;2023-02-02 13:04:23
同声翻译樱桃羊;0.01850496855272111;2023-02-01 21:26:51
财新网;0.0004226140965692096;2023-02-01 21:06:40
硬核黑科技;0.2327444518965129;2023-02-01 19:46:50
Easy;0.011731707193913624;2023-02-01 19:24:06
今天发游戏版号了吗;-0.0004730391303958416;2023-02-01 18:21:04
狼帅小助理;-9.250793304669439e-05;2023-02-02 16:39:43
Kourinn_;0.001207700476969239;2023-02-02 15:46:13
硬核黑科技;0.0013750842312194268;2023-02-01 18:13:25
莫d感情_;4.343915628283514e-05;2023-02-01 16:38:58
张辛欣;0.0006936092775312186;2023-02-01 16:47:10
露月之城;-0.00010227969526869676;2023-02-01 16:22:16
露月之城;0.0002948260060749431;2023-02-01 22:07:57
铉辰成长记录薄_橙子皱皱;0.007745063087319158;2023-02-01 22:07:53
乡下在住居民;-0.0003590419949771554;2023-02-01 22:07:49
Monkey考研英语;0.0007242678833668992;2023-04-07 07:25:30
卑鄙的哈特诺人;0.001343227239317877;2023-02-01 16:49:42
软绵绵队长;0.000444583995373375;2023-02-01 16:40:29
内幕live_9zov;3.132882260567198e-05;2023-02-01 16:33:45
一条佳佳鱼;6.462183304519462e-05;2023-02-01 16:31:09
少狗椿__;0.0029825233653714305;2023-02-01 15:55:11
许幼鸢-退休;0.00017401778326592017;2023-02-01 15:32:38
艾同学阿;0.006224815696607837;2023-02-01 16:15:36
Navis-慢点评测;0.0003566773456607865;2023-02-01 16:12:45
仰问千年事;0.000791357186447928;2023-02-01 16:05:47
法國女足資訊FootFemininFRA;0.0;2023-02-01 15:26:38
宝玉xp;0.0009409830674348573;2023-02-01 15:46:03
你也会有烦恼吧;0.00011110627670388313;2023-02-01 19:19:23
TAYNEW_CNFC;0.0011020617024043796;2023-02-01 16:31:51
好读-;-5.3985629686327046e-05;2023-02-01 13:28:07
vivi的移动城堡;1.610326638356696e-05;2023-02-01 16:36:40
VisionWanda字幕组-幻红Daily;0.058660277598043334;2023-02-01 16:27:59
联想未来中心;0.04328853015875129;2023-02-01 15:50:34
人间奇趣大赏;1.0;2023-02-01 15:24:18
柒柒Chica;0.3138845436741751;2023-02-01 14:44:09
贝勒王·;-0.0009920532495213787;2023-02-01 14:26:46
ApoNattawin森林投建中心;0.015932641071681644;2023-02-01 12:17:57
情报_吃虎子;-0.00024981908604110526;2023-02-01 11:48:33
情报_吃虎子;0.00048238225105724666;2023-02-01 15:33:20
每日哀嚎bot;0.0001295913442791399;2023-02-01 13:16:07
新涼昼夢;-0.00011364818028460983;2023-02-01 12:50:13
SpringRNion;6.317769951770564e-05;2023-02-01 12:32:24
我要你永远润着歌喉;0.00019216896163891958;2023-02-01 13:28:50
刘群MT-to-Death;0.0013488263847361202;2023-02-01 13:08:47
Alain王勤伯;0.00039019149002747326;2023-02-01 15:21:52
量子位;0.004663026363573848;2023-02-01 12:12:38
京城小丫头;1.9645122526520802e-05;2023-02-01 13:45:54
蚁工厂;0.0016919736146851602;2023-02-01 13:39:38
ixhwifud老铁双击八个六;4.974906884800019e-05;2023-02-01 13:34:59
长夜有风与你;3.962423805193277e-05;2023-02-01 13:34:01
躺平等粮;0.0003792681983623314;2023-02-01 13:32:35
Robelisk二号机;-1.637162393680699e-05;2023-02-01 13:31:53
二零_令玖_年就开始追路辰了;0.0003727467774319939;2023-02-01 13:31:14
全球纪录片联盟;0.0;2023-02-01 13:30:19
注视一只黑鸟的十三种方式;2.7324822963957185e-05;2023-02-01 15:15:59
注视一只黑鸟的十三种方式;0.000613455878074305;2023-02-01 13:52:59
大杯失眠茶;-3.751572047647079e-05;2023-02-06 10:55:48
noubot;-2.280210189498085e-06;2023-02-02 17:14:04
住海邊的帳篷君;-0.0004077562454954;2023-02-02 16:27:34
黑芝麻的糊;6.878895459277826e-05;2023-02-02 09:20:35
8848究极手机项目发起人之一泰坦;0.0001728004686568252;2023-02-01 14:29:06
狂人总在圣人身畔;4.14390946244344e-05;2023-02-01 14:29:03
谷雨-腾讯新闻;4.3804986725561e-05;2023-02-01 13:22:21
圆觉傅李剑锋;-3.838594870703668e-05;2023-02-01 11:22:29
落梅纷乱几处聚散;7.057726714470478e-05;2023-02-01 10:46:32
骡木木;0.0003614893302567318;2023-02-01 10:30:01
Clown-CL;0.00021217746508337936;2023-02-02 09:35:34
捻作七情透骨思;8.77588608539227e-05;2023-02-02 00:07:25
一个没有姓名的混子;0.00041875969116063176;2023-02-01 17:50:11
拾月获稻;0.0057244298024792155;2023-02-01 16:37:28
已随残叶坠寒塘;0.0008062847534494381;2023-02-01 15:19:06
用户7768433501;0.00017375699735660205;2023-02-01 14:12:39
青色花莒箭;0.00028895633785237877;2023-02-01 14:04:48
要星星要月亮_;3.401414557103968e-05;2023-02-01 14:04:45
同声翻译樱桃羊;0.025120447244368616;2023-02-01 11:21:24
瑜术临疯;0.0002560987696470998;2023-02-02 09:46:12
LynnnCL;0.0001465130367420523;2023-02-01 23:24:30
Kainin20221027;0.00032121662964359533;2023-02-01 17:52:31
巫筮;6.552798591372063e-05;2023-02-01 16:46:37
巫筮;8.613672191088718e-05;2023-02-01 16:02:59
麦穗财经;0.0006646983491538213;2023-02-01 15:05:20
深海有光源;0.0001202529701978554;2023-02-01 14:26:19
此心安处白云飞;3.949814551887246e-05;2023-02-01 14:26:15
zhuyi;0.0008570171857833972;2023-02-01 14:26:12
量子位;0.0006852286874458483;2023-02-01 14:26:08
四小妞手记;9.883592981631755e-05;2023-02-01 14:26:04
