发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
量子位;4;40;44;60050;0.0007327227310574521
深知元;1;2;3;60050;4.995836802664446e-05
不是梦想家;1;2;3;60050;4.995836802664446e-05
Esports海涛;23;66;89;60050;0.001482098251457119
寿喜锅一级选手;4;2;6;60050;9.991673605328893e-05
卡拿它;2;6;8;60050;0.00013322231473771856
捣鼓音符的小胖;5;1;6;60050;9.991673605328893e-05
GitHubDaily;9;162;171;60050;0.0028476269775187346
瓦坎达二狗;2;11;13;60050;0.00021648626144879268
yoonhoogtes;1;1;2;60050;3.330557868442964e-05
Fygvyhhhiiccty;13;4;17;60050;0.00028309741881765195
BRINGMEJOYYY;22;90;112;60050;0.0018651124063280599
刘经纬老师;3;9;12;60050;0.00019983347210657785
鸽子和斑马;1;1;2;60050;3.330557868442964e-05
Volcano-SY;11;2;13;60050;0.00021648626144879268
橙子杀手杀橙子;17;9;26;60050;0.00043297252289758537
温榆河边行路人;5;10;15;60050;0.0002497918401332223
福布斯中文网;1;2;3;60050;4.995836802664446e-05
我的粉丝很少;7;13;20;60050;0.00033305578684429644
没名称的树;3;14;17;60050;0.00028309741881765195
evee嘎嘎;2;1;3;60050;4.995836802664446e-05
禁止玩笑;2;3;5;60050;8.326394671107411e-05
卢晓周;19;116;135;60050;0.002248126561199001
Amazon五爷;3;55;58;60050;0.0009658617818484596
富于理性;2;19;21;60050;0.0003497085761865112
黄执歪教不了你说话技巧;1;3;4;60050;6.661115736885928e-05
小咪Young;1;4;5;60050;8.326394671107411e-05
公羽小记;1;1;2;60050;3.330557868442964e-05
信念_Qingyang;1;1;2;60050;3.330557868442964e-05
w0000ww;10;3;13;60050;0.00021648626144879268
权砸冲冲冲;5;8;13;60050;0.00021648626144879268
没有人比我更懂杭之冯玥;5;48;53;60050;0.0008825978351373855
爱可可-爱生活;10;14;24;60050;0.0003996669442131557
目送红颜上九天;6;2;8;60050;0.00013322231473771856
多发疯勤发疯发高质量的疯;1;1;2;60050;3.330557868442964e-05
上海天气通--风云气象汇;136;1953;2089;60050;0.03478767693588676
国民晓哥;1;1;2;60050;3.330557868442964e-05
李要早点碎觉;4;1;5;60050;8.326394671107411e-05
帝都一只唐伯虎;1;2;3;60050;4.995836802664446e-05
爱可可-爱生活;1;14;15;60050;0.0002497918401332223
羽翾qwwq;2;2;4;60050;6.661115736885928e-05
爱可可-爱生活;1;8;9;60050;0.0001498751040799334
蚁工厂;1;21;22;60050;0.00036636136552872605
lilykohh_36;5;1;6;60050;9.991673605328893e-05
爱可可-爱生活;1;3;4;60050;6.661115736885928e-05
嘟嘟不嘟嘟乁;2;1;3;60050;4.995836802664446e-05
营养师顾中一;40;533;573;60050;0.009542048293089092
CHANx-琚;1;2;3;60050;4.995836802664446e-05
6万小时15年交易者4;2;22;24;60050;0.0003996669442131557
正直者之生;4;1;5;60050;8.326394671107411e-05
千里孤鸿-;1;3;4;60050;6.661115736885928e-05
岁片;2;1;3;60050;4.995836802664446e-05
换装游戏bot;4;49;53;60050;0.0008825978351373855
左小珇;1;1;2;60050;3.330557868442964e-05
快科技官方;1;4;5;60050;8.326394671107411e-05
李大白活Swoosh;2;1;3;60050;4.995836802664446e-05
一定要24上清新;1;1;2;60050;3.330557868442964e-05
宇宙披萨猫;1;2;3;60050;4.995836802664446e-05
JennyYeah-;1;1;2;60050;3.330557868442964e-05
朱玉龙-YL;1;5;6;60050;9.991673605328893e-05
财联社APP;2;8;10;60050;0.00016652789342214822
张抗抗KK;1;6;7;60050;0.00011656952539550374
可乐不喝Corla;1;3;4;60050;6.661115736885928e-05
小葵苗;14;3;17;60050;0.00028309741881765195
我有好心情魔法;1;1;2;60050;3.330557868442964e-05
Joannanov;2;1;3;60050;4.995836802664446e-05
黑马程序员;1;1;2;60050;3.330557868442964e-05
量子位;3;24;27;60050;0.00044962531223980014
綠草飯店;5;3;8;60050;0.00013322231473771856
纽太普同学;14;170;184;60050;0.003064113238967527
-酉蔻桀杯;1;1;2;60050;3.330557868442964e-05
阿sir爱投资;2;6;8;60050;0.00013322231473771856
Xxcury;1;2;3;60050;4.995836802664446e-05
FightingMM林;3;3;6;60050;9.991673605328893e-05
rather_studylalala;4;2;6;60050;9.991673605328893e-05
-雨止泊带土-;1;1;2;60050;3.330557868442964e-05
jjiuxysbdbdgxgdh;16;4;20;60050;0.00033305578684429644
娄山雀;4;10;14;60050;0.00023313905079100749
吉呀吉呀吉吉鸭;2;1;3;60050;4.995836802664446e-05
GitHubDaily;12;68;80;60050;0.0013322231473771858
苏州发布;3;4;7;60050;0.00011656952539550374
盘和林经济观察;1;1;2;60050;3.330557868442964e-05
啾啾凶凶日记;2;1;3;60050;4.995836802664446e-05
Bav7;1;1;2;60050;3.330557868442964e-05
前线娱乐;322;545;867;60050;0.01443796835970025
原力小狗萨摩笨椰;1;4;5;60050;8.326394671107411e-05
好愛次草莓;3;2;5;60050;8.326394671107411e-05
有点冷静;5;4;9;60050;0.0001498751040799334
-終止敘事詩-;1;2;3;60050;4.995836802664446e-05
智源研究院;1;20;21;60050;0.0003497085761865112
资深科技控;12;302;314;60050;0.005228975853455454
FriendsPost;9;132;141;60050;0.00234804329725229
D_sadgde_D;2;3;5;60050;8.326394671107411e-05
锅圈食汇;1;4;5;60050;8.326394671107411e-05
量子位;1;20;21;60050;0.0003497085761865112
缠论自渡;2;2;4;60050;6.661115736885928e-05
复旦张_军平;1;1;2;60050;3.330557868442964e-05
追涨杀跌的小伙子;2;16;18;60050;0.0002997502081598668
预见九运;4;1;5;60050;8.326394671107411e-05
大鹏守御千户所;3;10;13;60050;0.00021648626144879268
刀削kitty;1;1;2;60050;3.330557868442964e-05
NewNew吃泡芙;1;1;2;60050;3.330557868442964e-05
