发布者;群体情绪;时间
量子位;0.001963524018213151;2023-04-18 09:41:45
深知元;-1.5816621744089816e-05;2023-04-17 23:47:24
不是梦想家;0.0015345344919848616;2023-04-18 00:00:29
Esports海涛;-0.0038549144805879476;2023-04-18 03:33:51
寿喜锅一级选手;0.0016181353530770758;------
卡拿它;0.002532193534489312;2023-04-18 10:56:28
捣鼓音符的小胖;-0.001042714677512461;------
GitHubDaily;0.006509705911844113;2023-04-17 23:24:49
瓦坎达二狗;-0.0007721760826707489;------
yoonhoogtes;-0.0003862925377935032;2023-04-17 22:41:37
Fygvyhhhiiccty;0.00018151337710307293;2023-04-17 22:42:59
BRINGMEJOYYY;0.02017829458457906;2023-04-18 06:31:13
刘经纬老师;-0.001208541068941058;2023-04-18 00:28:02
鸽子和斑马;-3.946678646124895e-05;2023-04-17 22:44:45
Volcano-SY;0.00045102151279243516;2023-04-17 23:22:43
橙子杀手杀橙子;0.0008899434332797873;2023-04-17 22:40:14
温榆河边行路人;0.0005260902817730588;2023-04-18 10:30:25
福布斯中文网;0.0;2023-04-18 18:16:41
我的粉丝很少;-0.0003999814045582155;2023-04-18 17:44:49
没名称的树;0.000687125431004073;2023-04-18 16:11:04
evee嘎嘎;0.003182948064741477;2023-04-18 12:28:06
禁止玩笑;0.0007117246461935794;2023-04-18 06:57:18
卢晓周;0.03338826281698104;2023-04-18 04:05:43
Amazon五爷;0.0012315491609594545;2023-04-18 01:13:11
富于理性;-0.001261406282102972;2023-04-17 23:52:44
黄执歪教不了你说话技巧;-5.217347364613183e-05;2023-04-17 22:54:04
小咪Young;0.0006491003424826994;2023-04-17 23:46:07
公羽小记;6.476887174047439e-05;2023-04-18 19:23:25
信念_Qingyang;-0.000894634615778615;2023-04-18 14:15:23
w0000ww;0.0009895598779222274;2023-04-18 07:36:49
权砸冲冲冲;2.9886994691659712e-05;------
没有人比我更懂杭之冯玥;0.002405632579011415;2023-04-18 12:37:51
爱可可-爱生活;0.00031581320165395695;2023-04-18 14:09:06
目送红颜上九天;7.720794961958302e-05;2023-04-18 07:58:17
多发疯勤发疯发高质量的疯;-2.0790207396386874e-05;------
上海天气通--风云气象汇;-0.043312950382873985;2023-04-17 23:42:13
国民晓哥;9.136867000081019e-05;2023-04-17 22:38:53
李要早点碎觉;0.002315406140630784;------
帝都一只唐伯虎;0.0012673352977170499;2023-04-17 22:39:52
