一级评论;实际爬取到的二级评论内容;单条评论情绪值;信任度指数1;正向情绪最大绝对值;负向情绪最大绝对值;情绪极性差值;信任度指数2;一级评论账号的粉丝数;信任度指数4;信任度值;归一化信任度值
@起个名字真心困难;哇;0.052465563615616606
-----;------;------;0.0;0.052465563615616606;;0;1.0;465;1.9151046623437165e-06;0.4000003830209325;0.6666673050348874
啊！;你看看还挺好玩的;0.8407193224543779
-----;------;------;0.0;0.8407193224543779;;0;1.0;1226;5.04928670114709e-06;0.4000010098573403;0.6666683497622337
chatGPT数据只更新到2021年，所以新模式他还没有收录;回复@Makesomething:因为有些相近的资料他认为自己是知道的。特别冷门的他也会说不知道;-0.6677520057304542
chatGPT数据只更新到2021年，所以新模式他还没有收录;回复@周三严禁射:有的，你问它不存在到离谱的模式，它就会说不知道了，还会礼貌道歉[二哈];-0.8222476704845598
chatGPT数据只更新到2021年，所以新模式他还没有收录;回复@Makesomething:因为对于gpt这个模型来说它只是根据语料库选择概率最大的文本进行生成，也就是编得像与不像的区别;0.0075231475108190615
chatGPT数据只更新到2021年，所以新模式他还没有收录;在ChatGPT的字典里就没有不知道这三个字[挖鼻];-0.28638742512623483
chatGPT数据只更新到2021年，所以新模式他还没有收录;那不就是瞎编吗？;-0.18069177221545485
chatGPT数据只更新到2021年，所以新模式他还没有收录;gpt4说的有点准确，也还是有错误，那个数据新;0.3480685468970057
chatGPT数据只更新到2021年，所以新模式他还没有收录;那为啥不说没收录，要硬编呢;-0.9869892929149593
-----;------;------;0.4431759568467242;0.3480685468970057;-0.9869892929149593;1.335057839811965;0.3324710800940175;115;4.7362803477317723e-07;0.31025890950190366;0.5170981825031726
没玩过，gpt介绍的对不对？[喵喵]http://t.cn/A6NfXOh7;不对的，是指技能的在原来4个的基础上可以多选2个;0.5316084079704995
没玩过，gpt介绍的对不对？[喵喵]http://t.cn/A6NfXOh7;还是不对;-0.4509803921568625
没玩过，gpt介绍的对不对？[喵喵]http://t.cn/A6NfXOh7;图片评论http://t.cn/A6NfXWBG;-0.15786672486692166
-----;------;------;0.41187543031696505;0.5316084079704995;-0.4509803921568625;0.9825888001273619;0.508705599936319;272;1.1202332648548191e-06;0.3682326361479666;0.6137210602466109
[doge]http://t.cn/A6NfcM8T;？？？哈哈哈哈，郭芙大喜，没有她的事了;0.27762259595382255
