label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;@起个名字真心困难;1;0;1;425;0.002352941176470588
6;啊！;1;0;1;425;0.002352941176470588
8;chat GPT数据只更新到2021年，所以新模式他还没有收录;7;3;10;425;0.023529411764705882
17;没玩过，gpt介绍的对不对？[喵喵] http://t.cn/A6NfXOh7;3;1;4;425;0.009411764705882352
21;[doge] http://t.cn/A6NfcM8T;2;0;2;425;0.004705882352941176
40;那百度呢？[二哈][二哈] http://t.cn/A6NfoxT5;2;1;3;425;0.007058823529411765
43;每天工作遇到新问题第一反应就是chatgpt;1;0;1;425;0.002352941176470588
46;兄弟 这个怎么用啊 求教;1;0;1;425;0.002352941176470588
48;好粗壮的手臂[心];1;1;2;425;0.004705882352941176
50;chat不了一点;1;0;1;425;0.002352941176470588
52;你这是违法行为！终将绳之以法！;1;0;1;425;0.002352941176470588
54;记你仇了[偷笑];1;0;1;425;0.002352941176470588
57;你小红书🆔多少啊;2;0;2;425;0.004705882352941176
65;[doge]殖子不打逆风局;1;0;1;425;0.002352941176470588
67;我们真的要反思，真的要认清自己和美国在远程畜牧养殖业的差距。确实严重的差距;1;1;2;425;0.004705882352941176
69;哈哈哈哈哈哈哈哈哈哈哈你爸妈：？;1;0;1;425;0.002352941176470588
80;被治愈啦，分享一只模糊的松鼠🐿️ http://t.cn/A6Nfb8t0;2;1;3;425;0.007058823529411765
83;花生酱有链接吗[送花花];2;0;2;425;0.004705882352941176
86;你真的好会吃啊，我一日三餐食堂外卖餐厅[允悲] 我也要勤快点hh;1;1;2;425;0.004705882352941176
88;夹心逛的哪家超市呀;1;0;1;425;0.002352941176470588
90;好喜欢这个系列，被夹心的幸福治愈[打call];1;1;2;425;0.004705882352941176
92;夹心 白色餐碟好看 有无链接;1;0;1;425;0.002352941176470588
94;好幸福;1;0;1;425;0.002352941176470588
96;可以试试自己泡乌龙茶，我觉得比瓶装的好喝很多;1;0;1;425;0.002352941176470588
98;夹夹子试试 一片吐司花生酱 一片果酱～美剧里的p&j三明治！超美味滴[好爱哦][好爱哦][好爱哦];1;0;1;425;0.002352941176470588
100;夹心做的奶油蘑菇鸡看起来好好次[掌宝可怜];1;2;3;425;0.007058823529411765
102;逛超市真的好幸福～[团圆兔];1;0;1;425;0.002352941176470588
104;被种草了吐司吃法 看起来就香香酥酥脆脆;1;0;1;425;0.002352941176470588
114;[酷][酷][酷];1;0;1;425;0.002352941176470588
117;是不会说假话，因为没有判断能力，会胡说;1;0;1;425;0.002352941176470588
124;可以免费帮你远程操作电脑，注册一个号，巨稳定，最稳定的一种号了[doge];11;0;11;425;0.02588235294117647
136;免费教程啊，非要花钱才行么[黑线];1;1;2;425;0.004705882352941176
138;同求;1;1;2;425;0.004705882352941176
150;哈哈哈，出问题了飞不了了，你播一个还能借机嘲讽一下呢，只能说给了机会不珍惜;1;0;1;425;0.002352941176470588
157;你问的问题好深奥啊。chatgpt使用要翻墙吧。;3;0;3;425;0.007058823529411765
161;这个怎么用的;1;0;1;425;0.002352941176470588
164;我用。;1;0;1;425;0.002352941176470588
166;我已经用chatgpt完成了我n个作业[爱你]，再也不需作业奴;1;0;1;425;0.002352941176470588
168;批改网真的很执掌[晕];1;0;1;425;0.002352941176470588
170;笑鼠  本人大二上英语考试用的就是这个批改网;1;0;1;425;0.002352941176470588
172;毕竟欧美人的传统就是玩坏之后就丢掉;2;10;12;425;0.02823529411764706
186;马斯克的问题就是美国制造业没法实现他的愿望，我们的问题是缺乏0-1的创新，但是1-10-100这是我们强项。最好解决就是吸纳全球最优秀的人才为我们所用，可以允许移民，但必须是全世界最顶尖的科学家专业人才。不需要引进低成本劳动力。如果全世界顶尖人才认为前往中国才能实现梦想，那我们就是世界中心;1;6;7;425;0.01647058823529412
194;感觉3.5不是很能正确的理解这个指令，每次都会重复每一项4c哈，一开始还自己给我发任务来着。;1;0;1;425;0.002352941176470588
