发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
Phodal;0.0139789595042513;0.6891941073728952;0.5398937273104729;0.009068716224799184
Silver__Bullets;0.0001441129845799;0.2680895387583171;0.7743669095145312;5.2161598817101175e-05
宝玉xp;0.0033145986453379;0.5399331055960992;0.9601340169081204;0.0029958763891153152
Microsoft信仰中心;0.0137627900273814;0.2401823365529655;0.5741236268225482;0.0033088272785254218
玩转互联网磊哥;0.0374693759907767;0.538095680783938;0.600664900875984;0.021114915609662995
玩转互联网磊哥;0.0536820867560167;0.5380956807839378;0.600664900875984;0.03025117717153644
超能科技菌;0.0820002882259691;0.5213313654398588;0.6857452272168234;0.05111085610493519
超能科技菌;0.0841619829946678;0.5213313654398586;0.6857452272168234;0.052458242469740166
虎哥说科技;0.0262285631935437;0.4713778298485859;0.5324722366642677;0.011477881846747815
虎哥说科技;0.0262285631935437;0.4713778298485859;0.5324722366642677;0.011477881846747815
互联网Josh;1.0;0.5746128948876992;0.9981676808427192;1.0
互联网科技报;0.0221933996253062;0.6206516152722052;0.687398933904165;0.016508275417586687
互联网科技报;0.0211125522409569;0.6206516152722055;0.6873989339041648;0.015704300965431513
差评君;0.0032425421530479;0.5221206107934125;0.5910854623520883;0.001744728576625848
差评君;0.0032425421530479;0.5221206107934127;0.5910854623520883;0.0017447285766258485
科技大佬说;0.0033145986453379;0.6542061881409619;0.6646042070413309;0.002512637347047553
微天下;0.0010087908920593;-0.0583742341107431;0.755957101792759;-7.761410032503973e-05
头条新闻;0.0363885286064274;0.080808560300916;0.4709034917038635;0.0024142092151538184
新浪热点;0.0590142671854734;0.3292876153957442;0.7692895084061807;0.026064137226461923
新浪热点;0.0398472402363453;0.328345922521534;0.7596361670055446;0.01732832711099844
IT氪;0.004683671998847;0.2957180792821407;0.6526975624803207;0.001576149720555236
新浪科技;0.0026660902147283;0.302837768055601;0.6613874678063599;0.0009310263388768957
新浪新闻;0.0011529038766392;-0.1062107861067248;0.9890571781137508;-0.000211156400530156
TechWeb;0.0001441129845799;-0.7725594100264508;0.7826088370467359;-0.00015191507594352187
TechWeb;0.0001441129845799;-0.7725594100264508;0.7826088370467359;-0.00015191507594352187
时空传书;0.0002882259691598;-0.1288685512177723;0.7744422996702948;-5.0152229987481205e-05
电商氪;0.004683671998847;0.5834045660213449;1.0;0.004764062227821282
出门问问;0.0001441129845799;-0.6044034660108479;0.7755147890186541;-0.00011777178871482279
ZitroneQ;0.0002882259691598;0.9881238394289312;0.7850884725413433;0.00038983803948742563
杨国英观察;0.0002161694768698;-0.1086433107004319;0.8422624365389435;-3.4487834329670324e-05
陶说泛财经;0.0007205649228995;0.9981503866658048;0.7751728202713478;0.0009720503504769427
福布斯中文网;0.0009367343997694;0.994612729643606;0.7821742062944246;0.001270559772362701
炒股小队长;0.0006485084306095;0.0200745248816478;0.7743752995086427;1.7576545452070937e-05
炒股小队长;0.0007926214151895;0.0200745248816478;0.7743752995086427;2.1482444441423045e-05
互联网三爷;0.0062689148292261;0.4461405224517082;0.4751353750663304;0.002316874636504053
Microsoft信仰中心;0.0010087908920593;0.2961118849045768;0.475695995751315;0.0002477465499307623
姬永锋;0.0021616947686986;0.4734119349843592;0.4303789341485538;0.0007679018397014854
林亦LYi;0.0053321804294566;0.4727216317534743;0.3659824017200048;0.001608391035122664
林亦LYi;0.0057645193831964;0.4720768430213294;0.6307926561405734;0.002992840401589628
Microsoft信仰中心;-0.0006485084306095;0.4481329765307072;0.4583037321129387;-0.00023221862633495603
姬永锋;0.0026660902147283;0.475229143489595;0.5481490900352403;0.0012108705944152884
互联网三爷;0.0062689148292261;0.4504443038300454;0.555991640881412;0.0027373029109894467
我是二姐夫;0.0087908920593745;-0.3469591734145202;0.7489822476970842;-0.0039829419292450345
