发布者;群体情绪;时间
Phodal;0.005551358440779709;2023-03-10 20:03:18
Silver__Bullets;3.1296959290260705e-05;2023-03-08 05:49:44
宝玉xp;-0.00032757937915956327;2023-03-07 15:49:57
Microsoft信仰中心;-0.0020872912141416534;2023-03-11 09:09:18
玩转互联网磊哥;0.25077638901398763;2023-03-10 10:50:36
玩转互联网磊哥;0.1133936821621978;2023-03-10 08:44:56
超能科技菌;0.06853892411861573;2023-03-10 08:25:59
超能科技菌;0.04662390966410594;2023-03-08 07:14:39
虎哥说科技;0.06733045846374582;2023-03-10 10:04:36
虎哥说科技;0.06733045846374582;2023-03-10 09:31:30
互联网Josh;1.0;2023-03-10 08:12:49
互联网科技报;0.01433349699424262;2023-03-10 08:07:36
互联网科技报;0.020493909938485433;2023-03-06 21:48:55
差评君;0.0010468371459755087;2023-03-10 20:03:18
差评君;0.0010468371459755091;2023-03-08 05:49:44
科技大佬说;0.0015075824082285316;2023-03-07 15:49:57
微天下;-4.656846019502384e-05;2023-03-11 09:09:18
头条新闻;-0.021325754239690957;2023-03-10 10:50:36
新浪热点;0.05631816718433193;2023-03-10 08:44:56
新浪热点;0.33583447505423725;2023-03-10 08:25:59
IT氪;0.0009456898323331415;2023-03-08 07:14:39
新浪科技;0.027385585112595576;2023-03-10 10:04:36
新浪新闻;-0.00012669384031809358;2023-03-10 09:31:30
TechWeb;-9.114904556611312e-05;2023-03-10 08:12:49
TechWeb;-9.114904556611312e-05;2023-03-10 08:07:36
时空传书;-3.009133799248872e-05;2023-03-06 21:48:55
电商氪;0.0028584373366927693;------
出门问问;-0.003735655569955495;2023-03-11 12:22:59
ZitroneQ;0.00023390282369245536;2023-03-11 12:22:59
杨国英观察;-2.0692700597802192e-05;2023-03-11 12:22:59
陶说泛财经;0.0005832302102861657;2023-03-11 12:22:59
福布斯中文网;0.0007623358634176205;2023-03-11 12:22:59
炒股小队长;0.0014652011270014104;2023-03-11 12:22:59
炒股小队长;0.0004977745332415765;------
互联网三爷;0.01332253897767908;2023-03-10 09:58:09
Microsoft信仰中心;0.036777597572146756;2023-03-10 09:46:16
姬永锋;0.04489792522012163;2023-03-10 16:36:07
林亦LYi;0.06444672621578894;2023-03-10 14:15:29
林亦LYi;0.027188380878839912;2023-03-10 09:55:40
Microsoft信仰中心;0.013781818719271786;2023-03-10 09:58:09
姬永锋;0.000726522356649173;2023-03-10 09:46:16
互联网三爷;0.013574795942370318;2023-03-10 16:36:07
我是二姐夫;0.13864940738325696;2023-03-10 14:15:29
