label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;Gh上的二维码过期了，目前无法入群[微笑];1;0;1;79;0.012658227848101266
14;Gh上的二维码过期了，目前无法入群[微笑];1;0;1;79;0.012658227848101266
34;“肯恩解释了什么是多模态人工智能，它不仅可以将文本相应地翻译成图像，还可以翻译成音乐和视频。”;1;2;3;79;0.0379746835443038
40;“肯恩解释了什么是多模态人工智能，它不仅可以将文本相应地翻译成图像，还可以翻译成音乐和视频。”;1;2;3;79;0.0379746835443038
46;今晚直播吗？在哪里能看到[打脸];2;0;2;79;0.02531645569620253
53;那以后办公室里办公会不会很吵啊有点尴尬[笑cry];1;0;1;79;0.012658227848101266
76;@am药;1;0;1;79;0.012658227848101266
80;Microsoft365会不会要涨价了;1;0;1;79;0.012658227848101266
84;今晚直播吗？在哪里能看到[打脸];2;0;2;79;0.02531645569620253
91;那以后办公室里办公会不会很吵啊有点尴尬[笑cry];1;0;1;79;0.012658227848101266
114;@am药;1;0;1;79;0.012658227848101266
118;Microsoft365会不会要涨价了;1;0;1;79;0.012658227848101266
122;今晚直播吗？在哪里能看到[打脸];2;0;2;79;0.02531645569620253
129;那以后办公室里办公会不会很吵啊有点尴尬[笑cry];1;0;1;79;0.012658227848101266
152;@am药;1;0;1;79;0.012658227848101266
156;Microsoft365会不会要涨价了;1;0;1;79;0.012658227848101266
160;一键做出PPT真的是太幸福了吧，打工人节省了很多时间;18;47;65;79;0.8227848101265823
179;哇呀哇呀，这个我爱了，真的超级方便啊，好智能啊！[抓狂][抓狂][抓狂][抓狂];18;51;69;79;0.8734177215189873
198; 是不是意味着 我告诉他帮我写什么就可以了？我不用亲自动手了[哈哈];8;32;40;79;0.5063291139240507
207;直接生成ppt吗  太可以了  我的痛苦啊  ppt;5;8;13;79;0.16455696202531644
213;所以啊  互联网时代太厉害了 简直[赞][赞][赞];5;7;12;79;0.1518987341772152
219;人工智能是越来越厉害了，真的很方便了;4;7;11;79;0.13924050632911392
224;微软的这项技术，真的很牛，相信不久的将来，很多岗位要消失了;2;1;3;79;0.0379746835443038
227;非常方便的良心软件了，一键生成谁用谁省心啊[报税][报税][报税];2;0;2;79;0.02531645569620253
230;打工人的福音啊 解放双手 能快速提高工作效率[good];1;3;4;79;0.05063291139240506
232;这真的太好了吧，对于打工人来说是福音啊[打call][打call][打call][打call];1;2;3;79;0.0379746835443038
236;这就是打工人的福音吧[哈哈];2;2;4;79;0.05063291139240506
241;现在技术发展得也太快了吧，做PPT这么折磨人的事也能帮我们搞啦[打call];1;2;3;79;0.0379746835443038
244;这是真的很方便诶，工作的效率大大的提高了，太棒了[打call][打call];4;4;8;79;0.10126582278481013
256;还是挺不错的我觉得，非常实用的了;1;0;1;79;0.012658227848101266
263;现在人工智能这么厉害了[哆啦A梦害怕]我会不会被取代[单身狗];1;2;3;79;0.0379746835443038
308;工作党非常需要这么方便的办公软件[抓狂][抓狂][抓狂]期待发布会呀！[哇];1;2;3;79;0.0379746835443038
310;这也太棒了吧这样是不是以后会更方便啊我好期待啊[打call];1;1;2;79;0.02531645569620253
312;一键做出PPT真的是太幸福了吧，打工人节省了很多时间;18;47;65;79;0.8227848101265823
331;哇呀哇呀，这个我爱了，真的超级方便啊，好智能啊！[抓狂][抓狂][抓狂][抓狂];18;51;69;79;0.8734177215189873
350; 是不是意味着 我告诉他帮我写什么就可以了？我不用亲自动手了[哈哈];8;32;40;79;0.5063291139240507
359;直接生成ppt吗  太可以了  我的痛苦啊  ppt;5;8;13;79;0.16455696202531644
365;所以啊  互联网时代太厉害了 简直[赞][赞][赞];5;7;12;79;0.1518987341772152
371;人工智能是越来越厉害了，真的很方便了;4;7;11;79;0.13924050632911392
376;微软的这项技术，真的很牛，相信不久的将来，很多岗位要消失了;2;1;3;79;0.0379746835443038
379;非常方便的良心软件了，一键生成谁用谁省心啊[报税][报税][报税];2;0;2;79;0.02531645569620253
382;打工人的福音啊 解放双手 能快速提高工作效率[good];1;3;4;79;0.05063291139240506
384;这真的太好了吧，对于打工人来说是福音啊[打call][打call][打call][打call];1;2;3;79;0.0379746835443038
388;这就是打工人的福音吧[哈哈];2;2;4;79;0.05063291139240506
393;现在技术发展得也太快了吧，做PPT这么折磨人的事也能帮我们搞啦[打call];1;2;3;79;0.0379746835443038
396;这是真的很方便诶，工作的效率大大的提高了，太棒了[打call][打call];4;4;8;79;0.10126582278481013
408;还是挺不错的我觉得，非常实用的了;1;0;1;79;0.012658227848101266
415;现在人工智能这么厉害了[哆啦A梦害怕]我会不会被取代[单身狗];1;2;3;79;0.0379746835443038
460;工作党非常需要这么方便的办公软件[抓狂][抓狂][抓狂]期待发布会呀！[哇];1;2;3;79;0.0379746835443038
462;这也太棒了吧这样是不是以后会更方便啊我好期待啊[打call];1;1;2;79;0.02531645569620253
464;一键做出PPT真的是太幸福了吧，打工人节省了很多时间;18;47;65;79;0.8227848101265823
483;哇呀哇呀，这个我爱了，真的超级方便啊，好智能啊！[抓狂][抓狂][抓狂][抓狂];18;51;69;79;0.8734177215189873
502; 是不是意味着 我告诉他帮我写什么就可以了？我不用亲自动手了[哈哈];8;32;40;79;0.5063291139240507
511;直接生成ppt吗  太可以了  我的痛苦啊  ppt;5;8;13;79;0.16455696202531644
517;所以啊  互联网时代太厉害了 简直[赞][赞][赞];5;7;12;79;0.1518987341772152
523;人工智能是越来越厉害了，真的很方便了;4;7;11;79;0.13924050632911392
528;微软的这项技术，真的很牛，相信不久的将来，很多岗位要消失了;2;1;3;79;0.0379746835443038
531;非常方便的良心软件了，一键生成谁用谁省心啊[报税][报税][报税];2;0;2;79;0.02531645569620253
534;打工人的福音啊 解放双手 能快速提高工作效率[good];1;3;4;79;0.05063291139240506
536;这真的太好了吧，对于打工人来说是福音啊[打call][打call][打call][打call];1;2;3;79;0.0379746835443038
540;这就是打工人的福音吧[哈哈];2;2;4;79;0.05063291139240506
545;现在技术发展得也太快了吧，做PPT这么折磨人的事也能帮我们搞啦[打call];1;2;3;79;0.0379746835443038
548;这是真的很方便诶，工作的效率大大的提高了，太棒了[打call][打call];4;4;8;79;0.10126582278481013
560;还是挺不错的我觉得，非常实用的了;1;0;1;79;0.012658227848101266
567;现在人工智能这么厉害了[哆啦A梦害怕]我会不会被取代[单身狗];1;2;3;79;0.0379746835443038
612;工作党非常需要这么方便的办公软件[抓狂][抓狂][抓狂]期待发布会呀！[哇];1;2;3;79;0.0379746835443038
614;这也太棒了吧这样是不是以后会更方便啊我好期待啊[打call];1;1;2;79;0.02531645569620253
616;一键做出PPT真的是太幸福了吧，打工人节省了很多时间;18;47;65;79;0.8227848101265823
635;哇呀哇呀，这个我爱了，真的超级方便啊，好智能啊！[抓狂][抓狂][抓狂][抓狂];18;51;69;79;0.8734177215189873
654; 是不是意味着 我告诉他帮我写什么就可以了？我不用亲自动手了[哈哈];8;32;40;79;0.5063291139240507
663;直接生成ppt吗  太可以了  我的痛苦啊  ppt;5;8;13;79;0.16455696202531644
669;所以啊  互联网时代太厉害了 简直[赞][赞][赞];5;7;12;79;0.1518987341772152
675;人工智能是越来越厉害了，真的很方便了;4;7;11;79;0.13924050632911392
680;微软的这项技术，真的很牛，相信不久的将来，很多岗位要消失了;2;1;3;79;0.0379746835443038
683;非常方便的良心软件了，一键生成谁用谁省心啊[报税][报税][报税];2;0;2;79;0.02531645569620253
686;打工人的福音啊 解放双手 能快速提高工作效率[good];1;3;4;79;0.05063291139240506
688;这真的太好了吧，对于打工人来说是福音啊[打call][打call][打call][打call];1;2;3;79;0.0379746835443038
692;这就是打工人的福音吧[哈哈];2;2;4;79;0.05063291139240506
697;现在技术发展得也太快了吧，做PPT这么折磨人的事也能帮我们搞啦[打call];1;2;3;79;0.0379746835443038
700;这是真的很方便诶，工作的效率大大的提高了，太棒了[打call][打call];4;4;8;79;0.10126582278481013
712;还是挺不错的我觉得，非常实用的了;1;0;1;79;0.012658227848101266
719;现在人工智能这么厉害了[哆啦A梦害怕]我会不会被取代[单身狗];1;2;3;79;0.0379746835443038
764;工作党非常需要这么方便的办公软件[抓狂][抓狂][抓狂]期待发布会呀！[哇];1;2;3;79;0.0379746835443038
766;这也太棒了吧这样是不是以后会更方便啊我好期待啊[打call];1;1;2;79;0.02531645569620253
768;一键做出PPT真的是太幸福了吧，打工人节省了很多时间;18;47;65;79;0.8227848101265823
787;哇呀哇呀，这个我爱了，真的超级方便啊，好智能啊！[抓狂][抓狂][抓狂][抓狂];18;51;69;79;0.8734177215189873
806; 是不是意味着 我告诉他帮我写什么就可以了？我不用亲自动手了[哈哈];8;32;40;79;0.5063291139240507
815;直接生成ppt吗  太可以了  我的痛苦啊  ppt;5;8;13;79;0.16455696202531644
821;所以啊  互联网时代太厉害了 简直[赞][赞][赞];5;7;12;79;0.1518987341772152
827;人工智能是越来越厉害了，真的很方便了;4;7;11;79;0.13924050632911392
832;微软的这项技术，真的很牛，相信不久的将来，很多岗位要消失了;2;1;3;79;0.0379746835443038
835;非常方便的良心软件了，一键生成谁用谁省心啊[报税][报税][报税];2;0;2;79;0.02531645569620253
838;打工人的福音啊 解放双手 能快速提高工作效率[good];1;3;4;79;0.05063291139240506
840;这真的太好了吧，对于打工人来说是福音啊[打call][打call][打call][打call];1;2;3;79;0.0379746835443038
844;这就是打工人的福音吧[哈哈];2;2;4;79;0.05063291139240506
849;现在技术发展得也太快了吧，做PPT这么折磨人的事也能帮我们搞啦[打call];1;2;3;79;0.0379746835443038
852;这是真的很方便诶，工作的效率大大的提高了，太棒了[打call][打call];4;4;8;79;0.10126582278481013
864;还是挺不错的我觉得，非常实用的了;1;0;1;79;0.012658227848101266
871;现在人工智能这么厉害了[哆啦A梦害怕]我会不会被取代[单身狗];1;2;3;79;0.0379746835443038
916;工作党非常需要这么方便的办公软件[抓狂][抓狂][抓狂]期待发布会呀！[哇];1;2;3;79;0.0379746835443038
918;这也太棒了吧这样是不是以后会更方便啊我好期待啊[打call];1;1;2;79;0.02531645569620253
920;一键做出PPT真的是太幸福了吧，打工人节省了很多时间;18;47;65;79;0.8227848101265823
939;哇呀哇呀，这个我爱了，真的超级方便啊，好智能啊！[抓狂][抓狂][抓狂][抓狂];18;51;69;79;0.8734177215189873
958; 是不是意味着 我告诉他帮我写什么就可以了？我不用亲自动手了[哈哈];8;32;40;79;0.5063291139240507
967;直接生成ppt吗  太可以了  我的痛苦啊  ppt;5;8;13;79;0.16455696202531644
973;所以啊  互联网时代太厉害了 简直[赞][赞][赞];5;7;12;79;0.1518987341772152
979;人工智能是越来越厉害了，真的很方便了;4;7;11;79;0.13924050632911392
984;微软的这项技术，真的很牛，相信不久的将来，很多岗位要消失了;2;1;3;79;0.0379746835443038
987;非常方便的良心软件了，一键生成谁用谁省心啊[报税][报税][报税];2;0;2;79;0.02531645569620253
990;打工人的福音啊 解放双手 能快速提高工作效率[good];1;3;4;79;0.05063291139240506
992;这真的太好了吧，对于打工人来说是福音啊[打call][打call][打call][打call];1;2;3;79;0.0379746835443038
996;这就是打工人的福音吧[哈哈];2;2;4;79;0.05063291139240506
1001;现在技术发展得也太快了吧，做PPT这么折磨人的事也能帮我们搞啦[打call];1;2;3;79;0.0379746835443038
1004;这是真的很方便诶，工作的效率大大的提高了，太棒了[打call][打call];4;4;8;79;0.10126582278481013
1016;还是挺不错的我觉得，非常实用的了;1;0;1;79;0.012658227848101266
1023;现在人工智能这么厉害了[哆啦A梦害怕]我会不会被取代[单身狗];1;2;3;79;0.0379746835443038
1068;工作党非常需要这么方便的办公软件[抓狂][抓狂][抓狂]期待发布会呀！[哇];1;2;3;79;0.0379746835443038
1070;这也太棒了吧这样是不是以后会更方便啊我好期待啊[打call];1;1;2;79;0.02531645569620253
1072;一键做出PPT真的是太幸福了吧，打工人节省了很多时间;18;47;65;79;0.8227848101265823
1091;哇呀哇呀，这个我爱了，真的超级方便啊，好智能啊！[抓狂][抓狂][抓狂][抓狂];18;51;69;79;0.8734177215189873
1110; 是不是意味着 我告诉他帮我写什么就可以了？我不用亲自动手了[哈哈];8;32;40;79;0.5063291139240507
1119;直接生成ppt吗  太可以了  我的痛苦啊  ppt;5;8;13;79;0.16455696202531644
1125;所以啊  互联网时代太厉害了 简直[赞][赞][赞];5;7;12;79;0.1518987341772152
1131;人工智能是越来越厉害了，真的很方便了;4;7;11;79;0.13924050632911392
1136;微软的这项技术，真的很牛，相信不久的将来，很多岗位要消失了;2;1;3;79;0.0379746835443038
1139;非常方便的良心软件了，一键生成谁用谁省心啊[报税][报税][报税];2;0;2;79;0.02531645569620253
1142;打工人的福音啊 解放双手 能快速提高工作效率[good];1;3;4;79;0.05063291139240506
1144;这真的太好了吧，对于打工人来说是福音啊[打call][打call][打call][打call];1;2;3;79;0.0379746835443038
1148;这就是打工人的福音吧[哈哈];2;2;4;79;0.05063291139240506
1153;现在技术发展得也太快了吧，做PPT这么折磨人的事也能帮我们搞啦[打call];1;2;3;79;0.0379746835443038
1156;这是真的很方便诶，工作的效率大大的提高了，太棒了[打call][打call];4;4;8;79;0.10126582278481013
1168;还是挺不错的我觉得，非常实用的了;1;0;1;79;0.012658227848101266
1175;现在人工智能这么厉害了[哆啦A梦害怕]我会不会被取代[单身狗];1;2;3;79;0.0379746835443038
1220;工作党非常需要这么方便的办公软件[抓狂][抓狂][抓狂]期待发布会呀！[哇];1;2;3;79;0.0379746835443038
1222;这也太棒了吧这样是不是以后会更方便啊我好期待啊[打call];1;1;2;79;0.02531645569620253
1224;微软这步子迈的也是够快的;8;7;15;79;0.189873417721519
1233;现在的压力是不是来到了WPS和金山这边了...;1;7;8;79;0.10126582278481013
1236;微软真的好快啊 不过感觉不是特别成熟吧;1;1;2;79;0.02531645569620253
1259;微软这步子迈的也是够快的;8;7;15;79;0.189873417721519
1268;现在的压力是不是来到了WPS和金山这边了...;1;7;8;79;0.10126582278481013
1271;微软真的好快啊 不过感觉不是特别成熟吧;1;1;2;79;0.02531645569620253
1294;微软这步子迈的也是够快的;8;7;15;79;0.189873417721519
1303;现在的压力是不是来到了WPS和金山这边了...;1;7;8;79;0.10126582278481013
1306;微软真的好快啊 不过感觉不是特别成熟吧;1;1;2;79;0.02531645569620253
1329;微软这步子迈的也是够快的;8;7;15;79;0.189873417721519
1338;现在的压力是不是来到了WPS和金山这边了...;1;7;8;79;0.10126582278481013
1341;微软真的好快啊 不过感觉不是特别成熟吧;1;1;2;79;0.02531645569620253
1364;微软这步子迈的也是够快的;8;7;15;79;0.189873417721519
1373;现在的压力是不是来到了WPS和金山这边了...;1;7;8;79;0.10126582278481013
1376;微软真的好快啊 不过感觉不是特别成熟吧;1;1;2;79;0.02531645569620253
1399;微软这步子迈的也是够快的;8;7;15;79;0.189873417721519
1408;现在的压力是不是来到了WPS和金山这边了...;1;7;8;79;0.10126582278481013
1411;微软真的好快啊 不过感觉不是特别成熟吧;1;1;2;79;0.02531645569620253
1434;微软这步子迈的也是够快的;8;7;15;79;0.189873417721519
1443;现在的压力是不是来到了WPS和金山这边了...;1;7;8;79;0.10126582278481013
1446;微软真的好快啊 不过感觉不是特别成熟吧;1;1;2;79;0.02531645569620253
1469;这个技术普及的话，对打工人来说可以提高很多效率;7;19;26;79;0.3291139240506329
1477; 是不是意味着 我告诉他帮我写什么就可以了？我不用亲自动手了;5;23;28;79;0.35443037974683544
1483;微软这也太牛了吧，这个技术太实用了[泪];5;21;26;79;0.3291139240506329
1489;微软现在这么厉害啦？真的是与时俱进啊，真不错！;4;5;9;79;0.11392405063291139
1494;还是很不错的吧我觉得，这个技术也太强了[允悲];2;4;6;79;0.0759493670886076
1498;哇塞，微软的这个技术也太牛逼了，以后就方便，省时省力;1;2;3;79;0.0379746835443038
1500;时代在进步科技在发展这次的改动真的是帮助了我们人类一个大忙[爱你][爱你];1;1;2;79;0.02531645569620253
1514;哇，挺好的诶，这样会方便很多诶，期待发布会呀！[抓狂][抓狂][抓狂];1;1;2;79;0.02531645569620253
1524;哇塞，感觉还挺牛的，应该会很方便吧！[开学季][开学季][开学季];3;4;7;79;0.08860759493670886
1528;这个技术普及的话，对打工人来说可以提高很多效率;7;19;26;79;0.3291139240506329
1536; 是不是意味着 我告诉他帮我写什么就可以了？我不用亲自动手了;5;23;28;79;0.35443037974683544
1542;微软这也太牛了吧，这个技术太实用了[泪];5;21;26;79;0.3291139240506329
1548;微软现在这么厉害啦？真的是与时俱进啊，真不错！;4;5;9;79;0.11392405063291139
1553;还是很不错的吧我觉得，这个技术也太强了[允悲];2;4;6;79;0.0759493670886076
1557;哇塞，微软的这个技术也太牛逼了，以后就方便，省时省力;1;2;3;79;0.0379746835443038
1559;时代在进步科技在发展这次的改动真的是帮助了我们人类一个大忙[爱你][爱你];1;1;2;79;0.02531645569620253
1573;哇，挺好的诶，这样会方便很多诶，期待发布会呀！[抓狂][抓狂][抓狂];1;1;2;79;0.02531645569620253
1583;哇塞，感觉还挺牛的，应该会很方便吧！[开学季][开学季][开学季];3;4;7;79;0.08860759493670886
1587;这个技术普及的话，对打工人来说可以提高很多效率;7;19;26;79;0.3291139240506329
1595; 是不是意味着 我告诉他帮我写什么就可以了？我不用亲自动手了;5;23;28;79;0.35443037974683544
1601;微软这也太牛了吧，这个技术太实用了[泪];5;21;26;79;0.3291139240506329
1607;微软现在这么厉害啦？真的是与时俱进啊，真不错！;4;5;9;79;0.11392405063291139
1612;还是很不错的吧我觉得，这个技术也太强了[允悲];2;4;6;79;0.0759493670886076
1616;哇塞，微软的这个技术也太牛逼了，以后就方便，省时省力;1;2;3;79;0.0379746835443038
1618;时代在进步科技在发展这次的改动真的是帮助了我们人类一个大忙[爱你][爱你];1;1;2;79;0.02531645569620253
1632;哇，挺好的诶，这样会方便很多诶，期待发布会呀！[抓狂][抓狂][抓狂];1;1;2;79;0.02531645569620253
1642;哇塞，感觉还挺牛的，应该会很方便吧！[开学季][开学季][开学季];3;4;7;79;0.08860759493670886
1646;这个技术普及的话，对打工人来说可以提高很多效率;7;19;26;79;0.3291139240506329
1654; 是不是意味着 我告诉他帮我写什么就可以了？我不用亲自动手了;5;23;28;79;0.35443037974683544
1660;微软这也太牛了吧，这个技术太实用了[泪];5;21;26;79;0.3291139240506329
1666;微软现在这么厉害啦？真的是与时俱进啊，真不错！;4;5;9;79;0.11392405063291139
1671;还是很不错的吧我觉得，这个技术也太强了[允悲];2;4;6;79;0.0759493670886076
1675;哇塞，微软的这个技术也太牛逼了，以后就方便，省时省力;1;2;3;79;0.0379746835443038
1677;时代在进步科技在发展这次的改动真的是帮助了我们人类一个大忙[爱你][爱你];1;1;2;79;0.02531645569620253
1691;哇，挺好的诶，这样会方便很多诶，期待发布会呀！[抓狂][抓狂][抓狂];1;1;2;79;0.02531645569620253
1701;哇塞，感觉还挺牛的，应该会很方便吧！[开学季][开学季][开学季];3;4;7;79;0.08860759493670886
1705;这个看上去也挺方便的，可将Word文档转换。不得不佩服;24;45;69;79;0.8734177215189873
1730;在几个月后扩大范围，这一点还是相当的让人期待的;12;44;56;79;0.7088607594936709
1743;不得不说，这一块他们属实是有点实力在身上的[doge];5;32;37;79;0.46835443037974683
1749;这种就是股票有涨有跌的，好消息过后那是一定会大涨的;3;4;7;79;0.08860759493670886
1753;这样一来 以后在办公的时候会更加省心省力了;3;7;10;79;0.12658227848101267
1757;这个体验感一定会特别好;1;4;5;79;0.06329113924050633
1759;我好期待未来的这些应用啊，感觉也是我们平常生活会用到的;1;1;2;79;0.02531645569620253
1761;能够自由转换还可以制定计划 这就非常优秀了;1;1;2;79;0.02531645569620253
1764;一下子涨了好多;1;4;5;79;0.06329113924050633
1767;这样操作起来就方便很多了，办公室文员的一大福音啊;1;2;3;79;0.0379746835443038
1810;这个看上去也挺方便的，可将Word文档转换。不得不佩服;24;45;69;79;0.8734177215189873
1835;在几个月后扩大范围，这一点还是相当的让人期待的;12;44;56;79;0.7088607594936709
1848;不得不说，这一块他们属实是有点实力在身上的[doge];5;32;37;79;0.46835443037974683
1854;这种就是股票有涨有跌的，好消息过后那是一定会大涨的;3;4;7;79;0.08860759493670886
1858;这样一来 以后在办公的时候会更加省心省力了;3;7;10;79;0.12658227848101267
1862;这个体验感一定会特别好;1;4;5;79;0.06329113924050633
1864;我好期待未来的这些应用啊，感觉也是我们平常生活会用到的;1;1;2;79;0.02531645569620253
1866;能够自由转换还可以制定计划 这就非常优秀了;1;1;2;79;0.02531645569620253
1869;一下子涨了好多;1;4;5;79;0.06329113924050633
1872;这样操作起来就方便很多了，办公室文员的一大福音啊;1;2;3;79;0.0379746835443038
1915;这个看上去也挺方便的，可将Word文档转换。不得不佩服;24;45;69;79;0.8734177215189873
1940;在几个月后扩大范围，这一点还是相当的让人期待的;12;44;56;79;0.7088607594936709
1953;不得不说，这一块他们属实是有点实力在身上的[doge];5;32;37;79;0.46835443037974683
1959;这种就是股票有涨有跌的，好消息过后那是一定会大涨的;3;4;7;79;0.08860759493670886
1963;这样一来 以后在办公的时候会更加省心省力了;3;7;10;79;0.12658227848101267
1967;这个体验感一定会特别好;1;4;5;79;0.06329113924050633
1969;我好期待未来的这些应用啊，感觉也是我们平常生活会用到的;1;1;2;79;0.02531645569620253
1971;能够自由转换还可以制定计划 这就非常优秀了;1;1;2;79;0.02531645569620253
1974;一下子涨了好多;1;4;5;79;0.06329113924050633
1977;这样操作起来就方便很多了，办公室文员的一大福音啊;1;2;3;79;0.0379746835443038
2020;这个看上去也挺方便的，可将Word文档转换。不得不佩服;24;45;69;79;0.8734177215189873
2045;在几个月后扩大范围，这一点还是相当的让人期待的;12;44;56;79;0.7088607594936709
2058;不得不说，这一块他们属实是有点实力在身上的[doge];5;32;37;79;0.46835443037974683
