发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
彩云小梦Dream;0.0009689475384118;-0.1305147013867851;0.5442322252770565;-0.00037828732954297336
馋老师bot;0.0006459650256078;0.0249245996356827;0.6695011241420291;5.924699798424961e-05
被遺忘腐爛的厨余垃圾33027;0.0002768421538319;0.1254821500983776;0.571133495038007;0.00010905099822156576
混世窝窝头;0.0002307017948599;0.7057926425884735;0.8281036883035827;0.0007411236336345854
燃星击夜;0.0302680754856272;0.300883020717325;0.5737015505116265;0.028717481905690314
·AstronNautes·;0.0003691228717759;-0.5901372246903025;0.7295272343061866;-0.0008734605984455284
紫霄时雨_;0.0004614035897199;-0.2562612546485197;0.6694761206647639;-0.00043508774576955176
Klara_And_the_Sun;0.0001845614358879;0.2492775823194937;0.6694725923152189;0.00016929137400071691
云南艺术学院文华学院新闻中心;9.22807179439856e-05;0.9153097204935656;0.6696402368870994;0.0003108840379200708
装盐的瓶;0.0006459650256078;0.9830015470374256;0.6824157412472925;0.002381716611374467
风过无痕dear;0.0006921053845798;0.9853543095160384;0.681742663585082;0.0025554239750459487
栖息的月光光;0.0027222811793475;0.7012738897878416;0.3450253900285346;0.0036203415862994842
奶盐盐粒子;0.0005536843076639;0.9368830375223316;0.717564618186178;0.002045909650554572
_西红柿女孩_;0.0002307017948599;0.9999293837514132;0.6694721126302355;0.000848849385157153
黑屏黑屏黑;0.0007382457435518;0.8232930740638915;0.7877377912361485;0.002631570068753373
Q娜娜N;0.0001845614358879;0.3769199277651011;0.6694725816555527;0.0002559768545966541
商丘医专微校园;0.0108429843584183;0.6200353488981126;0.3576436921085716;0.013215807200000063
可爱的雅瑞宝贝;0.0003691228717759;0.9943426926329124;0.6764251448755632;0.0013645976824418686
长三角铁路;0.0004152632307479;0.2577092511013216;0.8668905079736594;0.0005099124062511374
水草的迷;0.0001384210769159;0.4338826296537048;0.6694722938445626;0.00022099626779003144
隐竹斋;0.0004614035897199;0.023949480008838;0.5643385436632543;3.4276353573715636e-05
DeniseFanta;0.0003229825128039;0.9697607794194948;0.6695577523892797;0.0011526819993188037
YI曦-;0.0128270197942139;0.1754541075066162;0.4508971823428815;0.005577565379110904
