发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
彩云小梦Dream;5;16;21;21673;0.0009689475384118488
馋老师bot;3;11;14;21673;0.0006459650256078992
被遺忘腐爛的厨余垃圾33027;3;3;6;21673;0.0002768421538319568
混世窝窝头;2;3;5;21673;0.00023070179485996402
燃星击夜;7;649;656;21673;0.03026807548562728
·AstronNautes·;2;6;8;21673;0.0003691228717759424
紫霄时雨_;2;8;10;21673;0.00046140358971992804
Klara_And_the_Sun;1;3;4;21673;0.0001845614358879712
云南艺术学院文华学院新闻中心;1;1;2;21673;9.22807179439856e-05
装盐的瓶;8;6;14;21673;0.0006459650256078992
风过无痕dear;8;7;15;21673;0.0006921053845798921
栖息的月光光;23;36;59;21673;0.0027222811793475754
奶盐盐粒子;7;5;12;21673;0.0005536843076639136
_西红柿女孩_;1;4;5;21673;0.00023070179485996402
黑屏黑屏黑;2;14;16;21673;0.0007382457435518848
Q娜娜N;2;2;4;21673;0.0001845614358879712
商丘医专微校园;35;200;235;21673;0.010842984358418309
可爱的雅瑞宝贝;5;3;8;21673;0.0003691228717759424
长三角铁路;2;7;9;21673;0.0004152632307479352
水草的迷;2;1;3;21673;0.0001384210769159784
隐竹斋;3;7;10;21673;0.00046140358971992804
DeniseFanta;1;6;7;21673;0.0003229825128039496
YI曦-;12;266;278;21673;0.012827019794213999
中科大胡不归;2;23;25;21673;0.00115350897429982
一只饭cp的萝卜;4;130;134;21673;0.006182808102247035
瑞睿女王;1;1;2;21673;9.22807179439856e-05
Rabbitwool_梦比优斯出蓝光了么;2;4;6;21673;0.0002768421538319568
绿箭五糖薄荷糖;3;12;15;21673;0.0006921053845798921
北京众一公益基金会;-1;2;1;21673;4.61403589719928e-05
陳企鵝_Patty;7;3;10;21673;0.00046140358971992804
vitamin__C_;2;4;6;21673;0.0002768421538319568
问问夕夕姐姐;0;1;1;21673;4.61403589719928e-05
淇淇夬夬;1;1;2;21673;9.22807179439856e-05
盐式夏日;8;2;10;21673;0.00046140358971992804
付俊医生;1;1;2;21673;9.22807179439856e-05
yang_smile;0;3;3;21673;0.0001384210769159784
Fong110;3;18;21;21673;0.0009689475384118488
SUMMER旧梦安雪;10;46;56;21673;0.002583860102431597
水煮长江;1;1;2;21673;9.22807179439856e-05
岳盛斋的饲养员;1;12;13;21673;0.0005998246666359064
穆梓欣MZX;3;6;9;21673;0.0004152632307479352
单色光0517;6;6;12;21673;0.0005536843076639136
Libra_Iridescent;2;16;18;21673;0.0008305264614958704
又又想喝冰阔落;1;2;3;21673;0.0001384210769159784
augenstern_澄念;19;21;40;21673;0.0018456143588797122
霜予叙柒;20;2;22;21673;0.0010150878973838417
橙子茶Yi;0;5;5;21673;0.00023070179485996402
甜乐壁纸头像;1;1;2;21673;9.22807179439856e-05
