发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
陈苏喜3993;0.0;0.7178971491872309;0.5716572136090073;0.0
告五人樂團;0.8825187969924813;0.1417804637318996;0.5162985773737153;0.7873064038179721
告五人樂團;0.2659774436090225;0.2242192948325662;0.3839757313498705;0.2790770123189069
新闻晨报;0.0178571428571428;0.095097438496322;0.6742213988233156;0.013953585670760297
黑科技见闻;0.06296992481203;0.2754769203409327;0.5905841280312288;0.12485405842169077
木白弓虽;0.0046992481203007;0.2877814258285525;0.5754816944329587;0.009484733851593902
木白弓虽;0.0046992481203007;0.2877814258285525;0.5754816944329587;0.009484733851593902
新京报;1.0;0.1365302282959536;0.600991991449031;1.0
凤凰网科技;0.0056390977443609;-0.5262289246152103;0.5871666037459404;-0.02123480040378972
差评硬件部;0.0056390977443609;0.6639546312680957;0.7624842618120717;0.034792161431007745
陇南网信;0.0018796992481203;0.995832763118885;0.5717692524166512;0.013043618076133646
华商报;0.0093984962406015;0.4753668720498937;0.5807290823053745;0.0316201087448651
福布斯中文网;0.0046992481203007;-0.8858316361484109;0.6480299816727078;-0.03287586291574548
36氪;0.0056390977443609;0.7196039273731121;0.5838147754989672;0.028872256561477096
鱼丸甜酱;0.4332706766917293;0.0549601948045766;0.3940060916013128;0.11434389869775753
飞鱼Tech;0.0413533834586466;0.4512513179913621;0.4842742988385078;0.11013451703567347
飞鱼Tech;0.0413533834586466;0.4512513179913621;0.484274298838508;0.1101345170356735
弗虑弗为;0.3308270676691729;-0.0145735110576356;0.4290028875453317;-0.025207393700580262
黑喵调查橘;0.0216165413533834;0.9863859897938332;0.5933255938557713;0.15418022832986888
是你晨儿哥;0.0874060150375939;0.3386265959589289;0.5011946188270194;0.18078870075391942
是你晨儿哥;0.0911654135338345;0.3386265959589289;0.5011946188270194;0.1885645588508622
财富中文网;0.0046992481203007;0.0;0.5852897108003329;0.0
Obbei;0.0084586466165413;0.8634579227680181;0.5716600810892982;0.05088413844700019
互联网大咖说;0.0394736842105263;0.7075646149228585;0.4055862991213539;0.13805735320428086
鍋盖頭司令;0.2359022556390977;0.0757862159373375;0.7180068984442212;0.15644202616325908
老板联播;0.0056390977443609;0.833537313070079;0.5919047902730753;0.03390697308784856
凤凰网科技;0.0037593984962406;0.0;0.5927032327032975;0.0
36氪;0.0366541353383458;0.1556470051921977;0.5034474367994501;0.035004218067421794
Harvey科技;0.0103383458646616;0.2688907129142763;0.6193916725114726;0.020984311316320472
北星微博;0.0197368421052631;0.3305281478786653;0.6775951116613927;0.053871476626978596
福布斯中文网;0.0046992481203007;0.0;0.588729283242253;0.0
福布斯中文网;0.0046992481203007;0.0;0.588729283242253;0.0
福布斯中文网;0.0046992481203007;-0.4385937161199523;0.8178768423131901;-0.020543819554797893
量子位;0.006578947368421;0.9032151656373808;0.5758818079619169;0.041704554984068644
量子位;0.006578947368421;0.9032151656373808;0.5758818079619169;0.041704554984068644
遇见对的人是你;0.0037593984962406;0.0;0.571657027591314;0.0
麻省理工科技评论;0.0075187969924812;0.5271865741200297;0.5794854471764903;0.027993534283990564
