发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
陈苏喜3993;-1;1;0;1064;0.0
告五人樂團;62;877;939;1064;0.8825187969924813
告五人樂團;28;255;283;1064;0.26597744360902253
新闻晨报;3;16;19;1064;0.017857142857142856
黑科技见闻;10;57;67;1064;0.06296992481203008
木白弓虽;1;4;5;1064;0.004699248120300752
木白弓虽;1;4;5;1064;0.004699248120300752
新京报;9;1055;1064;1064;1.0
凤凰网科技;1;5;6;1064;0.005639097744360902
差评硬件部;2;4;6;1064;0.005639097744360902
陇南网信;1;1;2;1064;0.0018796992481203006
华商报;3;7;10;1064;0.009398496240601503
福布斯中文网;4;1;5;1064;0.004699248120300752
36氪;1;5;6;1064;0.005639097744360902
鱼丸甜酱;76;385;461;1064;0.4332706766917293
飞鱼Tech;20;24;44;1064;0.041353383458646614
飞鱼Tech;20;24;44;1064;0.041353383458646614
弗虑弗为;5;347;352;1064;0.3308270676691729
黑喵调查橘;5;18;23;1064;0.021616541353383457
是你晨儿哥;-1;94;93;1064;0.08740601503759399
是你晨儿哥;3;94;97;1064;0.09116541353383459
财富中文网;1;4;5;1064;0.004699248120300752
Obbei;4;5;9;1064;0.008458646616541353
互联网大咖说;11;31;42;1064;0.039473684210526314
鍋盖頭司令;-614;865;251;1064;0.23590225563909775
老板联播;1;5;6;1064;0.005639097744360902
凤凰网科技;1;3;4;1064;0.0037593984962406013
36氪;5;34;39;1064;0.03665413533834586
Harvey科技;2;9;11;1064;0.010338345864661654
北星微博;2;19;21;1064;0.019736842105263157
福布斯中文网;1;4;5;1064;0.004699248120300752
福布斯中文网;1;4;5;1064;0.004699248120300752
福布斯中文网;2;3;5;1064;0.004699248120300752
量子位;1;6;7;1064;0.006578947368421052
量子位;1;6;7;1064;0.006578947368421052
遇见对的人是你;1;3;4;1064;0.0037593984962406013
麻省理工科技评论;1;7;8;1064;0.007518796992481203
大白医森;-7;1;-6;1064;-0.005639097744360902
新浪科技;5;4;9;1064;0.008458646616541353
新浪科技;5;4;9;1064;0.008458646616541353
火爸朱剑笛;1;3;4;1064;0.0037593984962406013
蓝鲸财经记者工作平台;9;15;24;1064;0.022556390977443608
人才76116;6;27;33;1064;0.03101503759398496
真正的人工智能;-3;4;1;1064;0.0009398496240601503
G_你听得到;1;3;4;1064;0.0037593984962406013
今日灼见;2;5;7;1064;0.006578947368421052
黑科技大咖说;7;45;52;1064;0.04887218045112782
黑科技大咖说;7;45;52;1064;0.04887218045112782
中科大胡不归;-3;25;22;1064;0.020676691729323307
天祝县融媒体中心;45;55;100;1064;0.09398496240601503
摩卡澄咲;0;6;6;1064;0.005639097744360902
IT之家;1;2;3;1064;0.002819548872180451
啾啾与汪汪;5;51;56;1064;0.05263157894736842
福布斯中文网;-1;3;2;1064;0.0018796992481203006
福布斯中文网;-1;3;2;1064;0.0018796992481203006
红湖蓝湖绿的湖ak;-11;2;-9;1064;-0.008458646616541353
同城视频;32;30;62;1064;0.05827067669172932
财经评论;1;10;11;1064;0.010338345864661654
搜狐财经;1;1;2;1064;0.0018796992481203006
兮正则;2;15;17;1064;0.015977443609022556
财联社APP;6;36;42;1064;0.039473684210526314
KkrAnA7;-1;1;0;1064;0.0
方正之间;1;3;4;1064;0.0037593984962406013
春秋_不憾;-2;6;4;1064;0.0037593984962406013
侃股女骑士;5;178;183;1064;0.17199248120300753
Ridiculeisnormalcy;4;79;83;1064;0.07800751879699248
财联社APP;2;26;28;1064;0.02631578947368421
财联社APP;2;26;28;1064;0.02631578947368421
电网头条;10;16;26;1064;0.02443609022556391
科学声音;1;2;3;1064;0.002819548872180451
昆明市西山区发布;17;9;26;1064;0.02443609022556391
互联网的大事儿;4;27;31;1064;0.02913533834586466
财经早餐;2;4;6;1064;0.005639097744360902
诛心先生;2;2;4;1064;0.0037593984962406013
千手扁鹊;1;3;4;1064;0.0037593984962406013
千手扁鹊;1;3;4;1064;0.0037593984962406013
量子位;2;11;13;1064;0.012218045112781954
此心安处_Amy;-18;42;24;1064;0.022556390977443608
此心安处_Amy;14;42;56;1064;0.05263157894736842
Melody欧美音乐台;-7;85;78;1064;0.07330827067669173
钛媒体APP;2;1;3;1064;0.002819548872180451
宝玉xp;4;33;37;1064;0.03477443609022556
CHENEY日记;1;3;4;1064;0.0037593984962406013
财经网;2;16;18;1064;0.016917293233082706
··MistyRose··;0;223;223;1064;0.20958646616541354
