发布者;群体情绪;时间
陈苏喜3993;0.004717688821077921;2023-02-04 22:46:01
告五人樂團;0.9975258370210259;2023-02-04 22:46:01
告五人樂團;0.24826863398271504;2023-02-04 22:46:01
新闻晨报;0.01225027703062529;------
黑科技见闻;0.10961317328410022;2023-02-05 21:49:19
木白弓虽;0.008326936171485444;2023-02-05 18:00:56
木白弓虽;0.008326936171485444;2023-02-05 18:06:11
新京报;1.0;2023-02-05 18:01:50
凤凰网科技;-0.018642676783901083;2023-02-05 18:09:17
差评硬件部;0.03054509615526358;2023-02-05 18:03:48
陇南网信;0.011451388817509758;2023-02-06 00:15:21
华商报;0.027760254675957337;2023-02-05 19:14:22
福布斯中文网;-0.028862719435813547;2023-02-10 15:37:00
36氪;0.025347831713144975;2023-02-05 18:52:38
鱼丸甜酱;0.15865535129549724;2023-02-06 02:54:44
飞鱼Tech;0.09669044044702575;2023-02-05 18:21:14
飞鱼Tech;0.09669044044702577;2023-02-06 11:58:09
弗虑弗为;0.3366187501520008;2023-02-05 18:40:45
黑喵调查橘;0.13535950932267019;2023-02-05 18:16:28
是你晨儿哥;0.14518624437200214;2023-02-05 18:01:32
是你晨儿哥;0.1574263672723789;2023-02-11 18:01:55
财富中文网;0.0;2023-02-07 17:51:09
Obbei;0.044672731952093224;2023-02-07 17:50:06
互联网大咖说;0.12120474713616555;2023-02-06 19:40:19
鍋盖頭司令;0.7226321428342248;2023-02-06 16:49:13
老板联播;0.029767962400267304;2023-02-06 12:35:30
凤凰网科技;0.0;2023-02-06 10:18:21
36氪;0.03073126712260843;2023-02-06 08:13:40
Harvey科技;0.01842276479947998;2023-02-06 02:06:58
北星微博;0.05028553464100407;2023-02-06 00:53:33
福布斯中文网;0.0;2023-02-05 23:15:18
福布斯中文网;0.0;2023-02-05 22:41:02
福布斯中文网;-0.018036043691681332;2023-02-05 22:06:01
量子位;0.03661369658297646;2023-02-05 22:02:40
量子位;0.03661369658297646;2023-02-05 21:20:51
遇见对的人是你;0.0;2023-02-05 19:20:32
麻省理工科技评论;0.024576374713762433;2023-02-05 19:04:58
大白医森;-0.0004524549317778169;2023-02-05 18:50:08
新浪科技;0.02711743352085473;2023-02-05 18:24:17
新浪科技;0.02711743352085473;2023-02-05 18:19:13
火爸朱剑笛;-0.022018819108492283;2023-02-05 18:11:16
蓝鲸财经记者工作平台;0.0714528672066184;2023-02-05 18:09:32
人才76116;0.07002927287111248;2023-02-05 18:01:18
真正的人工智能;0.005045302411549935;2023-02-05 18:00:41
G_你听得到;0.022866199258219193;2023-02-15 12:38:27
今日灼见;0.030153330545104898;2023-02-06 11:43:16
黑科技大咖说;0.12058876583531541;2023-02-07 21:11:52
黑科技大咖说;0.12058876583531543;2023-02-05 19:24:10
中科大胡不归;0.035307316356463905;2023-02-05 19:15:10
天祝县融媒体中心;0.3156995312015839;2023-03-06 16:35:15
摩卡澄咲;0.010587289766859655;2023-03-05 12:39:01
IT之家;-0.014393605786191884;2023-02-27 12:43:40
啾啾与汪汪;-0.05237365966829446;2023-02-25 23:45:40
福布斯中文网;-0.0049434140054672995;2023-02-16 09:10:51
福布斯中文网;-0.0049434140054672995;2023-02-08 14:57:01
红湖蓝湖绿的湖ak;0.004867733578256031;2023-02-05 21:33:55
同城视频;0.1486143303985935;2023-02-05 19:50:30
财经评论;-0.06268247777206316;2023-02-05 18:02:17
搜狐财经;0.011185480931848533;2023-02-05 21:48:15
兮正则;0.09576303901070901;2023-02-05 18:55:41
财联社APP;-0.10174637699951292;2023-02-07 21:50:48
KkrAnA7;-0.004147670979045183;2023-02-05 20:01:24
方正之间;-0.01859250571530888;2023-02-05 18:09:24
春秋_不憾;0.02825540676707856;2023-02-06 00:32:46
侃股女骑士;0.42567784840072426;2023-02-05 22:29:20
Ridiculeisnormalcy;0.3894383619708123;2023-02-05 21:44:43
财联社APP;-0.06230024669931671;2023-02-05 19:39:49
财联社APP;-0.06230024669931671;2023-02-05 18:25:48
电网头条;0.1428280092804697;2023-02-05 18:05:21
科学声音;0.017310339638025595;2023-02-05 18:04:28
昆明市西山区发布;0.15001762321998083;2023-02-05 18:03:39
互联网的大事儿;0.1899302759629208;2023-02-05 18:01:21
财经早餐;0.030607990393389062;2023-02-05 21:49:19
诛心先生;0.019024642437728778;2023-02-05 18:00:56
千手扁鹊;0.022970177893252074;2023-02-05 18:06:11
千手扁鹊;0.022970177893252074;2023-02-05 18:01:50
量子位;0.02403181403029668;2023-02-05 18:09:17
此心安处_Amy;0.05820171066736628;2023-02-05 18:03:48
此心安处_Amy;0.1237884490565722;2023-02-06 00:15:21
Melody欧美音乐台;0.2568094993099464;2023-02-05 19:14:22
钛媒体APP;0.013551659328199324;2023-02-10 15:37:00
宝玉xp;0.026371467636125325;2023-02-05 18:52:38
CHENEY日记;0.02209956021664638;2023-02-06 02:54:44
财经网;-0.06265613845756357;2023-02-05 18:21:14
··MistyRose··;0.08005082330780695;2023-02-06 11:58:09
