一级评论;实际爬取到的二级评论内容;单条评论情绪值;信任度指数1;正向情绪最大绝对值;负向情绪最大绝对值;情绪极性差值;信任度指数2;一级评论账号的粉丝数;信任度指数4;信任度值;归一化信任度值
没错亲友就是我神婆真的很准由此推断我十万指日可待;哈哈哈哈哈哈哈怎么还兴悍跳[舔屏];0.9495546947176186
-----;------;------;0.0;0.9495546947176186;;0;1.0;4158;0.0004701255454553061;0.4000940251090911;0.7128237135033132
没错亲友就是我神婆真的很准由此推断我十万指日可待;哈哈哈哈哈哈哈怎么还兴悍跳[舔屏];0.9495546947176186
-----;------;------;0.0;0.9495546947176186;;0;1.0;4158;0.0004701255454553061;0.4000940251090911;0.7128237135033132
没错亲友就是我神婆真的很准由此推断我十万指日可待;哈哈哈哈哈哈哈怎么还兴悍跳[舔屏];0.9495546947176186
-----;------;------;0.0;0.9495546947176186;;0;1.0;4158;0.0004701255454553061;0.4000940251090911;0.7128237135033132
我的天呐JJ都来帮忙宣发！[awsl][awsl];毕竟JJ演唱会有告五人参加🙊;0.8707024026467403
-----;------;------;0.0;0.8707024026467403;;0;1.0;11736;0.001326934439986405;0.4002653868879973;0.713129018586435
这个台湾的演唱会m;吗;0.052465563615616606
-----;------;------;0.0;0.052465563615616606;;0;1.0;110;1.2437183742203864e-05;0.4000024874367485;0.7126606262802363
啊啊啊啊啊啊啊啊啊有幸见过;呜呜呜呜山东到广州到珠海只为了见告五人[悲伤];0.8824880008689922
-----;------;------;0.0;0.8824880008689922;;0;1.0;6;6.783918404838471e-07;0.4000001356783681;0.7126564362922916
我的天呐JJ都来帮忙宣发！[awsl][awsl];毕竟JJ演唱会有告五人参加🙊;0.8707024026467403
-----;------;------;0.0;0.8707024026467403;;0;1.0;11736;0.001326934439986405;0.4002653868879973;0.713129018586435
这个台湾的演唱会m;吗;0.052465563615616606
-----;------;------;0.0;0.052465563615616606;;0;1.0;110;1.2437183742203864e-05;0.4000024874367485;0.7126606262802363
啊啊啊啊啊啊啊啊啊有幸见过;呜呜呜呜山东到广州到珠海只为了见告五人[悲伤];0.8824880008689922
-----;------;------;0.0;0.8824880008689922;;0;1.0;6;6.783918404838471e-07;0.4000001356783681;0.7126564362922916
我的天呐JJ都来帮忙宣发！[awsl][awsl];毕竟JJ演唱会有告五人参加🙊;0.8707024026467403
-----;------;------;0.0;0.8707024026467403;;0;1.0;11736;0.001326934439986405;0.4002653868879973;0.713129018586435
这个台湾的演唱会m;吗;0.052465563615616606
-----;------;------;0.0;0.052465563615616606;;0;1.0;110;1.2437183742203864e-05;0.4000024874367485;0.7126606262802363
啊啊啊啊啊啊啊啊啊有幸见过;呜呜呜呜山东到广州到珠海只为了见告五人[悲伤];0.8824880008689922
-----;------;------;0.0;0.8824880008689922;;0;1.0;6;6.783918404838471e-07;0.4000001356783681;0.7126564362922916
我的天呐JJ都来帮忙宣发！[awsl][awsl];毕竟JJ演唱会有告五人参加🙊;0.8707024026467403
-----;------;------;0.0;0.8707024026467403;;0;1.0;11736;0.001326934439986405;0.4002653868879973;0.713129018586435
这个台湾的演唱会m;吗;0.052465563615616606
-----;------;------;0.0;0.052465563615616606;;0;1.0;110;1.2437183742203864e-05;0.4000024874367485;0.7126606262802363
啊啊啊啊啊啊啊啊啊有幸见过;呜呜呜呜山东到广州到珠海只为了见告五人[悲伤];0.8824880008689922
-----;------;------;0.0;0.8824880008689922;;0;1.0;6;6.783918404838471e-07;0.4000001356783681;0.7126564362922916
有趣有趣小陈[春遊家族][春遊家族];为什么叫小陈🤔🤔;0.3890717804475212
-----;------;------;0.0;0.3890717804475212;;0;1.0;1102;0.00012459796803553327;0.40002491959360714;0.7127005923190931
@一条盐烧秋刀鱼;呜呜呜老公(;0.27449022220574815
-----;------;------;0.0;0.27449022220574815;;0;1.0;112;1.266331435569848e-05;0.40000253266287117;0.7126607068569275
去去去，必须去;[心][心][心];0.9153097204935656
-----;------;------;0.0;0.9153097204935656;;0;1.0;19;2.1482408281988494e-06;0.4000004296481657;0.7126569600407847
期待中文阉割版本;ChatGPT本身就是多语言，中文虽然没有英文流畅，但肯定可以用，还不错;0.981585510278296
-----;------;------;0.0;0.981585510278296;;0;1.0;31;3.505024509166544e-06;0.40000070100490187;0.7126574435009322
我们的IT巨头在做什么？;圈地运动[哈哈];-0.2651513583208083
-----;------;------;0.0;;-0.2651513583208083;0;1.0;79;8.93215923303732e-06;0.40000178643184664;0.7126593773415221
期待中文阉割版本;ChatGPT本身就是多语言，中文虽然没有英文流畅，但肯定可以用，还不错;0.981585510278296
-----;------;------;0.0;0.981585510278296;;0;1.0;31;3.505024509166544e-06;0.40000070100490187;0.7126574435009322
我们的IT巨头在做什么？;圈地运动[哈哈];-0.2651513583208083
-----;------;------;0.0;;-0.2651513583208083;0;1.0;79;8.93215923303732e-06;0.40000178643184664;0.7126593773415221
期待中文阉割版本;ChatGPT本身就是多语言，中文虽然没有英文流畅，但肯定可以用，还不错;0.981585510278296
-----;------;------;0.0;0.981585510278296;;0;1.0;31;3.505024509166544e-06;0.40000070100490187;0.7126574435009322
我们的IT巨头在做什么？;圈地运动[哈哈];-0.2651513583208083
-----;------;------;0.0;;-0.2651513583208083;0;1.0;79;8.93215923303732e-06;0.40000178643184664;0.7126593773415221
期待中文阉割版本;ChatGPT本身就是多语言，中文虽然没有英文流畅，但肯定可以用，还不错;0.981585510278296
-----;------;------;0.0;0.981585510278296;;0;1.0;31;3.505024509166544e-06;0.40000070100490187;0.7126574435009322
我们的IT巨头在做什么？;圈地运动[哈哈];-0.2651513583208083
-----;------;------;0.0;;-0.2651513583208083;0;1.0;79;8.93215923303732e-06;0.40000178643184664;0.7126593773415221
期待中文阉割版本;ChatGPT本身就是多语言，中文虽然没有英文流畅，但肯定可以用，还不错;0.981585510278296
-----;------;------;0.0;0.981585510278296;;0;1.0;31;3.505024509166544e-06;0.40000070100490187;0.7126574435009322
我们的IT巨头在做什么？;圈地运动[哈哈];-0.2651513583208083
-----;------;------;0.0;;-0.2651513583208083;0;1.0;79;8.93215923303732e-06;0.40000178643184664;0.7126593773415221
期待中文阉割版本;ChatGPT本身就是多语言，中文虽然没有英文流畅，但肯定可以用，还不错;0.981585510278296
-----;------;------;0.0;0.981585510278296;;0;1.0;31;3.505024509166544e-06;0.40000070100490187;0.7126574435009322
我们的IT巨头在做什么？;圈地运动[哈哈];-0.2651513583208083
-----;------;------;0.0;;-0.2651513583208083;0;1.0;79;8.93215923303732e-06;0.40000178643184664;0.7126593773415221
期待中文阉割版本;ChatGPT本身就是多语言，中文虽然没有英文流畅，但肯定可以用，还不错;0.981585510278296
-----;------;------;0.0;0.981585510278296;;0;1.0;31;3.505024509166544e-06;0.40000070100490187;0.7126574435009322
我们的IT巨头在做什么？;圈地运动[哈哈];-0.2651513583208083
-----;------;------;0.0;;-0.2651513583208083;0;1.0;79;8.93215923303732e-06;0.40000178643184664;0.7126593773415221
听起来很不错诶，不过这市值也涨的太快了吧;针不戳呀[赢牛奶];0.6049976571908946
听起来很不错诶，不过这市值也涨的太快了吧;不错的;0.7224264705882353
听起来很不错诶，不过这市值也涨的太快了吧;是啊;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;嗯嗯;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;超快;0.875
听起来很不错诶，不过这市值也涨的太快了吧;就是呢;0.052465563615616606
-----;------;------;0.3496854207012657;0.875;;0;1.0;118;1.3341706196182327e-05;0.5398768366217455;0.9618664297978533
这一夜之间涨了好多啊;牛了;0.25
-----;------;------;0.0;0.25;;0;1.0;99;1.1193465367983477e-05;0.4000022386930736;0.7126601831084344
听起来很不错诶，不过这市值也涨的太快了吧;针不戳呀[赢牛奶];0.6049976571908946
听起来很不错诶，不过这市值也涨的太快了吧;不错的;0.7224264705882353
听起来很不错诶，不过这市值也涨的太快了吧;是啊;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;嗯嗯;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;超快;0.875
听起来很不错诶，不过这市值也涨的太快了吧;就是呢;0.052465563615616606
-----;------;------;0.3496854207012657;0.875;;0;1.0;118;1.3341706196182327e-05;0.5398768366217455;0.9618664297978533
这一夜之间涨了好多啊;牛了;0.25
-----;------;------;0.0;0.25;;0;1.0;99;1.1193465367983477e-05;0.4000022386930736;0.7126601831084344
听起来很不错诶，不过这市值也涨的太快了吧;针不戳呀[赢牛奶];0.6049976571908946
听起来很不错诶，不过这市值也涨的太快了吧;不错的;0.7224264705882353
听起来很不错诶，不过这市值也涨的太快了吧;是啊;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;嗯嗯;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;超快;0.875
听起来很不错诶，不过这市值也涨的太快了吧;就是呢;0.052465563615616606
-----;------;------;0.3496854207012657;0.875;;0;1.0;118;1.3341706196182327e-05;0.5398768366217455;0.9618664297978533
这一夜之间涨了好多啊;牛了;0.25
-----;------;------;0.0;0.25;;0;1.0;99;1.1193465367983477e-05;0.4000022386930736;0.7126601831084344
听起来很不错诶，不过这市值也涨的太快了吧;针不戳呀[赢牛奶];0.6049976571908946
听起来很不错诶，不过这市值也涨的太快了吧;不错的;0.7224264705882353
听起来很不错诶，不过这市值也涨的太快了吧;是啊;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;嗯嗯;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;超快;0.875
听起来很不错诶，不过这市值也涨的太快了吧;就是呢;0.052465563615616606
-----;------;------;0.3496854207012657;0.875;;0;1.0;118;1.3341706196182327e-05;0.5398768366217455;0.9618664297978533
这一夜之间涨了好多啊;牛了;0.25
-----;------;------;0.0;0.25;;0;1.0;99;1.1193465367983477e-05;0.4000022386930736;0.7126601831084344
听起来很不错诶，不过这市值也涨的太快了吧;针不戳呀[赢牛奶];0.6049976571908946
听起来很不错诶，不过这市值也涨的太快了吧;不错的;0.7224264705882353
听起来很不错诶，不过这市值也涨的太快了吧;是啊;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;嗯嗯;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;超快;0.875
听起来很不错诶，不过这市值也涨的太快了吧;就是呢;0.052465563615616606
-----;------;------;0.3496854207012657;0.875;;0;1.0;118;1.3341706196182327e-05;0.5398768366217455;0.9618664297978533
这一夜之间涨了好多啊;牛了;0.25
-----;------;------;0.0;0.25;;0;1.0;99;1.1193465367983477e-05;0.4000022386930736;0.7126601831084344
听起来很不错诶，不过这市值也涨的太快了吧;针不戳呀[赢牛奶];0.6049976571908946
听起来很不错诶，不过这市值也涨的太快了吧;不错的;0.7224264705882353
听起来很不错诶，不过这市值也涨的太快了吧;是啊;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;嗯嗯;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;超快;0.875
听起来很不错诶，不过这市值也涨的太快了吧;就是呢;0.052465563615616606
-----;------;------;0.3496854207012657;0.875;;0;1.0;118;1.3341706196182327e-05;0.5398768366217455;0.9618664297978533
这一夜之间涨了好多啊;牛了;0.25
-----;------;------;0.0;0.25;;0;1.0;99;1.1193465367983477e-05;0.4000022386930736;0.7126601831084344
听起来很不错诶，不过这市值也涨的太快了吧;针不戳呀[赢牛奶];0.6049976571908946
听起来很不错诶，不过这市值也涨的太快了吧;不错的;0.7224264705882353
听起来很不错诶，不过这市值也涨的太快了吧;是啊;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;嗯嗯;0.052465563615616606
听起来很不错诶，不过这市值也涨的太快了吧;超快;0.875
听起来很不错诶，不过这市值也涨的太快了吧;就是呢;0.052465563615616606
-----;------;------;0.3496854207012657;0.875;;0;1.0;118;1.3341706196182327e-05;0.5398768366217455;0.9618664297978533
这一夜之间涨了好多啊;牛了;0.25
-----;------;------;0.0;0.25;;0;1.0;99;1.1193465367983477e-05;0.4000022386930736;0.7126601831084344
百度依靠墙生存;百度是苔藓，依靠墙生活;0.3728384388068364
-----;------;------;0.0;0.3728384388068364;;0;1.0;250;2.8266326686826964e-05;0.4000056532653374;0.7126662666486233
在百度搜索chatgpt要翻到第五页才能看到这条新闻[doge];前面几条是啥？陌陌还是啥广告？;0.8475982981226364
-----;------;------;0.0;0.8475982981226364;;0;1.0;1;1.1306530674730785e-07;0.4000000226130614;0.7126562348505635
百度哪能落下这波热潮呢[二哈]http://t.cn/A69DX0Wr;这玩意老早就在搞了[黑线];-0.9099054200780581
-----;------;------;0.0;;-0.9099054200780581;0;1.0;637;7.20226003980351e-05;0.40001440452007964;0.7126818582383789
百度依靠墙生存;百度是苔藓，依靠墙生活;0.3728384388068364
-----;------;------;0.0;0.3728384388068364;;0;1.0;250;2.8266326686826964e-05;0.4000056532653374;0.7126662666486233
在百度搜索chatgpt要翻到第五页才能看到这条新闻[doge];前面几条是啥？陌陌还是啥广告？;0.8475982981226364
-----;------;------;0.0;0.8475982981226364;;0;1.0;1;1.1306530674730785e-07;0.4000000226130614;0.7126562348505635
百度哪能落下这波热潮呢[二哈]http://t.cn/A69DX0Wr;这玩意老早就在搞了[黑线];-0.9099054200780581
-----;------;------;0.0;;-0.9099054200780581;0;1.0;637;7.20226003980351e-05;0.40001440452007964;0.7126818582383789
百度依靠墙生存;百度是苔藓，依靠墙生活;0.3728384388068364
-----;------;------;0.0;0.3728384388068364;;0;1.0;250;2.8266326686826964e-05;0.4000056532653374;0.7126662666486233
在百度搜索chatgpt要翻到第五页才能看到这条新闻[doge];前面几条是啥？陌陌还是啥广告？;0.8475982981226364
-----;------;------;0.0;0.8475982981226364;;0;1.0;1;1.1306530674730785e-07;0.4000000226130614;0.7126562348505635
百度哪能落下这波热潮呢[二哈]http://t.cn/A69DX0Wr;这玩意老早就在搞了[黑线];-0.9099054200780581
-----;------;------;0.0;;-0.9099054200780581;0;1.0;637;7.20226003980351e-05;0.40001440452007964;0.7126818582383789
百度依靠墙生存;百度是苔藓，依靠墙生活;0.3728384388068364
-----;------;------;0.0;0.3728384388068364;;0;1.0;250;2.8266326686826964e-05;0.4000056532653374;0.7126662666486233
在百度搜索chatgpt要翻到第五页才能看到这条新闻[doge];前面几条是啥？陌陌还是啥广告？;0.8475982981226364
-----;------;------;0.0;0.8475982981226364;;0;1.0;1;1.1306530674730785e-07;0.4000000226130614;0.7126562348505635
百度哪能落下这波热潮呢[二哈]http://t.cn/A69DX0Wr;这玩意老早就在搞了[黑线];-0.9099054200780581
-----;------;------;0.0;;-0.9099054200780581;0;1.0;637;7.20226003980351e-05;0.40001440452007964;0.7126818582383789
百度依靠墙生存;百度是苔藓，依靠墙生活;0.3728384388068364
-----;------;------;0.0;0.3728384388068364;;0;1.0;250;2.8266326686826964e-05;0.4000056532653374;0.7126662666486233
在百度搜索chatgpt要翻到第五页才能看到这条新闻[doge];前面几条是啥？陌陌还是啥广告？;0.8475982981226364
-----;------;------;0.0;0.8475982981226364;;0;1.0;1;1.1306530674730785e-07;0.4000000226130614;0.7126562348505635
百度哪能落下这波热潮呢[二哈]http://t.cn/A69DX0Wr;这玩意老早就在搞了[黑线];-0.9099054200780581
-----;------;------;0.0;;-0.9099054200780581;0;1.0;637;7.20226003980351e-05;0.40001440452007964;0.7126818582383789
百度依靠墙生存;百度是苔藓，依靠墙生活;0.3728384388068364
-----;------;------;0.0;0.3728384388068364;;0;1.0;250;2.8266326686826964e-05;0.4000056532653374;0.7126662666486233
在百度搜索chatgpt要翻到第五页才能看到这条新闻[doge];前面几条是啥？陌陌还是啥广告？;0.8475982981226364
-----;------;------;0.0;0.8475982981226364;;0;1.0;1;1.1306530674730785e-07;0.4000000226130614;0.7126562348505635
百度哪能落下这波热潮呢[二哈]http://t.cn/A69DX0Wr;这玩意老早就在搞了[黑线];-0.9099054200780581
-----;------;------;0.0;;-0.9099054200780581;0;1.0;637;7.20226003980351e-05;0.40001440452007964;0.7126818582383789
百度依靠墙生存;百度是苔藓，依靠墙生活;0.3728384388068364
-----;------;------;0.0;0.3728384388068364;;0;1.0;250;2.8266326686826964e-05;0.4000056532653374;0.7126662666486233
在百度搜索chatgpt要翻到第五页才能看到这条新闻[doge];前面几条是啥？陌陌还是啥广告？;0.8475982981226364
-----;------;------;0.0;0.8475982981226364;;0;1.0;1;1.1306530674730785e-07;0.4000000226130614;0.7126562348505635
百度哪能落下这波热潮呢[二哈]http://t.cn/A69DX0Wr;这玩意老早就在搞了[黑线];-0.9099054200780581
-----;------;------;0.0;;-0.9099054200780581;0;1.0;637;7.20226003980351e-05;0.40001440452007964;0.7126818582383789
百度瑟瑟发抖[doge];要变天了[doge];-0.6325532072931168
-----;------;------;0.0;;-0.6325532072931168;0;1.0;346;3.912059613456852e-05;0.4000078241192269;0.712670134329803
以后文字工作者都要下岗了[doge];那也不完全，你让chatgpt写个三体小说试试[喵喵];0.44773987740461796
-----;------;------;0.0;0.44773987740461796;;0;1.0;73;8.253767392553474e-06;0.40000165075347854;0.7126591356114483
百度瑟瑟发抖[doge];要变天了[doge];-0.6325532072931168
-----;------;------;0.0;;-0.6325532072931168;0;1.0;346;3.912059613456852e-05;0.4000078241192269;0.712670134329803
以后文字工作者都要下岗了[doge];那也不完全，你让chatgpt写个三体小说试试[喵喵];0.44773987740461796
-----;------;------;0.0;0.44773987740461796;;0;1.0;73;8.253767392553474e-06;0.40000165075347854;0.7126591356114483
百度瑟瑟发抖[doge];要变天了[doge];-0.6325532072931168
-----;------;------;0.0;;-0.6325532072931168;0;1.0;346;3.912059613456852e-05;0.4000078241192269;0.712670134329803
以后文字工作者都要下岗了[doge];那也不完全，你让chatgpt写个三体小说试试[喵喵];0.44773987740461796
-----;------;------;0.0;0.44773987740461796;;0;1.0;73;8.253767392553474e-06;0.40000165075347854;0.7126591356114483
百度瑟瑟发抖[doge];要变天了[doge];-0.6325532072931168
-----;------;------;0.0;;-0.6325532072931168;0;1.0;346;3.912059613456852e-05;0.4000078241192269;0.712670134329803
以后文字工作者都要下岗了[doge];那也不完全，你让chatgpt写个三体小说试试[喵喵];0.44773987740461796
-----;------;------;0.0;0.44773987740461796;;0;1.0;73;8.253767392553474e-06;0.40000165075347854;0.7126591356114483
百度瑟瑟发抖[doge];要变天了[doge];-0.6325532072931168
-----;------;------;0.0;;-0.6325532072931168;0;1.0;346;3.912059613456852e-05;0.4000078241192269;0.712670134329803
以后文字工作者都要下岗了[doge];那也不完全，你让chatgpt写个三体小说试试[喵喵];0.44773987740461796
-----;------;------;0.0;0.44773987740461796;;0;1.0;73;8.253767392553474e-06;0.40000165075347854;0.7126591356114483
百度瑟瑟发抖[doge];要变天了[doge];-0.6325532072931168
-----;------;------;0.0;;-0.6325532072931168;0;1.0;346;3.912059613456852e-05;0.4000078241192269;0.712670134329803
以后文字工作者都要下岗了[doge];那也不完全，你让chatgpt写个三体小说试试[喵喵];0.44773987740461796
-----;------;------;0.0;0.44773987740461796;;0;1.0;73;8.253767392553474e-06;0.40000165075347854;0.7126591356114483
百度瑟瑟发抖[doge];要变天了[doge];-0.6325532072931168
-----;------;------;0.0;;-0.6325532072931168;0;1.0;346;3.912059613456852e-05;0.4000078241192269;0.712670134329803
以后文字工作者都要下岗了[doge];那也不完全，你让chatgpt写个三体小说试试[喵喵];0.44773987740461796
-----;------;------;0.0;0.44773987740461796;;0;1.0;73;8.253767392553474e-06;0.40000165075347854;0.7126591356114483
百度瑟瑟发抖[doge];要变天了[doge];-0.6325532072931168
-----;------;------;0.0;;-0.6325532072931168;0;1.0;346;3.912059613456852e-05;0.4000078241192269;0.712670134329803
以后文字工作者都要下岗了[doge];那也不完全，你让chatgpt写个三体小说试试[喵喵];0.44773987740461796
-----;------;------;0.0;0.44773987740461796;;0;1.0;73;8.253767392553474e-06;0.40000165075347854;0.7126591356114483
实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;未来的风向和发展趋势;0.9604751892124836
实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;抓住了机会;0.4990102632380935
实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;把握机会;0.8959892418168374
实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;好好抓住，我抓不住[允悲];0.8252631983641574
实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;商机来了，必须要抓住;0.3278870168598935
实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;那是必须要抓住机遇。;0.1305984218038838
实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;[doge]是危机也是商机;0.9689230391247468
实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;确实是竞争更激烈;-0.26270919456256325
实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;也是一个商机;0.26384747410379483
实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;商机来了必须把握;0.8465847358995164
