label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;没错 亲友就是我 神婆真的很准 由此推断我十万指日可待;1;0;1;114;0.008771929824561403
2;没错 亲友就是我 神婆真的很准 由此推断我十万指日可待;1;0;1;114;0.008771929824561403
4;没错 亲友就是我 神婆真的很准 由此推断我十万指日可待;1;0;1;114;0.008771929824561403
7;我的天呐JJ都来帮忙宣发！[awsl][awsl];1;50;51;114;0.4473684210526316
26;这个台湾的演唱会m;1;0;1;114;0.008771929824561403
74;啊啊啊啊啊啊啊啊啊有幸见过;1;1;2;114;0.017543859649122806
78;我的天呐JJ都来帮忙宣发！[awsl][awsl];1;50;51;114;0.4473684210526316
97;这个台湾的演唱会m;1;0;1;114;0.008771929824561403
145;啊啊啊啊啊啊啊啊啊有幸见过;1;1;2;114;0.017543859649122806
149;我的天呐JJ都来帮忙宣发！[awsl][awsl];1;50;51;114;0.4473684210526316
168;这个台湾的演唱会m;1;0;1;114;0.008771929824561403
216;啊啊啊啊啊啊啊啊啊有幸见过;1;1;2;114;0.017543859649122806
220;我的天呐JJ都来帮忙宣发！[awsl][awsl];1;50;51;114;0.4473684210526316
239;这个台湾的演唱会m;1;0;1;114;0.008771929824561403
287;啊啊啊啊啊啊啊啊啊有幸见过;1;1;2;114;0.017543859649122806
291;有趣有趣 小陈[春遊家族][春遊家族];1;1;2;114;0.017543859649122806
293;@一条盐烧秋刀鱼;1;0;1;114;0.008771929824561403
311;去去去，必须去;1;0;1;114;0.008771929824561403
386;期待中文阉割版本;1;10;11;114;0.09649122807017543
392;我们的IT巨头在做什么？;1;0;1;114;0.008771929824561403
398;期待中文阉割版本;1;10;11;114;0.09649122807017543
404;我们的IT巨头在做什么？;1;0;1;114;0.008771929824561403
410;期待中文阉割版本;1;10;11;114;0.09649122807017543
416;我们的IT巨头在做什么？;1;0;1;114;0.008771929824561403
422;期待中文阉割版本;1;10;11;114;0.09649122807017543
428;我们的IT巨头在做什么？;1;0;1;114;0.008771929824561403
434;期待中文阉割版本;1;10;11;114;0.09649122807017543
440;我们的IT巨头在做什么？;1;0;1;114;0.008771929824561403
446;期待中文阉割版本;1;10;11;114;0.09649122807017543
452;我们的IT巨头在做什么？;1;0;1;114;0.008771929824561403
458;期待中文阉割版本;1;10;11;114;0.09649122807017543
464;我们的IT巨头在做什么？;1;0;1;114;0.008771929824561403
545;听起来很不错诶，不过这市值也涨的太快了吧;6;3;9;114;0.07894736842105263
556;这一夜之间涨了好多啊;1;0;1;114;0.008771929824561403
559;听起来很不错诶，不过这市值也涨的太快了吧;6;3;9;114;0.07894736842105263
570;这一夜之间涨了好多啊;1;0;1;114;0.008771929824561403
573;听起来很不错诶，不过这市值也涨的太快了吧;6;3;9;114;0.07894736842105263
584;这一夜之间涨了好多啊;1;0;1;114;0.008771929824561403
587;听起来很不错诶，不过这市值也涨的太快了吧;6;3;9;114;0.07894736842105263
598;这一夜之间涨了好多啊;1;0;1;114;0.008771929824561403
601;听起来很不错诶，不过这市值也涨的太快了吧;6;3;9;114;0.07894736842105263
612;这一夜之间涨了好多啊;1;0;1;114;0.008771929824561403
615;听起来很不错诶，不过这市值也涨的太快了吧;6;3;9;114;0.07894736842105263
626;这一夜之间涨了好多啊;1;0;1;114;0.008771929824561403
629;听起来很不错诶，不过这市值也涨的太快了吧;6;3;9;114;0.07894736842105263
640;这一夜之间涨了好多啊;1;0;1;114;0.008771929824561403
778;百度依靠墙生存;1;64;65;114;0.5701754385964912
782;在百度搜索 chatgpt 要翻到第五页才能看到这条新闻[doge];1;8;9;114;0.07894736842105263
785;百度哪能落下这波热潮呢[二哈] http://t.cn/A69DX0Wr;1;0;1;114;0.008771929824561403
801;百度依靠墙生存;1;64;65;114;0.5701754385964912
805;在百度搜索 chatgpt 要翻到第五页才能看到这条新闻[doge];1;8;9;114;0.07894736842105263
808;百度哪能落下这波热潮呢[二哈] http://t.cn/A69DX0Wr;1;0;1;114;0.008771929824561403
824;百度依靠墙生存;1;64;65;114;0.5701754385964912
828;在百度搜索 chatgpt 要翻到第五页才能看到这条新闻[doge];1;8;9;114;0.07894736842105263
831;百度哪能落下这波热潮呢[二哈] http://t.cn/A69DX0Wr;1;0;1;114;0.008771929824561403
847;百度依靠墙生存;1;64;65;114;0.5701754385964912
851;在百度搜索 chatgpt 要翻到第五页才能看到这条新闻[doge];1;8;9;114;0.07894736842105263
854;百度哪能落下这波热潮呢[二哈] http://t.cn/A69DX0Wr;1;0;1;114;0.008771929824561403
870;百度依靠墙生存;1;64;65;114;0.5701754385964912
874;在百度搜索 chatgpt 要翻到第五页才能看到这条新闻[doge];1;8;9;114;0.07894736842105263
877;百度哪能落下这波热潮呢[二哈] http://t.cn/A69DX0Wr;1;0;1;114;0.008771929824561403
893;百度依靠墙生存;1;64;65;114;0.5701754385964912
897;在百度搜索 chatgpt 要翻到第五页才能看到这条新闻[doge];1;8;9;114;0.07894736842105263
900;百度哪能落下这波热潮呢[二哈] http://t.cn/A69DX0Wr;1;0;1;114;0.008771929824561403
916;百度依靠墙生存;1;64;65;114;0.5701754385964912
920;在百度搜索 chatgpt 要翻到第五页才能看到这条新闻[doge];1;8;9;114;0.07894736842105263
923;百度哪能落下这波热潮呢[二哈] http://t.cn/A69DX0Wr;1;0;1;114;0.008771929824561403
960;百度瑟瑟发抖[doge];1;3;4;114;0.03508771929824561
962;以后文字工作者都要下岗了[doge];1;1;2;114;0.017543859649122806
968;百度瑟瑟发抖[doge];1;3;4;114;0.03508771929824561
970;以后文字工作者都要下岗了[doge];1;1;2;114;0.017543859649122806
976;百度瑟瑟发抖[doge];1;3;4;114;0.03508771929824561
978;以后文字工作者都要下岗了[doge];1;1;2;114;0.017543859649122806
984;百度瑟瑟发抖[doge];1;3;4;114;0.03508771929824561
986;以后文字工作者都要下岗了[doge];1;1;2;114;0.017543859649122806
992;百度瑟瑟发抖[doge];1;3;4;114;0.03508771929824561
994;以后文字工作者都要下岗了[doge];1;1;2;114;0.017543859649122806
1000;百度瑟瑟发抖[doge];1;3;4;114;0.03508771929824561
1002;以后文字工作者都要下岗了[doge];1;1;2;114;0.017543859649122806
1008;百度瑟瑟发抖[doge];1;3;4;114;0.03508771929824561
1010;以后文字工作者都要下岗了[doge];1;1;2;114;0.017543859649122806
1016;百度瑟瑟发抖[doge];1;3;4;114;0.03508771929824561
1018;以后文字工作者都要下岗了[doge];1;1;2;114;0.017543859649122806
1112;实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;44;70;114;114;1.0
1157;百度的AI  会更好更快的 指引你去医院;32;57;89;114;0.7807017543859649
1190;这么多钱谁给我通俗的解释一下[doge];14;16;30;114;0.2631578947368421
1205;正在风口浪尖上，这翻车的时机不妙啊[doge]国内企业要引以为戒吧，好好做功课，别重蹈覆辙。;5;5;10;114;0.08771929824561403
1211;这市值蒸发，这负责人看着心痛啊[doge];5;4;9;114;0.07894736842105263
1217;微软这波简直赢麻了。[doge];3;4;7;114;0.06140350877192982
1221;这个数字我也只有在文字上见过[微笑];1;1;2;114;0.017543859649122806
1223;没事，他们有钱;2;2;4;114;0.03508771929824561
1227;今天怎么又都是ai的负面消息？这个东西到底能不能火呀？;1;1;2;114;0.017543859649122806
1229;整天动不动就亿计，还要报告给我，搞的好像跟我有关系一样[求饶];1;2;3;114;0.02631578947368421
1234;为什么突然跌了这么多？￼;1;1;2;114;0.017543859649122806
1287;真没想到一个小错误都能损失这么多，差之毫厘谬以千里！;1;2;3;114;0.02631578947368421
1309;谷歌发布会的翻车实属不该，也是每个人最不愿意看到的，要知道这一翻车直接导致市值蒸发7172亿，这个数字是惊人的，也是难以想象的;1;2;3;114;0.02631578947368421
1319;谷歌和微软明争暗斗了这么多年，这次还是棋差一招，股价也造成了影响，这是个不小的打击，希望可重整旗鼓;3;4;7;114;0.06140350877192982
1323;对于上市公司来说所有决定都会影响很大，我觉得它是着急推出了[doge];1;2;3;114;0.02631578947368421
1329;实话说司令，都是大佬在操作。ai在厉害现在能推测出将来病毒多少种，啥时候爆发不，三年前能知道三年后我国放开吗？;4;5;9;114;0.07894736842105263
1335;很正常吧，我感觉谷歌会弥补回来的[吃瓜];3;4;7;114;0.06140350877192982
1339;实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;44;70;114;114;1.0
1384;百度的AI  会更好更快的 指引你去医院;32;57;89;114;0.7807017543859649
1417;这么多钱谁给我通俗的解释一下[doge];14;16;30;114;0.2631578947368421
1432;正在风口浪尖上，这翻车的时机不妙啊[doge]国内企业要引以为戒吧，好好做功课，别重蹈覆辙。;5;5;10;114;0.08771929824561403
1438;这市值蒸发，这负责人看着心痛啊[doge];5;4;9;114;0.07894736842105263
1444;微软这波简直赢麻了。[doge];3;4;7;114;0.06140350877192982
1448;这个数字我也只有在文字上见过[微笑];1;1;2;114;0.017543859649122806
1450;没事，他们有钱;2;2;4;114;0.03508771929824561
1454;今天怎么又都是ai的负面消息？这个东西到底能不能火呀？;1;1;2;114;0.017543859649122806
1456;整天动不动就亿计，还要报告给我，搞的好像跟我有关系一样[求饶];1;2;3;114;0.02631578947368421
1461;为什么突然跌了这么多？￼;1;1;2;114;0.017543859649122806
1514;真没想到一个小错误都能损失这么多，差之毫厘谬以千里！;1;2;3;114;0.02631578947368421
1536;谷歌发布会的翻车实属不该，也是每个人最不愿意看到的，要知道这一翻车直接导致市值蒸发7172亿，这个数字是惊人的，也是难以想象的;1;2;3;114;0.02631578947368421
1546;谷歌和微软明争暗斗了这么多年，这次还是棋差一招，股价也造成了影响，这是个不小的打击，希望可重整旗鼓;3;4;7;114;0.06140350877192982
1550;对于上市公司来说所有决定都会影响很大，我觉得它是着急推出了[doge];1;2;3;114;0.02631578947368421
1556;实话说司令，都是大佬在操作。ai在厉害现在能推测出将来病毒多少种，啥时候爆发不，三年前能知道三年后我国放开吗？;4;5;9;114;0.07894736842105263
1562;很正常吧，我感觉谷歌会弥补回来的[吃瓜];3;4;7;114;0.06140350877192982
1566;实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;44;70;114;114;1.0
1611;百度的AI  会更好更快的 指引你去医院;32;57;89;114;0.7807017543859649
1644;这么多钱谁给我通俗的解释一下[doge];14;16;30;114;0.2631578947368421
1659;正在风口浪尖上，这翻车的时机不妙啊[doge]国内企业要引以为戒吧，好好做功课，别重蹈覆辙。;5;5;10;114;0.08771929824561403
1665;这市值蒸发，这负责人看着心痛啊[doge];5;4;9;114;0.07894736842105263
1671;微软这波简直赢麻了。[doge];3;4;7;114;0.06140350877192982
1675;这个数字我也只有在文字上见过[微笑];1;1;2;114;0.017543859649122806
1677;没事，他们有钱;2;2;4;114;0.03508771929824561
1681;今天怎么又都是ai的负面消息？这个东西到底能不能火呀？;1;1;2;114;0.017543859649122806
1683;整天动不动就亿计，还要报告给我，搞的好像跟我有关系一样[求饶];1;2;3;114;0.02631578947368421
1688;为什么突然跌了这么多？￼;1;1;2;114;0.017543859649122806
1741;真没想到一个小错误都能损失这么多，差之毫厘谬以千里！;1;2;3;114;0.02631578947368421
1763;谷歌发布会的翻车实属不该，也是每个人最不愿意看到的，要知道这一翻车直接导致市值蒸发7172亿，这个数字是惊人的，也是难以想象的;1;2;3;114;0.02631578947368421
1773;谷歌和微软明争暗斗了这么多年，这次还是棋差一招，股价也造成了影响，这是个不小的打击，希望可重整旗鼓;3;4;7;114;0.06140350877192982
1777;对于上市公司来说所有决定都会影响很大，我觉得它是着急推出了[doge];1;2;3;114;0.02631578947368421
1783;实话说司令，都是大佬在操作。ai在厉害现在能推测出将来病毒多少种，啥时候爆发不，三年前能知道三年后我国放开吗？;4;5;9;114;0.07894736842105263
1789;很正常吧，我感觉谷歌会弥补回来的[吃瓜];3;4;7;114;0.06140350877192982
1793;实际上，从ChatGPT的爆火中我们就可以很明显的看出来，人工智能绝对是未来一段时间最热的风口，能抓住这一风口的企业，有很大的机会乘风而上，取得成功。;44;70;114;114;1.0
1838;百度的AI  会更好更快的 指引你去医院;32;57;89;114;0.7807017543859649
1871;这么多钱谁给我通俗的解释一下[doge];14;16;30;114;0.2631578947368421
1886;正在风口浪尖上，这翻车的时机不妙啊[doge]国内企业要引以为戒吧，好好做功课，别重蹈覆辙。;5;5;10;114;0.08771929824561403
1892;这市值蒸发，这负责人看着心痛啊[doge];5;4;9;114;0.07894736842105263
1898;微软这波简直赢麻了。[doge];3;4;7;114;0.06140350877192982
1902;这个数字我也只有在文字上见过[微笑];1;1;2;114;0.017543859649122806
1904;没事，他们有钱;2;2;4;114;0.03508771929824561
1908;今天怎么又都是ai的负面消息？这个东西到底能不能火呀？;1;1;2;114;0.017543859649122806
1910;整天动不动就亿计，还要报告给我，搞的好像跟我有关系一样[求饶];1;2;3;114;0.02631578947368421
1915;为什么突然跌了这么多？￼;1;1;2;114;0.017543859649122806
1968;真没想到一个小错误都能损失这么多，差之毫厘谬以千里！;1;2;3;114;0.02631578947368421
1990;谷歌发布会的翻车实属不该，也是每个人最不愿意看到的，要知道这一翻车直接导致市值蒸发7172亿，这个数字是惊人的，也是难以想象的;1;2;3;114;0.02631578947368421
2000;谷歌和微软明争暗斗了这么多年，这次还是棋差一招，股价也造成了影响，这是个不小的打击，希望可重整旗鼓;3;4;7;114;0.06140350877192982
