发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;发布者是否大v;发布者性别;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;评论者认证;评论者性别;主题相似度;标记
陈苏喜3993;山东;78;0;2;1;今天突然收到亲友第一条反馈后，我把手里的牌全都扒拉出来了，因为剑十在我还在用百年韦特的时候，我就感觉是脊椎受损牌，但是很长很长一段时间我对这一点都没有实感，我此前对剑十的实感就只是：过度思考、头脑风暴、不是就是干活、与其不如干活。因为把牌都搬出来了，心想干脆盘一下壬寅年最最最喜欢的牌第一张是春娓唤老师的远方季风高塔牌首先，无论是其他哪一副牌的高塔，在我手里都是牌出必应，会发生汗毛倒竖、雷击过电、天灵盖都给削掉的突然事件。但是这张牌不会，我对这张牌的第一印象是秋兴八首里的一句诗：江间波浪兼天涌，塞上风云接地阴。我感觉这张是最适合高塔牌的牌面，妙到我甚至跑去出版方群里要了原图壁纸，相对于岌岌可危与压迫感、被背刺的恐惧感，我感觉高塔更倾向于一种孙悟空大闹天宫，原本的秩序世界被搅弄得翻天覆地的新鲜感。是很刺激，但是更新鲜。第二张是棱镜审判牌有别于飞机失事、自然灾害等社会群体事件的传统解读，每次抽到棱镜的审判牌我都会打开一个干净的安静的舒适的新世界的大门（包括舒服的休息室、病房等这种实体大门）第三张是天空天体教皇牌有别于智者形象、悬殊感、规律性、宗教含义之类的传统解读，这套牌的教皇使我感受到了来自系统的结构性束缚。;;0;f;4158;泽妹儿想出去玩;山东;没错 亲友就是我 神婆真的很准 由此推断我十万指日可待;2023-02-04 22:46:01;0;-1;f;2.4352138996214284e-06;0
陈苏喜3993;山东;78;0;2;1;今天突然收到亲友第一条反馈后，我把手里的牌全都扒拉出来了，因为剑十在我还在用百年韦特的时候，我就感觉是脊椎受损牌，但是很长很长一段时间我对这一点都没有实感，我此前对剑十的实感就只是：过度思考、头脑风暴、不是就是干活、与其不如干活。因为把牌都搬出来了，心想干脆盘一下壬寅年最最最喜欢的牌第一张是春娓唤老师的远方季风高塔牌首先，无论是其他哪一副牌的高塔，在我手里都是牌出必应，会发生汗毛倒竖、雷击过电、天灵盖都给削掉的突然事件。但是这张牌不会，我对这张牌的第一印象是秋兴八首里的一句诗：江间波浪兼天涌，塞上风云接地阴。我感觉这张是最适合高塔牌的牌面，妙到我甚至跑去出版方群里要了原图壁纸，相对于岌岌可危与压迫感、被背刺的恐惧感，我感觉高塔更倾向于一种孙悟空大闹天宫，原本的秩序世界被搅弄得翻天覆地的新鲜感。是很刺激，但是更新鲜。第二张是棱镜审判牌有别于飞机失事、自然灾害等社会群体事件的传统解读，每次抽到棱镜的审判牌我都会打开一个干净的安静的舒适的新世界的大门（包括舒服的休息室、病房等这种实体大门）第三张是天空天体教皇牌有别于智者形象、悬殊感、规律性、宗教含义之类的传统解读，这套牌的教皇使我感受到了来自系统的结构性束缚。;;0;f;4158;陈苏喜3993;山东;哈哈哈哈哈哈哈怎么还兴悍跳[舔屏];2023-02-05 01:34:57;0;-1;f;2.4352138996214284e-06;1
陈苏喜3993;山东;78;0;2;1;今天突然收到亲友第一条反馈后，我把手里的牌全都扒拉出来了，因为剑十在我还在用百年韦特的时候，我就感觉是脊椎受损牌，但是很长很长一段时间我对这一点都没有实感，我此前对剑十的实感就只是：过度思考、头脑风暴、不是就是干活、与其不如干活。因为把牌都搬出来了，心想干脆盘一下壬寅年最最最喜欢的牌第一张是春娓唤老师的远方季风高塔牌首先，无论是其他哪一副牌的高塔，在我手里都是牌出必应，会发生汗毛倒竖、雷击过电、天灵盖都给削掉的突然事件。但是这张牌不会，我对这张牌的第一印象是秋兴八首里的一句诗：江间波浪兼天涌，塞上风云接地阴。我感觉这张是最适合高塔牌的牌面，妙到我甚至跑去出版方群里要了原图壁纸，相对于岌岌可危与压迫感、被背刺的恐惧感，我感觉高塔更倾向于一种孙悟空大闹天宫，原本的秩序世界被搅弄得翻天覆地的新鲜感。是很刺激，但是更新鲜。第二张是棱镜审判牌有别于飞机失事、自然灾害等社会群体事件的传统解读，每次抽到棱镜的审判牌我都会打开一个干净的安静的舒适的新世界的大门（包括舒服的休息室、病房等这种实体大门）第三张是天空天体教皇牌有别于智者形象、悬殊感、规律性、宗教含义之类的传统解读，这套牌的教皇使我感受到了来自系统的结构性束缚。;;0;f;4158;泽妹儿想出去玩;山东;没错 亲友就是我 神婆真的很准 由此推断我十万指日可待;2023-02-04 22:46:01;0;-1;f;2.4352138996214284e-06;0
陈苏喜3993;山东;78;0;2;1;今天突然收到亲友第一条反馈后，我把手里的牌全都扒拉出来了，因为剑十在我还在用百年韦特的时候，我就感觉是脊椎受损牌，但是很长很长一段时间我对这一点都没有实感，我此前对剑十的实感就只是：过度思考、头脑风暴、不是就是干活、与其不如干活。因为把牌都搬出来了，心想干脆盘一下壬寅年最最最喜欢的牌第一张是春娓唤老师的远方季风高塔牌首先，无论是其他哪一副牌的高塔，在我手里都是牌出必应，会发生汗毛倒竖、雷击过电、天灵盖都给削掉的突然事件。但是这张牌不会，我对这张牌的第一印象是秋兴八首里的一句诗：江间波浪兼天涌，塞上风云接地阴。我感觉这张是最适合高塔牌的牌面，妙到我甚至跑去出版方群里要了原图壁纸，相对于岌岌可危与压迫感、被背刺的恐惧感，我感觉高塔更倾向于一种孙悟空大闹天宫，原本的秩序世界被搅弄得翻天覆地的新鲜感。是很刺激，但是更新鲜。第二张是棱镜审判牌有别于飞机失事、自然灾害等社会群体事件的传统解读，每次抽到棱镜的审判牌我都会打开一个干净的安静的舒适的新世界的大门（包括舒服的休息室、病房等这种实体大门）第三张是天空天体教皇牌有别于智者形象、悬殊感、规律性、宗教含义之类的传统解读，这套牌的教皇使我感受到了来自系统的结构性束缚。;;0;f;4158;陈苏喜3993;山东;哈哈哈哈哈哈哈怎么还兴悍跳[舔屏];2023-02-05 01:34:57;0;-1;f;2.4352138996214284e-06;1
陈苏喜3993;山东;78;0;2;1;今天突然收到亲友第一条反馈后，我把手里的牌全都扒拉出来了，因为剑十在我还在用百年韦特的时候，我就感觉是脊椎受损牌，但是很长很长一段时间我对这一点都没有实感，我此前对剑十的实感就只是：过度思考、头脑风暴、不是就是干活、与其不如干活。因为把牌都搬出来了，心想干脆盘一下壬寅年最最最喜欢的牌第一张是春娓唤老师的远方季风高塔牌首先，无论是其他哪一副牌的高塔，在我手里都是牌出必应，会发生汗毛倒竖、雷击过电、天灵盖都给削掉的突然事件。但是这张牌不会，我对这张牌的第一印象是秋兴八首里的一句诗：江间波浪兼天涌，塞上风云接地阴。我感觉这张是最适合高塔牌的牌面，妙到我甚至跑去出版方群里要了原图壁纸，相对于岌岌可危与压迫感、被背刺的恐惧感，我感觉高塔更倾向于一种孙悟空大闹天宫，原本的秩序世界被搅弄得翻天覆地的新鲜感。是很刺激，但是更新鲜。第二张是棱镜审判牌有别于飞机失事、自然灾害等社会群体事件的传统解读，每次抽到棱镜的审判牌我都会打开一个干净的安静的舒适的新世界的大门（包括舒服的休息室、病房等这种实体大门）第三张是天空天体教皇牌有别于智者形象、悬殊感、规律性、宗教含义之类的传统解读，这套牌的教皇使我感受到了来自系统的结构性束缚。;;0;f;4158;泽妹儿想出去玩;山东;没错 亲友就是我 神婆真的很准 由此推断我十万指日可待;2023-02-04 22:46:01;0;-1;f;2.4352138996214284e-06;0
陈苏喜3993;山东;78;0;2;1;今天突然收到亲友第一条反馈后，我把手里的牌全都扒拉出来了，因为剑十在我还在用百年韦特的时候，我就感觉是脊椎受损牌，但是很长很长一段时间我对这一点都没有实感，我此前对剑十的实感就只是：过度思考、头脑风暴、不是就是干活、与其不如干活。因为把牌都搬出来了，心想干脆盘一下壬寅年最最最喜欢的牌第一张是春娓唤老师的远方季风高塔牌首先，无论是其他哪一副牌的高塔，在我手里都是牌出必应，会发生汗毛倒竖、雷击过电、天灵盖都给削掉的突然事件。但是这张牌不会，我对这张牌的第一印象是秋兴八首里的一句诗：江间波浪兼天涌，塞上风云接地阴。我感觉这张是最适合高塔牌的牌面，妙到我甚至跑去出版方群里要了原图壁纸，相对于岌岌可危与压迫感、被背刺的恐惧感，我感觉高塔更倾向于一种孙悟空大闹天宫，原本的秩序世界被搅弄得翻天覆地的新鲜感。是很刺激，但是更新鲜。第二张是棱镜审判牌有别于飞机失事、自然灾害等社会群体事件的传统解读，每次抽到棱镜的审判牌我都会打开一个干净的安静的舒适的新世界的大门（包括舒服的休息室、病房等这种实体大门）第三张是天空天体教皇牌有别于智者形象、悬殊感、规律性、宗教含义之类的传统解读，这套牌的教皇使我感受到了来自系统的结构性束缚。;;0;f;4158;陈苏喜3993;山东;哈哈哈哈哈哈哈怎么还兴悍跳[舔屏];2023-02-05 01:34:57;0;-1;f;2.4352138996214284e-06;1
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;493813;告五人樂團;台湾;售票系統：拓元售票系統。 全區｜http://t.cn/A693lKgY 告「五人套票」｜http://t.cn/A693lKgj 2023/02/11 (六) 12:00 拓元售票 正式開賣！;2023-02-05 21:49:19;3;0;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;11736;Simona_敏;江苏;我的天呐JJ都来帮忙宣发！[awsl][awsl];2023-02-05 18:00:56;50;0;m;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;11736;_奈良NaiL;内蒙古;毕竟JJ演唱会有告五人参加🙊;2023-02-05 23:24:12;2;-1;m;0.0;1
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;94;geriyua;江苏;南京南京南京[哼];2023-02-05 18:06:11;11;-1;f;0.0;0
