标题;帖子账号粉丝数;发布者;发布时间;弹幕数;点赞数;硬币数;收藏数;转发数;评论数;发布者是否经过认证;发布者是否为商业性质账号;用户名;评论内容;评论时间;评论点赞数;一级账号粉丝数;标记;评论者性别;评论者会员等级;评论者是否开通大会员;评论者是否经过认证
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;肥猫汁;解放生产力消灭消费需求;1676491482;126;114;0;男;6;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;theomega;笑哭有道理啊笑哭;1680169593;0;114;1;保密;5;2;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Jaden_Q;AIVA之前很火，网易云投了，现在网易云也有专门收录她的作品，真的惊啊哥。就是AI配乐，没人类演奏的情感，如果我是音乐人，我会专门开个频道专门演奏AI作曲的音乐doge未来已来;1676254132;96;4;0;男;3;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;bili_42602215262;网易云投了能过;1676386523;0;4;1;保密;3;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;灰条纹的灰猫君;回复bili42602215262是说网易投资了aiva来着，网易云里的自动作曲一开始也是用的aiva;1676804720;3;4;1;女;6;2;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;贩卖大碴粥;chatgtp的和声进行老垃了，通常就I，IV，V，vi还有就是总是会出现Em7升9;1676853056;18;7;0;男;4;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Miu尼;不过现在的gpt还只是个孩子，不知道以后会成长到什么样;1679555424;0;7;1;保密;4;2;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;鸦珉;Em7重降13是吧;1680857333;0;7;1;男;6;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;贩卖大碴粥;回复鸦珉？;1681265943;0;7;1;男;4;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;创史匹肖酱;说实话做的都太糙了;1677581967;15;68;0;保密;6;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;唐利木林;我已经试看chatGPT写歌词，无论如何歌词没有押韵笑哭笑哭笑哭;1676443199;15;0;0;保密;4;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;卧野望平川;样本不够;1676732580;1;0;1;保密;5;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;唐利木林;回复卧野望平川感谢直接给它押韵字要求它每一个句子使用纵圣晟讧龙同程懂鸿工承恐篷冗澄崆惩泷陇燈夢梦动这次好多了，有些句子有押韵字;1676783544;10;0;1;保密;4;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;边缘带矜人叩u;利好独立游戏;1677737563;8;6;0;保密;6;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;院士主任医师;就没有能作主旋律的？;1676713049;6;3;0;保密;4;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Cycle赛高;太牛了，还有音轨，感觉可以和AI学编曲了;1676694351;4;123;0;保密;6;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;波波咕噜肉;都介绍这四个了，加个谷歌的MusicLM吧;1676738198;2;3;0;保密;5;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;KATA咔嗒;请问musicLM从哪里上？;1676979713;0;3;1;保密;4;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Iriscdent;传抖音上了，忘了传B站了哈哈哈。不过谷歌的MusicLM还只是一些功能上的演示，处于开发阶段，不过根据一幅画来生成音乐的功能是真的太帅了;1678669437;0;3;1;男;5;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Iriscdent;回复KATA咔嗒httpsgoogleresearchgithubioseanetmusiclmexamples;1678669443;0;3;1;男;5;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;你的小塔拉;大哥口水音，强迫症犯了，想去除你的口水音笑哭;1678001354;2;26;0;保密;5;2;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Iriscdent;下回我注意，试着把视频转成音频扔到DAW软件里混下音，去去口水和齿音哈哈哈哈;1678669914;0;26;1;男;5;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;你的小塔拉;回复Iriscdent哈哈哈哈哈，开玩笑啦，还是很感谢啦打call呲牙;1679065112;0;26;1;保密;5;2;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;一只有知识的小青蛙;有没有按频谱图分析的网站啊;1678271750;3;20;0;保密;4;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;圣地亚戈的旅人;感谢up分享之前一直很纠结找不到合适的水视频的配乐这个真是太棒了;1676260241;3;166;0;保密;6;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;泥潴仔;不如用卤蛋做bgm吧，doge;1677592849;0;166;1;男;5;2;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;layla_莲;一个都打不开笑哭;1677412516;2;18;0;女;5;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;w沉迷猫村いろは;大哥你的声音挺适合唱歌的doge;1678358287;2;351;0;女;6;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;ase481;有沒有一種可能，音樂的商業價值會進一步削弱，而藝術價值會回歸。;1678794162;2;0;0;保密;4;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;fy在这;跟我一个想法，AI会筛选流行艺术从业者，但目前AI无法制作真正的艺术，除非AI发展出主观思维;1678809534;1;0;1;男;6;2;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;晨临Cling;我这种初学者写不过它大哭;1679154919;2;407;0;女;4;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;佛系Allen;老哥，这些下载后给的是工程文件还是mp3;1677197497;1;79;0;保密;5;2;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Iriscdent;大部分是MP3或者其他格式的音频文件。;1678669709;0;79;1;男;5;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;泉愈;up，aiva有个客户端有试用过吗;1678026677;1;16;0;保密;5;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Iriscdent;简单用了一下，只有客户端版本才有daw模式，就是可以在卷帘窗里编辑修改音符，网站版本不能修改的。;1678669666;0;16;1;男;5;0;-1
