发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
分享几个AI作曲网站，解放生产力！;0.2909802306425041;0.3928092295364142;0.6543404926875082;0.44368749476330543
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;0.4378088962108731;0.3943209128021598;0.472226826242518;0.3378527351099664
【AI编曲教程】AI写一首口水歌仅需三分钟~实现音乐流水线;0.2098434925864909;0.2690577932750362;0.5152302353658206;0.23834987322988774
ChatGPT 写的和弦真好听！ ｜  AI 作曲 【油管搬运】;0.1332372322899505;-0.075715187621989;0.426087580544522;-0.05491125170911097
资深音频人怎么看谷歌最新作曲AI，MusicLM（上集）;0.3836490939044481;0.4515813045849324;0.7338185798663684;0.576758169776716
AI作曲，AI以后会取代很多行业吗？;0.0842257001647446;0.2015457292770114;0.4207065752180247;0.14257851477503944
AI作曲软件AIVA的高阶用法;0.0012355848434925;-0.6847637290329025;0.639168966653284;-0.7201054562670011
谁说五音不全不能作曲？手机上就可以用的AI作曲工具来了;0.0074135090609555;0.495036316753955;0.5382228744071805;0.43894466041365965
新玩法之AI作曲;0.0380971993410214;0.0123147897999174;0.415068556663574;0.00849375835795125
【AI作曲】ORB Producer Suite 3.0 AI作曲插件【FL Studio插件】;0.0901976935749588;0.1250138109636871;0.4227371533109367;0.08899192952855808
网易云的全新AI作曲 居然直接把我抬走了;0.0380971993410214;0.2332229416055386;0.4378905031078267;0.1696138426730481
AI创作音乐现在怎么样了？四个AI音乐网站测试告诉你。;0.0796952224052718;0.3396742137980225;0.5016274957896364;0.2852264885120778
库乐队一天创作十首歌？ipad Ai作曲软件教程 库乐队 cubasis 插件第三期;0.0216227347611202;0.3279124423852057;0.4377926341992713;0.23743763608228183
AI作曲+AI绘画，发行你的第一张专辑;0.0609555189456342;0.2013973569634946;0.4310041933015789;0.14502842699321133
让AI帮我唱了一首原创歌曲  X studio3太强大！;0.025329489291598;0.0468838806816461;0.617820672601341;0.04786369893734908
(AI作曲）I am AI;0.0535420098846787;0.1635261824851753;0.4469410530571203;0.12182224218328204
【AI作曲】有点小惊艳！《最伟大的作品》衍生曲二号;0.0051482701812191;0.9381129846456882;0.6116129770367453;0.9446789468717459
那个会作曲的 AI 出中国风专辑啦;0.478995057660626;0.3516467818103988;0.6001410763288986;0.37792656292461446
根据AI绘画生成的AI作曲作品，打得过人类绘画、作曲的作品吗？;0.0207990115321252;0.4708549893485813;0.5318435130932264;0.41371425029603204
ai编曲真的太厉害了【原创《妈妈的爱》】（不会取名）;0.0242998352553542;-0.3201976351624847;0.2640537358377939;-0.14049957194483184
【AIVA AI作曲教学】AI音乐，自动帮音乐小白编曲，也有专业编曲介面!;0.0319192751235584;0.1096839173089845;0.5123205254314988;0.09307374608615133
爆肝2000小时，我做了全网首个会写歌的DAW？;0.9268945634266886;0.2288913347937715;1.0;0.4152853893186984
【MuseNet AI作曲教学】免费音乐生成软体，音乐小白一键制作AI音乐 | OpenAI;0.0265650741350906;0.1196982422092529;0.576483561415601;0.11408776570087445
【神级网站推荐】如何获取免版权音乐素材，ai作曲，如何约音乐方法一网打尽;0.0733113673805601;0.3739067284553191;0.5506899288918407;0.34371127089720166
「AI」真的可以替代人类编曲吗?;0.0059719934102141;0.4602441912576108;0.4175766051013713;0.31663611508858774
AI做的音乐也太好听了吧;0.0010296540362438;-0.0401750992894377;0.6077889227221771;-0.04017333448109707
【AI作曲】人工智能秒做赛博朋克曲风？！一键生成！;0.1287067545304777;0.3076673003206657;0.408616922102307;0.21403439762602108
有意思的AI生成音乐网站：网易天音 AI作曲;0.0051482701812191;-0.0248906023759235;0.5590906158329901;-0.02291438094436748
首个与人类创作匹敌的AI交响乐作曲模型 SymphonyNet;0.0302718286655683;0.1583068577309544;0.4424854057009024;0.11610044106774428
【AI作曲】当你让AI以一些furryUP主的名字作曲会发生什么;0.0521004942339373;0.3044756467794507;0.4639999243883892;0.23528903251024122
音乐图灵测试 | 你能分辨人工智能与人类的作曲吗？;0.0335667215815486;0.2222430203541518;0.3224531868454467;0.11924374787176048
【AI作曲】莫扎特作曲的东方音乐这么好听?!人工智能甲壳虫乐队！哈德曼的妖怪少女！【大谷纽约实验室】;0.4324546952224052;0.1854611657957914;0.4487757825260999;0.15156676007344233
用ChatGPT能写出原创歌曲吗？五分钟教你用AI创作音乐！;0.0566309719934102;0.2583504341469255;0.4633139156557812;0.1995673362889524
AI也能自动配乐？ vlog配乐再也不是问题了;0.0617792421746293;0.0741562472040914;0.4135256847317242;0.05127982886622545
AI创作的中国风音乐，一定要听到40秒以后;0.0004118616144975;0.8107068739749101;0.6074413890818742;0.8101162669336026
AI作曲超越人类？那不得嗨起来！;0.0488056013179571;0.3308413064555776;0.4638901308444982;0.2554045848873149
