发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
不务正业小木;87;4446;4533;37235;0.12174029810662011
Xuan_酱;133;11000;11133;37235;0.29899288304015037
舟舟与大羊Vlive;20;228;248;37235;0.006660400161138714
软件侠何二;103;2888;2991;37235;0.08032764871760441
小弘哥和暮色里;16;924;940;37235;0.025245065126896737
给我大杯牛奶;3;21;24;37235;0.0006445548543037464
失重_HankYuan;36;911;947;37235;0.02543306029273533
浪子之心科技;12;90;102;37235;0.0027393581307909227
七夜Seven_Nue;32;207;239;37235;0.006418692090774809
十二小时睡不够;1;0;1;37235;2.6856452262656103e-05
bili_39969220197;1;0;1;37235;2.6856452262656103e-05
带带孙笑佐;2;12;14;37235;0.00037599033167718543
杏任不是杏仁儿;2;19;21;37235;0.0005639854975157782
阿牛爱分享;15;53;68;37235;0.001826238753860615
人民中科研究院;12;194;206;37235;0.005532429166107157
我携山河万里来;93;227;320;37235;0.008594064724049952
狂奔的男尸;7;27;34;37235;0.0009131193769303075
star星视频;16;98;114;37235;0.0030616355579427957
残月也是凪月;1;11;12;37235;0.0003222774271518732
土豆豆豆妹子;1;6;7;37235;0.00018799516583859271
镜中虚言;2;2;4;37235;0.00010742580905062441
小布爱分享;82;11000;11082;37235;0.29762320397475495
王国之争丶吃稀瓜;9;206;215;37235;0.005774137236471062
HYZCY丶冥;2;2;4;37235;0.00010742580905062441
大宇时空;65;1693;1758;37235;0.04721364307774943
鲨鱼酱awa;3;8;11;37235;0.0002954209748892171
晓晓同学这么美;2;11;13;37235;0.0003491338794145293
我这不是已经有你了;11;58;69;37235;0.0018530952061232711
九章生科;8;29;37;37235;0.0009936887337182758
简-机;8;51;59;37235;0.00158453068349671
二金橡木OvignaTG;3;9;12;37235;0.0003222774271518732
全品AI;1;2;3;37235;8.05693567879683e-05
FISHTOP;4;59;63;37235;0.0016919564925473344
葫芦笔记;1;9;10;37235;0.000268564522626561
正经写手;6;18;24;37235;0.0006445548543037464
睛落呀;2;3;5;37235;0.0001342822613132805
果力成子w;2;1;3;37235;8.05693567879683e-05
RPA之家;1;0;1;37235;2.6856452262656103e-05
威廉大伯爵;89;1214;1303;37235;0.0349939572982409
趣共享资源;171;10000;10171;37235;0.2731569759634752
闻韶同学;10;297;307;37235;0.008244930844635423
aiideas;9;281;290;37235;0.00778837115617027
bili_88139100196;1;1;2;37235;5.3712904525312205e-05
诺贝尔厨神奖;6;65;71;37235;0.0019068081106485832
森亿沐子姐;5;11;16;37235;0.00042970323620249764
自由社区站长;1;1;2;37235;5.3712904525312205e-05
正经写手;15;205;220;37235;0.005908419497784343
bili_76947924854;2;0;2;37235;5.3712904525312205e-05
就像一个转接器;3;51;54;37235;0.0014502484221834296
人工智能炼丹大师;10;17;27;37235;0.0007251242110917148
积极作为有担当-;1;5;6;37235;0.0001611387135759366
小铭阿学;4;29;33;37235;0.0008862629246676514
小郡路子野;5;42;47;37235;0.001262253256344837
刘阿五;10;185;195;37235;0.00523700819121794
聊天机器人嗯哼;1;2;3;37235;8.05693567879683e-05
某才是纯鹿人;179;19000;19179;37235;0.5150798979454814
大东笔记pro;1;3;4;37235;0.00010742580905062441
菜兔CG;1;7;8;37235;0.00021485161810124882
书写江湖;1;4;5;37235;0.0001342822613132805
在下莫老师;7;132;139;37235;0.0037330468645091985
相对论骇客;1;1;2;37235;5.3712904525312205e-05
无与伦比的Jay同学;10;97;107;37235;0.002873640392104203
山水sunshine;35;548;583;37235;0.01565731166912851
小李student;19;335;354;37235;0.00950718410098026
今林夕雨;1;1;2;37235;5.3712904525312205e-05
糕冷大学生;4;48;52;37235;0.0013965355176581173
Friday快写宝;4;27;31;37235;0.0008325500201423392
小猫种大鱼;4;35;39;37235;0.001047401638243588
网创智慧库;6;42;48;37235;0.0012891097086074929
刺客边风;31;451;482;37235;0.012944809990600242
某码字人正在记录生存;5;8;13;37235;0.0003491338794145293
鲨鱼酱awa;1;2;3;37235;8.05693567879683e-05
小八聊网文;41;344;385;37235;0.0103397341211226
礼貌观众;1;8;9;37235;0.00024170807036390493
格物时间;16;288;304;37235;0.008164361487847455
Topbook;400;13000;13400;37235;0.3598764603195918
Smile-H;5;22;27;37235;0.0007251242110917148
CTGU罗同学;4;17;21;37235;0.0005639854975157782
EMU网赚;1;12;13;37235;0.0003491338794145293
34221416573_bili;1;1;2;37235;5.3712904525312205e-05
学社山中人;17;78;95;37235;0.00255136296495233
