发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
AI绘画时尚美少女;0.0005603151700251;-0.0405634135018958;0.3980887725161603;-0.03481484624586315
我的AI女友【AI绘画】超写实真人AI绘画;0.0018609431294618;0.2621485813851385;0.4055864063582248;0.22931602064823453
【AI绘画】女仆装小姐姐可爱吗？不一样的美！;0.0006648299167656;-0.0536538383982112;0.3605887348166451;-0.041714213090273095
【锐评AI】AI绘画让画师失业？;0.0007287000397736;0.2158734261846386;0.4428822732881476;0.20613370771555345
周姐小脸是AI绘画界最受欢迎的脸模之一！她自己都分不清真假了，AI怡宝更美了🤤🤤🤤 | 周淑怡;0.0139469123150306;0.1466023445685191;0.4575225763495355;0.14507884349521022
AI绘画这半年，让多少画师失业了;0.0013267566461217;0.3215667901917362;0.5021837484048974;0.3482117788651741
AI绘画眼中的游戏角色是什么样的？#2;0.0768038229171807;0.2383391400586607;0.4749353903670301;0.24839696049956847
【AI绘画】职场制服美女;0.0081753757450304;0.1767379005754724;0.4009911230734499;0.15311907583763687
【AI绘画】有你们喜欢的姐姐吗;0.0010712761540895;0.0888186373042131;0.3796253878733467;0.07270723827285072
【AI绘画】来和雪女姐姐一起玩耍吧;0.0054899273912828;-0.0125060269297665;0.4157446047208665;-0.011224444755566628
【AI绘画】刻晴被画的也太好看了吧;0.0180665352490499;0.1779842213632339;0.4054594243571222;0.1563348831670811
【AI绘画】写实风-脸重要还是身材重要呢;0.0059341150649297;0.2619084755471457;0.3528810283755351;0.19960467732334083
【AI绘画】写实风汉服小姐姐COS;0.0120714532485215;0.0282428411583819;0.4243368271123964;0.025916230514426118
AI绘画已经能画真人了？;0.0015154638277364;0.2216065678014886;0.427266780463852;0.20419025899096183
【AI绘画】切尔西伯爵;0.0056408931365746;0.1664360502208329;0.427679706076858;0.15366826263757025
【AI 绘画】 纯欲｜OL｜邻家有女初长成;0.0059254055027014;-0.0189025531458719;0.3213711399909649;-0.013121947438433519
AI绘画冲击插画圈;0.0083495669895978;0.4888479927129593;0.4846233682185401;0.5116711379126375
【AI绘画】衣裙飘飘~;0.0047234859151862;0.0095546932694008;0.4238527763956184;0.008740803435817887
AI绘画为啥画不好手？;0.0538918678817473;0.3606009417652677;0.4575616259789122;0.36033398226927327
【AI绘画教程】萌新入坑必看⚡️AI绘画基础知识汇总;0.0160778518735719;-0.0325115033105002;0.5537753511353776;-0.038936019880061554
【AI绘画】半夜约我出来干嘛？;0.0033038272719618;0.0615469089484661;0.4134067356158368;0.05489735327311046
AI绘画——给我5分钟，传你十年绘画功力！;0.0235883977018368;-0.1855465102173772;0.554709351544854;-0.22291925179099356
从零开始学会AI绘画，让你也能生成自己的图（重置版）;0.0547018571689858;0.162783263119259;0.7856200600811786;0.27781229718105344
AI绘画限制级古风美少女;0.0115604922644571;0.1463804173389521;0.4201915683935072;0.13299583603680473
清凉夏天，写实国风汉服风格 ai绘画;0.0030338308428824;0.20212656279529;0.4153592561574877;0.18112639524413834
AI绘画野蛮攫取数据时代下 海外艺术家的反击与抵制;0.0254725663305743;0.4836767601059651;0.5943178555618467;0.6226148124723945
【锐评】AI绘画毁了整个绘画圈子，论画手为什么要抵制AI。;0.0209900449703729;0.4721245833169839;0.5317714005199868;0.5435810220090224
AI绘画修女;0.003158667901489;-0.0432956750369995;0.3987338179972252;-0.03724704513974025
【AI绘画】听说你们想多看看;0.0082189235561723;0.1071306036128655;0.3789007850602458;0.08771354484140363
AI绘画：和我同居的女孩有点甜;0.0030599595295675;0.1294245705035713;0.3821181408516861;0.10670451113331696
最好的ai绘画;0.2657403563372226;0.3128132488105564;0.4781133763585251;0.34231283902866855
Ai绘画4K，我说是这什么风，原来是昭和风;0.0009667614073491;0.0220774305570039;0.3412833371490693;0.01624734592029049
AI绘画分享：和国风小姐姐对视，你准备好了吗？;0.0015677212011066;-0.0009449541964639;0.5122624322205648;-0.001043837902679783
ai绘画   4k   超清壁纸 第九话 （爆肝一夜）;0.0163043004915096;0.1905338597543436;0.4559248105238794;0.1880051551804008
【AI绘画】古风-第十五期;0.0017767506945875;0.1021347023912751;0.4944034039438669;0.10889559291900405
【AI绘画】紧绷着勒紧了她惊人的好身材！ （6）;0.01731751289741;0.0558668632454783;0.4773745232290688;0.057722173309485675
（加强重制版）用ai绘画给小马宝莉的老婆们拟人化;0.0705300349253445;0.2699758580454217;0.5205030354870339;0.30748244364255156
【AI绘画】【NovelAI】AI到底有多能画 10;0.0027115770404326;0.2686172818945189;0.4269440409162172;0.2473964225694596
未被驯服的AI绘画有自己的想法。。;0.1169461952277405;0.1222825152035049;0.5573398658204943;0.15034039376014746
❤️这是一期马赛克｜泳装写真集｜附4K原图包｜AI绘画;0.0049034835345726;0.1454762321006143;0.4566945283077574;0.14338964701365212
【AI绘画】AI动画解决闪烁测试;0.0066628151047034;0.2975518577065157;0.4484946191847627;0.2881498041104694
【ai绘画】富有且慷慨;0.0002932219283551;0.112824108583466;0.5815255492421608;0.14144160811134726
【AI绘画】富有且慷慨！;0.0048657420982496;0.077763053312612;0.4305265809283108;0.07226041403830238
【Ai绘画】双倍 快乐！！！;0.0021019076844467;-0.0634506255227852;0.3971371261648467;-0.05435179126187716
用ai绘画画20遍先辈会怎么样;0.0963742092443293;0.3471070172343511;0.4396240083988095;0.3369601869048313
【AI绘画】兄弟们，这个我是真的喜欢;0.0162897845544623;0.174579216639926;0.4239617398295584;0.16023282577113285
当我用AI绘画还原UT，AU角色（封面见主义都进来）（有好康的）;0.0210306895941053;0.1441313271839776;0.4210664882390783;0.13155116471723716
ai绘画  是天使吗~;0.0053476712082195;0.1504972679071552;0.3810387977713124;0.12381026750272259
[Ai绘画] 第六期 巾帼英雄;0.0007345064145925;0.0091230429000225;0.4103266777739929;0.008071197692227052
AI绘画 2.5D 古风美女 蹲 二期;0.0100914794352719;0.0707705373178539;0.4201482882628919;0.06426799029684958
【AI绘画】甜美女友上线;0.001982877000659;0.2940691887497437;0.5956481435251936;0.3777305122667121
警察：AI绘画我们目前管不了;0.1890555641038296;0.1105890948004986;0.4288126104999907;0.1072338834764887
【AI绘画】斗破苍穹Coser,你心中的女孩是哪一个;0.0104863129229581;0.177763123428082;0.4245798398887341;0.16314484580688854
ai绘画 古风动态壁纸014 xray wallpaper engine;0.0091072989034661;-0.0225955839346741;0.3967795076201593;-0.019375866561858458
AI绘画（二次元泳装美少女）全程超级高能（一定要看简介及说明）;0.0015706243885161;0.1288201911668894;0.5148027996905893;0.14300597395749662
无界AI绘画，第四期，前几张的脸最喜欢，完美型;0.0262390078066709;0.0945846264296364;0.4201667318113438;0.08626356990998287
随心所欲画老婆？全网最简单的AI绘画教程都在这！;0.017889440817073;-0.2237466603015875;0.4974951026906742;-0.2409124580131519
[AI绘画]试了下最近很火的真人画风模型生成比基尼小姐姐;0.0031180232777566;0.0092840008067452;0.4720946611509312;0.009455075314549248
【Ai绘画】秀色可餐;0.0050167078435414;-0.2480637047641565;0.3608941705529828;-0.193283819669445
AI绘画完美小姐姐第二期;0.0035476950143562;0.1638698691070033;0.4446195751230139;0.15720077885885195
ai绘画 圣路易斯;0.0613878977729649;0.0579470802315334;0.4481075338320169;0.05682726596288084
【AI绘画】你可能错过了;0.0074640948297135;0.1990596453234995;0.4520400893736154;0.19432934107422956
AI绘画~云韵Coser太美啦！;0.0005487024203873;0.2673848203181089;0.4808925595513826;0.27721836979462267
ai作画;0.0321411878100967;0.0094074963113569;0.4229122191688191;0.00864885060468773
【AI绘画】把亚切吃香肠的画面反复喂给AI;0.0382640100566411;0.0630907198549115;0.3913449924386826;0.05380221066617689
【用ai一天生成100张龙娘立绘插图③-效果测试】nijijourney【AI绘画】;0.0065031397971833;0.3199596764706588;0.4818361031721691;0.3328338734091683
如果将苏俄AI绘画40遍……;0.0995299739584089;0.3951396342166738;0.4238833984741867;0.3704796589601749
【AI绘画】快递拆开竟然是雪女太太;0.0351343740292467;0.0417604948860292;0.4948965290153214;0.04490291426678459
【AI绘画】雨中姑娘-第2弹。 眼镜娘美极了！4K视频，人工智能真强大。;0.0053796062697235;-0.0847754934217605;0.3262703270524219;-0.059734462004767196
【AI绘画黑科技】ControlNet手绘涂鸦生成肤质极佳真实美女;0.0016490104485714;0.069967254548334;0.475628447673679;0.07176489717978016
【蛋仔派对】蛋仔女团的阳光开朗大男孩？贝克拟人女版来啦（ai绘画）;0.004200912181484;0.2531086499701734;0.4092540221299086;0.22355126538938627
AI绘画 真人写实风 韩系美女 第一期;0.0012744992727515;0.0725652968576658;0.459774174305518;0.0719431477233701
[AI绘画]国外牛人的ai绘画做成了动画 效果惊艳.;0.0046247775432647;0.2019932982202625;0.4459579145534572;0.19440754528183582
毛 衣 系 列 ③ | 很 耐 看 的 脸 型 | AI 绘画 2.5D | 4K 高清;0.0382640100566411;0.030277143819898;0.5099516732669122;0.03356076467801724
【AI绘画】旗袍-第二弹。带着穿旗袍的小姐姐去看烟花吧。人工智能真强大。;0.0157323725718466;0.0216899112783958;0.3726083479085624;0.017503510881494877
【AI绘画】日系美女-姐妹出街回头率爆表！;0.0017302996960362;0.0834781055616284;0.4670742071069538;0.08408515701576878
AI绘画分享：超现实的粉色清纯少女;0.0556570058266971;0.0912691700254851;0.4198219349540686;0.0838150499594532
中国各省份娘化图鉴【AI绘画】;0.0397446356354641;0.2694619363239497;0.4630026257751822;0.27150988739160364
【AI绘画】不要再拿AI骗妈妈说这是你女朋友啦！ （10）;0.0047205827277768;0.1379765997268368;0.3638505804183438;0.1083767842429481
