发布者;群体情绪;时间
免费的AI实时翻译软件与app同台竞争（对比测评）;0.039371703583765925;1663845453
超级好用的AI翻译工具推荐，英文读写再也不是难事;0.1462974145242266;1648934842
有了这款专业AI翻译神器，终于不用再找人帮我翻译论文摘要了，用来做翻译工作也不错呀~;-0.21061076217854757;1649380213
ChatGPT的翻译能力再次震撼我全家;0.25009921430756216;1654670607
AI：翻译《出师表》，把军师都给气活了！视频素材来源：鹰目大人;0.23947592617343566;1648108431
AI让翻译集体下岗？&口译生毕业去向｜高翻学姐的碎碎念;0.8541480001049615;1662619323
AI对翻译行业的降维打击;0.195999707526372;1653758514
LanguageX：一款超好用的AI辅助翻译工具;0.03967139695472235;1657181560
AI会取代人工翻译吗？;0.32088977268152985;1655163207
【AI翻译】东京编程妹 2023/04/08;0.08216321867514702;1650289972
「论文降重」三个步骤86%降低到7%,火龙果写作+DeepL/学术改写+AI续写+翻译降重/毕业学渣的绝地求生/优秀学术论文/知网陷入了沉思~导师夸了我;0.15041944742052404;1663123717
AI同传能否取代所有翻译？还有必要学外语吗？;0.273164928682259;1650289851
最新AI翻译视频的软件，自动翻译视频文字;-0.7729688434484213;1682846804
《如果突然想起我》，但是谷歌翻译20次;0.17896846156155571;1679930987
今天尝试了下小爱ai翻译的同声传译，准确率蛮高！;-0.20194998920867482;1677667041
实时翻译AI字幕准备上线了，看英文电影、和老外聊天，实时翻译传达，轻松无压力！;0.06189593725406874;1677207527
穷鬼狂喜！独立游戏怎么用AI和机翻做游戏翻译？;0.02054589505262339;1677034322
《打上花火》，但是谷歌翻译20次;0.3451696687506781;1676721935
《稻香》，但是谷歌翻译20次;0.6580630183539622;1676693392
万众期待！日本爱情电影同声传译教程来了！！！;0.21347977286221434;1676599976
昌哥聊科研 |  ChatGPT用于论文润色、翻译操作案例和技巧;-0.038451227960746265;1674484148
OPS「自动翻译」+「可视化编辑」+「提示词管理」我们开发了这个 AI 提示词编辑器，让 AIGC 的效率倍增;0.05006738472289066;1673957924
【保姆级教程】无需编程基础 | 教你用python搭建本地翻译服务 | 基于Hugging Face模型;0.1657604553073158;1673345630
AI是怎么搞语言翻译的;0.25104431184619463;1673313862
【啃生肉必备】有多少人还不知道，其实手机有自带的AI字幕并且还能翻译？;-0.010764146983807609;1672458321
