发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
教你开启Office CoPilot 抢先体验ChatGPT;0.0025301384134543;-0.1222683269830716;0.3329584429921941;-0.07449401809234947
免费升级到microsoft 365 copilot 教程，还不来学~;0.0102002849063423;-0.2991570580759117;0.3130541216729666;-0.17184583214659802
超前使用Office 365 Copilot!;0.0016690408861862;-0.2634291315096052;0.3568899222393913;-0.17197866052081873
微软Copilot抢先用！适合中国宝宝的全中文网页版Copilot&NewBing阉割版;0.0129377245763612;-0.0763500043684909;0.3938333651652119;-0.05517657814739487
E5开发者账号续订教程——2023年赶快使用 Microsoft365 办公免费白嫖5TB网盘copilot都来了chat GTP和office打造最强办公软件;0.0012757000403971;-0.1922446965856214;0.3515781197982499;-0.12362381177049947
Microsoft 365 Copilot 内测版激活（人工智能加持，效率翻倍）;0.0007175812727234;-0.2916718152306323;0.379394101341089;-0.20236116160673256
【AI超级应用】Microsoft 365 Copilot  | 全自动化office办公软件;7.44158356898348e-05;-0.3762299904870694;0.4402560651331362;-0.3028431684556592
Microsoft 365 Copilot in Word 加速工作效率 实现自动办公;0.0020092275636255;0.0079092510927556;0.3536957773446147;0.005117880457446362
PPT不存在了！全新微软Office Copilot 发布会快速解读;0.0160844513426742;0.2061896865045168;0.3604932358068743;0.13657230491615838
【曝光】Office Copilot的惊人功能，它将如何改变你的工作方式？;0.0124114983096974;0.1763386714835884;0.3550160446595831;0.11490267900968176
【双语】微软Office+GPT_ 微软365 Copilot发布会;0.0002073012565645;0.5828676129753354;0.4021054586829106;0.4285343461546317
对标微软365 Copilot？金山发布WPS AI，支持Windows11/10版WPS Office;0.0005209108498288;-0.0128978004770864;0.3461626827349899;-0.008164307932502255
【4K60FPS】Microsoft 365 Copilot 宣传片中文版，将AI整合进Office！;0.0006059575191886;-0.0943682326962147;0.3447807802752067;-0.05949829711819232
自动写代码插件火了，封神还是鸡肋？！Copilot 插件体验;0.0365222290732039;0.0059736180149606;0.3784124315850708;0.004177209033086458
Office 365 Copilot发布！一起来看看效果怎么样;0.0001009929198647;-0.7189746428766167;0.6728795011624662;-0.8845226939192639
2023年赶快使用 Microsoft365 办公免费白嫖5TB网盘copilot都来了chat GTP和office打造最强办公软件;0.0020464354814704;0.0649418009093752;0.3870265526432194;0.04598021866596382
AI重新定义Office！微软Copilot超级革命 ChatGPT＋Microsoft 365 未来十年必备的AI神助手;0.0002657708417494;0.2679768660954822;0.5121301668668014;0.25093056781008777
Microsoft 365 Copilot in Excel;5.84695851848702e-05;-0.4006937391414502;0.5640517109353799;-0.4132257201647811
微软Office Copilot发布，AI又一次震惊了我们，今夜无眠;0.0089033231986052;0.2072643318861832;0.3732318972523609;0.14180899256073443
微软 365 Copilot震撼来袭！Office全家桶+GPT-4;4.25233346799056e-05;0.383221798319678;0.5741829909778259;0.4023045710237063
ChatGPT+Office=Microsoft 365 copilot，AI办公软件全家桶，会给普通人带来哪些改变？;0.0001647779218846;0.1233794703799181;0.4339561555141771;0.09789442118218178
【双语】微软Office+GPT? 八分钟看完微软365 Copilot发布会，AI进入工作环境;0.0415240363149278;0.2423975283564365;0.4122567143222182;0.1847481983858046
【未来打工人必备】6分钟实操精通微软最新版office 365全家桶！重新定义未来职场打工人！Copilot发布会案例教程;0.000892990028278;0.0129714906283896;0.37053726445723;0.008790000929949098
【官方大合集】Microsoft 365 Copilot+ChatGPT4;0.0041088172134458;0.0424030747290485;0.35517139466147;0.02757046409484771
微软365 Copilot发布会 GPT-4 Office 中文字幕;0.0030616800969532;0.4922896703600903;0.3153373449140308;0.28412880238079957
微软2023 Microsoft 365 Copilot发布会全程回顾 中文字幕版;0.0081804265090468;0.1315032205882645;0.3578038625389697;0.08624503985425969
微软深夜重磅发布，Microsoft Office 365 Copilot全面接入GPT-4，势必颠覆人类办公！;0.0002976633427593;0.1024816221695325;0.4886010408186899;0.09155469944099463
怎么用？AI在日常生活中的真实体验！微软正式推出Microsoft365Copilot：AI全面植入Office全家桶;4.25233346799056e-05;-0.2588292633979823;0.5640214553226107;-0.2669091762205283
【未来打工人必备】工作全靠聊天！office365杀疯了！微信钉钉慌了！微软Copilot发布会案例教程;0.000446495014139;0.053609169496299;0.2854351200270419;0.027981618390833844
Microsoft365 Copilot你用上了么？;0.0010737142006676;0.0457521239220237;0.355737681039639;0.029767174778654076
Microsoft 365 Copilot in PowerPoint;4.78387515148938e-05;0.1951880678709281;0.7197368775829365;0.25685090100949054
GPT4 融合Office Microsoft 365 Copilot 发布会（中文字幕）;2.12616673399528e-05;0.0495439133493084;0.501724060721454;0.045447306219955956
Office炸裂升级！ChatGPT/GPT4登陆微软Microsoft365（60秒看懂Copilot）;0.0049699147407139;0.271143923495974;0.3443693152392446;0.17099013021319448
一分钟看完， 微软把AI神器GPT-4全面接入Office，Microsoft 365 Copilot 将如何颠覆， 我们未来的工作方式？;3.72079178449174e-05;-0.0524655636156183;0.5640538155943373;-0.05410643662303123
GPT+Office=Copilot？跟我瞧瞧吧！微软发布文章详细解读;0.0007919971084132;0.3404305143466947;0.4845043098488595;0.3016170334932208
国内首个类微软Office Copilot应用，AI可以制作英语听力啦，全自动哦，ChatGPT都不曾拥有的技能;4.78387515148938e-05;0.8317471500503807;0.5987870999034466;0.910580776852494
今日凌晨，Microsoft 365 Copilot重磅发布！微软将GPT-4全面接入Office办公软件全家桶;1.59462505049646e-05;-0.2370370370370367;0.5640196327423952;-0.24443458894964526
微软365 Copilot Word 官方介绍 中文字幕;3.18925010099292e-05;-0.0129127803051742;0.5640465776617213;-0.013316445766114062
Microsoft 365 抢先体验Copilot，进去之后，一言难尽。;0.0020092275636255;-0.3455405806539357;0.3428076025671046;-0.21671207171216256
1、Microsoft 365 Copilot;2.6577084174941e-05;-0.5542538748739715;0.742929050435003;-0.7528503741862558
Office降级 Word Copilot复活？;0.0007654200242383;-0.5149183739928854;0.3705680375723526;-0.34894491429744295
一种很新的东西！微软全新Microsoft 365 Copilot 让你的工作事半功倍。;0.0286873046584313;0.1683376675955396;0.3348653217358347;0.1040439205088631
Microsoft 365 Copilot 宣传视频已经出来了。通过 Copilot AI，可以进行对话式的 Office 文档生成，支持 Word、PPT、E;0.0002817170922543;0.3524074794540763;0.3822286721881056;0.2462945539794085
微软彻底逆袭？全线产品引入ChatGPT4.0 Office史上最大升级！微软Microsoft365 Copilot整合GPT4;7.973125252482299e-05;0.5205662100214052;0.6939357448002136;0.6604677909871424
微软Copilot Microsoft365正式发布，用GPT4做PPT一分钟搞定;0.0025620309144643;0.139561328692452;0.312714096668744;0.07986538462530464
微软Office365 Copilot发布会 GPT-4 精剪版;2.6577084174941e-05;0.0;0.5640151973238028;0.0
【第2集】一键生成PPT给老板汇报，摸鱼给老板画饼利器，微软copilot植入office，办公工具的变革来了;1.59462505049646e-05;0.8706662226971589;0.5640142630677447;0.897829793985707
这个在beta阶段的Microsoft365 Word Copilot实在是太逊了啊;5.84695851848702e-05;-0.396222526554228;0.480757035906395;-0.3482743947855447
Microsoft 365 Copilot in Outlook;3.18925010099292e-05;-0.2027101106972164;0.5640277675709928;-0.20904004497714
微软整合GPT-4到Office中，发布全新Microsoft 365 Copilot;1.59462505049646e-05;0.826084119014469;0.6621001694072393;1.0
1分钟教你copilot注册;0.0001222545872047;-0.3502218009813374;0.4814733886491786;-0.30830359127341966
微软发布：Microsoft 365 Copilot in Word;3.18925010099292e-05;0.2891295787082459;0.5640214911631383;0.2981547756605888
微软发布：Microsoft 365 Copilot in Excel;2.6577084174941e-05;0.1589107529075768;0.5640169800923848;0.1638696792532763
微软365 Copilot PPT 官方介绍 中文字幕;5.84695851848702e-05;0.0524655636156166;0.5640754273436571;0.05410873630907422
【微软365 Copilot重磅来袭】word、excel、ppt一键搞定。彻底颠覆你的办公方式！;4.25233346799056e-05;-0.5585075066886138;0.6515431960393734;-0.6653133585601042
反正，我也测试了一把微软office王炸;0.0075266302383432;0.1346955932693704;0.3581605929838909;0.08840868556073282
翘首以待?集chatgpt4的copilot还没上线！这款真正免费开源无广告的office软件onlyoffice，快捷接入chatgpt，真正无广告功能强大;0.0024450917440945;-0.0541600071929756;0.3834201209755988;-0.03799374419597883
一分钟看完，微软把AI神器GPT-4全面接入Office，Microsoft 365 Copilot 将如何颠覆， 我们未来的工作方式？;8.50466693598112e-05;0.9143908202345468;0.5759704616761705;0.9629196729893281
干掉你工作的不是AI，而是会用AI的人来看看最新微软Office365融入ChatGPT4的Copilot的颠覆性功能;4.78387515148938e-05;0.3643533853512462;0.5640320196007262;0.3757348917286904
【中文】微软Office和ChatGPT结合发布会完整版！办公和AI的未来！;0.0001382008377096;0.2203251651849055;0.450187378737043;0.1813523127664632
免费拥有#Microsoft 365，使用#Copilot，自动写文章，#工作方式彻底改变！;6.37850020198584e-05;-0.1995829685710476;0.4849155381484762;-0.17694846166604625
打工人必看，做PPT只要一分钟就能非常炫酷，微软Copilot Microsoft365正式发布，集成了GPT4的超级AIGC办公工具来了！赶紧用起来！;0.0072980673144387;0.1895901805316343;0.3606608534187887;0.12529711378458708
微软发布：Microsoft 365 Copilot in PowerPoint;1.59462505049646e-05;-0.0129127803051742;0.5640182902262262;-0.013315736108871077
Newest | 微软2023发布会（中字精翻） - AI时代来临 Microsoft 365 Copilot;0.0022803138222099;0.2528940868796255;0.3908059675176871;0.1808140603202015
GPT-4杀疯了..Word,PPT,Excel等office软件一网打尽！微软 365 Copilot 说要把你的文字变成地球上最强大的生产力工具;0.0002657708417494;0.0267696913996046;0.4334002621896783;0.021213532320072507
Microsoft 365 Copilot in Teams;2.12616673399528e-05;0.3525491277543189;0.5640282555290053;0.3635575684348831
粉丝说想看一下微软的新版OFFICE Copilot功能，它来了。;8.50466693598112e-05;0.2305781388474119;0.5032366355244393;0.21215310880307905
【官方演示】Microsoft 365 Copilot;4.78387515148938e-05;0.964981828449982;0.5648347066980062;0.9965416675824434
抢先体验Microsoft 365的Copilot，一键配置，超级简便 - 抖音;0.0002604554249144;0.0603292317074378;0.5772215866127759;0.06367119452132453
【渐构】万字科普GPT4为何会颠覆现有工作流；为何你要关注微软Copilot、文心一言等大模型;1.0;0.4850967301921327;1.0;0.9854547868983949
自制Chatgpt excel ppt word插件, 低配copilot;0.0001169391703697;-0.2308973660217559;0.3796797268606573;-0.16028840773887862
微软365 Copilot 官方介绍 中文字幕;5.3154168349882e-05;0.4336837547827123;0.5640241487958764;0.4472251993583082
【IGN】Microsoft 365 Copilot宣传视频;0.0057512810154572;0.0127499813589389;0.3516872578250321;0.008213068877640818
Microsoft 365 Copilot + GPT4 还让国内玩家怎么玩？都失业吗？;0.001323538791912;0.2841796326558485;0.3973322485650279;0.2065182040779796
Microsoft 365 Copilot in Word;7.973125252482299e-05;0.315633243211143;0.6951375976547961;0.40115288219875783
微软推出 Microsoft 365 Copilot：通过文字聊天就能自动生成 Excel 报表！;1.06308336699764e-05;0.9000551461710369;0.5640174550091247;0.9281398915869378
最新！快速白嫖Copilot学生包（给你的炼丹工具整点活儿）;0.0038005230370165;-0.0133999876065158;0.3884062951459149;-0.00952606271945267
简介 Microsoft 365 Copilot 集成 Outlook, PowerPoint, Excel, and OneNote;5.3154168349882e-05;-0.9074909049179252;0.5640896157588381;-0.9359352378826743
