发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
财联社CC新闻;536;1542;2078;37914;0.05480825025056707
鱼鱼鱼鱼好多宇;54;488;542;37914;0.014295510893073798
L0llipops;91;495;586;37914;0.015456032072585325
帛物志;141;523;664;37914;0.01751331961808303
shalala4099;29;707;736;37914;0.01941235427546553
AI技术观察者;113;460;573;37914;0.015113150815002373
一起向未来22;1;3;4;37914;0.00010550192541013873
know_thyself;1;0;1;37914;2.6375481352534682e-05
link_gpt;89;7816;7905;37914;0.20849818009178667
四川观察;59;777;836;37914;0.022049902410718997
36氪;509;10000;10509;37914;0.277179933533787
風鳴子;57;1698;1755;37914;0.04628896977369837
看看新闻Knews;3;173;176;37914;0.004642084718046105
九章科技;86;2960;3046;37914;0.08033971619982065
得吧得吧吧;48;125;173;37914;0.0045629582739885
格物时间;81;533;614;37914;0.016194545550456296
每日快乐小分队;155;2443;2598;37914;0.0685235005538851
假非假;83;316;399;37914;0.01052381705966134
淘沙博士;173;924;1097;37914;0.028933903043730547
孙大圣齐天大圣的大圣;1033;14000;15033;37914;0.3965026111726539
沉心拂絮;42;98;140;37914;0.0036925673893548555
X科技实验室;87;1047;1134;37914;0.029909795853774332
白水你要努力啊;93;2303;2396;37914;0.0631956533206731
晴天不弃风飞;5;58;63;37914;0.001661655325209685
壹零社;9;13;22;37914;0.0005802605897557631
逆袭教典nzg;23;188;211;37914;0.005565226565384818
二次元胡桃喵;266;6902;7168;37914;0.18905945033496863
生产队喂驴;81;1171;1252;37914;0.03302210265337342
直播中;106;4266;4372;37914;0.11531360447328164
_简单题_;206;4897;5103;37914;0.1345940813419845
MK-21;22;666;688;37914;0.018146331170543862
设计软件库;14;603;617;37914;0.0162736719945139
诺安段子混合-蔡嵩淞;243;5815;6058;37914;0.15978266603365512
Gwa-wa;152;5207;5359;37914;0.14134620456823338
沉生-;9;18;27;37914;0.0007121379965184365
套路时代;110;401;511;37914;0.013477870971145223
理工男骏骏;13;20;33;37914;0.0008703908846336445
生产队喂驴;9;103;112;37914;0.002954053911483885
zstar_;88;1422;1510;37914;0.039826976842327375
36氪;1159;14000;15159;37914;0.39982592182307325
设计师柯布拉;1;2;3;37914;7.912644405760406e-05
淘沙博士;149;1585;1734;37914;0.04573508466529514
江船明;17;230;247;37914;0.006514743894076067
aoe863;11;50;61;37914;0.0016089043625046157
百度;17;100;117;37914;0.003085931318246558
AI技术观察者;45;874;919;37914;0.024239067362979375
小白Smooth;187;1536;1723;37914;0.04544495437041726
AI度晓晓;38;1139;1177;37914;0.031043941551933324
套路时代;41;249;290;37914;0.007648889592235059
不进年级前10名不改名;39;263;302;37914;0.007965395368465475
小白Betten;139;4245;4384;37914;0.11563011024951206
雪山兄弟爱地球;12;86;98;37914;0.002584797172548399
涛哥爱拆机;505;8413;8918;37914;0.2352165427019043
财经网科技频道;1;12;13;37914;0.0003428812575829509
得吧得吧吧;6;27;33;37914;0.0008703908846336445
落叶秋书;18;27;45;37914;0.0011868966608640607
财经网科技频道;71;328;399;37914;0.01052381705966134
宇航员Dale;19;198;217;37914;0.005723479453500027
假非假;332;5831;6163;37914;0.16255209157567124
狗太宇;10;76;86;37914;0.0022682913963179827
微笑君smiling;8;87;95;37914;0.002505670728490795
直播中;94;864;958;37914;0.025267711135728226
via晨曦;351;6257;6608;37914;0.17428918077754918
小白Smooth;169;2105;2274;37914;0.05997784459566387
XL科技说;294;1491;1785;37914;0.04708023421427441
申腿瞪眼玩;67;734;801;37914;0.02112676056338028
辣子猫砂;2;1;3;37914;7.912644405760406e-05
