label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
3;太太那个网站啊想试试了[doge];5;0;5;525;0.009523809523809525
12;AI已经可以作曲了;4;0;4;525;0.007619047619047619
17;机器人代替人类工作，人类的躺吃时代要来临了。//@邵宛誉的视窗:未来要考大学的孩子可以参考。;3;3;6;525;0.011428571428571429
33;wow这可以，这样词曲创作的话效果如何我去看看;14;28;42;525;0.08
48;生活上更多的故事继续发生，温暖依旧如期而至;12;30;42;525;0.08
61;这首歌真的是AI写的吗？还真挺好听的[允悲]AI也太牛了;7;17;24;525;0.045714285714285714
69;不知不觉网易严选已经陪伴我们七年时光了[doge]，希望以后继续陪我们走下去[doge];6;10;16;525;0.030476190476190476
77;喜欢这首歌曲的旋律和歌词，单曲循环听起来了;6;5;11;525;0.02095238095238095
85;不止我一个人被一首品牌歌给戳到了吧，现在出歌没有两把刷子都不行呀，太卷了 ;1;1;2;525;0.0038095238095238095
96;网易你怎么这么会啊[doge]谐音梗还是你会玩儿，如期不就是七年吗！;1;0;1;525;0.0019047619047619048
172;感谢每个深夜有网易云的陪伴，希望可以越来越好!;2;3;5;525;0.009523809523809525
208;嚯嚯嚯！不得不说我看的了这个满减！找时间去shopping一下[哈哈] http://t.cn/A6NL2KFt;14;15;29;525;0.05523809523809524
223;这不是纯纯属于放福利了吗？我想薅羊毛[彩虹屁];12;14;26;525;0.049523809523809526
236;我还没有听呢，现在都卷到这个地步了，正好去看看有什么需要的！ http://t.cn/A6NL2NwJ;6;8;14;525;0.02666666666666667
243;AI机器人都可以做歌了！！我觉得实在是太牛了吧！！ http://t.cn/A6NL2Cg2;4;4;8;525;0.015238095238095238
248;我只能说真的很牛啊，这个歌手梦都开始搞上AI[赞][赞] http://t.cn/A6NL2W20;1;3;4;525;0.007619047619047619
250;这样的折扣我感觉还挺划算的我们大家一起去听如期 http://t.cn/A6NL295a;1;4;5;525;0.009523809523809525
252;这次的活动也是很惊喜了[哈哈] 我也想要参与起来 福利满满的样子 http://t.cn/A6NL29ba;2;3;5;525;0.009523809523809525
255;现在都这么卷了？只是没想到还有这么多的福利，我也去看看 http://t.cn/A6NL2oof;2;3;5;525;0.009523809523809525
258;还得是网易严选啊，这一次的活动又给我们带来了很多的惊喜，很多好的产品都很值得去看看 http://t.cn/A6NL2oIu;2;1;3;525;0.005714285714285714
261;小兵出品，必属精品，网易严选这次也是非常给力。[打call][打call];5;11;16;525;0.030476190476190476
268;这个满减优惠也太划算了。活动超给力。;5;7;12;525;0.022857142857142857
275;这个优惠力度真的很大了，可以尝试一下;1;2;3;525;0.005714285714285714
323;不得不说AI人工智能现在真的是越来越厉害了，已经开始期待了;7;16;23;525;0.04380952380952381
331;不得不说现在的AI真的越来越高科技了，不得不感叹一下;15;18;33;525;0.06285714285714286
347;现在的人工智能太厉害了;3;16;19;525;0.03619047619047619
351;咱就说，这首歌曲也太好听了吧，而且还是网易严选七周年的主题曲，可以单曲循环听起来了 ;2;6;8;525;0.015238095238095238
354;ai现在也太高级了，还真是想不到，好怕人被取代了;1;7;8;525;0.015238095238095238
356;网易严选也太会了吧，我也要去看看AI这个人工智能作曲作词;1;1;2;525;0.0038095238095238095
360;真的还挺好听的，听的很上头;1;2;3;525;0.005714285714285714
442;这谁顶得住啊[彩虹屁];3;13;16;525;0.030476190476190476
446;阿来？我还真不知道网易搞了个这样的活动，我去看看;7;19;26;525;0.049523809523809526
516;喜欢，嘿嘿;1;0;1;525;0.0019047619047619048
518;楼主继续加油哦，永远支持啦.;1;0;1;525;0.0019047619047619048
541;我们很喜欢的系列，感觉给我们带来不一样的惊喜了[憧憬] http://t.cn/A6N2FvlV;13;14;27;525;0.05142857142857143
555;这也太卷了吧！真是没想到啊！竟然是AI独立完成啊 http://t.cn/A6N2FvxJ;14;16;30;525;0.05714285714285714
570;牛啊现在ai居然连作词作曲都能独立完成，我要去听听 http://t.cn/A6N2ksI6;12;12;24;525;0.045714285714285714
583;我连着听了好几遍，真的是越听越上头，没想到是AI独立完成的 http://t.cn/A6N2F2W8;2;7;9;525;0.017142857142857144
586;没想到Ai现在都这么厉害了，而且每句何必都很温暖 http://t.cn/A6N2FPKe;2;7;9;525;0.017142857142857144
589;科技已经发展都这么厉害了，以后AI会代替很多人的工作 http://t.cn/A6N2Fvin;3;4;7;525;0.013333333333333334
593;真的也太厉害了，现在竟然连AI 都可以创作出歌曲了，真的好牛啊 http://t.cn/A6N2ksnE;3;3;6;525;0.011428571428571429
597;再这样下去我怕我直接被ai给取代了，这也太强了吧 http://t.cn/A6NAkHPO;1;3;4;525;0.007619047619047619
600;这么厉害了吗现在 很牛呀 ;1;11;12;525;0.022857142857142857
602;感觉这个曲风做的真的很好听，我以为(✪▽✪)可以让人有愉快的心情呀;1;6;7;525;0.013333333333333334
605;AI的功能远远超出了我的想象;1;5;6;525;0.011428571428571429
651;AI 作词竟然已经这麽高级了！你还别说，歌手们可以让 AI 来做[doge] http://t.cn/A6N2eQMV;8;8;16;525;0.030476190476190476
660;？？？什么情况，AI已经越来越过分[苦涩]下一次还要做什么，彻底替代我吗[苦涩];9;7;16;525;0.030476190476190476
