发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
明天也一起加油吧;0.0259923333745517;0.5885006061848944;0.4052936155651083;0.03088333814790255
刘温暖ing;-0.0006430072956597;0.3210299609504953;0.3757945619078456;-0.0003864330374877674
玖玖说股事;0.0028440707308025;0.3077104391242588;0.2899372979757013;0.0012640056091540793
凯恩斯;0.0004946209966613;0.1327949028796745;0.6406143795881498;0.0002096104487448748
赵老哥游资备用号;0.0003462346976629;0.5252706345132784;0.3855747154739023;0.0003493208820357976
写手吐槽bot_;0.0020032150364782;0.3556612773332949;0.394218536224749;0.0013991474566791698
汉语言文学中文系;0.0001978483986645;0.4418842507102059;0.4334660606639218;0.00018878107401743013
写手吐槽bot_;0.0025720291826388;0.1011000848710018;0.6088765927224875;0.0007887129682107135
心理作者-广思;4.9462099666130826e-05;-0.5891035992527425;0.6330696408440257;-9.189206320174108e-05
南方周末;0.0154816371954989;-0.090034411870911;0.4764934489593112;-0.0033086028759091992
欧洲文艺评论;0.0137751947570174;0.2303367941196028;0.4003034989971978;0.006327217196714181
小牛汪汪;0.0008408556943242;0.7067169805441541;0.8562199638814525;0.002534630384380874
王一快;0.0018795597873129;-0.2880263365060528;0.7771905683112548;-0.0020959366789752363
达尼林斯;0.0004946209966613;0.0547743267519948;0.461619250506937;6.230111208851291e-05
汪有;0.0113268208235439;0.3391969564403316;0.5120349329296059;0.009799904860455854
山风律师;0.0001978483986645;0.9982455983859212;0.633536639439818;0.0006233098228211435
瞳_口嗨落学家;9.892419933226164e-05;-0.3716593456984176;0.6330694470178172;-0.0001159474621146862
笋皇老祖;0.0008161246444911;-0.4690323746133269;0.633499584429379;-0.0012080027929024493
沈叁茶;0.0008655867441572;0.7928057422410618;0.7813959862156858;0.002671227339762679
卡卡荷光;0.000395696797329;0.4567501539483256;0.6332773709439823;0.0005701609877699899
听唔明咩_;0.0001978483986645;0.1534120439058419;0.5561704107020735;8.409344929897455e-05
二逼瓦西里;0.005317175714109;0.3697099058877259;0.4755960291938789;0.0046573900448849005
狐狐狐狐狐妖;0.0005440830963274;0.1940445477774836;0.545428549906325;0.00028685791392050385
eDiary-电子日记本;0.0020032150364782;-0.1006767248918689;0.4602696848500135;-0.000462414360726279
