一级评论;实际爬取到的二级评论内容;单条评论情绪值;信任度指数1;正向情绪最大绝对值;负向情绪最大绝对值;情绪极性差值;信任度指数2;一级评论账号的粉丝数;信任度指数4;信任度值;归一化信任度值
从没指望在网上遇到好的资料，但这个出乎意料，非常高质全面精简[泪]超级超级感谢啦，刷到是我的荣幸;好高的评价[抱一抱]感谢受宠若惊！;0.9993176247919893
-----;------;------;0.0;0.9993176247919893;;0;1.0;9;1.018136403127715e-06;0.40000020362728067;0.6754558250647353
请问只准备一个正反方的模板够吗？[跪了];回复@明天也一起加油吧:一个是指模板啦[跪了]有时候感觉太局限于模板中。不过这个问题大概算解决了。我理由写了两个，但是不够字数[泪];0.9752000885704397
请问只准备一个正反方的模板够吗？[跪了];回复@sjdbakebxb:我是没懂你说的“只准备一个”是什么意思？是说你写的时候只写一个理由吗？;-0.9907379420184625
请问只准备一个正反方的模板够吗？[跪了];回复@明天也一起加油吧:就是两种看法嘛;0.8082615274200917
请问只准备一个正反方的模板够吗？[跪了];我不太明白诶什么叫“正反方的模板”;-0.8049913392255634
-----;------;------;0.8991436219447515;0.9752000885704397;-0.9907379420184625;1.9659380305889023;0.01703098470554887;17;1.9231465392412394e-06;0.366470227289428;0.6188358093089716
你说的那位朋友是不是我[害羞];回复@明天也一起加油吧:嘿嘿嘿不敢不敢[彩虹屁][亲亲][亲亲];-0.4868048968408063
你说的那位朋友是不是我[害羞];那必然[doge]要不怎么能请得了您周末出山游玩呢嘿嘿;0.06831922538196666
-----;------;------;0.2775620611113865;0.06831922538196666;-0.4868048968408063;0.555124122222773;0.7224379388886135;55;6.221944685780481e-06;0.4000012443889372;0.6754575825351491
感谢！;不客气[打call][打call];-0.2186365446087073
-----;------;------;0.0;;-0.2186365446087073;0;1.0;19;2.149399073269621e-06;0.40000042987981466;0.6754562071235208
点了signup，弹出的对话框显示“continuewithgoogle”，点击没响应，找不到注册的入口，求助[作揖];不注册也可以用呢;-0.6250606272947552
点了signup，弹出的对话框显示“continuewithgoogle”，点击没响应，找不到注册的入口，求助[作揖];是不是墙了Google？;-0.6162994938978619
-----;------;------;0.004380566698446664;;-0.6250606272947552;0;1.0;194;2.1946495800752968e-05;0.40175661597853884;0.678421770939549
chatGPT是啥？;问答机器人上知天文下知地理;0.7140334645346325
-----;------;------;0.0;0.7140334645346325;;0;1.0;17;1.9231465392412394e-06;0.40000038462930787;0.6754561307117638
@别弄丢快乐;🙏;0.0
-----;------;------;0.0;0.0;0.0;0;1.0;58;6.561323486823053e-06;0.4000013122646974;0.6754576971527848
@Residein_;收到冲冲冲;-0.2989472030180045
-----;------;------;0.0;;-0.2989472030180045;0;1.0;18;2.03627280625543e-06;0.40000040725456126;0.6754561689176423
各种造谣;回复@智玩TOP:自媒体什么都敢写[笑cry];0.15863061252188393
各种造谣;回复@智玩TOP:是的;0.22901468336793052
各种造谣;主要头条APP推送给我了，差点以为是真的;-0.47189328782711626
-----;------;------;0.3151342377860467;0.22901468336793052;-0.47189328782711626;0.7009079711950468;0.6495460144024766;11659;0.0013189391471184477;0.38613588870483306;0.6520440062956998
oppo辟谣了吗;回复@智玩TOP:不承认不否认白赚一波热度;-0.5343454710613711
oppo辟谣了吗;没[春游家族];-0.16185440033387932
-----;------;------;0.18624553536374588;;-0.5343454710613711;0;1.0;176;1.991022299449754e-05;0.47450219619009726;0.8012627731591286
怎么检测到啊[单身狗][单身狗]我还准备用他降一降;回复@将一切体谅:我不太清楚[泪];-0.6599394625535902
怎么检测到啊[单身狗][单身狗]我还准备用他降一降;回复@将一切体谅:会告诉你ai类辅写有多少段，但你自己是看不到哪些段落是ai;-0.8482084291889307
怎么检测到啊[单身狗][单身狗]我还准备用他降一降;回复@将一切体谅:自费查提交给老师，她那边可以看到你ai的段落;-0.881168424919414
怎么检测到啊[单身狗][单身狗]我还准备用他降一降;[泪]想问一下自己付费查的能看到ai辅写的的占比吗;-0.7249474764878139
怎么检测到啊[单身狗][单身狗]我还准备用他降一降;回复@就找你茬嘿嘿嘿:还好我还没用🙏🙏;-0.5949733068836358
怎么检测到啊[单身狗][单身狗]我还准备用他降一降;而且只告诉你检测到多少段ai辅写，但不告诉你是哪一段[苦涩][苦涩][苦涩]我现在很抓马;0.9900910450235725
怎么检测到啊[单身狗][单身狗]我还准备用他降一降;回复@就找你茬嘿嘿嘿:好！;-0.36800955461651763
怎么检测到啊[单身狗][单身狗]我还准备用他降一降;可以用它一句一句的改，但是别用它扩句;0.5925537780228931
-----;------;------;0.6614311196679848;0.9900910450235725;-0.881168424919414;1.8712594699429865;0.06437026502850673;74;8.371343759050102e-06;0.2903222281473485;0.4902493507993936
chatgpt怎么样[doge][doge];咦;0.052465563615616606
-----;------;------;0.0;0.052465563615616606;;0;1.0;7;7.918838690993339e-07;0.40000015837677383;0.6754557486529781
毫不担心，AI没我会舔，业主的情绪价值也很重要;AI也不能背锅[笑而不语];-0.29961116223485407
-----;------;------;0.0;;-0.29961116223485407;0;1.0;16;1.810020272227049e-06;0.4000003620040545;0.6754560925058852
ai跟外包有啥关系;广告公司的活大多都是外包干的[允悲];0.9593419530413103
-----;------;------;0.0;0.9593419530413103;;0;1.0;38;4.298798146539242e-06;0.40000085975962935;0.6754569330352136
同意+1这发言好他妈正确;ai是小偷[哼];-0.7720846705654707
-----;------;------;0.0;;-0.7720846705654707;0;1.0;32;3.620040544454098e-06;0.40000072400810893;0.6754567037999422
想起了《我，机器人》[泪];这是什么推给我看看;-0.2631578947368427
-----;------;------;0.0;;-0.2631578947368427;0;1.0;5;5.656313350709528e-07;0.40000011312626704;0.675455672241221
再研究这些东西就等着ai统治世界吧人变ai奴;ai太君人类在那边🫡;0.9502071657014481
-----;------;------;0.0;0.9502071657014481;;0;1.0;7;7.918838690993339e-07;0.40000015837677383;0.6754557486529781
我陆老师黑眼圈有点重;嗯，惯犯了。;0.15048950631357005
-----;------;------;0.0;0.15048950631357005;;0;1.0;901;0.00010192676657978569;0.40002038535331597;0.6754899047084124
这次因为克味写的还可以所以我接受了下次就不一定了（[开学季][开学季][开学季]）;我喜欢最后！！！[开学季][开学季][开学季];0.823028547587531
这次因为克味写的还可以所以我接受了下次就不一定了（[开学季][开学季][开学季]）;其实是时间问题，如果这次卡组放在去年上半年我就会觉得写得很好！但今年就略有审美疲劳，倒是结尾一对鸳鸯罪人共赴深渊的关系很是浪漫想多看点;0.9997362768398605
-----;------;------;0.08835386462616479;0.9997362768398605;;0;1.0;239;2.7037177816391544e-05;0.4353469532860292;0.7351437145647953
我发现我居然被pua到只要比鲲好就可以了🚬;我是文案要求比较高……不过目前这个水平也能混混日子，除非diss哥的文案质量只高于鲲那我只好收拾收拾滚蛋了;-0.13594016246818996
-----;------;------;0.0;;-0.13594016246818996;0;1.0;174;1.9683970460469158e-05;0.40000393679409213;0.675462129034698
下次吐槽舍友来找师姐取经[哈哈][哈哈];来[收到];-0.25040916530278223
-----;------;------;0.0;;-0.25040916530278223;0;1.0;5;5.656313350709528e-07;0.40000011312626704;0.675455672241221
不要教它这个[嘻嘻];哈哈哈哈;0.7368421052631582
-----;------;------;0.0;0.7368421052631582;;0;1.0;9;1.018136403127715e-06;0.40000020362728067;0.6754558250647353
@小歪就这样;真的能用吗;0.22222222222222254
-----;------;------;0.0;0.22222222222222254;;0;1.0;279;3.156222849695917e-05;0.4000063124456994;0.675466140651947
@梅气罐兰漂亮;[亲亲];0.0
-----;------;------;0.0;0.0;0.0;0;1.0;9;1.018136403127715e-06;0.40000020362728067;0.6754558250647353
@瑶遥芜期-;oh![哇];0.0
-----;------;------;0.0;0.0;0.0;0;1.0;542;6.131443672169128e-05;0.40001226288734437;0.6754761887980087
@半夜汽笛Palpitate;[鲜花];0.33333333333333415
-----;------;------;0.0;0.33333333333333415;;0;1.0;59;6.674449753837243e-06;0.40000133488995077;0.6754577353586633
@0C圈🐎;🐴;0.0
-----;------;------;0.0;0.0;0.0;0;1.0;54;6.10881841876629e-06;0.4000012217636838;0.6754575443292706
应该先考虑全ai写作的网文时代还有人看吗，想看直接生产一个就好了;自己设置大纲，AI写作，自己看。;0.5782409870768488
-----;------;------;0.0;0.5782409870768488;;0;1.0;163;1.8439581523313062e-05;0.4000036879163047;0.6754617087700338
看成了公牛插座也有AI写作功能了？看了三遍。;哈哈哈;0.7368421052631582
-----;------;------;0.0;0.7368421052631582;;0;1.0;264;2.986533449174631e-05;0.4000059730668984;0.6754655675637685
另一个课的助教之前试图用这个问法来检验是否有plagiarism十分不靠谱[doge];真的不靠谱，他就总结一下这一段的主要内容然后说可以由aimodel生成。把我的文章都说成是ai写的。[泪];-0.10652981729320854
-----;------;------;0.0;;-0.10652981729320854;0;1.0;228;2.5792788879235448e-05;0.40000515855777585;0.6754641921521403
是的，而且如果你说它错了，它马上道歉改口说不是AI写的;回复@六月乐火:哈哈哈笑出声。。。;0.19104374377491218
是的，而且如果你说它错了，它马上道歉改口说不是AI写的;啊这么油滑！[交税];-0.8331497776831975
-----;------;------;0.5120967607290549;0.19104374377491218;-0.8331497776831975;1.0241935214581097;0.48790323927094514;4735;0.0005356528743121923;0.40010713057486247;0.6756363860468187
好用么？还没用上，羡慕啊;有利有弊吧，目前只让他帮忙写写邮件;-0.8957137866999485
-----;------;------;0.0;;-0.8957137866999485;0;1.0;430;4.864429481610194e-05;0.40000972885896324;0.6754719097396098
这一战是AI输了;回复@蓝蛱闪蝶:捧场;0.9055214326036185
这一战是AI输了;感谢宝宝支持偶;0.8199938437988559
-----;------;------;0.04276379440238132;0.9055214326036185;;0;1.0;290;3.280661743411526e-05;0.41711207908443937;0.7043516002431153
人工智能确实可以节省很多的成品了，也可以反复的利用。;可以提升很多效率;0.6941165548007548
-----;------;------;0.0;0.6941165548007548;;0;1.0;284;3.212785983203012e-05;0.4000064255719664;0.6754663316813397
以后很多东西很多工作岗位都会被人工智能代替吧[笑cry];已经在代替了;0.052465563615616606
-----;------;------;0.0;0.052465563615616606;;0;1.0;23;2.6019041413263827e-06;0.4000005203808283;0.6754563599470351
可能在不久的将来，走进电影院的人们会看到更多由人工智能技术生成的内容;可能会这样吧;0.10780669144981436
-----;------;------;0.0;0.10780669144981436;;0;1.0;1;1.1312626701419056e-07;0.4000000226252534;0.6754555194177068
都已经开始进军好莱坞了呀，一定会越来越棒。;技术越来越先进了;0.44845055797482347
都已经开始进军好莱坞了呀，一定会越来越棒。;更好的推动发展。;0.9610855323154657
-----;------;------;0.2563174871703211;0.9610855323154657;;0;1.0;382;4.3214233999420796e-05;0.5025356377149284;0.8486011274970747
你的图真好看;小时候老师总是教育我，为什么五星红旗那么的鲜艳，那是壮士鲜血染红的，现在股市那么壮美，因为那是散户的鲜血和钱画出来的，没方向的朋友看#三步捉妖#;0.9941286071563202
你的图真好看;感谢支持！！;0.14993972455301408
-----;------;------;0.4220944413016531;0.9941286071563202;;0;1.0;1032238;0.11677323161019404;0.5921924228427;0.9999990448530359
说到我的心理头了;感谢支持！！;0.14993972455301408
-----;------;------;0.0;0.14993972455301408;;0;1.0;418785;0.047375583731537795;0.4094751167463076;0.6914555300653668
技术指导，引领财富之路，指点未来。轻松涨涨涨，还是得看#嘉兴投资之道#;感谢支持！！;0.14993972455301408
-----;------;------;0.0;0.14993972455301408;;0;1.0;29;3.2806617434115263e-06;0.4000006561323487;0.6754565891823064
“值得一读”的标签就很莫名;真的就AI写作………不知道他要说啥;-0.30486044779071575
-----;------;------;0.0;;-0.30486044779071575;0;1.0;4378;0.0004952667969881263;0.40009905335939766;0.6756227465481721
会不会是翻译水平不行;行文思路也不太行[开学季];0.19071252325838794
-----;------;------;0.0;0.19071252325838794;;0;1.0;1358;0.00015362547060527077;0.4000307250941211;0.6755073647949152
这是用的哪个app看的[哇];微信读书;0.6224958965198908
-----;------;------;0.0;0.6224958965198908;;0;1.0;313556;0.035471419779901536;0.40709428395598035;0.6874351636701783
看起来很厉害的样子;值得试一下[偷乐];0.5660667222311957
-----;------;------;0.0;0.5660667222311957;;0;1.0;305;3.450351143932812e-05;0.4000069007022879;0.6754671340047896
