发布者;群体情绪;时间
LuvstarvedShameless;3.7953478085631224e-06;2023-03-01 22:47:50
赛博十块鉴定处;0.30901289474762444;2023-03-01 23:32:31
赛博十块鉴定处;0.6929024877797615;2023-03-02 02:35:03
林枭2023;0.061760648475872953;------
赛博十块鉴定处;0.0002919261921994816;2023-05-16 16:52:34
赛博十块鉴定处;0.0033942059751259452;2023-05-16 17:43:07
赛博十块鉴定处;0.3952388245495273;2023-05-16 16:52:38
我是无能狂怒队长;6.403768311389964e-05;2023-05-16 16:53:43
东南亚选秀博士;0.0003665070010166551;2023-05-16 18:41:01
不够吃我再点;2.6060008879293406e-07;2023-05-17 09:16:54
月神幻兔;6.149803622482163e-05;2023-05-16 17:02:34
苏老邪_HenrySo;-4.322614516032694e-06;2023-05-16 16:50:59
闲鱼带亨蛋小丁;4.421412514817795e-06;2023-05-16 21:44:20
凯蒂小姐的蔷薇花园;0.00035030024486797535;2023-05-17 02:41:52
技术不足超能力补;2.016784138284027e-06;2023-05-16 17:39:04
929星球-深深小白粥;-5.9652070487995595e-06;2023-05-16 17:30:11
mrboomer;4.538752471762445e-06;2023-05-17 22:56:33
东馆日常;0.00013072676825280193;2023-05-16 17:50:25
sunix;6.9728426524697235e-06;2023-05-17 13:46:53
何尔萌很萌;1.3705042248974464e-05;2023-05-16 21:01:11
看展sohu;1.0476195784004632e-05;2023-05-16 19:42:27
Tea-krisy;0.0008495922895293887;2023-05-17 19:42:58
小特研究所;0.0006300700012721443;2023-05-17 12:26:47
征哥哥哥哥哥哥;2.5400001396647587e-06;2023-05-16 22:48:08
什么时候才能早睡早起鸭;0.00014470736122850828;2023-05-16 21:01:29
萝依妮雅;-1.446468527894938e-06;2023-05-17 21:38:48
安澜堂懒猫;0.000136312066014793;2023-05-16 17:34:44
自种天然;0.08529460121659464;2023-05-16 16:54:16
Sweet猫饼;0.0014931590103635056;2023-05-16 17:36:45
古拉古拉古拉皮卡;0.005658912634177173;2023-05-19 00:07:23
阿里云大咖说;4.806851775983128e-06;2023-05-16 18:59:00
简忠威水彩艺术;0.001512924800760449;2023-05-16 18:05:09
稿定设计;-2.6403274961234e-06;2023-05-17 16:37:50
小仲景的投资日记;2.4730719890903507e-05;2023-05-16 16:52:55
于文平Turman;2.1992972293809642e-05;2023-05-16 22:12:28
手可摘星星412;-9.814636115439477e-07;2023-05-16 21:33:58
洛之秋;0.1328397747028388;2023-05-16 19:18:57
虚鲸般的幻想;1.717622015357175e-06;2023-05-16 19:19:36
FH_moya;3.6703765548521694e-05;2023-05-16 18:07:00
搞笑奇葩精选;4.279458613132449e-06;2023-05-19 10:11:07
-你吱;0.0036039241242660867;2023-05-19 06:15:32
凯蒂小姐的蔷薇花园;5.258558953666832e-05;2023-05-18 10:39:46
童叟无欺鬼鬼山;1.2412304537662324e-05;2023-05-17 22:21:56
极地羽翼;-4.1757710554599975e-05;2023-05-17 12:34:57
盐水饼干;7.146764000292943e-06;2023-05-19 19:57:39
爱吃蛋糕的Felicia;0.009289061145353801;2023-05-17 17:06:48
盔性恋;-7.100147815553636e-05;2023-05-17 12:50:01
万年王十二;7.727375248991611e-07;2023-05-16 17:52:04
狂妄画集;-9.599821554846987e-06;2023-05-17 22:00:37
白白白花衬衫;5.47793875694097e-06;2023-05-17 16:07:22
斜谷云深;1.1515855519698958e-05;2023-05-18 21:04:15
AI-Doll;-6.681418281059392e-05;2023-05-18 09:36:27
MANTIS红;1.837657386363164e-05;2023-05-17 20:23:38
Shoppu-;-9.19292214465048e-06;2023-05-17 11:54:56
ionaraq_;1.5148244848148145e-05;2023-05-16 22:30:36
TK·唐;7.703428626607522e-07;2023-05-16 20:20:34
我特爱吃汉堡;1.1520388083938457e-05;2023-05-17 16:12:04
蓝莓酱全肯定bot;-5.0367149006979926e-05;2023-05-17 11:38:40
突然兴奋的患者;0.00020707511077672452;2023-05-16 17:56:53
你大延哥;7.989533762775345e-05;2023-05-16 17:42:20
小葱跑快快;0.00013960800469916014;2023-05-20 16:19:07
俞晓晓晓;0.00015645414303836267;2023-05-18 22:22:35
俞晓晓晓;0.00014023007938175963;2023-05-18 12:33:16
Utah相反方向;3.773043570374333e-06;2023-05-17 22:56:12
月神幻兔;0.0001795824473436607;2023-05-17 11:18:50
也亿盐;0.0003117786830610569;2023-05-17 03:26:01
呜哦喔_;5.991983617975881e-06;2023-05-17 00:36:50
搞某人;0.004657595340541081;2023-05-17 00:26:18
高通;-2.9734686884055538e-05;2023-05-16 23:02:08
绝对伏特加;-2.1931058842356054e-05;2023-05-16 21:33:14
Satan的女儿;-9.215280914357882e-07;2023-05-16 21:03:08
大江户战士OedoSoldier;2.84738166123405e-05;2023-05-16 20:42:33
老蜂蜜Gi;-4.4342977758558366e-05;2023-05-16 19:04:55
浩瀚海洋中的浅水之鱼;0.00014931333952620943;2023-05-16 18:15:15
华北油田公司;1.0886644542650836e-05;2023-05-16 18:11:10
