发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
ACen_悠;-0.006799417192812;0.4915117371833344;0.3089212462317894;-0.0014184219304016088
环球市场播报;-0.0047138816672856;0.1987958645115688;0.3853032773574746;-0.0004960675307120397
福布斯中文网;0.0005999485758363;0.3690537513124408;0.4128653396123584;0.0001255926293892915
TheMedivh;-0.0025140702225523;0.5000975224122102;0.3235074475944645;-0.0005588155302625862
于白榆;0.0021141045053281;0.3486298304800284;0.3742855515724966;0.00037900604418817236
廷祐JungWoo_Jungvely;0.0038568122732337;0.3430376133034228;0.3212143113376217;0.0005838714046974135
伦敦的猪在香港;-0.0027711910407679;0.3249549607030561;0.3312310848312396;-0.0004098007995604131
安民Anmin0001;0.0043996228894666;0.3952144276499507;0.3612340011611157;0.0008629565745893777
本恰恰-;0.0008570693940519;0.6205829589601124;0.5004487154763306;0.00036570212872548863
懿领土_1113;-0.0009713453132588;0.412779762622205;0.3289698823371398;-0.00018121755327646548
快兰斯24小时财经直播;-0.006485158414993;0.3037133197132454;0.3216370501511646;-0.0008703673186695944
宥元Annyeongz_Destiny;0.0061708996371739;0.0594569412715826;0.1491622328549796;7.519033146355149e-05
齐鲁晚报;-0.0027140530811644;0.4834731593750873;0.335811460104543;-0.0006053942559075017
同声翻译樱桃羊;0.0118275576379167;0.3841611412555403;0.3392058007807768;0.0021175021186234998
财新网;0.0009427763334571;0.3052241800893946;0.39072885231559;0.00015447391956780214
硬核黑科技;0.0013427420506813;0.6158000047686918;0.3026056011247712;0.0003437647306882463
Easy;0.0008285004142502;0.4514440712172196;0.300571738752344;0.0001544531977900156
今天发游戏版号了吗;0.0013713110304831;-0.19653049599245;0.4441318635653272;-0.00016444850460258715
狼帅小助理;0.0001999828586121;-0.6084455100034021;0.5613226438396877;-9.38380775033865e-05
Kourinn_;0.000314258777819;0.999969051415553;0.5613317919105655;0.00024235148934327147
硬核黑科技;0.0034854155358112;0.6122154728907587;0.4757934782878958;0.001394856164365074
莫d感情_;5.713795960346256e-05;0.9999978816012958;0.5613136726345415;4.406375517970845e-05
张辛欣;0.000742793474845;0.6583903041596392;0.7695993679747262;0.0005170925561247099
露月之城;0.0012856040910779;-0.1046430829802664;0.5613318704656957;-0.0001037503450304328
露月之城;0.0005142416364311;0.5041354589464702;0.839652053185196;0.0002990652228075374
铉辰成长记录薄_橙子皱皱;0.0244550467102819;0.3947231646360724;0.2954257095578719;0.003917973326346195
乡下在住居民;0.0001142759192069;0.3444090316570012;0.5613138397583334;3.0351983839709375e-05
Monkey考研英语;0.00297117389938;0.398946983801333;0.4563762444455617;0.0007432216710264795
卑鄙的哈特诺人;0.0017712767477073;0.5740175579696116;0.7879270385402628;0.0011006511183397141
