发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
量子位;0.0007327227310574;0.8733915512802828;0.6675736800362758;0.001868210595778522
深知元;4.995836802664446e-05;-0.1150758209214966;0.6291343964807885;-1.5816621744089816e-05
不是梦想家;4.995836802664446e-05;0.0524655636156166;0.628999580686673;7.209595775079202e-06
Esports海涛;0.0014820982514571;-0.0308484223000051;0.4094061584562725;-8.185445054826724e-05
寿喜锅一级选手;9.991673605328893e-05;0.2945337171531839;0.5493427021166645;7.0695959051078e-05
卡拿它;0.0001332223147377;0.192914959944884;0.6289969909882538;7.069186252210274e-05
捣鼓音符的小胖;9.991673605328893e-05;-0.2637989060276509;0.5470739865776915;-6.305728493258458e-05
GitHubDaily;0.0028476269775187;0.5905421039704296;0.8852163551767966;0.006509705911844113
瓦坎达二狗;0.0002164862614487;0.3392108556556144;0.6289959409085196;0.00020198815382722668
yoonhoogtes;3.330557868442964e-05;0.988307263753036;0.6289975739506686;9.053904631194374e-05
Fygvyhhhiiccty;0.0002830974188176;0.2976393807577982;0.4926112900360422;0.00018151337710307293
BRINGMEJOYYY;0.001865112406328;0.7504008191910667;0.3637030821531514;0.00222599029127346
刘经纬老师;0.0001998334721065;0.5750728907614223;0.5917747196320864;0.0002973894185842928
鸽子和斑马;3.330557868442964e-05;-0.4308128517144369;0.6289963968150234;-3.946678646124895e-05
Volcano-SY;0.0002164862614487;0.5518976343700471;0.8632377224978992;0.0004510215127924352
橙子杀手杀橙子;0.0004329725228975;-0.0609419693167453;0.4959866960085187;-5.7230141779706755e-05
温榆河边行路人;0.0002497918401332;0.6106675994166142;0.78867700783893;0.0005260902817730588
福布斯中文网;4.995836802664446e-05;0.0;0.6385564575057514;0.0
我的粉丝很少;0.0003330557868442;0.5758080119789278;0.5051508040956723;0.00042363683038156816
没名称的树;0.0002830974188176;-0.2224776582031017;0.6047936868795919;-0.000166574123703121
evee嘎嘎;4.995836802664446e-05;0.5110270485066469;0.9174295265030978;0.00010242425603088575
禁止玩笑;8.326394671107411e-05;0.4385771936781725;0.6547805651218267;0.00010456270055154019
卢晓周;0.002248126561199;0.5487912432279378;0.425048697061158;0.00229321404454353
Amazon五爷;0.0009658617818484;0.4340708508430058;0.6717353046037148;0.0012315491609594545
富于理性;0.0003497085761865;0.263001912671872;0.7947777649099076;0.0003196604249217264
黄执歪教不了你说话技巧;6.661115736885928e-05;-0.2847585838872213;0.6289961314923859;-5.2173473646131834e-05
小咪Young;8.326394671107411e-05;-0.0591953039215022;0.6292544792643451;-1.3562774370710667e-05
公羽小记;3.330557868442964e-05;0.7070063876554018;0.6289962211789113;6.476887174047439e-05
信念_Qingyang;3.330557868442964e-05;-0.8418870002700092;0.6289963370240065;-7.712530202728676e-05
w0000ww;0.0002164862614487;0.2225969455137575;0.5543290278053953;0.00011681406481297557
权砸冲冲冲;0.0002164862614487;0.0654629951781757;0.4822564666506281;2.9886994691659712e-05
没有人比我更懂杭之冯玥;0.0008825978351373;0.8224743088209323;0.7578201065943546;0.002405632579011415
爱可可-爱生活;0.0003996669442131;0.34801573257924;0.5192245267986949;0.00031581320165395695
目送红颜上九天;0.0001332223147377;0.2536476437139351;0.5224879005270467;7.720794961958302e-05
多发疯勤发疯发高质量的疯;3.330557868442964e-05;-0.2269425798108495;0.6289959894887208;-2.0790207396386874e-05
上海天气通--风云气象汇;0.0347876769358867;0.1521259876761818;0.4235328220748011;0.009801530262168706
国民晓哥;3.330557868442964e-05;0.9967559969423788;0.6293807969995804;9.136867000081019e-05
李要早点碎觉;8.326394671107411e-05;-0.2504021379516057;0.5695255734141021;-5.1926162622822195e-05
帝都一只唐伯虎;4.995836802664446e-05;0.9869451382158452;0.6290668941608812;0.00013563633902279778
爱可可-爱生活;0.0002497918401332;0.2877814258285525;0.6357684249816853;0.00019985634303526628
羽翾qwwq;6.661115736885928e-05;0.2490311381741572;0.6289960530166763;4.562748460890223e-05
爱可可-爱生活;0.0001498751040799;0.9032151656373808;0.6334367595636664;0.0003749746906244589
蚁工厂;0.0003663613655287;0.7938992285203634;0.6335271842646758;0.0008057833288981573
lilykohh_36;9.991673605328893e-05;0.6025287056622947;0.8422084629656692;0.00022172443460777758
爱可可-爱生活;6.661115736885928e-05;0.9032151656373808;0.6320377603128551;0.00016628734531330973
嘟嘟不嘟嘟乁;4.995836802664446e-05;0.3162731330187589;0.628995903539134;4.346066174325426e-05
营养师顾中一;0.009542048293089;0.7327198904037167;0.3904456801518809;0.011937632017363855
CHANx-琚;4.995836802664446e-05;0.0;0.6289964304474703;0.0
6万小时15年交易者4;0.0003996669442131;0.651527521022545;0.8474696770422744;0.0009650129405497293
正直者之生;8.326394671107411e-05;0.4208771317542881;0.8717809965236097;0.00013359730380583436
千里孤鸿-;6.661115736885928e-05;-0.4999999999999998;0.6289959184868882;-9.160997934759988e-05
岁片;4.995836802664446e-05;0.9733550208295384;0.6447498456555834;0.00013710356173349272
换装游戏bot;0.0008825978351373;0.2233491913963005;0.5574571348259406;0.00048054791209357385
左小珇;3.330557868442964e-05;0.917539788803323;0.6289973721559864;8.405599536378533e-05
快科技官方;8.326394671107411e-05;-0.0524655636156183;0.6350131015790517;-1.2130871293709643e-05
李大白活Swoosh;4.995836802664446e-05;-0.2808089160646457;0.6294570121220326;-3.86156354594203e-05
一定要24上清新;3.330557868442964e-05;0.908720090736766;0.6289959147499496;8.324782825055913e-05
宇宙披萨猫;4.995836802664446e-05;0.0507127011306405;0.6291133575167185;6.969985369053385e-06
JennyYeah-;3.330557868442964e-05;-0.3442122991711365;0.6289964005519619;-3.153330578549516e-05
朱玉龙-YL;9.991673605328893e-05;0.9160162976146428;0.6318852840077283;0.0002529051391088329
财联社APP;0.0001665278934221;-0.2545706816150864;0.640881571463214;-0.00011880948989341942
张抗抗KK;0.0001165695253955;-0.396997297438427;0.633125947608301;-0.0001281270022690909
可乐不喝Corla;6.661115736885928e-05;-0.0150619895535739;0.628996266022174;-2.759658628649881e-06
小葵苗;0.0002830974188176;0.5859514699841328;0.8383080602913194;0.0006081058391573312
我有好心情魔法;3.330557868442964e-05;0.0104230379101841;0.6289963370240065;9.548549230561689e-07
