发布者;群体情绪;时间
彩云小梦Dream;-0.0005486578288160035;2023-03-07 01:41:28
馋老师bot;0.0003929445015081056;2023-03-09 21:05:10
被遺忘腐爛的厨余垃圾33027;0.0005899734826253339;2023-03-03 22:30:05
混世窝窝头;0.0004446741801807512;2023-03-25 22:56:19
燃星击夜;0.01723048914341419;2023-03-24 17:47:16
·AstronNautes·;-0.0001792197072130565;------
紫霄时雨_;0.0001962922609094421;2023-03-05 18:54:34
Klara_And_the_Sun;0.00010157482440043015;2023-04-19 21:24:46
云南艺术学院文华学院新闻中心;0.00018653042275204248;------
装盐的瓶;0.00142902996682468;2023-03-07 18:08:45
风过无痕dear;0.0015332543850275692;2023-03-07 18:05:32
栖息的月光光;0.00401449937405607;2023-03-07 18:29:55
奶盐盐粒子;0.001227545790332743;------
_西红柿女孩_;0.0005698797540232917;2023-03-07 12:49:13
黑屏黑屏黑;0.004256179115917578;2023-03-07 12:46:54
Q娜娜N;0.00015358611275799247;------
商丘医专微校园;0.04476134851237444;2023-03-07 13:27:08
可爱的雅瑞宝贝;0.0008187586094651211;2023-03-07 15:58:17
长三角铁路;0.0003059474437506824;2023-03-07 18:01:17
水草的迷;0.00020228572254139652;2023-03-08 06:11:02
隐竹斋;6.016741601677293e-05;2023-04-13 16:26:50
DeniseFanta;0.0006916091995912822;------
YI曦-;0.003346539227466542;2023-03-07 11:09:11
中科大胡不归;0.002797657523755926;2023-03-07 12:29:12
一只饭cp的萝卜;0.004522021265559564;------
瑞睿女王;0.00020331573302648982;2023-03-08 12:04:17
Rabbitwool_梦比优斯出蓝光了么;0.0007875083956406356;2023-03-08 12:01:44
绿箭五糖薄荷糖;0.0026395354983066955;------
北京众一公益基金会;-4.8727163166765834e-05;2023-03-10 13:26:30
陳企鵝_Patty;0.0010788472285703987;------
vitamin__C_;0.0005731594795583197;2023-03-13 10:35:07
问问夕夕姐姐;0.00012145024230629189;------
淇淇夬夬;-0.00019841493385127886;2023-03-11 23:28:21
盐式夏日;0.0010204703541373517;2023-03-11 22:52:46
付俊医生;1.806980136046246e-05;2023-03-12 08:35:35
yang_smile;0.00039248631589489525;2023-03-12 03:55:24
Fong110;0.0006768580049399537;2023-03-11 23:36:10
SUMMER旧梦安雪;0.0037790091183129097;2023-03-11 23:12:35
水煮长江;0.0002047298551833429;2023-03-12 00:09:40
岳盛斋的饲养员;0.0014654643588724095;2023-03-11 23:44:56
穆梓欣MZX;0.00016641447637074006;------
单色光0517;0.0012159245180691201;2023-03-11 22:32:06
Libra_Iridescent;0.0013368952541735878;2023-03-11 23:29:11
又又想喝冰阔落;0.00021011602585258016;2023-03-12 08:36:07
augenstern_澄念;0.0008353229366295541;2023-03-12 03:56:01
霜予叙柒;0.0035725987480861887;2023-03-11 23:13:09
橙子茶Yi;0.00248277301385638;2023-03-11 22:41:52
甜乐壁纸头像;-0.00016968678221001692;2023-03-12 00:09:25
北欧米粒和西北永鸿;0.010346318233039819;2023-03-11 23:49:14
月凝花朝胧鲸落;0.002614921483277668;------
林伟3037148833;0.0006090107684627012;2023-03-11 22:45:25
四川幼儿师范高等专科学校官微;0.0016405811350049316;2023-03-11 22:03:55
假装纯情男高_;0.014692866848334298;2023-03-12 18:40:20
lron1;0.0028590313871511954;2023-03-12 20:30:49
慧腐烂的心QY;0.0008371132075613715;2023-03-12 13:39:47
呈贡发布;0.0006613344876043578;2023-03-12 10:50:35
TT-WJY;0.01858682301600157;2023-03-12 10:13:34
大唐合盛陶瓷家居;0.0007644991400845752;2023-03-12 09:35:08
金金的幸福3_299;0.0015296891748150952;2023-03-12 08:28:20
奶盐专用沙发;0.005684640969856522;2023-03-12 07:26:31
敢敢ings;0.00016072833599998287;2023-03-12 07:24:48
可乐yao加冰200605;0.0010189316015313565;2023-03-12 06:44:47
与辉遥;0.0;2023-03-12 01:34:48
风暴鸟海瑶;-0.00031946642894792825;2023-03-12 08:28:49
Dasiy--c;-0.00041618271179424005;2023-03-12 11:43:18
lv记忆裏嘚童话已经融化淚;0.00025670260771742004;2023-03-12 11:38:27
星落my;0.007064327029782139;2023-03-12 10:53:24
汪喵爱宁;0.00020373786647642946;2023-03-12 10:10:44
安韵小鹿my;0.0012698178890637394;2023-03-12 09:22:47
熙允诺;0.0032371152062023166;2023-03-12 08:28:42
冰冰妹子;0.11080524591246509;2023-03-12 07:45:27
carefully67460;0.0007131194816750207;2023-03-12 05:03:12
Fong110;0.0019449402291918968;2023-03-12 05:01:55
读书版开心ice公主-;0.0001239085578856821;2023-03-12 00:36:26
粉粉分分;0.00806986172490416;2023-03-12 20:30:25
安达英司;-0.0007876371854776164;------
夜晚宝石;0.0010812614619066696;2023-03-11 21:57:20
刘风云又讲故事;0.00030516499791455586;2023-03-12 05:44:50
萧晏松;0.000615807546669628;2023-03-12 05:09:48
彩云小梦Dream;-0.0001695235120152799;2023-03-12 03:56:22
写手吐槽bot_;0.007416513662306097;2023-03-11 23:13:29
BeatYouLikeAHurricane;0.00014115204342855821;2023-03-11 22:45:05
